tarih,my_gelir,gb_gelir,vergi,v_gelir_kazanc,v_gelir,v_kurumlar,v_dahilde,v_kdv_dahil,v_otv,v_dis_ticaret,v_kdv_ithal,v_damga,tesebbus_mulk,faiz_pay_ceza,ozel_butce_gel,ddk_gel,my_gider,faiz_disi_gider,personel,sgk_primi,mal_hizmet,cari_transfer,hazine_yardim,sgk_hazine_yrd,tarim_destek,sermaye_gider,sermaye_transfer,borc_verme,faiz_gideri,faiz_ic,faiz_dis,faiz_iskonto,faiz_turev,faiz_kira_sert,gb_faiz_disi_denge,gb_denge,gb_nakit_denge,gb_finansman,borclanma_net,dis_borclanma_net,dis_kullanim,dis_odeme,ic_borclanma_net,bono_tl_satis,bono_tl_odeme,bono_dov_satis,bono_dov_odeme,tahvil_tl_satis,tahvil_tl_odeme,tahvil_dov_satis,tahvil_dov_odeme,ozellestirme,kasa_banka,ic_borc_toplam,ic_tahvil,ic_tahvil_nakit,ic_tahvil_nkdisi,ic_bono,ic_bono_nakit,ic_bono_nkdisi,ic_konsolide,ic_avans,tufe
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155376296.0,119909010.0,59964342.0,59944668.0,35467286.0,35467286.0,0.0,0.0,0.0,
2003-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159412356.0,121335194.0,61082499.0,60252695.0,38077162.0,38077162.0,0.0,0.0,0.0,
2003-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162557876.0,124951441.0,63844003.0,61107438.0,37606435.0,37606435.0,0.0,0.0,0.0,
2003-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170088086.0,129227114.0,70635860.0,58591254.0,40860973.0,40860973.0,0.0,0.0,0.0,
2003-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173961054.0,134687572.0,75914961.0,58772612.0,39273483.0,39273483.0,0.0,0.0,0.0,
2003-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175269922.0,135872394.0,77266286.0,58606108.0,39397528.0,39397528.0,0.0,0.0,0.0,
2003-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179229793.0,142584054.0,83894482.0,58689572.0,36645739.0,36645739.0,0.0,0.0,0.0,
2003-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178905848.0,145506860.0,87022499.0,58484362.0,33398988.0,33398988.0,0.0,0.0,0.0,
2003-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178711655.0,145738668.0,87403842.0,58334826.0,32972988.0,32972988.0,0.0,0.0,0.0,
2003-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180191159.0,149333954.0,91044336.0,58289618.0,30857205.0,30857205.0,0.0,0.0,0.0,
2003-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183073155.0,155842520.0,98215413.0,57627107.0,27230635.0,27230635.0,0.0,0.0,0.0,
2003-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194386700.0,168973626.0,105841900.0,63131726.0,25413074.0,24642074.0,771000.0,0.0,0.0,
2004-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199357865.0,174049013.0,111598147.0,62450866.0,25308852.0,24537852.0,771000.0,0.0,0.0,
2004-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200471428.0,178214016.0,115781436.0,62432580.0,22257412.0,21486412.0,771000.0,0.0,0.0,
2004-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203707545.0,181484715.0,119292729.0,62191985.0,22222830.0,21451830.0,771000.0,0.0,0.0,
2004-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206224789.0,185285804.0,123018114.0,62267691.0,20938985.0,20938985.0,0.0,0.0,0.0,
2004-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209808733.0,186991618.0,124467472.0,62524146.0,22817115.0,22817115.0,0.0,0.0,0.0,
2004-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209118695.0,185189991.0,123439142.0,61750848.0,23928705.0,23928705.0,0.0,0.0,0.0,
2004-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211969283.0,185895752.0,124174360.0,61721392.0,26073531.0,26073531.0,0.0,0.0,0.0,
2004-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214277534.0,183962113.0,122765500.0,61196614.0,30315421.0,30315421.0,0.0,0.0,0.0,
2004-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217571356.0,186664035.0,125407685.0,61256350.0,30907321.0,30907321.0,0.0,0.0,0.0,
2004-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225581969.0,192362140.0,129376805.0,62985335.0,33219828.0,33219828.0,0.0,0.0,0.0,
2004-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225725442.0,196986595.0,134675099.0,62311496.0,28738847.0,28738847.0,0.0,0.0,0.0,
2004-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224482922.0,194210700.0,135306946.0,58903754.0,30272222.0,30272222.0,0.0,0.0,0.0,
2005-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228792000.0,194999000.0,137254000.0,57745000.0,33793000.0,33793000.0,0.0,0.0,0.0,3.59652332
2005-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231319000.0,202365000.0,144924000.0,57440000.0,28954000.0,28954000.0,0.0,0.0,0.0,3.59738699
2005-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232489000.0,202897000.0,145318000.0,57579000.0,29592000.0,29592000.0,0.0,0.0,0.0,3.60671488
