tarih,db_toplam,db_kamu,db_genel_hukumet,db_merkezi_yon,db_my_kisa,db_my_uzun,db_tcmb,db_ozel,fh_yukum_toplam,fh_borc_senedi,fh_bs_kisa,fh_bs_uzun,fh_krediler,fh_varlik_toplam,fh_net_fin_deger,fh_mevduat,gsyh_cari
2003-03-31,132658.0,64969.0,59171.0,57149.0,0.0,57149.0,22423.0,45266.0,,,,,,,,,101837606.442178
2003-06-30,137725.0,67496.0,61900.0,59974.0,0.0,59974.0,23374.0,46855.0,,,,,,,,,114048147.630101
2003-09-30,142417.0,68824.0,63174.0,61302.0,0.0,61302.0,23319.0,50274.0,,,,,,,,,130535390.993032
2003-12-31,148363.0,70844.0,65161.0,63346.0,0.0,63346.0,24373.0,53146.0,,,,,,,,,126947327.567892
2004-03-31,148857.0,69984.0,64269.0,62526.0,0.0,62526.0,22897.0,55976.0,,,,,,,,,124158764.606504
2004-06-30,152625.0,70571.0,65147.0,63503.0,0.0,63503.0,21667.0,60387.0,,,,,,,,,140826436.56594
2004-09-30,157708.0,72844.0,67524.0,65945.0,0.0,65945.0,20814.0,64050.0,,,,,,,,,160312376.34673
2004-12-31,165687.0,75763.0,70114.0,68584.0,0.0,68584.0,21410.0,68514.0,,,,,,,,,159396094.619847
2005-03-31,164249.0,75457.0,70210.0,68772.0,0.0,68772.0,19399.0,69393.0,,,,,,,,,147158922.865687
2005-06-30,167489.0,72464.0,67652.0,66345.0,0.0,66345.0,17098.0,77927.0,,,,,,,,,163817314.154558
2005-09-30,171016.0,71058.0,66046.0,64807.0,0.0,64807.0,16230.0,83727.0,,,,,,,,,186304995.666748
2005-12-31,183068.0,78190.0,73580.0,72302.0,0.0,72302.0,15425.0,89453.0794,,,,,,,,,185681098.842037
2006-03-31,198725.0,79661.146,75670.0,74409.0,0.0,74409.0,15518.0,103545.854,,,,,,,,,167820666.753066
2006-06-30,201385.0,71136.374,68260.0,66975.0,0.0,66975.0,15772.0,114476.626,,,,,,,,,197199044.124381
2006-09-30,210377.0,77099.074,73792.0,72519.0,0.0,72519.0,15527.0,117750.926,,,,,,,,,216706872.761674
2006-12-31,229395.0,86013.7295,82102.0,80824.0,0.0,80824.0,15678.0,127703.2705,,,,,,,,,217733018.839536
2007-03-31,233885.0,87979.136,83877.0,82552.0,0.0,82552.0,15630.0,130275.864,,,,,,,,,195678319.073105
2007-06-30,250275.0,90745.34,86802.0,85431.0,0.0,85431.0,15484.0,144045.66,,,,,,,,,215185292.299467
2007-09-30,262148.0,92261.768,88208.0,86700.0,0.0,86700.0,15629.0,154257.232,,,,,,,,,238594399.890812
2007-12-31,276945.0,91446.3675,86498.0,84805.0,0.0,84805.0,15801.0,169697.6325,,,,,,,,,243347418.783777
2008-03-31,288041.0,89153.349,84113.0,82197.0,0.0,82197.0,16590.0,182297.651,,,,,,,,,225491930.319312
2008-06-30,312191.0,93825.692,89259.0,87024.0,0.0,87024.0,16204.0,202161.308,,,,,,,,,254094877.558123
2008-09-30,315704.0,93501.014,87511.0,85189.0,0.0,85189.0,14339.0,207863.986,,,,,,,,,270679090.284925
2008-12-31,291485.0,85262.25,79089.0,76457.0,0.0,76457.0,14066.0,192156.75,,,,,,,,,258955012.581921
2009-03-31,270316.0,77271.001,71936.0,69253.0,0.0,69253.0,12952.0,180092.999,,,,,,,,,215723454.139913
2009-06-30,277752.0,81800.461,76229.0,73414.0,0.0,73414.0,13541.0,182410.539,,,,,,,,,244872328.495052
2009-09-30,281872.0,88092.4951059,81920.0,78894.0,0.0,78894.0,13535.0,180244.5048941,,,,,,,,,274749403.11799
2009-12-31,280104.0,86786.4789649,80209.0,77093.0,0.0,77093.0,13162.0,180155.5210351,,,,,,,,,278165055.869949
2010-03-31,278452.0,88962.6545,81379.0,78093.0,0.0,78093.0,12353.0,177136.3455,,,,,,,,,245238589.292648
2010-06-30,283930.0,92285.4902,83896.0,80684.0,0.0,80684.0,11144.0,180500.5098,,,,,,,,,282700671.661903
2010-09-30,307796.0,103308.7754,93062.0,89461.0,0.0,89461.0,12085.0,192402.2246,,,,,,,,,322044463.138908
2010-12-31,320446.0,100736.7528,93092.0,89427.0,0.0,89427.0,11565.0,208145.2472,561203710.393028,474288246.56472,0.0,474288246.56472,53933873.2742387,243848735.331263,-317354975.061765,30459144.2220402,326064244.882544
2011-03-31,335771.0,112704.905737,104057.0,100197.0,0.0,100197.0,12010.0,211057.094263,,,,,,,,,296328464.629657
2011-06-30,354705.0,117588.319946,107760.0,103698.0,0.0,103698.0,11878.0,225238.680054,,,,,,,,,341163165.496872
2011-09-30,344423.0,111775.2807192,100142.0,96130.0,0.0,96130.0,10344.0,222303.7192808,,,,,,,,,385954610.135374
2011-12-31,343862.0,119458.6579552,106113.0,102307.0,0.0,102307.0,9334.0,215069.3420448,597026095.753039,493111782.47904897,0.0,493111782.47904897,63057802.46977,264964429.186954,-332061666.566084,35795155.9481301,390538220.90934
2012-03-31,359607.0,131376.048522,113535.0,109585.0,0.0,109585.0,9325.0,218905.951478,,,,,,,,,339453805.039846
2012-06-30,370116.0,136666.26901709,116121.0,112438.0,0.0,112438.0,8313.0,225136.7309829,,,,,,,,,387344421.610499
2012-09-30,388650.0,149795.67775536,130237.0,126405.0,0.0,126405.0,7437.0,231417.32224463,,,,,,,,,428883048.5896289
2012-12-31,411885.0,161512.2188584,140011.0,136240.0,0.0,136240.0,7079.0,243294.7811416,646073546.799967,550876577.640426,0.0,0.0,55623598.733061,269917768.605798,-376155778.194169,35379507.66721,434368020.0162391
2013-03-31,420408.0,161156.0,138161.0,134493.0,0.0,134493.0,6628.0,252624.0,,,,,,,,,392753083.38088095
2013-06-30,431736.0,160067.0,134017.0,130420.0,0.0,130420.0,6386.0,265282.0,,,,,,,,,446996350.53968894
2013-09-30,434646.0,158525.0,130462.0,126779.0,0.0,126779.0,5640.0,270481.0,,,,,,,,,495445687.68149
2013-12-31,441036.0,156082.0,126469.0,122808.0,0.0,122808.0,5225.0,279730.0,639357736.184811,547691804.510669,0.0,547691804.510669,63080397.0882825,272632568.278238,-366725167.906574,42761784.3139204,496548848.900392
2014-03-31,432968.0,151980.0,121738.0,118134.0,0.0,118134.0,4853.0,276135.0,,,,,,,,,458361289.8587871
2014-06-30,458492.0,165953.0,133896.0,130430.0,0.0,130430.0,4280.0,288259.0,,,,,,,,,492585428.77921695
2014-09-30,448304.0,159168.1,125484.0,122231.0,0.0,122231.0,2935.0,286201.9,,,,,,,,,551958483.650141
2014-12-31,455218.0,162440.3,129286.0,126237.0,0.0,126237.0,2475.0,290302.7,710292834.31546,620851110.217667,0.0,620851110.217667,60435991.0157428,287859813.721439,-422433020.59402096,41302479.85499,559452976.885586
2015-03-31,436072.0,151523.3,118267.0,115484.0,0.0,115484.0,2102.0,282445.7,729522443.8779831,640977680.061908,74155887.7649866,566821792.296921,62313963.6592655,280388675.218572,-449133768.659411,36520504.7110501,501740757.863902
2015-06-30,438067.0,145334.3,111489.0,108741.0,0.0,108741.0,1970.0,290762.7,749782989.268003,657233376.092208,76036539.1634069,581196836.928801,64225230.3524055,305572358.811871,-444210630.456132,52376400.635029,567197911.838763
2015-09-30,424415.0,133498.2,100604.0,97821.0,0.0,97821.0,1544.0,289370.8,788946564.956163,686355906.565918,79405778.3247959,606950128.241122,73311307.3378555,310390683.279752,-478555881.67641103,49015814.8974596,634163127.850709
2015-12-31,413574.0,130800.4,98509.0,95801.0,0.0,95801.0,1319.0,281453.6,759721872.3755,641790068.815918,74249874.5154427,567540194.300475,71097670.9967755,330009231.983018,-429712640.39248097,51063949.0994394,650957329.41532
2016-03-31,427909.0,139043.4,102549.0,99774.0,0.0,99774.0,1296.0,287570.6,769892367.7355809,661208864.375082,76496470.7212224,584712393.65386,69699055.5292894,321889628.563752,-448002739.17183,49889121.1231691,570866259.930324
2016-06-30,439595.0,144092.4,106945.0,104251.0,0.0,104251.0,1159.0,294344.6,808950204.93499,695541103.0,80468430.6090367,615072672.3909631,70173277.69208,339011115.81819,-469939089.1167991,60282967.3182703,637798573.2920791
2016-09-30,434044.0,145379.4,106432.0,103422.0,0.0,103422.0,956.0,287707.6,824882542.8083181,701042693.088295,81104919.6940812,619937773.394214,72658172.0040316,337341004.216465,-487541538.59185296,51287462.1574021,670039064.862309
2016-12-31,402646.0,128799.0,92070.0,89158.0,0.0,89158.0,1102.0,272744.0,862260551.944408,715500273.478693,82777543.7840184,632722729.694674,80264822.451487,363437937.234724,-498822614.709684,49407223.8492015,751284073.421079
2017-03-31,412193.0,134261.0,95585.0,92583.0,0.0,92583.0,1382.0,276551.0,918957131.649604,757003564.4329101,87579135.9168073,669424428.516103,85488253.2289222,327676835.581409,-591280296.068195,51588061.291729,660893768.1913071
2017-06-30,439981.0,147313.0,106362.0,103148.0,0.0,103148.0,1390.0,291278.0,953113422.801361,793549316.976295,91807181.3046474,701742135.6716471,84021356.5528325,337287190.42125,-615826232.380112,61632391.7617662,743962431.0393981
2017-09-30,453541.0,152498.0,109338.0,106063.0,0.0,106063.0,1298.0,299745.0,978993112.098756,818278304.691633,94668123.4163653,723610181.275268,84579685.6767565,349047536.156568,-629945575.942188,80582911.5438657,844119989.315872
2017-12-31,460245.0,148991.0,105890.0,102656.0,0.0,102656.0,1753.0,309501.0,1025437476.50482,847530119.390671,98052319.7077784,749477799.6828929,93125234.1245678,352110684.5868,-673326791.918025,76815064.1460066,902552964.3439232
2018-03-31,461289.0,149301.0,103647.0,100128.0,0.0,100128.0,1437.0,310552.0,1113811388.86715,860521816.970671,99555353.1168761,760966463.853795,101773269.560188,423360864.660005,-690450524.207142,77073209.9162718,809483219.5285649
2018-06-30,439895.0,137995.0,91687.0,88378.0,0.0,88378.0,1826.0,300074.0,1143302630.80975,870591260.270671,100720305.548821,769870954.7218499,112776372.492548,433145347.77551,-710157283.034241,59389260.7166501,908772012.41503
2018-09-30,414576.0,125783.0,81592.0,78265.0,0.0,78265.0,6706.0,282087.0,1272316708.98854,960166212.780671,111083396.700831,849082816.079839,144220993.988698,478631723.087838,-793684985.900705,74104408.8567582,1047448535.16651
2018-12-31,412049.0,136280.15365102,88639.0,85360.0,0.0,85360.0,5914.0,269854.84634897,1290885923.42391,989954414.277448,114529648.568295,875424765.7091529,128534157.043317,478301118.009347,-812584805.4145619,62173554.3817648,1040775452.24834
2019-03-31,412705.0,138104.12714466,86752.0,83511.0,0.0,83511.0,5896.0,268704.87285533,1357395961.67636,1038070574.38353,120096295.706717,917974278.676816,134092774.866207,522178683.997834,-835217277.6785289,105235851.434652,948043693.090981
2019-06-30,404665.0,135492.35809806,86636.0,83431.0,0.0,83431.0,6491.0,262681.64190193,1475624313.21282,1145094010.4114,132478034.037354,1012615976.37404,142425673.623545,533031854.48327297,-942592458.729544,72293244.8910226,1051610271.78976
2019-09-30,398524.0,135877.33642089,88665.0,85652.0,0.0,85652.0,6394.0,256252.6635791,1548780470.16518,1221504903.3114,141318150.89972,1080186752.41168,133827655.812615,574144405.498374,-974636064.666804,104776744.974533,1178523775.71783
2019-12-31,398506.0,148384.80971669,89285.0,85976.0,0.0,85976.0,8452.0,241669.1902833,1681131868.76778,1342187004.84284,66265971.3995486,1275921033.44329,141244697.220414,604978679.110544,-1076153189.65724,99362590.7120952,1223872570.25994
2020-03-31,374610.0,145353.22458563,77901.0,74537.0,0.0,74537.0,8383.0,220873.77541436,1686832051.81797,1354963763.89986,19642340.1903293,1335321423.70953,182233412.383706,608500134.602324,-1078331917.21565,191192355.937752,1095834093.20798
2020-06-30,372965.0,139902.28769401,74522.0,71038.0,0.0,71038.0,19617.0,213445.71230598,1924047682.88478,1589739956.11315,22566844.1108764,1567173112.00227,190786679.872144,690254967.230565,-1233792715.65421,212236140.314293,1061245901.35972
2020-09-30,371656.0,137137.0,71311.0,67671.0,138.0,67533.0,20989.0,213530.0,2139734791.0534,1754263041.12044,173944363.323045,1580318677.79739,227103311.946806,792360656.489012,-1347374134.56439,285346188.278379,1440508562.2707
2020-12-31,390820.0,148934.0,81807.0,77382.0,128.0,77254.0,21344.0,220542.0,2166954558.38148,1773418082.0382,172613048.715086,1600805033.32312,230356036.876489,790603512.907624,-1376351045.47385,232863885.859892,1544122044.10238
2021-03-31,382379.0,144186.0,74922.0,70787.0,110.0,70677.0,22616.0,215577.0,2217535105.03755,1815499437.57063,187157891.934526,1628341545.63611,230024512.771722,1185976013.94092,-1031559091.09663,318271333.680148,1439485730.2545
2021-06-30,393436.0,145926.0,77712.0,73514.0,13.0,73501.0,25824.0,221687.0,2360956465.52882,1948812729.73671,183942859.389475,1764869870.34724,238842614.906588,1217268754.36424,-1143687711.16458,307215647.494072,1633315779.80098
2021-09-30,398359.0,152492.0,84074.0,80035.0,0.0,80035.0,25850.0,220017.0,2492127186.19195,2015981363.76416,190385520.167289,1825595843.59687,240065744.90185,1320668777.16017,-1171458409.03178,392613708.47015,1975578633.13683
2021-12-31,378522.0,134138.0,73607.0,69588.0,0.0,69588.0,26052.0,218332.0,3135773256.84862,2486842023.39495,236560156.809438,2250281866.58551,303763728.680831,1627725101.62104,-1508048155.22758,418950131.420156,2385419765.0929
2022-03-31,380512.0,131276.0,69174.0,65336.0,0.0,65336.0,29812.0,219424.0,3784687250.878911,3061418303.35586,309603099.666878,2751815203.68898,349839979.079283,1878290341.4765,-1906396909.4024,516438438.24865,2589636478.47121
2022-06-30,367943.0,119850.0,59569.0,55789.0,15.0,55774.0,29428.0,218664.0,4164729405.6606097,3412617265.87042,372481601.22453,3040135664.64589,371687211.4257569,2143291299.75039,-2021438105.91022,735109424.656267,3502565413.44039
2022-09-30,367227.0,115424.0,55719.0,52333.0,18.0,52315.0,31975.0,219828.0,4685082804.54547,3869344489.5097504,419806863.82457,3449537625.68518,383475515.7946569,2215015867.32322,-2470066937.22225,690450437.487952,4351145687.05226
2022-12-31,388639.0,127952.0,64569.0,60816.0,9.0,60807.0,32790.0,227897.0,5493818530.49846,4442370274.84619,461619474.2436,3980750800.602591,418056905.516984,3083445232.53988,-2410373297.95858,868709229.1947271,4882509912.85856
2023-03-31,404343.0,137351.0,67971.0,64324.0,0.0,64324.0,39321.0,227670.0,6116447598.222831,4953948118.0825,517551158.75502497,4436396959.32748,439016999.148072,3410142539.19146,-2706305059.03137,965171894.251882,4798503056.20185
2023-06-30,404070.0,133330.0,66050.0,62426.0,0.0,62426.0,46234.0,224506.0,7012647148.73598,5604113164.75334,598069801.10856,5006043363.64478,572673650.346519,3695281420.2793903,-3317365728.45659,1063046679.96477,5696948397.90071
2023-09-30,409344.0,134448.0,67089.0,63492.0,0.0,63492.0,45714.0,229181.0,7501095586.945511,6024199489.01149,651146888.157297,5373052600.8542,593619236.892582,4283400354.5536,-3217695232.3919,1383534707.63607,7894487347.52061
2023-12-31,432551.0,147929.0,75877.0,71428.0,0.0,71428.0,46360.0,238262.0,8527788389.335581,6733360585.273431,685758102.0423889,6047602483.23104,700997805.333814,5994301092.28771,-2533487297.04787,1549197412.60914,8701530263.078209
2024-03-31,429068.0,150279.0,74764.0,70517.0,0.0,70517.0,46158.0,232631.0,9304785260.24803,7459287607.3674,644957439.982293,6814330167.3851,740803927.1898781,6187582619.64265,-3117202640.60538,1402331538.24339,9075604052.75238
2024-06-30,450951.0,163996.0,84508.0,80078.0,0.0,80078.0,44691.0,242264.0,10149499323.1723,7861625460.83224,661076339.111457,7200549121.72078,757035799.407851,6066882742.60168,-4082616580.57062,1597841946.1383,10142411556.4424
2024-09-30,460061.0,172399.0,90837.0,86384.0,4.0,86380.0,38367.0,249294.0,10885510581.355,8686141530.70365,694010338.202599,7992131192.50105,847902824.3319821,6555414263.52646,-4330096317.828569,1611102664.59092,12307886731.7288
2024-12-31,461237.0,173542.0,90799.0,86492.0,6.0,86486.0,34701.0,252995.0,11530178807.2063,9300161319.09485,719817569.654083,8580343749.440769,836392167.882417,7814019825.08912,-3716158982.1171694,1478735102.4393,13061323099.2748
2025-03-31,469225.0,176900.00722842,89329.0,85086.0,111.0,84975.0,30165.0,262160.0,12579826730.1801,10112806480.9616,719896130.8058671,9392910350.15574,910271080.743906,8313848446.751329,-4265978283.4287696,1268386904.81476,12524735930.1741
2025-06-30,485293.0,177493.75122348,87237.0,82789.0,342.0,82447.0,29335.0,278464.0,13971440554.2612,11263358498.3335,1097486126.65908,10165872371.6745,1039238558.14871,9436092572.83559,-4535347981.42556,1782946995.67734,14556834754.955
2025-09-30,501364.0,187841.01610543,95202.0,90719.0,447.0,90272.0,27752.0,285771.0,15730641705.5958,12944710578.5478,1465863731.38989,11478846847.1579,1082515732.31082,10595561198.9063,-5135080506.68943,2600678431.46471,17472039793.4637
