tarih,usdtry,eurtry
2006-01-02,1.3418,1.5875
2006-01-03,1.3441,1.592
2006-01-04,1.3419,1.5943
2006-01-05,1.3317,1.607
2006-01-06,1.3298,1.6079
2006-01-09,1.3284,1.6073
2006-01-16,1.3284,1.6073
2006-01-17,1.327,1.6107
2006-01-18,1.3277,1.6063
2006-01-19,1.3313,1.6142
2006-01-20,1.3299,1.6066
2006-01-23,1.3301,1.6059
2006-01-24,1.3208,1.6199
2006-01-25,1.3171,1.6172
2006-01-26,1.3156,1.6176
2006-01-27,1.317,1.613
2006-01-30,1.3183,1.6085
2006-01-31,1.3219,1.5972
2006-02-01,1.3199,1.5983
2006-02-02,1.3177,1.5964
2006-02-03,1.3213,1.594
2006-02-06,1.3193,1.5923
2006-02-07,1.3232,1.5861
2006-02-08,1.3229,1.586
2006-02-09,1.3281,1.5894
2006-02-10,1.324,1.5861
2006-02-13,1.3208,1.5815
2006-02-14,1.3242,1.5745
2006-02-15,1.3211,1.5733
2006-02-16,1.3322,1.5868
2006-02-17,1.3246,1.5724
2006-02-20,1.3202,1.5681
2006-02-21,1.3093,1.5636
2006-02-22,1.3114,1.5623
2006-02-23,1.3245,1.5746
2006-02-24,1.3127,1.5673
2006-02-27,1.3145,1.5641
2006-02-28,1.3113,1.5541
2006-03-01,1.306,1.551
2006-03-02,1.3075,1.5613
2006-03-03,1.2979,1.5495
2006-03-06,1.2964,1.5586
2006-03-07,1.3006,1.5658
2006-03-08,1.3225,1.5764
2006-03-09,1.3358,1.5922
2006-03-10,1.3362,1.5946
2006-03-13,1.344,1.6018
2006-03-14,1.3377,1.5966
2006-03-15,1.3432,1.607
2006-03-16,1.3289,1.5985
2006-03-17,1.3264,1.6017
2006-03-20,1.3161,1.6023
2006-03-21,1.3269,1.6163
2006-03-22,1.335,1.6207
2006-03-23,1.3426,1.6219
2006-03-24,1.3323,1.6072
2006-03-27,1.3408,1.605
2006-03-28,1.3386,1.6105
2006-03-29,1.3464,1.6237
2006-03-30,1.3562,1.6284
2006-03-31,1.3427,1.6211
2006-04-03,1.3417,1.6254
2006-04-04,1.3389,1.6141
2006-04-05,1.3319,1.6216
2006-04-06,1.33,1.6313
2006-04-07,1.3308,1.6378
2006-04-10,1.3295,1.6211
2006-04-11,1.337,1.6196
2006-04-12,1.3331,1.6155
2006-04-13,1.336,1.6221
2006-04-14,1.3409,1.6242
2006-04-17,1.344,1.6271
2006-04-18,1.3424,1.6371
2006-04-19,1.3366,1.6379
2006-04-20,1.3239,1.6349
2006-04-21,1.3233,1.6333
2006-04-24,1.3224,1.6289
2006-04-25,1.3181,1.6316
2006-04-26,1.3168,1.6326
2006-04-27,1.3216,1.6403
2006-04-28,1.3195,1.641
2006-05-01,1.3155,1.6506
2006-05-02,1.3131,1.6572
2006-05-03,1.3157,1.6606
2006-05-04,1.3104,1.6553
2006-05-05,1.3178,1.6602
2006-05-08,1.3132,1.6658
2006-05-09,1.3124,1.6754
2006-05-10,1.3321,1.6902
2006-05-11,1.3431,1.7174
2006-05-12,1.3545,1.7228
2006-05-15,1.3909,1.7945
2006-05-16,1.4498,1.8615
2006-05-17,1.4484,1.8553
2006-05-18,1.4185,1.8291
2006-05-22,1.4878,1.9017
2006-05-23,1.5055,1.9207
2006-05-24,1.5173,1.9483
2006-05-25,1.5368,1.9754
2006-05-26,1.5396,1.9663
2006-05-29,1.5229,1.9503
2006-05-30,1.5227,1.9427
2006-05-31,1.5368,1.9748
2006-06-01,1.56,2.008
2006-06-02,1.5607,1.9917
2006-06-05,1.5271,1.9583
2006-06-06,1.5765,2.0434
2006-06-07,1.5559,2.0046
2006-06-08,1.548,1.9825
2006-06-09,1.5463,1.9721
2006-06-12,1.5371,1.9445
2006-06-13,1.539,1.9401
2006-06-14,1.6005,2.0134
2006-06-15,1.5897,2.0004
2006-06-16,1.5844,1.9992
2006-06-19,1.5833,2.0039
2006-06-20,1.5942,2.0069
2006-06-21,1.6088,2.0216
