tarih,dibs_toplam,dibs_yurtici,dibs_tcmb,dibs_bankalar,dibs_fonlar,dibs_yurtdisi,dibs_pd_toplam,dibs_kv_kisa,dibs_kv_uzun,dibs_ov_kisa,dibs_ov_uzun,dibs_piyasa_deg,eb_toplam_yaz,eb_yurtdisi_yaz,eb_yurtici_yaz,eb_merkezi_yon,eb_toplam_pd,eb_usd_ihrac,eb_eur_ihrac,eb_jpy_ihrac,eb_kv_kisa,eb_kv_uzun,eb_piyasa_deg
2020-09-11,1108233.89,1071051.88,80375.0,747024.1,13260.82,37182.01,1245790.97,346447.78,899343.18,114301.68,1131489.28,1245790.96,76077.0,44757.75,31319.25,1387.14,73335.39,62106.9,6996.62,4231.87,5281.78,68053.61,73335.39
2020-09-18,1098352.6,1061759.86,80375.0,742845.66,12181.87,36592.74,1237443.61,341007.51,896436.09,114908.47,1122535.14,1237443.61,76109.09,44694.3,31414.79,1385.88,72823.61,61578.79,6958.71,4286.11,5321.66,67501.95,72823.61
2020-09-25,1100709.67,1064077.38,80118.0,745278.7,11674.28,36632.29,1235694.33,357754.84,877939.49,114600.83,1121093.5,1235694.32,75996.08,44455.59,31540.49,1381.1,72324.3,61178.46,6890.31,4255.52,5299.52,67024.78,72324.3
2020-10-02,1104792.75,1064804.15,80118.0,746167.59,11052.05,39988.6,1244112.38,360936.72,883175.65,116341.86,1127770.51,1244112.38,76045.63,44409.01,31636.62,1384.2,72696.03,61507.62,6936.71,4251.7,5294.71,67401.32,72696.03
2020-10-09,1101671.63,1062902.4,80118.0,745333.96,11047.39,38769.23,1240751.31,347267.96,893483.36,120193.06,1120558.25,1240751.31,76039.19,44379.57,31659.62,1384.86,72775.91,61565.81,6978.49,4231.61,5288.05,67487.86,72775.91
2020-10-16,1101906.32,1063471.13,80118.0,744915.24,11044.37,38435.19,1241394.3,347227.54,894166.76,120331.23,1121063.07,1241394.3,78541.52,46480.93,32060.59,1383.38,75098.62,63876.6,6961.33,4260.69,5303.78,69794.84,75098.62
2020-10-23,1104654.23,1066067.51,80118.0,746687.47,11064.29,38586.72,1240359.43,372178.67,868180.76,119833.0,1120526.43,1240359.42,78639.36,46466.06,32173.3,1387.37,75240.77,63903.93,7050.35,4286.49,5314.78,69925.99,75240.77
2020-10-30,1103940.55,1065474.71,80118.0,744994.59,11221.59,38465.84,1235902.45,366497.78,869404.67,112555.58,1123346.87,1235902.45,78623.1,46375.81,32247.29,1386.61,74101.35,62832.68,6989.73,4278.94,5295.61,68805.74,74101.35
2020-11-06,1117326.32,1078886.24,80118.0,755082.4,11250.49,38440.08,1245099.8,372720.21,872379.6,116984.51,1128115.3,1245099.81,78617.4,46273.02,32344.38,1385.26,74738.29,63453.27,6983.45,4301.57,5319.03,69419.26,74738.29
2020-11-13,1074403.85,1034521.41,80118.0,724311.13,9943.52,39882.44,1211809.45,338906.12,872903.34,102159.53,1109649.92,1211809.46,78582.9,46151.15,32431.75,1385.79,79006.24,67634.67,7102.88,4268.7,6799.09,72207.15,79006.24
