Tarih,TP_GSYIH100_HY_P31HNT,TP_GSYIH100_HY_P311,TP_GSYIH100_HY_P312,TP_GSYIH100_HY_P313,TP_GSYIH100_HY_P314
1995-03-31,,,,,
1995-06-30,,,,,
1995-09-30,,,,,
1995-12-31,,,,,
1996-03-31,,,,,
1996-06-30,,,,,
1996-09-30,,,,,
1996-12-31,,,,,
1997-03-31,,,,,
1997-06-30,,,,,
1997-09-30,,,,,
1997-12-31,,,,,
1998-03-31,,,,,
1998-06-30,,,,,
1998-09-30,,,,,
1998-12-31,,,,,
1999-03-31,,,,,
1999-06-30,,,,,
1999-09-30,,,,,
1999-12-31,,,,,
2000-03-31,,,,,
2000-06-30,,,,,
2000-09-30,,,,,
2000-12-31,,,,,
2001-03-31,,,,,
2001-06-30,,,,,
2001-09-30,,,,,
2001-12-31,,,,,
2002-03-31,,,,,
2002-06-30,,,,,
2002-09-30,,,,,
2002-12-31,,,,,
2003-03-31,,,,,
2003-06-30,,,,,
2003-09-30,,,,,
2003-12-31,,,,,
2004-03-31,,,,,
2004-06-30,,,,,
2004-09-30,,,,,
2004-12-31,,,,,
2005-03-31,,,,,
2005-06-30,,,,,
2005-09-30,,,,,
2005-12-31,,,,,
2006-03-31,,,,,
2006-06-30,,,,,
2006-09-30,,,,,
2006-12-31,,,,,
2007-03-31,,,,,
2007-06-30,,,,,
2007-09-30,,,,,
2007-12-31,,,,,
2008-03-31,,,,,
2008-06-30,,,,,
2008-09-30,,,,,
2008-12-31,,,,,
2009-03-31,136601814.585774,9417723.6550401,13961691.3798273,44376718.8743357,68845680.676571
2009-06-30,153898408.521207,13086714.8126095,15472882.2200575,53139670.8790677,72199140.6094719
2009-09-30,172772456.359823,12694531.3448895,16114745.6844179,67171987.131651,76791192.1988644
2009-12-31,169445981.481116,13631488.5868241,17826977.2664926,57311563.0173405,80675952.610459
2010-03-31,156380660.853717,12158823.7799634,16462212.1851992,51967100.593154,75792524.2954004
2010-06-30,177634694.71909,14892060.5440906,18831565.8788757,62428693.2094608,81482375.0866627
2010-09-30,205504041.393754,14860097.6017897,19713858.3236674,83732332.7047707,87197752.7635265
2010-12-31,200503929.768576,18947845.493059,22183973.5623219,69504468.0983049,89867642.6148899
2011-03-31,192968308.10041,17289661.5639655,23493729.0672022,63133051.5194521,89051865.9497906
2011-06-30,218149383.197404,20756272.0597037,25801334.1262587,75646954.893461,95944822.1179804
2011-09-30,242816859.678013,19266485.7779013,25788755.86278,96014702.9189845,101746915.118347
2011-12-31,240876789.524523,22337247.7216745,27797364.2535833,84534781.2984543,106207396.250811
2012-03-31,216996630.170238,17767864.3828514,26101975.0602324,75855627.1211156,97271163.606039
2012-06-30,241670863.063411,21571398.0815522,27146155.3665563,84506936.2030864,108446373.412216
2012-09-30,267119639.778495,20113536.6529902,27527216.415083,105137764.703898,114341122.006524
2012-12-31,263103795.891,23860089.3043178,29426291.737346,90152833.6450111,119664581.204325
2013-03-31,246037229.263728,22287918.0426493,28839910.2344882,80244456.5815883,114664944.405002
2013-06-30,278050517.504858,26978336.7647971,31099181.9924806,92207310.7112782,127765688.036302
2013-09-30,310586264.548941,27485519.6333072,33564244.5417822,115002929.36569,134533571.008162
2013-12-31,306572043.31308,31439184.3367633,35427680.6421955,102643133.480829,137062044.853293
2014-03-31,274653365.498966,25947081.9706051,32621921.0532945,86797120.5209888,129287241.954077
2014-06-30,309205988.207707,28786011.4104347,35264632.389895,103703803.853715,141451540.553662
2014-09-30,345164610.166902,29846877.1081751,37073038.0670058,126651385.306054,151593309.685667
2014-12-31,344111696.236977,38026774.8076431,39636021.3730667,115043682.416343,151405217.639924
2015-03-31,313762960.312779,35874755.9569684,40694623.4084976,100668533.341409,136525047.605903
2015-06-30,350813805.352793,42044103.1358157,41860552.4760502,120295145.291757,146614004.449169
2015-09-30,390505080.02399695,41967101.5955379,42872649.0181038,143939472.004123,161725857.406233
2015-12-31,391464007.36776495,48310319.2339629,51561027.6812934,129631450.020034,161961210.432476
2016-03-31,342114298.267445,38818639.9314672,44775091.1982437,109909072.500926,148611494.636809
2016-06-30,379830126.171274,44626156.392616,46994702.5762225,128759993.760362,159449273.442073
2016-09-30,404574999.52945507,39614849.4868593,42601232.9136042,152966316.698543,169392600.430448
2016-12-31,442535950.569634,55567715.6521942,52024941.7195341,150337894.697469,184605398.500438
2017-03-31,391750720.38055104,40440900.9133227,51338295.381503,126227394.123225,173744129.962501
2017-06-30,444759551.068653,49566413.7827621,57874405.8221345,150065024.444223,187253707.019533
2017-09-30,504498100.221611,54677898.38511,59440612.2723987,182577999.524683,207801590.039419
2017-12-31,525828027.43143696,64782289.9121055,69554481.4325453,173823972.272913,217667283.813873
2018-03-31,463224537.14143,49053686.0047116,58343194.6702872,147749730.023964,208077926.442467
2018-06-30,523974171.800578,58644630.348901,65348939.0533014,173202544.846309,226778057.552067
2018-09-30,617584952.463284,57764054.6382255,69275285.6319628,225568015.172675,264977597.020421
2018-12-31,597032767.993711,58306020.7543421,74713559.3387367,207761140.665154,256252047.235476
2019-03-31,528240930.994944,52614724.0624897,62292421.1850044,175933453.22144,237400332.526011
2019-06-30,625892920.122721,61868391.1937315,79244762.780435,216984697.196537,267795068.952016
2019-09-30,720131926.283427,62700406.3704437,77919402.1829479,267595035.67661,311917082.053424
2019-12-31,715416969.90423,72095636.0055298,88852962.5112951,236748523.663331,317719847.724075
2020-03-31,616012106.214732,52146424.4293544,67249738.728954,207840207.748338,288775735.308086
2020-06-30,578781955.783118,51686481.9907731,56627456.4645312,243961971.945104,226506045.382709
2020-09-30,816076966.50736,89366893.9828477,90525102.6740787,321705672.17091,314479297.679526
2020-12-31,842348689.6266941,102798234.819123,96655327.0672329,288634593.803123,354260533.937217
2021-03-31,778275639.7680141,85403589.6911839,88338047.8322667,265780683.113656,338753319.130906
2021-06-30,877072447.8122301,95265282.9923035,106308440.191596,326208159.426936,349290565.201394
2021-09-30,1124218389.0434,124420486.783926,128026847.67484,433112913.454017,438658141.13061905
2021-12-31,1342941516.88303,160743652.109728,159126708.068432,461624300.59460896,561446856.110265
2022-03-31,1519153722.8777,182920085.207767,201515802.879614,529695165.248084,605022669.542243
2022-06-30,2003684372.59974,213907407.430365,261136380.608427,735983164.7522941,792657419.808648
2022-09-30,2642889647.01182,301413128.795868,318566506.59113,1033069270.81203,989840740.812797
2022-12-31,2845849872.5103,341278881.62941,349366874.357918,1039096194.78129,1116107921.74168
2023-03-31,2831167700.12768,353911191.897706,340537252.252146,1026720825.85037,1109998430.12746
2023-06-30,3399442718.96051,424417755.767494,417345536.84878707,1161186241.27308,1396493185.07114
2023-09-30,4672810963.26505,618403422.3702049,562368349.6754551,1753269997.84698,1738769193.37241
2023-12-31,5058413641.77626,667446916.1718711,611965758.00411,1776418216.72755,2002582750.87273
2024-03-31,5165452241.60151,552457548.599864,623398294.1603191,1719323000.10145,2270273398.73988
2024-06-30,5984106591.420031,668157836.8813031,731153597.71658,2005038649.44147,2579756507.38066
2024-09-30,7339631649.629689,828198389.976305,844773376.963983,2612593984.54008,3054065898.14933
2024-12-31,7762008935.86067,904136461.476705,919808244.4942579,2555497284.51092,3382566945.37879
2025-03-31,7433614627.267969,701784224.71431,840329882.435629,2383133491.11958,3508367028.99846
2025-06-30,8554334953.855939,886353036.102793,915025678.762639,2723293529.27887,4029662709.71164
2025-09-30,10279197136.6287,1095959297.16333,1072572167.2066,3580217349.0693,4530448323.1895
2025-12-31,10870114977.8495,1203202186.33456,1136245557.16435,3485114256.27133,5045552978.07927
2026-03-31,10312326978.2867,896878737.694952,1015944344.06542,3195625719.18897,5203878177.33739
