Tarih,TP_GSYIH20_BY_B1GQ,TP_GSYIH20_BY_P311,TP_GSYIH20_BY_P312,TP_GSYIH20_BY_P32,TP_GSYIH20_BY_P51G,TP_GSYIH20_BY_P52,TP_GSYIH20_BY_P6,TP_GSYIH20_BY_P7
1995-03-31,2090194.12859657,1296152.87296797,6561.9131634,174188.29815588,471192.11468559,111033.85773853,372593.48911962,341528.41723442
1995-06-30,2495184.44928703,1527306.64934573,8038.48729142,220641.39978898,641486.4291663,63648.11088743,448375.52524757,414312.15244041
1995-09-30,3085064.32709784,1851674.43318125,9281.50841724,220365.1539638,630754.26981382,343621.69539647,511564.00823601,482196.74191075
1995-12-31,3089361.47514571,2091026.38085902,10274.12347669,325355.9545457,843109.81961391,-156409.61643799,639077.48633956,663072.67325117
1996-03-31,3702670.3866424,2353718.82790153,11845.4713856,345437.64565441,918668.48278193,115786.39438672,718859.51442546,761645.94989324
1996-06-30,4573508.6574369,2825417.49775674,15000.55886945,373975.41211969,1238409.12494428,209013.85482842,833678.69313391,921986.48421559
1996-09-30,5804369.6726658,3487205.7039377,18722.27989814,531925.91846658,1283474.60752106,466881.15818773,1060616.1391636,1044456.134509
1996-12-31,6300574.11560157,3975213.63483096,21007.76460811,601899.93873018,1581944.53920242,113898.75627067,1373008.34804734,1366398.86608811
1997-03-31,7176670.23608497,4341098.25903605,21690.03974443,662743.22673898,1699270.19143123,576151.25619443,1400802.39498537,1525085.13204551
1997-06-30,8959518.53246129,5566237.16149385,30267.55181085,852115.21199542,2438507.60785659,32356.85965857,1850671.84474744,1810637.70510143
1997-09-30,11717067.4864055,6971154.30688883,38232.44497999,1097264.3334893,2597243.67919173,842849.54335125,2449844.56991284,2279521.3914084
1997-12-31,12211396.4964185,8272409.78957919,44410.40725556,1291484.08110345,3230013.88208899,-587724.29699858,2888156.24678737,2927353.61339745
1998-03-31,14550310.6466342,8726433.94907002,56013.78515151,1487244.2062154,3231954.58333233,1249672.27291323,2920159.14082698,3121167.29087527
1998-06-30,16888309.4163314,10403856.4868825,57460.8074809,1699769.58104052,4041821.17293443,616187.45331056,3547061.81996322,3477847.90528079
1998-09-30,20591750.9101964,12429163.8020271,54481.39424099,1921894.45950294,4072068.7129137,1836448.48803095,3993027.79552842,3715333.74204766
1998-12-31,19938675.5125477,13664304.4118828,64706.03984871,2524985.31560772,4635598.11890604,-1475752.56378959,4404585.11316863,3879750.92307655
1999-03-31,21065145.8467415,13681375.4732067,70247.76333279,2728878.68182114,3724059.84818818,280559.23939497,4165948.70619509,3585923.86539742
1999-06-30,25120458.4312532,16666549.1338874,81568.10853563,2968608.95504253,5116632.77049275,571000.97600251,4588922.33466859,4872823.84737622
1999-09-30,30120380.1997286,18920045.4990444,83549.93386584,3522852.383403,5467957.16613267,2049455.18956614,5246529.67994959,5170009.65223311
1999-12-31,31184697.7792871,21121701.1398058,105337.67785594,4429498.14734856,7103199.80340504,-1197032.68047576,6239909.02990503,6617915.33855751
2000-03-31,36022584.275701,24280260.2579977,123087.22856282,4115423.61516785,6915369.61395027,1891702.43397196,6775249.13748346,8078508.01143302
2000-06-30,41419656.3902257,27374805.6074549,143306.61357069,4910183.52997131,9817988.69857182,413341.2893568,8400042.47296375,9640011.82166359
2000-09-30,47930081.0283254,30653595.4792431,139062.99927991,5215065.60088206,10014280.731797,2298314.02785104,9437891.02231742,9828128.8330451
2000-12-31,46405637.7189418,31362541.3089104,164310.28224064,6358084.54418179,11577784.0921645,-1682628.35521179,9628033.02892775,11002487.1822714
2001-03-31,48788929.1019805,30077421.2820455,167936.45611486,5338888.71621837,8919214.35655463,3871689.2783942,10468068.9462798,10054289.9336269
2001-06-30,59436700.2564273,36832107.8253003,185461.61983346,7460909.81459372,10935854.6592028,366433.799604,16721198.3847694,13065265.8468763
2001-09-30,70087295.1566957,41962918.6400449,184141.99302763,7932229.54844266,11852159.2942823,3510675.87740454,20541675.6725865,15896505.8690928
2001-12-31,69494939.5250155,46444498.0853086,231249.88540997,10862744.7436329,13087868.0648741,-3937963.38759357,19913318.7649408,17106776.6315572
2002-03-31,74147803.425713,46982438.570665,259955.58427936,9216512.88924767,12434309.8839253,4376361.59354266,17082120.1910531,16203895.287
