Tarih,TP_GSYIH30_HY_B1GQ,TP_GSYIH30_HY_P311,TP_GSYIH30_HY_P312,TP_GSYIH30_HY_P32,TP_GSYIH30_HY_P51G,TP_GSYIH30_HY_P6,TP_GSYIH30_HY_P7,TP_GSYIH30_HY_P52
1995-03-31,57.87773319,58.86348294,68.61338469,46.71434616,48.30291057,33.82363086,33.69717446,
1995-06-30,58.8309692,62.44552746,68.43677256,45.11068066,48.97633598,34.55801283,34.62730637,
1995-09-30,60.40283181,65.03153543,68.11172436,45.34632151,49.62713458,33.9799942,37.97915286,
1995-12-31,61.04887132,66.95313424,66.72640224,46.46970641,54.48113529,37.14108738,44.94105212,
1996-03-31,62.61225274,68.1667153,69.65473704,47.32896563,56.15442603,40.67205641,44.6793858,
1996-06-30,63.44612607,69.19984077,70.00223974,48.08210752,56.01676278,38.56125373,45.33401364,
1996-09-30,64.18946663,69.37314021,76.27551221,48.86575511,58.32348191,42.42203092,47.94548683,
1996-12-31,65.34295402,72.45277604,75.32263827,47.25847168,55.11464145,46.14751042,44.54775106,
1997-03-31,66.24150154,72.04888454,70.98820471,47.76256093,60.97389793,44.67579756,50.11596652,
1997-06-30,68.35316596,75.5522866,78.56861463,48.84354174,63.67510795,48.78622908,53.74602608,
1997-09-30,68.91280256,75.05690314,84.15246729,52.77045017,64.662978,51.44006832,57.78990301,
1997-12-31,70.62260627,78.00440854,79.58648536,52.06267588,64.73165557,51.59606867,58.52492146,
1998-03-31,71.50834844,76.11871935,88.9281202,54.16530365,62.62443489,54.80653043,58.1249129,
1998-06-30,70.30605729,74.26189657,77.17344181,57.10278197,56.89303872,56.10076986,58.98987022,
1998-09-30,70.12389362,75.08862166,70.3201664,55.22725007,55.62170924,53.24536482,55.92148606,
1998-12-31,68.08776198,73.14202122,72.09510229,57.87193318,53.57448447,53.60071113,53.38540438,
1999-03-31,67.94951352,76.16986315,70.70987935,59.68541461,49.68311807,51.8951276,50.7664564,
1999-06-30,67.38848104,77.04480489,73.82943775,58.06937249,50.86933442,48.17811373,56.69396093,
1999-09-30,67.54626335,75.00266302,73.22079628,58.68903518,51.77012646,46.62303136,53.88708496,
1999-12-31,68.63919972,75.42125269,77.41394878,60.8392239,54.74584559,49.32640632,57.55062232,
2000-03-31,70.19141324,78.62555305,74.6378489,60.34470472,59.21502171,54.61757889,61.27126216,
2000-06-30,72.11212142,79.37360098,81.3328843,62.59329827,63.46349381,60.01549762,67.88084465,
2000-09-30,73.39394537,80.1062661,80.2067806,63.21781184,65.92399238,59.79557519,66.90720518,
2000-12-31,74.51813529,78.7540328,82.65247829,63.24160599,65.08867729,59.04745738,69.74720489,
2001-03-31,72.30043724,75.47321765,77.72740672,61.21637113,54.91006019,60.81924409,54.88613211,
2001-06-30,67.27991266,70.05469929,68.32878344,62.68465211,44.31662903,63.41265961,47.41920823,
2001-09-30,67.90442067,72.22800684,70.37675569,62.26279187,43.96842936,61.74670288,50.06262831,
2001-12-31,66.77738787,71.91980131,72.55776727,64.28774183,41.37732164,59.25677584,49.21334245,
2002-03-31,70.81528559,73.05523687,74.94337514,64.68290695,50.43003736,62.71735682,57.00190811,
2002-06-30,72.55930122,75.52330874,85.48975785,66.33903124,53.32632813,64.77740127,57.52921252,
2002-09-30,73.46962448,79.19466435,88.68699792,67.18294124,55.77342882,68.19083873,62.51216665,
2002-12-31,74.88921496,78.13121408,88.23243956,67.32228848,60.17850398,70.41720106,67.22410845,
2003-03-31,75.60862037,80.49957112,98.7418091,65.75453326,57.73937044,67.72542727,68.54425786,
2003-06-30,75.56506319,80.88230436,101.02799829,67.48333291,60.90843241,67.05191656,70.83024874,
2003-09-30,78.11208374,82.46629597,99.35383329,68.50653904,68.50730524,77.33529729,78.8564903,
2003-12-31,80.15203734,86.97605943,99.91181862,65.87757597,76.50910799,75.12617492,84.88747609,
2004-03-31,82.03972819,88.91648099,96.57537178,70.04885542,84.41271685,75.6852203,87.2949478,
2004-06-30,84.60907641,92.50512939,93.44608744,69.48507913,88.08081681,79.87781819,92.72812399,
2004-09-30,85.58878756,91.07331342,90.73581657,70.49341129,87.80761611,81.98366162,91.0017869,
2004-12-31,87.06651169,90.50482291,89.70696451,76.20097149,88.14772191,85.34783421,93.79700907,
2005-03-31,89.75402827,92.6913155,88.56591747,73.21533059,96.0909,85.4264035,96.25401297,
2005-06-30,90.5125303,94.35225939,88.66490811,71.71573373,102.7883719,84.98061302,99.64631234,
2005-09-30,93.44930209,95.81694,90.18965681,74.68796843,107.18434449,87.68808869,103.70808932,
2005-12-31,96.22731047,99.21312008,93.16294146,78.15030206,111.38574316,92.26396566,108.90066103,
2006-03-31,96.01160314,98.27603552,92.53793197,80.40623359,117.18753805,90.54860291,109.51555033,
2006-06-30,99.92863747,100.72296833,95.14614251,81.76590389,120.04724018,91.40712089,112.05524763,
2006-09-30,99.26246335,97.82455292,95.79086721,84.07324191,122.4380111,90.52991272,107.57561329,
2006-12-31,101.56659902,99.03392908,97.43205331,83.30978249,122.80398038,98.64560592,110.48717286,
2007-03-31,102.69969852,101.75745346,98.72731801,86.43684647,122.12942702,101.80405904,117.32209574,
2007-06-30,102.5395592,102.57147657,99.78006521,91.97362936,125.64486117,99.78851562,116.24571678,
2007-09-30,103.60513231,104.05615392,99.34673733,88.07777255,128.52381064,94.1217889,120.25761132,
2007-12-31,108.1338282,107.28546449,99.28788433,87.95681473,134.869221,101.79877657,128.22157622,
2008-03-31,109.34387153,106.87317586,102.45765547,91.50405195,134.99715731,114.9161847,133.68180437,
2008-06-30,105.46685191,103.35202446,98.88801003,90.97469274,125.88644099,104.13655952,119.79500845,
2008-09-30,104.02831451,103.797806,97.91857382,93.19034722,121.84677448,98.67019462,114.24450699,
2008-12-31,102.32114947,102.16004547,94.08464048,90.95629648,113.89566293,95.31150296,100.12376902,
2009-03-31,95.2895833,97.22841152,98.16226147,95.2471276,92.35035498,98.05505913,90.11188562,
2009-06-30,99.61954054,100.05168915,102.68406201,98.55015226,101.13728295,95.52303751,96.90316014,
2009-09-30,101.77079952,100.85631513,99.05312584,99.93271119,100.59211066,103.32904923,105.18522893,
2009-12-31,103.32007664,101.8635842,100.10055068,106.27000894,105.9202514,103.09285413,107.79972531,
2010-03-31,103.74324282,103.67310171,88.81440038,101.65000648,103.45824757,95.24506911,105.95224148,
2010-06-30,107.11217499,108.65616451,81.43567152,97.4784004,113.45811945,105.93303206,116.62843469,
2010-09-30,110.16834028,115.854073,82.2249531,100.5997789,126.19206766,101.05668205,123.56784835,
2010-12-31,113.50611736,114.98569831,85.27522472,101.0738975,135.60156658,107.04953223,134.29019299,
2011-03-31,116.50999634,121.30821638,96.44508685,100.1869232,135.33550648,106.09701219,137.62153781,
2011-06-30,118.76461481,124.67802423,101.75919437,104.76813143,149.23316727,111.08580697,138.43508947,
2011-09-30,122.02493543,125.22900989,107.67510374,103.37402631,152.89717804,125.47776019,136.96373231,
2011-12-31,124.01946619,123.1157438,113.48895011,109.30895217,154.42578071,121.36427128,132.17076551,
2012-03-31,123.43824853,124.09219619,99.74050913,107.00949378,148.10948213,122.25663523,132.97514325,
2012-06-30,124.79651806,125.53368164,99.29272338,110.09872878,150.59883425,138.93890737,137.5680477,
2012-09-30,127.01303197,128.11924275,99.37740224,112.8214011,154.33244584,135.40158644,140.68843704,
2012-12-31,129.22645571,127.50881939,98.49365949,111.20059865,159.08432288,137.14407947,135.52884403,
2013-03-31,133.31562377,133.13002323,89.09624042,116.40760709,168.04237643,135.0372451,148.47474057,
2013-06-30,137.19196202,133.48835696,87.57366433,118.71793563,174.54110231,146.30296886,154.46490537,
2013-09-30,138.64900693,138.52191481,89.31868572,121.42845049,180.98561857,138.40003005,151.71964335,
2013-12-31,139.11852028,136.59915718,92.15539775,119.00812466,178.47067708,139.19559691,154.51376987,
2014-03-31,142.62891575,135.61203641,104.7546192,126.77758475,186.86992842,151.7979838,152.0569355,
2014-06-30,141.41350965,138.30871399,110.01426467,121.01762593,172.88245544,151.05298919,149.69694027,
2014-09-30,143.88353467,141.73547201,115.13386443,125.85449647,181.11301079,149.45283032,149.56610723,
2014-12-31,145.29774079,143.19622463,121.65673106,126.39801426,185.66434632,145.92228068,155.81007318,
2015-03-31,147.70129023,148.74611558,143.70765474,114.23807946,189.81615698,156.19300188,157.36657745,
2015-06-30,151.0866191,146.37517617,146.25657239,120.10705189,197.94729209,159.34976465,154.03323162,
2015-09-30,152.39056477,146.0330687,150.98575764,123.22375849,197.73798695,162.19222505,153.41281208,
2015-12-31,155.00731646,149.52074276,149.68514419,128.10712051,204.51772634,150.73686569,153.01011852,
2016-03-31,154.65604413,151.54642748,148.17441227,127.74171836,201.87822155,155.72635211,160.01327028,
2016-06-30,157.04222434,154.03599262,160.82732151,136.73355989,202.05848195,155.1883268,162.1456943,
2016-09-30,152.74088231,149.86726207,174.8931677,133.79319385,201.31226146,146.54683225,160.50832231,
2016-12-31,161.52412231,157.69772928,172.78239245,137.29417249,209.39967709,157.21010674,155.22588854,
