Tarih,TP_GSYIH40_HY_B1GQ,TP_GSYIH40_HY_P311,TP_GSYIH40_HY_P312,TP_GSYIH40_HY_P32,TP_GSYIH40_HY_P51G,TP_GSYIH40_HY_P6,TP_GSYIH40_HY_P7,TP_GSYIH40_HY_P52
1995-03-31,53.68735707,53.15341838,64.41772896,49.1140175,45.48325591,31.10981098,33.48778343,
1995-06-30,58.78237787,61.69084563,69.17542645,42.82421675,50.04326739,33.53828801,33.93249471,
1995-09-30,65.49075214,67.92390642,71.41505378,44.95809595,47.53468697,35.87596334,37.73542412,
1995-12-31,60.19991844,70.52550964,66.88007466,46.74472454,58.32630615,38.97866294,46.08898356,
1996-03-31,58.13848748,61.72736761,65.09918646,48.59420693,52.94117056,37.35427777,44.54945218,
1996-06-30,63.47664862,68.49390305,70.71977645,46.04938591,57.59199659,37.37212532,45.00364244,
1996-09-30,69.46630222,72.57910364,79.55442715,49.04105445,56.24150206,44.74683261,47.8237196,
1996-12-31,64.50936113,76.392098,75.8817372,47.85065264,58.83464297,48.32961577,45.12982312,
1997-03-31,61.49619335,65.31338332,66.78198671,47.77450582,56.90712956,40.91844128,49.79503704,
1997-06-30,68.33673783,74.68327831,79.65329983,47.04475004,65.33127164,47.25166502,53.95191681,
1997-09-30,74.44824102,78.48651372,85.78339014,52.85869274,62.42707591,54.28067228,57.51005761,
1997-12-31,69.84890413,82.17930745,81.0770953,53.76128012,69.37816234,54.04738505,58.91980561,
1998-03-31,66.43127595,69.22657244,85.5236648,53.34001589,58.11026057,50.31159685,57.71115073,
1998-06-30,70.27921469,73.53641886,79.29832568,55.64884357,58.75746937,54.60204608,59.78779799,
1998-09-30,75.80995996,78.75885307,69.53537188,53.9790824,53.98825231,56.48578026,55.22016176,
1998-12-31,67.50561075,77.08941444,74.15946836,61.399327,57.85768508,56.35395304,53.70256309,
1999-03-31,62.98925317,69.43426694,67.78249746,57.85855979,45.61130356,47.75909442,50.59429599,
1999-06-30,67.30151196,76.23018348,76.12286149,56.40957013,52.6181608,47.00118047,57.54664013,
1999-09-30,72.97604286,78.66702817,70.78396278,56.87089994,49.97662391,49.5256689,52.75976123,
1999-12-31,68.25664963,79.30710517,80.48474044,66.1440163,58.86233626,51.73673522,57.99742726,
2000-03-31,64.68369756,71.62503735,71.15790325,56.80843443,53.68345404,50.01827654,61.79002958,
2000-06-30,71.84048937,78.33636568,83.88457212,61.0185804,65.88011441,58.31309588,68.15181693,
2000-09-30,79.19913712,84.06096525,76.88459431,61.44669016,63.66094625,63.37681234,65.25160971,
2000-12-31,74.49229127,82.83708465,86.90292241,70.12371583,70.46667048,61.76792432,70.61306066,
2001-03-31,66.718329,68.8962903,75.23710979,56.64136967,49.91886651,55.65414249,56.05260448,
2001-06-30,67.17055113,69.19324591,71.07290098,61.18452464,46.62396474,61.74449055,46.84250195,
2001-09-30,73.27597088,75.95097846,67.09459324,60.50032257,42.83443291,65.7431468,48.7306935,
2001-12-31,67.09730743,75.63521041,75.5861091,72.12534007,45.19517606,62.09360258,49.95551117,
2002-03-31,65.33955488,66.59073436,73.10511803,59.57581282,45.22136701,57.23534473,58.15993115,
2002-06-30,72.01027895,74.38466311,89.78735673,64.45724056,55.41477359,62.82293725,56.34094237,
2002-09-30,78.65639909,83.00770802,83.83240831,65.5066132,53.75932948,72.45362097,60.97575755,
2002-12-31,75.72719333,81.92131856,90.62768739,75.98750133,65.31282822,73.59089493,68.79076467,
2003-03-31,69.69322485,73.33135942,96.65034197,60.88147368,51.1159452,61.57765737,69.2167823,
2003-06-30,74.59926938,79.73405558,106.29439723,65.29191308,63.09038802,64.87672664,69.32440598,
2003-09-30,83.14976859,86.46163777,93.20046759,66.86050224,66.25391835,82.21511199,76.97856101,
2003-12-31,81.99554182,91.29717811,102.89025252,74.58809218,83.20396453,78.56932005,87.59872369,
2004-03-31,75.56343978,81.14171873,95.06338545,65.37225422,74.9911862,68.81009129,87.40692941,
2004-06-30,83.30763459,91.37006584,97.82718548,65.93502325,92.30798197,77.3657698,91.40419402,
2004-09-30,90.54297733,95.50817832,84.63376771,67.41405568,85.68396846,87.29654858,88.94079351,
2004-12-31,89.89005215,94.97978382,92.93990166,87.50698419,95.46573504,89.42212464,97.06995083,
2005-03-31,82.3769147,84.51224788,87.50349853,68.71487974,84.52930238,77.73679272,95.40470743,
2005-06-30,88.86945846,93.08503576,92.39490802,68.20718637,107.51041306,82.41392065,98.58404069,
2005-09-30,98.31985292,100.37207427,83.88163043,71.5902851,104.91168746,93.46453344,101.56331141,
