Tarih,TP_GSYIH040_IFK_B1GQ,TP_GSYIH040_IFK_A,TP_GSYIH040_IFK_BTE,TP_GSYIH040_IFK_C,TP_GSYIH040_IFK_F,TP_GSYIH040_IFK_GTI,TP_GSYIH040_IFK_J,TP_GSYIH040_IFK_K,TP_GSYIH040_IFK_L,TP_GSYIH040_IFK_MN,TP_GSYIH040_IFK_OTQ,TP_GSYIH040_IFK_RTU,TP_GSYIH040_IFK_B1G,TP_GSYIH040_IFK_D21X31
1995-03-31,2090194.12859657,158256.27332201,670809.65701803,609481.12738611,133374.90218755,531986.72736919,34596.0408185,62066.90389845,97578.03060002,46782.82449551,153531.18344906,30757.69303505,1919740.23619337,170453.8924032
1995-06-30,2495184.44928703,237537.07668982,752012.22682787,680201.78753919,162226.97686906,619935.77402562,50966.39626017,63561.89412235,112434.41514082,62246.7326679,192132.32422975,32626.26964464,2285680.086478,209504.36280903
1995-09-30,3085064.32709784,610400.22046349,757053.06378703,684526.54023201,161609.38657341,696373.81314213,53816.62764923,110699.25832931,121243.34530345,64067.82127302,181430.53864359,37884.40321515,2794578.47837981,290485.84871802
1995-12-31,3089361.47514571,230454.61264637,891039.73751109,788977.36386671,138576.60712408,687539.7030841,58715.65703737,217533.15186992,129916.84806944,80865.48151852,251282.64623131,37869.77710609,2723794.22219829,365567.25294742
1996-03-31,3702670.3866424,232420.86213395,1151971.1167615,1039308.37062964,244518.99942878,949461.53719516,63040.46246171,137715.70869293,177808.88511402,84597.64662589,328210.59472204,59259.3367756,3429005.14991158,273665.23673082
1996-06-30,4573508.6574369,448626.933564,1350385.78597101,1208749.46705297,313345.43850569,1165225.69901595,97667.36431812,125444.9424883,203225.71271847,117509.09054208,322923.62618235,54700.78437782,4199055.37768378,374453.27975312
1996-09-30,5804369.6726658,1149425.91297002,1360401.0705388,1211724.20351877,334497.367931,1303034.13897116,105760.35731734,200861.53423921,218555.92533412,122833.13582319,456834.54358038,81462.0826416,5333666.0693468,470703.60331901
1996-12-31,6300574.11560157,645666.94839659,1719192.11207764,1514617.39787841,303622.76990109,1437804.04664927,126496.74739179,524530.07212987,233932.90476753,174745.5650329,462931.28405057,71330.38710694,5700252.8375042,600321.27809737
1997-03-31,7176670.23608497,364852.34889702,2215069.7578549,1984073.69684725,471157.02215967,1886355.00081598,129957.13830256,320105.58390197,336410.46755375,174322.02390097,631208.06230925,117992.7302441,6647430.13594016,529240.10014482
1997-06-30,8959518.53246129,799236.58561147,2533863.26819936,2279614.21307479,617219.27328725,2285486.19511534,197211.07722941,281550.09140633,389585.79011696,235866.32247584,774655.66242406,118254.32326535,8232928.58913136,726589.94332993
1997-09-30,11717067.4864055,2208650.57875107,2734833.7471251,2463359.55225699,648081.41183494,2690555.11197708,226999.06963616,429005.51286856,430267.16590263,255941.47236748,904601.80099475,159336.88941225,10688272.76087,1028794.72553553
1997-12-31,12211396.4964185,870697.01497168,3438547.73308272,3054114.15488356,651696.25345455,2911175.13253688,253621.36603375,840234.4381255,467565.24255657,349474.51323336,932540.63402294,139088.00698706,10854640.335005,1356756.16141354
1998-03-31,14550310.6466342,860759.15358359,4220092.83619771,3794451.64988424,921377.95468232,3884414.95120393,265874.8954583,725376.32999855,700108.89120571,353091.04572654,1352389.45643636,212306.72234209,13495792.2368351,1054518.40979909
1998-06-30,16888309.4163314,1629937.53094593,4480657.72091561,4030738.7838839,1130947.0357166,4269751.67487595,346827.07498498,776309.66337794,812981.35759585,449481.36738351,1429456.39378032,228803.71891647,15555153.5384932,1333155.8778382
1998-09-30,20591750.9101964,4197674.03718329,4453504.28713258,3953227.96963523,1117564.97901407,4616117.59070578,373125.56050805,1081636.02181888,899199.38478034,460798.04630992,1567553.2433073,269471.47967766,19036644.6304379,1555106.27975857
1998-12-31,19938675.5125477,2270669.51724595,4829186.18261753,4241168.09302173,1169863.40803722,4515652.90539458,408303.85331767,1343710.3943458,993203.84502572,576579.1082133,1836646.40681455,255201.9922904,18199017.6133027,1739657.89924502
1999-03-31,21065145.8467415,1156784.64527052,5293343.29573275,4720231.44883803,1276372.41573519,4964823.19326364,423932.79011961,1486477.51835323,1512723.19863998,538801.65416205,2497645.25411486,319930.51239446,19470834.4777863,1594311.36895522
