Tarih,TP_GSYIH40_IFC_B1GQ,TP_GSYIH40_IFC_A,TP_GSYIH40_IFC_BTE,TP_GSYIH40_IFC_C,TP_GSYIH40_IFC_F,TP_GSYIH40_IFC_GTI,TP_GSYIH40_IFC_J,TP_GSYIH40_IFC_K,TP_GSYIH40_IFC_L,TP_GSYIH40_IFC_MN,TP_GSYIH40_IFC_OTQ,TP_GSYIH40_IFC_RTU,TP_GSYIH40_IFC_B1G,TP_GSYIH40_IFC_D21X31
1995-03-31,136574890.930959,6983505.45010123,28216686.4140999,22926178.1626444,6695745.09452474,31311458.787217,2477308.35551825,3580412.29621653,18470543.1047614,4124548.06398578,21976345.3122909,2420039.8298494,125698741.570525,10655920.6794588
1995-06-30,148012559.292342,11348909.2191221,29022917.2060799,23578023.0285003,8183793.84991631,32818784.5039515,2572511.93968584,3383412.69382644,19385364.181683,4711839.43719797,21036274.834576,2392636.24677003,133381835.063978,14820936.5506588
1995-09-30,166166202.676001,30640564.6283306,26346576.0077339,21296322.3073993,6924702.33101459,33608301.4194748,2579063.94407301,3564293.37869673,18293154.7573553,4334063.44651757,19500635.0990769,2657651.82446877,148813892.359319,17809303.3087348
1995-12-31,153490726.541262,15455251.4957386,29640938.9678777,23618887.7386245,6806150.23532891,32255529.932527,2615882.03890621,3482995.47779325,17719823.999401,5337594.96291627,22004934.712639,2380671.76210421,133165157.665449,21124795.9784833
1996-03-31,146298681.390703,6859712.80831802,30386379.1917314,24687212.6569736,6713002.1420108,34938889.8047705,2432729.8612663,3595316.60208694,20118259.4691761,4442146.7001322,22235478.3027476,2696551.7425263,133964730.907332,12212374.1777985
1996-06-30,160122526.079587,11931837.6085075,30691099.4564335,24866186.4470833,8723407.74196823,36316538.2388119,3013368.8876488,3437644.24031628,20466474.5604099,5128515.27255232,21126756.3826069,2163751.93531878,142090796.267807,18595449.5279549
1996-09-30,176893123.276842,31237431.6127915,28200863.4968449,22753422.1267957,7412548.97797957,35645852.211465,3031057.43025037,3677418.29619663,18461887.0383414,4572739.90456936,19445981.0940241,2720527.60270496,155991722.888562,21609805.5342727
1996-12-31,164180643.673793,17434072.8868639,31851706.2564353,25473815.6542757,7458790.70058299,34352121.38322,3194122.17351063,3513656.69906786,17973509.2187407,5760348.59607427,21637690.0739839,2379262.11174149,142081143.833588,22984690.3319611
1997-03-31,155028641.736156,6660933.44502117,33652819.2449947,27311316.651857,6896976.76925089,38473760.0607151,2775083.92532344,3661420.78451547,21210978.83607,4916191.21339418,22120603.1082885,2684735.29259255,140950879.058965,12835076.7224908
1997-06-30,172070199.036483,12040274.359315,34337854.1302492,28023940.0948455,9106011.03769777,40398384.3833067,3482654.11817059,3563362.28258378,21426975.7077563,5758585.8475734,21023370.1388483,2218511.15922278,152377672.192421,20237157.5913257
