tarih,pka_12a,pka_12a_medyan,pka_12a_std,pka_12a_n,pka_24a,pka_5y,pka_yilsonu,pka_faiz_12a,pka_faiz_24a,reel_kesim_12a,hanehalki_12a,tufe_2025,tufe_2003,ic_borc_tahvil,ic_borc_bono,ic_borc_toplam
2003-01-01,,,,,,,,,,,,,94.77,119909010.0,35467286.0,155376296.0
2003-02-01,,,,,,,,,,,,,96.23,121335194.0,38077162.0,159412356.0
2003-03-01,,,,,,,,,,,,,98.12,124951441.0,37606435.0,162557876.0
2003-04-01,,,,,,,,,,,,,99.09,129227114.0,40860973.0,170088086.0
2003-05-01,,,,,,,,,,,,,100.04,134687572.0,39273483.0,173961054.0
2003-06-01,,,,,,,,,,,,,100.12,135872394.0,39397528.0,175269922.0
2003-07-01,,,,,,,,,,,,,99.93,142584054.0,36645739.0,179229793.0
2003-08-01,,,,,,,,,,,,,100.09,145506860.0,33398988.0,178905848.0
2003-09-01,,,,,,,,,,,,,101.44,145738668.0,32972988.0,178711655.0
2003-10-01,,,,,,,,,,,,,102.38,149333954.0,30857205.0,180191159.0
2003-11-01,,,,,,,,,,,,,103.68,155842520.0,27230635.0,183073155.0
2003-12-01,,,,,,,,,,,,,104.12,168973626.0,25413074.0,194386700.0
2004-01-01,,,,,,,,,,,,,104.81,174049013.0,25308852.0,199357865.0
2004-02-01,,,,,,,,,,,,,105.35,178214016.0,22257412.0,200471428.0
2004-03-01,,,,,,,,,,,,,106.36,181484715.0,22222830.0,203707545.0
2004-04-01,,,,,,,,,,,,,106.89,185285804.0,20938985.0,206224789.0
2004-05-01,,,,,,,,,,,,,107.35,186991618.0,22817115.0,209808733.0
2004-06-01,,,,,,,,,,,,,107.21,185189991.0,23928705.0,209118695.0
2004-07-01,,,,,,,,,,,,,107.72,185895752.0,26073531.0,211969283.0
2004-08-01,,,,,,,,,,,,,108.54,183962113.0,30315421.0,214277534.0
2004-09-01,,,,,,,,,,,,,109.57,186664035.0,30907321.0,217571356.0
2004-10-01,,,,,,,,,,,,,112.03,192362140.0,33219828.0,225581969.0
2004-11-01,,,,,,,,,,,,,113.5,196986595.0,28738847.0,225725442.0
2004-12-01,,,,,,,,,,,,,113.86,194210700.0,30272222.0,224482922.0
2005-01-01,,,,,,,,,,,,3.59652332,114.49,194999000.0,33793000.0,228792000.0
2005-02-01,,,,,,,,,,,,3.59738699,114.51,202365000.0,28954000.0,231319000.0
2005-03-01,,,,,,,,,,,,3.60671488,114.81,202897000.0,29592000.0,232489000.0
2005-04-01,,,,,,,,,,,,3.63247488,115.63,203896000.0,32289000.0,236185000.0
2005-05-01,,,,,,,,,,,,3.6657744,116.69,203807000.0,31258000.0,235064000.0
2005-06-01,,,,,,,,,,,,3.66954416,116.81,204687000.0,30112000.0,234799000.0
2005-07-01,,,,,,,,,,,,3.64849635,116.14,208776000.0,26397000.0,235173000.0
2005-08-01,,,,,,,,,,,,3.67959685,117.13,215489000.0,24028000.0,239517000.0
2005-09-01,,,,,,,,,,,,3.71729441,118.33,221219000.0,21988000.0,243207000.0
2005-10-01,,,,,,,,,,,,3.78389345,120.45,221242000.0,21537000.0,242779000.0
2005-11-01,,,,,,,,,,,,3.83698419,122.14,225885000.0,17867000.0,243751000.0
2005-12-01,,,,,,,,,,,,3.85300566,122.65,226964000.0,17818000.0,244782000.0
2006-01-01,,,,,,,,,,,,3.88190713,123.57,227525000.0,16035000.0,243560000.0
2006-02-01,,,,,,,,,,,,3.89038908,123.84,230148000.0,16279000.0,246427000.0
2006-03-01,,,,,,,,,,,,3.90107006,124.18,230537000.0,15823000.0,246360000.0
2006-04-01,,,,,,,,,,,,3.95321836,125.84,234030000.0,12634000.0,246664000.0
2006-05-01,,,,,,,,,,,,4.02735692,128.2,239912000.0,10820000.0,250732000.0
2006-06-01,,,,,,,,,,,,4.04086521,128.63,238226000.0,10859000.0,249085000.0
2006-07-01,,,,,,,,,,,,4.07510717,129.72,237392000.0,12346000.0,249738000.0
2006-08-01,,,,,,,,,,,,4.05720082,129.15,237704000.0,14238000.0,251942000.0
2006-09-01,,,,,,,,,,,,4.10934913,130.81,235103000.0,15766000.0,250869000.0
2006-10-01,,,,,,,,,,,,4.16149743,132.47,239711000.0,11235000.0,250946000.0
2006-11-01,,,,,,,,,,,,4.21521647,134.18,241708000.0,11235000.0,252943000.0
2006-12-01,,,,,,,,,,,,4.22495501,134.49,241876000.0,9594000.0,251470000.0
2007-01-01,,,,,,,,,,,,4.26736477,135.84,246616000.0,10734000.0,257350000.0
2007-02-01,,,,,,,,,,,,4.28558526,136.42,253463000.0,9703000.0,263165000.0
2007-03-01,,,,,,,,,,,,4.32485356,137.67,254271000.0,9453000.0,263724000.0
2007-04-01,,,,,,,,,,,,4.37700187,139.33,253413000.0,8924000.0,262336000.0
2007-05-01,,,,,,,,,,,,4.39899211,140.03,250045000.0,8924000.0,258968000.0
2007-06-01,,,,,,,,,,,,4.38831114,139.69,244795000.0,8924000.0,253718000.0
2007-07-01,,,,,,,,,,,,4.3562682,138.67,249344000.0,6781000.0,256125000.0
2007-08-01,,,,,,,,,,,,4.35721064,138.7,251433000.0,6676000.0,258109000.0
2007-09-01,,,,,,,,,,,,4.40213358,140.13,251588000.0,6684000.0,258272000.0
2007-10-01,,,,,,,,,,,,4.48192676,142.67,251354000.0,6134000.0,257488000.0
2007-11-01,,,,,,,,,,,,4.56925947,145.45,250780000.0,6134000.0,256914000.0
2007-12-01,,,,,,,,,,,,4.57931215,145.77,249176000.0,6134000.0,255310000.0
2008-01-01,,,,,,,,,,,,4.61606728,146.94,253804597.0,4663000.0,258467597.0
2008-02-01,,,,,,,,,,,,4.6757551,148.84,257231729.0,4787000.0,262018729.0
2008-03-01,,,,,,,,,,,,4.72067803,150.27,263130376.0,3347000.0,266477375.0
2008-04-01,,,,,,,,,,,,4.79984293,152.79,264808418.0,3985215.0,268793633.0
2008-05-01,,,,,,,,,,,,4.87146831,155.07,257331303.0,3985215.0,261316518.0
2008-06-01,,,,,,,,,,,,4.85387611,154.51,257014594.0,3985215.0,260999809.0
2008-07-01,,,,,,,,,,,,4.88183514,155.4,255886640.0,5262215.0,261148855.0
2008-08-01,,,,,,,,,,,,4.86989758,155.02,254924345.0,9251716.0,264176061.0
2008-09-01,,,,,,,,,,,,4.89188782,155.72,257290904.0,9072716.0,266363620.0
2008-10-01,,,,,,,,,,,,5.01911712,159.77,262260134.0,9072716.0,271332850.0
2008-11-01,,,,,,,,,,,,5.06089859,161.1,261477466.0,12338257.0,273815724.0
2008-12-01,,,,,,,,,,,,5.04016493,160.44,260848995.0,13978301.0,274827296.0
