kod,isin,ihrac,itfa,etiket,strip,oran_tur,sabit_nominal,tufex,sukuk,bono,fiyat_bas,fiyat_son
TP.TRT040522K12,TRT040522K12,2013-05-15,2022-05-04,121T2DK18030523,kupon,Kupon Faiz Oranı,0,0,0,0,15-05-2013,03-05-2022
TP.TRD040522K10,TRD040522K10,2019-11-06,2022-05-04,61D2DK5301024,kupon,Kira Getirisi Oranı,0,0,1,0,06-11-2019,03-05-2022
TP.TRT040522T13,TRT040522T13,2020-05-06,2022-05-04,24T2,tahvil,Kupon Faiz Oranı,1,0,0,0,06-05-2020,03-05-2022
TP.TRT040522T21,TRT040522T21,2020-05-06,2022-05-04,24T2,tahvil,Kupon Faiz Oranı,1,0,0,0,06-05-2020,03-05-2022
TP.TRT040522K20,TRT040522K20,2020-05-06,2022-05-04,24T2K4040522,kupon,Kupon Faiz Oranı,1,0,0,0,06-05-2020,03-05-2022
TP.TRT040522A14,TRT040522A14,2020-05-06,2022-05-04,24T2A040522,anapara,Kupon Faiz Oranı,1,0,0,0,06-05-2020,03-05-2022
TP.TRT110522K13,TRT110522K13,2013-11-20,2022-05-11,121T2DK17081123,kupon,Kupon Faiz Oranı,0,0,0,0,20-11-2013,10-05-2022
TP.TRT110522K21,TRT110522K21,2014-05-21,2022-05-11,121T2DK16080524,kupon,Kupon Faiz Oranı,0,0,0,0,21-05-2014,10-05-2022
TP.TRT110522K39,TRT110522K39,2019-11-13,2022-05-11,61T2DK5061124,kupon,Reel Kupon Oranı,0,1,0,0,13-11-2019,10-05-2022
TP.TRT110522K47,TRT110522K47,2019-11-13,2022-05-11,85T2DK5041126,kupon,Kupon Faiz Oranı,0,0,0,0,13-11-2019,10-05-2022
TP.TRT110522K54,TRT110522K54,2020-05-13,2022-05-11,85T2DK4050527,kupon,Kupon Faiz Oranı,0,0,0,0,13-05-2020,10-05-2022
TP.TRD110522T12,TRD110522T12,2020-05-13,2022-05-11,24D2,tahvil,Kira Getirisi Oranı,0,0,1,0,13-05-2020,10-05-2022
TP.TRD110522T20,TRD110522T20,2020-05-13,2022-05-11,24D2,tahvil,Kira Getirisi Oranı,0,0,1,0,13-05-2020,10-05-2022
TP.TRD110522K11,TRD110522K11,2020-05-13,2022-05-11,24D2K4110522,kupon,Kira Getirisi Oranı,0,0,1,0,13-05-2020,10-05-2022
TP.TRD110522A13,TRD110522A13,2020-05-13,2022-05-11,24D2A110522,anapara,Kira Getirisi Oranı,0,0,1,0,13-05-2020,10-05-2022
TP.TRT110522K62,TRT110522K62,2020-11-11,2022-05-11,24T2K3091122,kupon,Kupon Faiz Oranı,1,0,0,0,11-11-2020,10-05-2022
TP.TRT200522T13,TRT200522T13,2021-05-21,2022-05-20,12TA2,tahvil,Diğer,0,0,0,1,21-05-2021,19-05-2022
TP.TRD200522T11,TRD200522T11,2021-05-21,2022-05-20,12DA2,tahvil,Diğer,0,0,0,1,21-05-2021,19-05-2022
TP.TRT250522K17,TRT250522K17,2020-11-25,2022-05-25,85T2DK3171127,kupon,Kupon Faiz Oranı,0,0,0,0,25-11-2020,24-05-2022
TP.TRT250522K25,TRT250522K25,2020-11-25,2022-05-25,121T2K3131130,kupon,Kupon Faiz Oranı,1,0,0,0,25-11-2020,24-05-2022
TP.TRT250522K33,TRT250522K33,2021-05-26,2022-05-25,64T4DK4190826,kupon,Kupon Faiz Oranı,0,0,0,0,26-05-2021,24-05-2022
TP.TRT080622K17,TRT080622K17,2017-06-14,2022-06-08,85T2DK10050624,kupon,Kupon Faiz Oranı,0,0,0,0,14-06-2017,07-06-2022
TP.TRD080622K15,TRD080622K15,2018-06-13,2022-06-08,61D2DK8070623,kupon,Kira Getirisi Oranı,0,0,1,0,13-06-2018,07-06-2022
TP.TRT080622K25,TRT080622K25,2019-06-12,2022-06-08,61T2DK6050624,kupon,Reel Kupon Oranı,0,1,0,0,12-06-2019,07-06-2022
TP.TRD080622K23,TRD080622K23,2020-12-09,2022-06-08,61D2K3031225,kupon,Kira Getirisi Oranı,0,0,1,0,09-12-2020,07-06-2022
TP.TRT080622K33,TRT080622K33,2021-06-09,2022-06-08,121T2DK2280531,kupon,Reel Kupon Oranı,0,1,0,0,09-06-2021,07-06-2022
TP.TRD080622K31,TRD080622K31,2021-06-09,2022-06-08,121D2DK2280531,kupon,Kira Getirisi Oranı,0,0,1,0,09-06-2021,07-06-2022
TP.TRT080622K41,TRT080622K41,2021-09-08,2022-06-08,27T4DK3061223,kupon,Kupon Faiz Oranı,0,0,0,0,08-09-2021,07-06-2022
TP.TRT150622K18,TRT150622K18,2018-06-20,2022-06-15,61T2K8140623,kupon,Kupon Faiz Oranı,1,0,0,0,20-06-2018,14-06-2022
TP.TRT150622T19,TRT150622T19,2021-05-05,2022-06-15,14T,tahvil,Diğer,0,0,0,1,05-05-2021,14-06-2022
TP.TRD150622K16,TRD150622K16,2021-12-15,2022-06-15,24D2K1131223,kupon,Kira Getirisi Oranı,0,0,1,0,15-12-2021,14-06-2022
TP.TRT220622K19,TRT220622K19,2020-03-25,2022-06-22,39T4DK9210623,kupon,Kupon Faiz Oranı,0,0,0,0,25-03-2020,21-06-2022
TP.TRT220622K27,TRT220622K27,2020-06-24,2022-06-22,61T2DK4180625,kupon,Reel Kupon Oranı,0,1,0,0,24-06-2020,21-06-2022
TP.TRT060722K18,TRT060722K18,2018-07-11,2022-07-06,121T2DK8280628,kupon,Reel Kupon Oranı,0,1,0,0,11-07-2018,05-07-2022
TP.TRT060722K26,TRT060722K26,2018-07-11,2022-07-06,85T2DK8020725,kupon,Kupon Faiz Oranı,0,0,0,0,11-07-2018,05-07-2022
TP.TRD060722T17,TRD060722T17,2020-07-08,2022-07-06,24D2,tahvil,Kira Getirisi Oranı,0,0,1,0,08-07-2020,05-07-2022
TP.TRD060722T25,TRD060722T25,2020-07-08,2022-07-06,24D2,tahvil,Kira Getirisi Oranı,0,0,1,0,08-07-2020,05-07-2022
TP.TRD060722K16,TRD060722K16,2020-07-08,2022-07-06,24D2K4060722,kupon,Kira Getirisi Oranı,0,0,1,0,08-07-2020,05-07-2022
TP.TRD060722A18,TRD060722A18,2020-07-08,2022-07-06,24D2A060722,anapara,Kira Getirisi Oranı,0,0,1,0,08-07-2020,05-07-2022
TP.TRT130722K19,TRT130722K19,2017-07-19,2022-07-13,121T2DK10070727,kupon,Kupon Faiz Oranı,0,0,0,0,19-07-2017,12-07-2022
TP.TRT130722K27,TRT130722K27,2019-01-16,2022-07-13,61T2DK7100124,kupon,Reel Kupon Oranı,0,1,0,0,16-01-2019,12-07-2022
TP.TRD130722K17,TRD130722K17,2021-07-14,2022-07-13,24D2K2120723,kupon,Kira Getirisi Oranı,0,0,1,0,14-07-2021,12-07-2022
TP.TRT130722K35,TRT130722K35,2022-01-12,2022-07-13,55T4DK2080726,kupon,Kupon Faiz Oranı,0,0,0,0,12-01-2022,12-07-2022
TP.TRT200722K10,TRT200722K10,2016-01-27,2022-07-20,121T2DK13140126,kupon,Kupon Faiz Oranı,0,0,0,0,27-01-2016,19-07-2022
TP.TRT200722K28,TRT200722K28,2018-01-24,2022-07-20,61T2K9180123,kupon,Kupon Faiz Oranı,1,0,0,0,24-01-2018,19-07-2022
TP.TRT200722K36,TRT200722K36,2018-01-24,2022-07-20,121T2DK9120128,kupon,Reel Kupon Oranı,0,1,0,0,24-01-2018,19-07-2022
TP.TRT200722K44,TRT200722K44,2020-04-22,2022-07-20,61T4DOZK9160425,kupon,Diğer,0,0,0,1,23-04-2020,19-07-2022
TP.TRT200722K51,TRT200722K51,2020-07-22,2022-07-20,49T4DK8170724,kupon,Kupon Faiz Oranı,0,0,0,0,22-07-2020,19-07-2022
TP.TRT200722K69,TRT200722K69,2021-01-20,2022-07-20,61T4DK6140126,kupon,Kupon Faiz Oranı,0,0,0,0,20-01-2021,19-07-2022
TP.TRT200722K77,TRT200722K77,2021-10-20,2022-07-20,64T4DK3130127,kupon,Kupon Faiz Oranı,0,0,0,0,20-10-2021,19-07-2022
TP.TRT270722K13,TRT270722K13,2014-08-06,2022-07-27,121T2K16240724,kupon,Kupon Faiz Oranı,1,0,0,0,06-08-2014,26-07-2022
TP.TRT030822K10,TRT030822K10,2013-08-14,2022-08-03,121T2DK18020823,kupon,Kupon Faiz Oranı,0,0,0,0,14-08-2013,02-08-2022
TP.TRT030822K28,TRT030822K28,2020-02-05,2022-08-03,61T2DK5290125,kupon,Reel Kupon Oranı,0,1,0,0,05-02-2020,02-08-2022
TP.TRD100822A11,TRD100822A11,2017-08-16,2022-08-10,61D2A100822,anapara,Kira Getirisi Oranı,0,0,1,0,16-08-2017,09-08-2022
TP.TRD100822K19,TRD100822K19,2017-08-16,2022-08-10,61D2K10100822,kupon,Kira Getirisi Oranı,0,0,1,0,16-08-2017,09-08-2022
TP.TRD100822T10,TRD100822T10,2017-08-16,2022-08-10,61D2,tahvil,Kira Getirisi Oranı,0,0,1,0,16-08-2017,09-08-2022
TP.TRD100822T28,TRD100822T28,2017-08-16,2022-08-10,61D2,tahvil,Kira Getirisi Oranı,0,0,1,0,16-08-2017,09-08-2022
TP.TRT100822K29,TRT100822K29,2018-08-15,2022-08-10,85T2DK8060825,kupon,Kupon Faiz Oranı,0,0,0,0,15-08-2018,09-08-2022
TP.TRD100822K27,TRD100822K27,2021-02-10,2022-08-10,24D2K3080223,kupon,Kira Getirisi Oranı,0,0,1,0,10-02-2021,09-08-2022
TP.TRT120822F16,TRT120822F16,2020-08-14,2022-08-12,24T201,tahvil,Kupon Faiz Oranı,0,0,0,0,14-08-2020,11-08-2022
TP.TRT170822K14,TRT170822K14,2016-02-24,2022-08-17,121T2K13110226,kupon,Kupon Faiz Oranı,1,0,0,0,24-02-2016,16-08-2022
TP.TRT170822A16,TRT170822A16,2017-08-23,2022-08-17,61T2A170822,anapara,Kupon Faiz Oranı,1,0,0,0,23-08-2017,16-08-2022
TP.TRT170822K22,TRT170822K22,2017-08-23,2022-08-17,61T2K10170822,kupon,Kupon Faiz Oranı,1,0,0,0,23-08-2017,16-08-2022
TP.TRT170822K30,TRT170822K30,2017-08-23,2022-08-17,121T2K10110827,kupon,Kupon Faiz Oranı,1,0,0,0,23-08-2017,16-08-2022
TP.TRT170822T15,TRT170822T15,2017-08-23,2022-08-17,61T2,tahvil,Kupon Faiz Oranı,1,0,0,0,23-08-2017,16-08-2022
TP.TRT170822T23,TRT170822T23,2017-08-23,2022-08-17,61T2,tahvil,Kupon Faiz Oranı,1,0,0,0,23-08-2017,16-08-2022
TP.TRD170822K12,TRD170822K12,2021-08-18,2022-08-17,24D2K2160823,kupon,Kira Getirisi Oranı,0,0,1,0,18-08-2021,16-08-2022
TP.TRD170822K20,TRD170822K20,2022-02-16,2022-08-17,24D2K1140224,kupon,Kira Getirisi Oranı,0,0,1,0,16-02-2022,16-08-2022
TP.TRD240822K13,TRD240822K13,2020-08-26,2022-08-24,49D2K4210824,kupon,Kira Getirisi Oranı,0,0,1,0,26-08-2020,23-08-2022
TP.TRT240822K15,TRT240822K15,2021-05-26,2022-08-24,64T4DK5190826,kupon,Kupon Faiz Oranı,0,0,0,0,26-05-2021,23-08-2022
TP.TRT310822K16,TRT310822K16,2017-03-08,2022-08-31,121T2K11240227,kupon,Kupon Faiz Oranı,1,0,0,0,08-03-2017,30-08-2022
TP.TRT070922K15,TRT070922K15,2013-03-20,2022-09-07,121T2K19080323,kupon,Kupon Faiz Oranı,1,0,0,0,20-03-2013,06-09-2022
TP.TRT070922K23,TRT070922K23,2021-09-08,2022-09-07,27T4DK4061223,kupon,Kupon Faiz Oranı,0,0,0,0,08-09-2021,06-09-2022
TP.TRT070922K31,TRT070922K31,2021-09-08,2022-09-07,61T2K2020926,kupon,Kupon Faiz Oranı,1,0,0,0,08-09-2021,06-09-2022
TP.TRT140922A18,TRT140922A18,2012-09-26,2022-09-14,121T2A140922,anapara,Kupon Faiz Oranı,1,0,0,0,26-09-2012,13-09-2022
TP.TRT140922K16,TRT140922K16,2012-09-26,2022-09-14,121T2K20140922,kupon,Kupon Faiz Oranı,1,0,0,0,26-09-2012,13-09-2022
TP.TRT140922K24,TRT140922K24,2015-03-25,2022-09-14,121T2K15120325,kupon,Kupon Faiz Oranı,1,0,0,0,25-03-2015,13-09-2022
TP.TRT140922T17,TRT140922T17,2012-09-26,2022-09-14,121T2,tahvil,Kupon Faiz Oranı,1,0,0,0,26-09-2012,13-09-2022
TP.TRT140922T25,TRT140922T25,2012-09-26,2022-09-14,121T2,tahvil,Kupon Faiz Oranı,1,0,0,0,26-09-2012,13-09-2022
TP.TRT140922K32,TRT140922K32,2018-03-21,2022-09-14,121T2K9080328,kupon,Kupon Faiz Oranı,1,0,0,0,21-03-2018,13-09-2022
TP.TRT210922K17,TRT210922K17,2014-04-02,2022-09-21,121T2K17200324,kupon,Kupon Faiz Oranı,1,0,0,0,02-04-2014,20-09-2022
TP.TRT210922K25,TRT210922K25,2014-10-01,2022-09-21,121T2DK16180924,kupon,Kupon Faiz Oranı,0,0,0,0,01-10-2014,20-09-2022
