tarih,tlref,politika,politika_ger,aofm,fon_top,koridor_alt,koridor_ust,bist_on
2013-01-02,,,,5.55,21000.0,5.0,9.0,
2013-01-03,,,,5.56,20000.0,5.0,9.0,
2013-01-04,,,,5.58,20000.0,5.0,9.0,
2013-01-07,,,,5.59,19500.0,5.0,9.0,
2013-01-08,,,,5.58,20000.0,5.0,9.0,
2013-01-09,,,,5.58,20500.0,5.0,9.0,
2013-01-10,,,,5.58,20200.0,5.0,9.0,
2013-01-11,,,,5.64,15700.0,5.0,9.0,
2013-01-14,,,,5.64,15200.0,5.0,9.0,
2013-01-15,,,,5.64,15700.0,5.0,9.0,
2013-01-16,,,,5.64,15450.0,5.0,9.0,
2013-01-17,,,,5.64,16000.0,5.0,9.0,
2013-01-18,,,,5.63,18000.0,5.0,9.0,
2013-01-21,,,,5.63,17700.0,5.0,9.0,
2013-01-22,,,,5.63,16900.0,5.0,9.0,
2013-01-23,,,,5.64,16350.0,4.75,8.75,
2013-01-24,,,,5.64,15800.0,4.75,8.75,
2013-01-25,,,,5.63,13300.0,4.75,8.75,
2013-01-28,,,,5.63,13600.0,4.75,8.75,
2013-01-29,,,,5.62,14900.0,4.75,8.75,
2013-01-30,,,,5.61,15200.0,4.75,8.75,
2013-01-31,,,,5.6,18000.0,4.75,8.75,
2013-02-01,,,,5.57,20000.0,4.75,8.75,
2013-02-04,,,,5.57,20500.0,4.75,8.75,
2013-02-05,,,,5.57,19783.0,4.75,8.75,
2013-02-06,,,,5.57,20283.0,4.75,8.75,
2013-02-07,,,,5.57,19783.0,4.75,8.75,
2013-02-08,,,,5.55,19783.0,4.75,8.75,
2013-02-11,,,,5.55,19283.0,4.75,8.75,
2013-02-12,,,,5.55,20500.0,4.75,8.75,
2013-02-13,,,,5.55,19700.0,4.75,8.75,
2013-02-14,,,,5.56,18200.0,4.75,8.75,
2013-02-15,,,,5.54,17700.0,4.75,8.75,
2013-02-18,,,,5.54,18022.0,4.75,8.75,
2013-02-19,,,,5.54,17410.0,4.75,8.75,
2013-02-20,,,,5.54,18262.0,4.5,8.5,
2013-02-21,,,,5.53,21449.0,4.5,8.5,
2013-02-22,,,,5.53,21449.0,4.5,8.5,
2013-02-25,,,,5.53,21597.0,4.5,8.5,
2013-02-26,,,,5.53,21459.0,4.5,8.5,
2013-02-27,,,,5.53,21077.0,4.5,8.5,
2013-02-28,,,,5.53,17570.0,4.5,8.5,
2013-03-01,,,,5.53,17128.0,4.5,8.5,
2013-03-04,,,,5.53,20356.0,4.5,8.5,
2013-03-05,,,,5.52,21606.0,4.5,8.5,
2013-03-06,,,,5.52,22436.0,4.5,8.5,
2013-03-07,,,,5.52,23756.0,4.5,8.5,
2013-03-08,,,,5.52,22460.0,4.5,8.5,
2013-03-11,,,,5.52,21262.0,4.5,8.5,
2013-03-12,,,,5.52,20262.0,4.5,8.5,
2013-03-13,,,,5.52,19012.0,4.5,8.5,
2013-03-14,,,,5.57,18290.1,4.5,8.5,
2013-03-15,,,,5.53,18250.0,4.5,8.5,
2013-03-18,,,,5.53,19250.0,4.5,8.5,
2013-03-19,,,,5.52,21250.0,4.5,8.5,
2013-03-20,,,,5.52,21250.0,4.5,8.5,
2013-03-21,,,,5.52,21250.0,4.5,8.5,
2013-03-22,,,,5.53,16750.0,4.5,8.5,
2013-03-25,,,,5.54,15750.0,4.5,8.5,
2013-03-26,,,,5.54,15250.0,4.5,8.5,
2013-03-27,,,,5.54,16500.0,4.5,7.5,
2013-03-28,,,,5.54,16500.0,4.5,7.5,
2013-03-29,,,,5.96,24250.0,4.5,7.5,
2013-04-01,,,,5.6,17500.0,4.5,7.5,
2013-04-02,,,,5.6,17000.0,4.5,7.5,
2013-04-03,,,,5.6,16500.0,4.5,7.5,
2013-04-04,,,,5.6,17500.0,4.5,7.5,
2013-04-05,,,,5.62,18500.0,4.5,7.5,
2013-04-08,,,,5.62,19000.0,4.5,7.5,
2013-04-09,,,,5.62,19000.0,4.5,7.5,
2013-04-10,,,,5.62,20000.0,4.5,7.5,
2013-04-11,,,,5.62,18500.0,4.5,7.5,
2013-04-12,,,,5.65,15500.0,4.5,7.5,
2013-04-15,,,,5.66,14500.0,4.5,7.5,
2013-04-16,,,,5.67,13500.0,4.5,7.5,
2013-04-17,,,,5.68,12000.0,4.0,7.0,
2013-04-18,,,,5.6,13000.0,4.0,7.0,
2013-04-19,,,,5.46,12500.0,4.0,7.0,
2013-04-22,,,,5.4,12000.0,4.0,7.0,
2013-04-24,,,,5.37,11000.0,4.0,7.0,
2013-04-25,,,,5.4,10000.0,4.0,7.0,
2013-04-26,,,,5.24,10500.0,4.0,7.0,
2013-04-29,,,,5.24,10500.0,4.0,7.0,
2013-04-30,,,,5.17,15000.0,4.0,7.0,
2013-05-02,,,,5.16,15500.0,4.0,7.0,
2013-05-03,,,,5.09,16000.0,4.0,7.0,
2013-05-06,,,,5.09,16000.0,4.0,7.0,
2013-05-07,,,,5.09,15000.0,4.0,7.0,
2013-05-08,,,,5.09,16000.0,4.0,7.0,
2013-05-09,,,,5.08,17000.0,4.0,7.0,
2013-05-10,,,,5.04,18000.0,4.0,7.0,
2013-05-13,,,,5.04,17000.0,4.0,7.0,
2013-05-14,,,,5.04,16000.0,4.0,7.0,
2013-05-15,,,,5.04,17500.0,4.0,7.0,
2013-05-16,,,,5.04,17000.0,4.0,7.0,
2013-05-17,,,,4.78,18500.0,3.5,6.5,
2013-05-20,,,,4.77,18200.0,3.5,6.5,
2013-05-21,,,,4.67,21700.0,3.5,6.5,
2013-05-22,,,,4.62,19700.0,3.5,6.5,
2013-05-23,,,,4.56,19700.0,3.5,6.5,
2013-05-24,,,,4.54,20200.0,3.5,6.5,
2013-05-27,,,,4.53,22500.0,3.5,6.5,
2013-05-28,,,,4.53,22000.0,3.5,6.5,
2013-05-29,,,,4.53,22500.0,3.5,6.5,
2013-05-30,,,,4.53,28500.0,3.5,6.5,
2013-05-31,,,,4.52,27500.0,3.5,6.5,
2013-06-03,,,,4.66,29630.0,3.5,6.5,
2013-06-04,,,,4.53,26500.0,3.5,6.5,
2013-06-05,,,,4.66,29100.0,3.5,6.5,
2013-06-06,,,,4.79,31685.0,3.5,6.5,
2013-06-07,,,,4.76,30400.0,3.5,6.5,
2013-06-10,,,,4.68,30900.0,3.5,6.5,
2013-06-11,,,,4.98,32700.0,3.5,6.5,
2013-06-12,,,,4.77,30650.0,3.5,6.5,
2013-06-13,,,,4.83,27150.0,3.5,6.5,
2013-06-14,,,,5.1,27900.0,3.5,6.5,
