kesit,tarih,kod,strip,itfa,vade_yil,getiri,fiyat
bugun,2026-09-18,TP.TRT071026K34,kupon,2026-10-07,0.052054794520547946,40.437615263586714,16.653
bugun,2026-09-18,TP.TRT071026K26,kupon,2026-10-07,0.052054794520547946,40.500794877745186,13.607
bugun,2026-09-18,TP.TRT141026K50,kupon,2026-10-14,0.07123287671232877,39.83271283349554,17.956
bugun,2026-09-18,TP.TRT141026K35,kupon,2026-10-14,0.07123287671232877,39.80859684157676,12.791
bugun,2026-09-18,TP.TRT211026K51,kupon,2026-10-21,0.09041095890410959,39.398588358243124,16.138
bugun,2026-09-18,TP.TRT211026K10,kupon,2026-10-21,0.09041095890410959,39.44673514476798,5.046
bugun,2026-09-18,TP.TRT041126K36,kupon,2026-11-04,0.12876712328767123,38.86302261200485,10.305
bugun,2026-09-18,TP.TRT041126K51,kupon,2026-11-04,0.12876712328767123,38.88471997672844,19.651
bugun,2026-09-18,TP.TRT111126K11,kupon,2026-11-11,0.14794520547945206,38.68648332478457,14.806
bugun,2026-09-18,TP.TRT181126K22,kupon,2026-11-18,0.16712328767123288,38.51249975506788,5.54
bugun,2026-09-18,TP.TRT091226K14,kupon,2026-12-09,0.22465753424657534,38.19589147553408,9.392
bugun,2026-09-18,TP.TRT130127K44,kupon,2027-01-13,0.32054794520547947,37.85104679797515,17.07
bugun,2026-09-18,TP.TRT130127K51,kupon,2027-01-13,0.32054794520547947,37.84682092528635,15.383
bugun,2026-09-18,TP.TRT200127K29,kupon,2027-01-20,0.33972602739726027,37.81469458908329,7.757
bugun,2026-09-18,TP.TRT200127K45,kupon,2027-01-20,0.33972602739726027,37.82439047103203,7.981
bugun,2026-09-18,TP.TRT100227K12,kupon,2027-02-10,0.3972602739726027,37.65893652630634,4.624
bugun,2026-09-18,TP.TRT100227A14,anapara,2027-02-10,0.3972602739726027,37.671489711196095,88.073
bugun,2026-09-18,TP.TRT100227K38,kupon,2027-02-10,0.3972602739726027,37.66905159454623,14.356
bugun,2026-09-18,TP.TRT170227K23,kupon,2027-02-17,0.41643835616438357,37.65711729333718,3.983
bugun,2026-09-18,TP.TRT240227A18,anapara,2027-02-24,0.43561643835616437,37.59016049090933,87.022
bugun,2026-09-18,TP.TRT240227K16,kupon,2027-02-24,0.43561643835616437,37.60401981536934,4.786
bugun,2026-09-18,TP.TRT100327K11,kupon,2027-03-10,0.473972602739726,37.52092090762276,5.331
bugun,2026-09-18,TP.TRT170327KA9,kupon,2027-03-17,0.4931506849315068,37.47937127483183,15.727
bugun,2026-09-18,TP.TRT170327K97,kupon,2027-03-17,0.4931506849315068,37.469948526645666,12.847
bugun,2026-09-18,TP.TRT170327KB7,kupon,2027-03-17,0.4931506849315068,37.481340857189885,15.385
bugun,2026-09-18,TP.TRT170327K22,kupon,2027-03-17,0.4931506849315068,37.49861674280008,4.393
bugun,2026-09-18,TP.TRT170327K55,kupon,2027-03-17,0.4931506849315068,37.477716858210286,12.821
bugun,2026-09-18,TP.TRT070427K31,kupon,2027-04-07,0.5506849315068493,37.89702289028216,14.201
bugun,2026-09-18,TP.TRT070427K23,kupon,2027-04-07,0.5506849315068493,37.9135755110737,11.603
bugun,2026-09-18,TP.TRT140427K40,kupon,2027-04-14,0.5698630136986301,37.97287976512433,15.308
bugun,2026-09-18,TP.TRT140427K24,kupon,2027-04-14,0.5698630136986301,37.963040406115844,10.905
bugun,2026-09-18,TP.TRT210427K58,kupon,2027-04-21,0.589041095890411,38.05410417702901,13.753
bugun,2026-09-18,TP.TRT210427K17,kupon,2027-04-21,0.589041095890411,38.02124007859751,4.301
bugun,2026-09-18,TP.TRT050527K24,kupon,2027-05-05,0.6273972602739726,38.2035392337537,8.775
bugun,2026-09-18,TP.TRT050527A26,anapara,2027-05-05,0.6273972602739726,38.2113843521634,81.625
bugun,2026-09-18,TP.TRT050527K40,kupon,2027-05-05,0.6273972602739726,38.21303000553697,16.733
bugun,2026-09-18,TP.TRT120527K17,kupon,2027-05-12,0.6465753424657534,38.296972828300554,12.601
bugun,2026-09-18,TP.TRT190527K28,kupon,2027-05-19,0.6657534246575343,38.39461454386503,4.712
bugun,2026-09-18,TP.TRT090627A13,anapara,2027-06-09,0.7232876712328767,38.66168670976824,78.945
bugun,2026-09-18,TP.TRT090627K11,kupon,2027-06-09,0.7232876712328767,38.67238682118439,7.973
bugun,2026-09-18,TP.TRT140727A15,anapara,2027-07-14,0.8191780821917808,39.132101827676394,76.297
bugun,2026-09-18,TP.TRT140727K39,kupon,2027-07-14,0.8191780821917808,39.136718855965505,14.435
bugun,2026-09-18,TP.TRT140727K47,kupon,2027-07-14,0.8191780821917808,39.127382152848256,13.009
bugun,2026-09-18,TP.TRT210727K22,kupon,2027-07-21,0.8383561643835616,39.23396637247934,6.554
bugun,2026-09-18,TP.TRT210727K48,kupon,2027-07-21,0.8383561643835616,39.219731637704626,6.744
