kod,isin,govde,etiket,strip,ihrac,itfa,odeme,grup,fiyat_bas,fiyat_son
TP.TRT090113A14,TRT090113A14,36T4,36T4A090113,anapara,2010-01-13,2013-01-09,100.0,bie_pydibsarsiv,13-01-2010,08-01-2013
TP.TRT090113K12,TRT090113K12,36T4,36T4K12090113,kupon,2010-01-13,2013-01-09,2.5,bie_pydibsarsiv,13-01-2010,08-01-2013
TP.TRT090113K38,TRT090113K38,36T4,36T4K11100413,kupon,2010-04-14,2013-01-09,2.5,bie_pydibsarsiv,14-04-2010,08-01-2013
TP.TRT090113K46,TRT090113K46,36T4,36T4K9091013,kupon,2010-10-13,2013-01-09,2.0,bie_pydibsarsiv,13-10-2010,08-01-2013
TP.TRT230113K14,TRT230113K14,121T2,121T2K6150120,kupon,2010-01-27,2013-01-23,5.25,bie_pydibsarsiv,27-01-2010,22-01-2013
TP.TRT230113K30,TRT230113K30,121T2,121T2K2120122,kupon,2012-01-25,2013-01-23,4.75,bie_pydibsarsiv,25-01-2012,22-01-2013
TP.TRT300113K15,TRT300113K15,36T4,36T4K8290114,kupon,2011-02-02,2013-01-30,2.0,bie_pydibsarsiv,02-02-2011,29-01-2013
TP.TRT300113K31,TRT300113K31,61T2,61T2K4270116,kupon,2011-02-02,2013-01-30,4.5,bie_pydibsarsiv,02-02-2011,29-01-2013
TP.TRT060213K14,TRT060213K14,61T2,61T2K7060814,kupon,2009-08-05,2013-02-06,5.5,bie_pydibsarsiv,05-08-2009,05-02-2013
TP.TRT270213K27,TRT270213K27,61T2,61T2K9280813,kupon,2008-09-03,2013-02-27,8.0,bie_pydibsarsiv,03-09-2008,26-02-2013
TP.TRT060313K13,TRT060313K13,36T4,36T4K7040614,kupon,2011-06-08,2013-03-06,2.0,bie_pydibsarsiv,08-06-2011,05-03-2013
TP.TRT060313K21,TRT060313K21,24T2,24T2K2050314,kupon,2012-03-07,2013-03-06,4.5,bie_pydibsarsiv,07-03-2012,05-03-2013
TP.TRT130313K14,TRT130313K14,61T2,61T2K2080317,kupon,2012-03-14,2013-03-13,4.5,bie_pydibsarsiv,14-03-2012,12-03-2013
TP.TRT270313K26,TRT270313K26,121T2,121T2K1140922,kupon,2012-09-26,2013-03-27,4.25,bie_pydibsarsiv,26-09-2012,26-03-2013
TP.TRT270313K34,TRT270313K34,24T2,24T2K1240914,kupon,2012-09-26,2013-03-27,3.75,bie_pydibsarsiv,26-09-2012,26-03-2013
TP.TRT100413A18,TRT100413A18,36T4,36T4A100413,anapara,2010-04-14,2013-04-10,100.0,bie_pydibsarsiv,14-04-2010,09-04-2013
TP.TRT100413K24,TRT100413K24,36T4,36T4K12100413,kupon,2010-04-14,2013-04-10,2.5,bie_pydibsarsiv,14-04-2010,09-04-2013
TP.TRT100413K40,TRT100413K40,36T4,36T4K10091013,kupon,2010-10-13,2013-04-10,2.0,bie_pydibsarsiv,13-10-2010,09-04-2013
TP.TRT010513K32,TRT010513K32,36T4,36T4K9290114,kupon,2011-02-02,2013-05-01,2.0,bie_pydibsarsiv,02-02-2011,30-04-2013
TP.TRT050613K11,TRT050613K11,36T4,36T4K8040614,kupon,2011-06-08,2013-06-05,2.0,bie_pydibsarsiv,08-06-2011,04-06-2013
TP.TRT050613K29,TRT050613K29,24T2,24T2K3041213,kupon,2011-12-07,2013-06-05,5.0,bie_pydibsarsiv,07-12-2011,04-06-2013
TP.TRT190613K15,TRT190613K15,61T2,61T2K6170615,kupon,2010-06-23,2013-06-19,5.0,bie_pydibsarsiv,23-06-2010,18-06-2013
TP.TRT100713K21,TRT100713K21,36T4,36T4K11091013,kupon,2010-10-13,2013-07-10,2.0,bie_pydibsarsiv,13-10-2010,09-07-2013
TP.TRT100713K39,TRT100713K39,24T2,24T2K1070115,kupon,2013-01-09,2013-07-10,3.25,bie_pydibsarsiv,09-01-2013,09-07-2013
TP.TRT240713K17,TRT240713K17,121T2,121T2K7150120,kupon,2010-01-27,2013-07-24,5.25,bie_pydibsarsiv,27-01-2010,23-07-2013
TP.TRT240713K33,TRT240713K33,121T2,121T2K3120122,kupon,2012-01-25,2013-07-24,4.75,bie_pydibsarsiv,25-01-2012,23-07-2013
TP.TRT310713K18,TRT310713K18,36T4,36T4K10290114,kupon,2011-02-02,2013-07-31,2.0,bie_pydibsarsiv,02-02-2011,30-07-2013
TP.TRT310713K34,TRT310713K34,61T2,61T2K5270116,kupon,2011-02-02,2013-07-31,4.5,bie_pydibsarsiv,02-02-2011,30-07-2013
