kod,isin,govde,etiket,ihrac,itfa
TP.TRT100227T13,TRT100227T13,24T2,24T2,2025-02-12,2027-02-10
TP.TRT100227T21,TRT100227T21,24T2,24T2,2025-02-12,2027-02-10
TP.TRT240227T17,TRT240227T17,121T2,121T2,2017-03-08,2027-02-24
TP.TRT240227T25,TRT240227T25,121T2,121T2,2017-03-08,2027-02-24
TP.TRT050527T33,TRT050527T33,24T2,24T2,2025-05-07,2027-05-05
TP.TRT050527T41,TRT050527T41,24T2,24T2,2025-05-07,2027-05-05
TP.TRT090627T12,TRT090627T12,61T2,61T2,2022-06-15,2027-06-09
TP.TRT090627T20,TRT090627T20,61T2,61T2,2022-06-15,2027-06-09
TP.TRT140727T14,TRT140727T14,24T2,24T2,2025-07-16,2027-07-14
TP.TRT140727T22,TRT140727T22,24T2,24T2,2025-07-16,2027-07-14
TP.TRT110827T16,TRT110827T16,121T2,121T2,2017-08-23,2027-08-11
TP.TRT110827T24,TRT110827T24,121T2,121T2,2017-08-23,2027-08-11
TP.TRT150927T11,TRT150927T11,61T2,61T2,2022-09-21,2027-09-15
TP.TRT150927T29,TRT150927T29,61T2,61T2,2022-09-21,2027-09-15
TP.TRT131027T44,TRT131027T44,24T2,24T2,2025-10-15,2027-10-13
TP.TRT131027T36,TRT131027T36,24T2,24T2,2025-10-15,2027-10-13
TP.TRT160228T16,TRT160228T16,61T2,61T2,2023-02-22,2028-02-16
TP.TRT160228T24,TRT160228T24,61T2,61T2,2023-02-22,2028-02-16
TP.TRT080328T15,TRT080328T15,121T2,121T2,2018-03-21,2028-03-08
TP.TRT080328T23,TRT080328T23,121T2,121T2,2018-03-21,2028-03-08
TP.TRT150328T24,TRT150328T24,24T2,24T2,2026-03-18,2028-03-15
TP.TRT150328T32,TRT150328T32,24T2,24T2,2026-03-18,2028-03-15
TP.TRT190728T18,TRT190728T18,61T2,61T2,2023-07-26,2028-07-19
TP.TRT190728T26,TRT190728T26,61T2,61T2,2023-07-26,2028-07-19
TP.TRT081128T15,TRT081128T15,61T2,61T2,2023-11-15,2028-11-08
TP.TRT081128T23,TRT081128T23,61T2,61T2,2023-11-15,2028-11-08
TP.TRT120929T12,TRT120929T12,61T2,61T2,2024-09-18,2029-09-12
TP.TRT120929T20,TRT120929T20,61T2,61T2,2024-09-18,2029-09-12
TP.TRT100730T13,TRT100730T13,61T2,61T2,2025-07-16,2030-07-10
TP.TRT100730T21,TRT100730T21,61T2,61T2,2025-07-16,2030-07-10
TP.TRT021030T18,TRT021030T18,61T2,61T2,2025-10-08,2030-10-02
TP.TRT021030T26,TRT021030T26,61T2,61T2,2025-10-08,2030-10-02
TP.TRT131130T14,TRT131130T14,121T2,121T2,2020-11-25,2030-11-13
TP.TRT131130T22,TRT131130T22,121T2,121T2,2020-11-25,2030-11-13
TP.TRT160431T43,TRT160431T43,61T2,61T2,2026-04-22,2031-04-16
TP.TRT160431T35,TRT160431T35,61T2,61T2,2026-04-22,2031-04-16
TP.TRT280432T14,TRT280432T14,121T2,121T2,2022-05-11,2032-04-28
TP.TRT280432T22,TRT280432T22,121T2,121T2,2022-05-11,2032-04-28
TP.TRT131032T13,TRT131032T13,121T2,121T2,2022-10-26,2032-10-13
TP.TRT131032T21,TRT131032T21,121T2,121T2,2022-10-26,2032-10-13
TP.TRT130733T17,TRT130733T17,121T2,121T2,2023-07-26,2033-07-13
TP.TRT130733T25,TRT130733T25,121T2,121T2,2023-07-26,2033-07-13
TP.TRT051033T12,TRT051033T12,121T2,121T2,2023-10-18,2033-10-05
TP.TRT051033T20,TRT051033T20,121T2,121T2,2023-10-18,2033-10-05
TP.TRT270934T18,TRT270934T18,121T2,121T2,2024-10-09,2034-09-27
TP.TRT270934T26,TRT270934T26,121T2,121T2,2024-10-09,2034-09-27
TP.TRT050935T13,TRT050935T13,121T2,121T2,2025-09-17,2035-09-05
TP.TRT050935T21,TRT050935T21,121T2,121T2,2025-09-17,2035-09-05
