kod,isin,etiket,ihrac,itfa,grup
TP.TRT100124A18,TRT100124A18,61T2DA100124,2019-01-16,2024-01-10,bie_pydibs
TP.TRT050624A28,TRT050624A28,61T2DA050624,2019-06-12,2024-06-05,bie_pydibs
TP.TRT061124A12,TRT061124A12,61T2DA061124,2019-11-13,2024-11-06,bie_pydibs
TP.TRT290125A16,TRT290125A16,61T2DA290125,2020-02-05,2025-01-29,bie_pydibs
TP.TRT180625A14,TRT180625A14,61T2DA180625,2020-06-24,2025-06-18,bie_pydibs
TP.TRT180827A10,TRT180827A10,36T2DA180827,2024-08-21,2027-08-18,bie_pydibs
TP.TRT151227A17,TRT151227A17,36T2DA151227,2024-12-18,2027-12-15,bie_pydibs
TP.TRT120128A12,TRT120128A12,121T2DA120128,2018-01-24,2028-01-12,bie_pydibs
TP.TRT280628A19,TRT280628A19,121T2DA280628,2018-07-11,2028-06-28,bie_pydibs
TP.TRT190728A27,TRT190728A27,61T2DA190728,2023-07-26,2028-07-19,bie_pydibs
TP.TRT181028A15,TRT181028A15,61T2DA181028,2023-10-25,2028-10-18,bie_pydibs
TP.TRT140229A18,TRT140229A18,61T2DA140229,2024-02-21,2029-02-14,bie_pydibs
TP.TRT110429A19,TRT110429A19,49T2DA110429,2025-04-16,2029-04-11,bie_pydibs
TP.TRT020529A19,TRT020529A19,61T2DA020529,2024-05-08,2029-05-02,bie_pydibs
TP.TRT130629A15,TRT130629A15,49T2DA130629,2025-06-18,2029-06-13,bie_pydibs
TP.TRT280531A15,TRT280531A15,121T2DA280531,2021-06-09,2031-05-28,bie_pydibs
TP.TRT110232A16,TRT110232A16,121T2DA110232,2022-02-23,2032-02-11,bie_pydibs
TP.TRT040832A19,TRT040832A19,121T2DA040832,2022-08-17,2032-08-04,bie_pydibs
TP.TRT120133A15,TRT120133A15,121T2DA120133,2023-01-25,2033-01-12,bie_pydibs
TP.TRT070933A14,TRT070933A14,121T2DA070933,2023-09-20,2033-09-07,bie_pydibs
