kod,itfa,vade_yil,reel_getiri,endeks_orani,tarih
TP.TRT180827A10,2027-08-18,1.9589041095890412,5.323782159560486,1.3591990849509545,2025-09-02
TP.TRT151227A17,2027-12-15,2.2849315068493152,8.76813492332722,1.221454516624887,2025-09-02
TP.TRT120128A12,2028-01-12,2.361643835616438,4.850751077731452,9.67542521630085,2025-09-02
TP.TRT280628A19,2028-06-28,2.8219178082191783,4.583934829015224,9.09622831275936,2025-09-02
TP.TRT190728A27,2028-07-19,2.8794520547945206,6.997455703716571,2.4101037142943134,2025-09-02
TP.TRT181028A15,2028-10-18,3.128767123287671,3.377242618085252,1.9788048643458531,2025-09-02
TP.TRT140229A18,2029-02-14,3.4547945205479453,6.458656070603541,1.7006904214401675,2025-09-02
TP.TRT110429A19,2029-04-11,3.6082191780821917,5.673747112124317,1.0991056796530725,2025-09-02
TP.TRT020529A19,2029-05-02,3.665753424657534,5.138466380501616,1.5006145950467606,2025-09-02
TP.TRT130629A15,2029-06-13,3.780821917808219,6.314412603671449,1.043082501385532,2025-09-02
TP.TRT280531A15,2031-05-28,5.736986301369863,3.4384524867565824,5.960210367248935,2025-09-02
TP.TRT110232A16,2032-02-11,6.446575342465754,4.235549009827833,4.682596927888291,2025-09-02
TP.TRT040832A19,2032-08-04,6.926027397260274,3.7650964874577086,3.2800380000090024,2025-09-02
TP.TRT120133A15,2033-01-12,7.367123287671233,3.8468635599192114,2.8282945472426886,2025-09-02
TP.TRT070933A14,2033-09-07,8.01917808219178,3.969524479267461,2.187525721510919,2025-09-02
TP.TRT180827A10,2027-08-18,1.9561643835616438,5.323640266125573,1.3601312888347372,2025-09-03
TP.TRT151227A17,2027-12-15,2.282191780821918,8.768307781946284,1.2222922486811165,2025-09-03
TP.TRT120128A12,2028-01-12,2.3589041095890413,4.850787711773075,9.68206108669228,2025-09-03
TP.TRT280628A19,2028-06-28,2.819178082191781,4.583853607192112,9.10246694215134,2025-09-03
TP.TRT190728A27,2028-07-19,2.8767123287671232,6.997423966265592,2.4117566789465554,2025-09-03
TP.TRT181028A15,2028-10-18,3.126027397260274,3.377346699512618,1.9801620235730886,2025-09-03
TP.TRT140229A18,2029-02-14,3.452054794520548,6.458761930076862,1.701856836451428,2025-09-03
TP.TRT110429A19,2029-04-11,3.6054794520547944,5.673551865601278,1.0998594990122852,2025-09-03
TP.TRT020529A19,2029-05-02,3.663013698630137,5.282412398481218,1.5016437884659233,2025-09-03
TP.TRT130629A15,2029-06-13,3.778082191780822,6.314293028606066,1.0437978973636954,2025-09-03
TP.TRT280531A15,2031-05-28,5.734246575342466,3.4384604561288112,5.964298165213213,2025-09-03
TP.TRT110232A16,2032-02-11,6.443835616438356,4.235529017027351,4.685808477315226,2025-09-03
TP.TRT040832A19,2032-08-04,6.923287671232877,3.765089752645423,3.2822876072934815,2025-09-03
TP.TRT120133A15,2033-01-12,7.364383561643836,3.8468669030218505,2.8302343272135646,2025-09-03
TP.TRT070933A14,2033-09-07,8.016438356164384,3.9695154569534097,2.1890260315067427,2025-09-03
TP.TRT180827A10,2027-08-18,1.9534246575342467,5.3239481759611795,1.36106349271852,2025-09-04
TP.TRT151227A17,2027-12-15,2.2794520547945205,8.768498315960315,1.2231299807373464,2025-09-04
TP.TRT120128A12,2028-01-12,2.356164383561644,4.8507303226857035,9.688696957083708,2025-09-04
TP.TRT280628A19,2028-06-28,2.8164383561643835,4.583917918978608,9.10870557154332,2025-09-04
TP.TRT190728A27,2028-07-19,2.873972602739726,6.997402949060971,2.413409643598798,2025-09-04
TP.TRT181028A15,2028-10-18,3.1232876712328768,3.3772699040140797,1.981519182800324,2025-09-04
TP.TRT140229A18,2029-02-14,3.4493150684931506,6.293250523175753,1.7030232514626886,2025-09-04
TP.TRT110429A19,2029-04-11,3.6027397260273974,5.673688513379949,1.100613318371498,2025-09-04
TP.TRT020529A19,2029-05-02,3.66027397260274,5.282362618380576,1.502672981885086,2025-09-04
TP.TRT130629A15,2029-06-13,3.7753424657534245,6.314180746353193,1.0445132933418588,2025-09-04
