,emtia_enerji,emtia_yakitsiz,emtia_tarim,emtia_icecek,emtia_gida,emtia_yaglar,emtia_tahil,emtia_diger,emtia_hammadde,emtia_gubre,emtia_metal,palm,soya,pirinc,bugday,misir,seker,kahve,kakao,muz,portakal,cay,abd_tufe,abd_gida,abd_cekirdek,faiz_abd,faiz_tr,faiz_ea,ea_tufe_12a,ea_gida_12a
1954-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
1954-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,
1954-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,
1954-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,,,,
1954-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,,,
1954-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,
1955-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,
1955-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,
1955-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,
1955-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,
1955-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,
1955-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,,,
1955-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,
1955-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
1955-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,
1955-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,
1955-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.44,,,,
1955-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
1956-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
1956-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
1956-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
1956-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,
1956-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,
1956-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,
1956-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,
1956-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1956-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1956-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1956-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1956-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1957-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1957-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1957-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,,,
1957-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1957-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1957-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1957-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,
1957-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
1957-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
1957-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
1957-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1957-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1958-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,
1958-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
1958-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
1958-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
1958-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,
1958-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,
1958-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,
1958-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,
1958-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,
1958-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
1958-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
1958-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,,,,
1959-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
1959-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,
1959-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1959-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1959-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,
1959-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1959-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
1959-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,
1959-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
1959-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
1959-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
1959-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
1960-01-01,2.1,18.8,22.0,25.4,21.2,23.2,23.6,16.4,22.3,12.9,12.9,233.0,94.0,104.5,59.9,45.0,0.07,0.7,0.63,0.14,0.12,1.03,29.3,29.5,30.5,4.0,,,,
1960-02-01,2.1,18.7,21.8,25.1,20.9,22.5,23.4,16.5,22.4,12.9,12.9,229.0,91.0,103.5,61.0,44.0,0.07,0.69,0.61,0.14,0.11,1.03,29.4,29.4,30.6,4.0,,,,
1960-03-01,2.1,18.7,21.9,24.6,21.1,22.2,23.8,17.1,22.5,12.9,12.7,225.0,92.0,103.8,61.7,45.0,0.07,0.69,0.58,0.14,0.13,1.03,29.4,29.5,30.6,4.0,,,,
1960-04-01,2.1,18.8,22.0,24.9,21.2,22.4,23.5,17.6,22.6,12.9,12.9,225.0,93.0,101.0,61.0,45.0,0.07,0.68,0.6,0.14,0.14,1.03,29.5,30.0,30.6,4.0,,,,
1960-05-01,2.1,18.8,22.0,24.8,21.1,22.0,23.9,17.3,23.0,12.9,12.7,225.0,93.0,102.2,57.7,48.0,0.07,0.69,0.6,0.15,0.14,1.03,29.5,30.0,30.6,3.5,,,,
1960-06-01,2.1,18.6,21.7,24.7,20.7,21.7,23.4,16.9,22.8,12.9,12.8,219.0,91.0,103.1,55.5,47.0,0.07,0.7,0.59,0.15,0.14,1.03,29.6,30.2,30.6,3.5,,,,
1960-07-01,2.1,18.6,21.7,24.9,20.8,21.7,23.3,17.4,22.2,12.9,12.8,221.0,92.0,102.1,54.8,47.0,0.07,0.69,0.6,0.15,0.13,1.03,29.6,30.2,30.6,3.25,,,,
1960-08-01,2.1,18.5,21.7,24.8,21.1,22.1,23.8,17.3,21.7,12.9,12.7,225.0,93.0,109.7,55.1,47.0,0.07,0.7,0.59,0.13,0.13,1.03,29.6,30.1,30.6,3.0,,,,
1960-09-01,2.1,18.6,21.9,24.7,21.3,22.2,24.1,17.6,21.8,12.9,12.5,224.0,92.0,116.1,56.6,46.0,0.07,0.7,0.58,0.14,0.13,1.03,29.6,30.2,30.6,3.0,,,,
1960-10-01,2.1,18.1,21.2,24.8,20.3,21.5,23.2,16.2,21.6,12.9,12.3,222.0,88.0,115.2,57.0,42.0,0.05,0.71,0.59,0.15,0.13,1.03,29.8,30.3,30.8,2.75,,,,
1960-11-01,2.1,17.9,20.8,24.5,19.8,21.4,22.4,15.3,21.2,12.9,12.5,222.0,90.0,114.4,57.7,38.0,0.05,0.71,0.57,0.13,0.15,1.03,29.8,30.4,30.8,0.25,,,,
1960-12-01,2.1,18.1,21.1,23.8,20.5,22.2,22.8,16.3,21.2,12.9,12.4,223.0,93.0,112.7,58.1,40.0,0.06,0.7,0.52,0.15,0.12,1.03,29.8,30.4,30.8,3.0,,,,
1961-01-01,2.1,18.1,21.2,22.9,21.1,23.5,23.6,15.7,20.7,12.9,12.2,223.0,102.0,113.5,58.8,43.0,0.06,0.68,0.49,0.13,0.11,0.95,29.8,30.4,30.8,2.25,,,,
1961-02-01,2.1,18.4,21.7,22.9,21.8,25.3,23.6,15.6,20.6,12.9,12.3,228.0,114.0,109.5,59.2,44.0,0.06,0.68,0.49,0.13,0.11,0.95,29.8,30.4,30.8,2.0,,,,
1961-03-01,2.1,18.7,22.2,22.5,22.7,26.2,24.0,17.0,20.8,12.9,12.3,231.0,121.0,117.7,58.1,44.0,0.06,0.67,0.46,0.14,0.12,0.95,29.8,30.4,30.8,2.0,,,,
1961-04-01,2.1,18.9,22.4,22.1,23.1,27.6,23.5,16.8,21.0,12.9,12.4,233.0,129.0,115.2,57.3,43.0,0.07,0.66,0.44,0.14,0.13,0.95,29.8,30.4,30.9,0.5,,,,
1961-05-01,2.1,18.9,22.4,22.6,22.8,27.0,24.0,16.3,21.0,12.9,12.6,234.0,122.0,119.4,55.9,45.0,0.07,0.66,0.48,0.13,0.13,0.95,29.8,30.3,30.9,1.0,,,,
1961-06-01,2.1,18.7,22.0,22.7,22.3,25.5,23.8,16.9,20.8,12.9,12.5,233.0,114.0,121.4,54.4,44.0,0.07,0.67,0.49,0.12,0.19,0.95,29.8,30.3,30.9,0.5,,,,
1961-07-01,2.1,18.5,21.8,22.5,22.1,25.2,24.4,16.1,20.8,12.9,12.4,229.0,112.0,123.4,56.6,45.0,0.06,0.67,0.48,0.13,0.13,0.95,30.0,30.6,31.0,2.5,,,,
1961-08-01,2.1,18.4,21.6,22.6,21.7,24.6,24.2,15.8,20.8,12.9,12.4,226.0,101.0,119.6,58.8,44.0,0.05,0.67,0.48,0.13,0.13,0.95,29.9,30.4,31.0,1.75,,,,
1961-09-01,2.1,18.2,21.4,22.4,21.4,23.5,24.0,16.2,20.8,12.9,12.4,226.0,98.0,119.0,59.9,43.0,0.05,0.67,0.47,0.15,0.13,0.95,30.0,30.4,31.1,1.5,,,,
1961-10-01,2.1,18.2,21.4,22.3,21.4,23.2,25.2,15.7,20.7,12.9,12.3,226.0,98.0,120.3,60.3,47.6,0.05,0.67,0.46,0.13,0.13,0.95,30.0,30.3,31.2,2.0,,,,
1961-11-01,2.1,18.3,21.6,22.5,21.9,23.6,26.0,15.9,20.3,12.9,12.3,226.0,100.0,128.3,61.7,48.4,0.05,0.67,0.48,0.15,0.16,0.95,30.0,30.2,31.2,1.75,,,,
1961-12-01,2.1,18.4,21.6,23.2,21.7,23.7,25.6,15.6,20.4,12.9,12.4,226.0,101.0,120.1,62.5,48.4,0.05,0.67,0.54,0.14,0.11,0.95,30.0,30.2,31.2,2.5,,,,
1962-01-01,2.0,18.2,21.3,22.4,21.4,23.3,25.2,15.5,20.5,12.6,12.4,236.0,101.0,117.8,60.6,48.0,0.05,0.67,0.46,0.13,0.1,0.97,30.0,30.3,31.2,1.5,,,,
1962-02-01,2.0,18.2,21.4,22.8,21.4,23.0,25.4,15.8,20.7,12.6,12.3,237.0,101.0,119.2,61.4,48.0,0.05,0.67,0.49,0.14,0.1,0.97,30.1,30.5,31.2,2.75,,,,
1962-03-01,2.0,18.2,21.4,22.0,21.6,22.9,25.9,16.1,20.6,12.6,12.2,223.0,103.0,123.8,61.7,48.8,0.06,0.67,0.44,0.15,0.11,0.97,30.1,30.5,31.3,2.75,,,,
1962-04-01,2.0,18.2,21.4,22.2,21.7,23.0,26.3,15.7,20.5,12.6,12.2,220.0,104.0,130.8,62.1,48.8,0.06,0.67,0.46,0.15,0.1,0.97,30.2,30.6,31.3,2.5,,,,
1962-05-01,2.0,18.3,21.7,22.0,22.1,22.7,27.8,16.0,20.5,12.6,12.2,219.0,104.0,149.1,63.6,49.6,0.06,0.67,0.47,0.14,0.1,0.97,30.2,30.5,31.4,2.75,,,,
1962-06-01,2.0,18.3,21.6,21.9,22.0,22.5,27.6,16.2,20.3,12.6,12.2,216.0,102.0,144.1,64.3,49.6,0.06,0.67,0.47,0.12,0.1,0.97,30.2,30.6,31.4,2.75,,,,
1962-07-01,2.0,18.2,21.5,21.9,21.9,22.3,27.6,16.2,20.3,12.6,12.2,213.0,101.0,144.2,65.4,48.8,0.06,0.68,0.46,0.12,0.11,0.97,30.3,30.7,31.4,2.75,,,,
1962-08-01,2.0,18.1,21.3,22.0,21.7,22.0,27.3,16.3,20.2,12.6,12.2,209.0,95.0,142.9,66.5,47.2,0.06,0.68,0.46,0.12,0.11,0.97,30.3,30.7,31.4,3.0,,,,
1962-09-01,2.0,18.2,21.5,22.0,21.9,22.4,27.1,16.6,20.2,12.6,12.2,205.0,95.0,140.6,65.8,47.6,0.06,0.69,0.45,0.12,0.11,0.97,30.4,31.0,31.5,2.75,,,,
1962-10-01,2.0,18.1,21.2,21.7,21.5,21.8,27.1,16.1,20.3,12.6,12.2,197.0,97.0,143.0,64.3,47.6,0.07,0.69,0.44,0.12,0.11,0.97,30.4,30.8,31.6,3.0,,,,
1962-11-01,2.0,18.4,21.7,21.7,22.3,22.5,27.7,16.9,20.4,12.6,12.2,208.0,101.0,142.5,68.7,48.4,0.08,0.69,0.44,0.15,0.14,0.97,30.4,30.8,31.6,2.88,,,,
1962-12-01,2.0,18.4,21.7,22.1,22.1,22.7,26.9,16.9,20.5,12.6,12.2,211.0,102.0,121.1,67.6,51.2,0.09,0.72,0.45,0.13,0.1,0.97,30.4,30.6,31.6,3.0,,,,
1963-01-01,2.0,18.6,22.1,22.2,22.8,23.2,27.3,18.0,20.4,12.7,12.2,218.0,107.0,121.8,67.2,52.8,0.12,0.65,0.5,0.13,0.08,0.95,30.4,31.0,31.5,3.0,,,,
1963-02-01,2.0,18.8,22.3,22.3,23.2,23.5,27.6,18.8,20.3,12.7,12.2,218.0,110.0,123.4,68.3,53.2,0.13,0.61,0.54,0.13,0.08,0.95,30.4,31.0,31.5,3.0,,,,
1963-03-01,2.0,18.8,22.4,22.2,23.3,23.3,27.5,19.6,20.2,12.7,12.2,218.0,109.0,123.3,69.5,52.4,0.14,0.62,0.53,0.13,0.08,0.95,30.5,30.9,31.6,3.0,,,,
1963-04-01,2.0,19.0,22.7,22.6,23.8,22.9,27.6,21.5,20.2,12.7,12.2,218.0,107.0,122.4,70.9,52.0,0.16,0.62,0.56,0.13,0.1,0.95,30.5,30.8,31.7,3.0,,,,
1963-05-01,2.0,19.5,23.5,23.0,24.9,23.1,27.3,25.1,20.2,12.7,12.2,218.0,109.0,123.2,67.6,52.4,0.22,0.61,0.61,0.13,0.11,0.95,30.5,30.8,31.7,3.0,,,,
1963-06-01,2.0,19.5,23.4,22.5,24.9,23.4,27.2,24.9,20.1,12.7,12.3,220.0,108.0,128.1,58.4,55.5,0.22,0.61,0.56,0.13,0.12,0.95,30.6,31.0,31.8,3.0,,,,
1963-07-01,2.0,19.4,23.2,22.1,24.8,23.5,27.6,24.0,19.9,12.7,12.2,222.0,109.0,130.6,57.7,56.7,0.2,0.62,0.52,0.13,0.09,0.95,30.7,31.4,31.8,3.5,,,,
1963-08-01,2.0,19.0,22.6,22.0,24.0,23.1,27.4,22.0,19.5,12.7,12.3,225.0,106.0,129.9,58.4,55.5,0.14,0.61,0.52,0.17,0.09,0.95,30.7,31.4,31.9,3.5,,,,
1963-09-01,2.0,19.0,22.7,22.4,24.1,23.3,27.7,22.1,19.3,12.7,12.3,225.0,109.0,130.3,60.6,55.9,0.16,0.62,0.55,0.16,0.09,0.95,30.7,31.2,31.9,3.5,,,,
1963-10-01,2.0,19.8,23.7,22.8,25.8,24.2,27.5,26.2,19.2,12.7,12.4,227.0,117.0,128.7,65.0,53.2,0.23,0.63,0.58,0.18,0.09,0.95,30.8,31.0,32.0,3.5,,,,
1963-11-01,2.0,19.8,23.7,22.8,25.8,24.1,27.1,26.9,19.2,12.7,12.5,230.0,116.0,124.8,65.0,52.4,0.25,0.63,0.57,0.15,0.09,0.95,30.8,31.1,32.1,3.5,,,,
1963-12-01,2.0,19.7,23.6,22.8,25.6,24.4,27.2,25.7,19.1,12.7,12.6,232.0,114.0,121.5,65.0,53.5,0.23,0.65,0.57,0.16,0.08,0.95,30.9,31.2,32.1,3.25,,,,
1964-01-01,1.9,20.1,24.0,23.8,25.9,24.6,27.6,26.0,19.5,15.6,12.5,233.0,117.0,124.0,64.0,55.1,0.23,0.7,0.55,0.15,0.08,0.93,30.9,31.3,32.1,3.5,,,,
1964-02-01,1.9,19.8,23.5,23.5,25.1,24.0,27.0,24.8,19.6,15.6,12.7,233.0,113.0,119.1,66.1,52.8,0.2,0.72,0.51,0.16,0.08,0.93,30.9,31.4,32.1,3.5,,,,
1964-03-01,1.9,19.8,23.3,24.6,24.5,23.9,27.2,23.0,19.6,15.6,13.2,233.0,111.0,115.1,66.9,54.3,0.16,0.78,0.51,0.16,0.09,0.93,30.9,31.3,32.2,3.5,,,,
1964-04-01,1.9,20.1,23.4,24.2,24.8,23.3,27.6,24.3,19.4,15.6,13.9,233.0,107.0,116.9,67.6,55.5,0.17,0.82,0.48,0.2,0.09,0.93,30.9,31.3,32.2,3.5,,,,
