Tarih,tufe,gida,islenmemis_gida,islenmis_gida
2005-01-01,3.59652332,2.498604,2.076843,2.94926
2005-02-01,3.59738699,2.520253,2.106537,2.960938
2005-03-01,3.60671488,2.522709,2.104457,2.968723
2005-04-01,3.63247488,2.498381,2.060578,2.967685
2005-05-01,3.6657744,2.498604,2.058687,2.97028
2005-06-01,3.66954416,2.45776,1.982278,2.971577
2005-07-01,3.64849635,2.429415,1.927619,2.974172
2005-08-01,3.67959685,2.42763,1.919109,2.98066
2005-09-01,3.71729441,2.460216,1.969606,2.991818
2005-10-01,3.78389345,2.515567,2.063415,3.001161
2005-11-01,3.83698419,2.5977,2.205641,3.0118
2005-12-01,3.85300566,2.590781,2.178785,3.028149
2006-01-01,3.88190713,2.624929,2.217746,3.055916
2006-02-01,3.89038908,2.688092,2.322524,3.068113
2006-03-01,3.90107006,2.722909,2.370563,3.086797
2006-04-01,3.95321836,2.739649,2.395529,3.093284
2006-05-01,4.02735692,2.759289,2.427492,3.097956
2006-06-01,4.04086521,2.684298,2.283563,3.10626
2006-07-01,4.07510717,2.72224,2.31912,3.146223
2006-08-01,4.05720082,2.689431,2.216233,3.197345
2006-09-01,4.10934913,2.766431,2.325361,3.234973
2006-10-01,4.16149743,2.787411,2.336142,3.267411
2006-11-01,4.21521647,2.863072,2.443,3.30452
2006-12-01,4.22495501,2.880258,2.46059,3.320869
2007-01-01,4.26736477,3.008145,2.677522,3.336699
2007-02-01,4.28558526,3.056354,2.734072,3.373548
2007-03-01,4.32485356,3.075325,2.749392,3.396644
2007-04-01,4.37700187,3.10434,2.793838,3.406246
2007-05-01,4.39899211,3.052783,2.696625,3.411696
2007-06-01,4.38831114,2.993638,2.586172,3.416367
2007-07-01,4.3562682,2.972435,2.526029,3.443614
2007-08-01,4.35721064,3.022653,2.576148,3.492401
2007-09-01,4.40213358,3.091841,2.643857,3.561948
2007-10-01,4.48192676,3.19741,2.770385,3.639021
2007-11-01,4.56925947,3.215042,2.748635,3.704156
2007-12-01,4.57931215,3.226648,2.731046,3.751126
2008-01-01,4.61606728,3.28557,2.811805,3.782526
2008-02-01,4.6757551,3.451622,3.054649,3.851554
2008-03-01,4.72067803,3.487556,3.028738,3.961584
2008-04-01,4.79984293,3.52282,2.981834,4.095228
2008-05-01,4.87146831,3.531747,2.919231,4.190466
2008-06-01,4.85387611,3.411672,2.627592,4.280774
2008-07-01,4.88183514,3.426625,2.620594,4.322035
2008-08-01,4.86989758,3.425509,2.593737,4.352137
2008-09-01,4.89188782,3.434214,2.619838,4.339421
2008-10-01,5.01911712,3.56835,2.860223,4.342276
2008-11-01,5.06089859,3.593571,2.916394,4.329041
2008-12-01,5.04016493,3.610756,2.946088,4.330858
2009-01-01,5.05461566,3.663652,3.048218,4.323851
2009-02-01,5.03733761,3.664322,3.07394,4.294268
2009-03-01,5.09294152,3.807609,3.337777,4.290635
2009-04-01,5.09388396,3.794218,3.306003,4.299458
2009-05-01,5.12655519,3.80136,3.316027,4.302831
2009-06-01,5.13220982,3.741992,3.214842,4.294527
2009-07-01,5.14508983,3.71811,3.159616,4.3088
2009-08-01,5.12969665,3.659635,3.042355,4.322035
2009-09-01,5.14980202,3.667446,3.057486,4.320997
2009-10-01,5.27388985,3.775916,3.236971,4.342276
2009-11-01,5.34080304,3.859389,3.382034,4.350321
2009-12-01,5.36907621,3.945094,3.516317,4.376011
2010-01-01,5.46834648,4.007364,3.605208,4.408449
2010-02-01,5.54751137,4.208234,3.949237,4.447894
2010-03-01,5.57986845,4.234347,3.98763,4.46035
2010-04-01,5.61316797,4.240373,3.998222,4.461129
2010-05-01,5.5930626,4.054457,3.653815,4.453084
2010-06-01,5.56164796,3.952236,3.47868,4.432843
2010-07-01,5.53494552,3.923221,3.408512,4.449191
2010-08-01,5.55724991,4.039057,3.610315,4.468914
2010-09-01,5.62541968,4.22966,3.936187,4.50758
2010-10-01,5.7284597,4.420934,4.249765,4.561297
2010-11-01,5.73003043,4.337461,4.050611,4.60697
2010-12-01,5.71275238,4.222072,3.816089,4.624616
2011-01-01,5.73631336,4.290145,3.895334,4.680409
2011-02-01,5.77809483,4.399061,4.063661,4.724006
2011-03-01,5.80228411,4.381206,4.009759,4.745285
2011-04-01,5.85254753,4.360226,3.965124,4.750216
2011-05-01,5.99422756,4.565783,4.352463,4.75852
2011-06-01,5.90846559,4.273405,3.777695,4.772014
2011-07-01,5.88427632,4.223188,3.639819,4.816649
2011-08-01,5.92700023,4.28144,3.717741,4.852979
2011-09-01,5.97160902,4.323846,3.739869,4.916817
2011-10-01,6.16700808,4.498603,4.022619,4.974167
2011-11-01,6.27350371,4.645908,4.242767,5.041898
2011-12-01,6.30963055,4.737416,4.384426,5.078747
2012-01-01,6.34512909,4.790758,4.437383,5.132724
2012-02-01,6.38094178,4.890524,4.600413,5.172169
2012-03-01,6.40733008,4.874231,4.544998,5.192929
2012-04-01,6.50440132,4.868205,4.508874,5.215765
2012-05-01,6.49057888,4.751477,4.235013,5.247944
2012-06-01,6.4324618,4.588995,3.874152,5.273635
2012-07-01,6.41769691,4.605734,3.880015,5.300883
2012-08-01,6.4535096,4.672914,3.991413,5.326055
2012-09-01,6.52010864,4.773126,4.145743,5.374841
2012-10-01,6.64796623,4.852582,4.23785,5.442312
2012-11-01,6.67309794,4.846779,4.163333,5.501998
2012-12-01,6.6985438,4.921993,4.262437,5.554677
2013-01-01,6.80880919,5.118846,4.616111,5.586856
2013-02-01,6.82922871,5.164154,4.686279,5.606059
2013-03-01,6.87446579,5.269276,4.853659,5.645244
2013-04-01,6.90336726,5.200757,4.718431,5.646801
2013-05-01,6.91341994,5.087377,4.467076,5.677942
2013-06-01,6.96619654,5.18,4.625568,5.701297
2013-07-01,6.98787264,5.191606,4.630674,5.719462
2013-08-01,6.98064727,5.151655,4.504903,5.768768
2013-09-01,7.03405216,5.189597,4.519466,5.830789
2013-10-01,7.16065316,5.3927,4.871059,5.8775
2013-11-01,7.16128146,5.320386,4.701598,5.906564
2013-12-01,7.19426683,5.397833,4.811294,5.949642
2014-01-01,7.33657515,5.67615,5.261425,6.0345
2014-02-01,7.36798979,5.683292,5.18426,6.134149
2014-03-01,7.45092444,5.802475,5.330458,6.221602
2014-04-01,7.55113714,5.884832,5.42786,6.285699
2014-05-01,7.58098105,5.805377,5.232866,6.334746
2014-06-01,7.60454203,5.826133,5.215277,6.397286
2014-07-01,7.63909814,5.843542,5.191068,6.460345
2014-08-01,7.64632351,5.895322,5.228138,6.527297
2014-09-01,7.65700448,5.9134,5.216412,6.577641
2014-10-01,7.80245427,6.070079,5.450177,6.646929
2014-11-01,7.81659086,6.08481,5.420673,6.710247
2014-12-01,7.78203475,6.085033,5.400436,6.732565
2015-01-01,7.86779672,6.299071,5.755245,6.79251
2015-02-01,7.92402893,6.462,6.02173,6.842075
2015-03-01,8.0179587,6.621803,6.286324,6.887488
2015-04-01,8.14864361,6.729827,6.45257,6.931604
2015-05-01,8.19450898,6.549267,6.080172,6.959371
2015-06-01,8.15241336,6.366698,5.703612,6.987397
2015-07-01,8.15963873,6.38433,5.68886,7.039298
2015-08-01,8.19230996,6.467803,5.794395,7.097946
2015-09-01,8.26550607,6.547927,5.90655,7.142321
2015-10-01,8.39399195,6.597476,5.962532,7.18462
2015-11-01,8.44991001,6.663763,6.042724,7.234964
2015-12-01,8.46750221,6.746343,6.147124,7.293093
2016-01-01,8.62143395,7.035373,6.63735,7.363678
2016-02-01,8.61954907,7.032695,6.557159,7.443605
2016-03-01,8.61609346,6.925341,6.299941,7.497322
2016-04-01,8.68363494,6.822897,6.06958,7.532874
2016-05-01,8.73389836,6.711079,5.82371,7.565312
2016-06-01,8.77505154,6.788972,5.966882,7.572578
2016-07-01,8.87714912,7.002787,6.328311,7.626036
2016-08-01,8.85138912,6.868204,6.050667,7.646018
2016-09-01,8.86741058,6.820218,5.938324,7.667297
2016-10-01,8.99495402,6.940294,6.138235,7.700514
2016-11-01,9.04144769,6.900343,6.041589,7.721793
2016-12-01,9.19003894,7.12755,6.424768,7.779403
2017-01-01,9.41622435,7.58174,7.212686,7.86478
2017-02-01,9.49256193,7.645796,7.238408,7.96936
2017-03-01,9.58900488,7.793324,7.451747,8.043318
2017-04-01,9.71434929,7.889072,7.563145,8.120391
2017-05-01,9.7577015,7.845773,7.415434,8.190976
2017-06-01,9.73162734,7.762747,7.232166,8.218224
2017-07-01,9.74607808,7.707619,7.048899,8.302822
2017-08-01,9.79665565,7.690433,6.919912,8.406883
2017-09-01,9.86042737,7.673025,6.827238,8.471499
2017-10-01,10.06525083,7.824347,6.997266,8.600213
2017-11-01,10.21541281,7.989061,7.218738,8.700901
2017-12-01,10.28546746,8.110253,7.424134,8.728667
2018-01-01,10.39039236,8.245728,7.541395,8.882034
2018-02-01,10.46641579,8.430752,7.724284,9.065763
2018-03-01,10.57039825,8.601715,7.922115,9.20304
2018-04-01,10.76831048,8.58386,7.842302,9.255979
2018-05-01,10.94297588,8.708623,8.044861,9.289974
2018-06-01,11.22884911,9.2291,8.912024,9.407529
2018-07-01,11.29073595,9.203211,8.769231,9.514185
2018-08-01,11.54990674,9.209013,8.602228,9.71582
2018-09-01,12.27809811,9.798233,9.151275,10.339407
2018-10-01,12.60575281,10.114046,9.417192,10.705567
2018-11-01,12.42386204,10.039054,9.233736,10.754613
2018-12-01,12.37359861,10.147078,9.434971,10.755132
