kod,ad,kuyruk,hane,seviye,ust,bas,son
TP.TUKFIY2025.GENEL,Genel Endeks,GENEL,5,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.01,01. Gıda Ve Alkolsüz İçecekler,01,2,1,-1,01-01-2005,01-07-2026
TP.TUKFIY2025.011,011. Gıda,011,3,2,TP.TUKFIY2025.01,01-01-2005,01-07-2026
TP.TUKFIY2025.0111,0111. Tahıllar Ve Tahıl Ürünleri,0111,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01111,01111. Tahıllar,01111,5,4,TP.TUKFIY2025.0111,01-01-2005,01-07-2026
TP.TUKFIY2025.01112,01112. Tahıl Unları,01112,5,4,TP.TUKFIY2025.0111,01-01-2005,01-07-2026
TP.TUKFIY2025.01113,01113. Ekmek Ve Unlu Mamuller,01113,5,4,TP.TUKFIY2025.0111,01-01-2005,01-07-2026
TP.TUKFIY2025.01114,01114. Kahvaltılık Tahıl Ürünleri,01114,5,4,TP.TUKFIY2025.0111,01-01-2005,01-07-2026
TP.TUKFIY2025.01115,"01115. Makarna, Erişte, Kuskus Ve Benzeri Makarna Ürünleri",01115,5,4,TP.TUKFIY2025.0111,01-01-2005,01-07-2026
TP.TUKFIY2025.0112,"0112. Canlı Hayvanlar, Kesilen Kara Hayvanlarının Etleri Ve Diğer Kısımları",0112,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01122,"01122. Et, Taze, Soğutulmuş Veya Dondurulmuş",01122,5,4,TP.TUKFIY2025.0112,01-01-2005,01-07-2026
TP.TUKFIY2025.01123,"01123. Et, Kurutulmuş, Tuzlanmış, Salamura Edilmiş Veya Tütsülenmiş",01123,5,4,TP.TUKFIY2025.0112,01-01-2005,01-07-2026
TP.TUKFIY2025.01124,"01124. Kesilmiş Hayvanların Sakatat Ve Diğer Parçaları Taze, Soğutulmuş Veya Dondurulmuş, Kurutulmuş, Tuzlanmış, Salamura Edilmiş Veya Tütsülenmiş",01124,5,4,TP.TUKFIY2025.0112,01-01-2005,01-07-2026
TP.TUKFIY2025.01125,"01125. Kesilmiş Hayvanların Et, Sakatat Ve Diğer Parçalarından Yemeye Hazır Hale Getirilmiş Ürünler",01125,5,4,TP.TUKFIY2025.0112,01-01-2005,01-07-2026
TP.TUKFIY2025.0113,0113. Balıklar Ve Diğer Su Ürünleri,0113,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01131,"01131. Balıklar, Canlı, Taze, Soğutulmuş Veya Dondurulmuş",01131,5,4,TP.TUKFIY2025.0113,01-01-2005,01-07-2026
TP.TUKFIY2025.01133,01133. Konserve Edilmiş Veya İşlenmiş Balık Ürünleri,01133,5,4,TP.TUKFIY2025.0113,01-12-2018,01-07-2026
TP.TUKFIY2025.0114,"0114. Süt, Diğer Süt Ürünleri Ve Yumurtalar",0114,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01141,01141. Çiğ Ve Tam Yağlı Süt,01141,5,4,TP.TUKFIY2025.0114,01-01-2005,01-07-2026
TP.TUKFIY2025.01142,01142. Yağı Alınmış Süt,01142,5,4,TP.TUKFIY2025.0114,01-12-2023,01-07-2026
TP.TUKFIY2025.01143,01143. Diğer Sütler Ve Krema,01143,5,4,TP.TUKFIY2025.0114,01-12-2025,01-07-2026
TP.TUKFIY2025.01145,01145. Peynir,01145,5,4,TP.TUKFIY2025.0114,01-01-2005,01-07-2026
TP.TUKFIY2025.01146,01146. Yoğurt Ve Benzeri Ürünler,01146,5,4,TP.TUKFIY2025.0114,01-01-2005,01-07-2026
TP.TUKFIY2025.01147,01147. Süt Bazlı Tatlı Ve İçecekler,01147,5,4,TP.TUKFIY2025.0114,01-12-2018,01-07-2026
TP.TUKFIY2025.01148,01148. Yumurtalar,01148,5,4,TP.TUKFIY2025.0114,01-01-2005,01-07-2026
TP.TUKFIY2025.0115,0115. Sıvı Ve Katı Yağlar,0115,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01151,01151. Bitkisel Sıvı Yağlar,01151,5,4,TP.TUKFIY2025.0115,01-01-2005,01-07-2026
TP.TUKFIY2025.01152,01152. Tereyağı Ve Sütten Elde Edilen Diğer Yağlar,01152,5,4,TP.TUKFIY2025.0115,01-01-2005,01-07-2026
TP.TUKFIY2025.01153,01153. Margarin,01153,5,4,TP.TUKFIY2025.0115,01-01-2005,01-07-2026
TP.TUKFIY2025.0116,0116. Meyveler Ve Sert Kabuklu Meyveler,0116,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01161,"01161. Hurma, İncir Ve Tropikal Meyveler, Taze",01161,5,4,TP.TUKFIY2025.0116,01-01-2005,01-07-2026
TP.TUKFIY2025.01162,"01162. Turunçgiller, Taze",01162,5,4,TP.TUKFIY2025.0116,01-01-2005,01-07-2026
TP.TUKFIY2025.01163,"01163. Sert Çekirdekli Ve Yumuşak Çekirdekli Meyveler, Taze",01163,5,4,TP.TUKFIY2025.0116,01-01-2005,01-07-2026
TP.TUKFIY2025.01164,"01164. Üzümsü Meyveler, Taze",01164,5,4,TP.TUKFIY2025.0116,01-04-2005,01-07-2026
TP.TUKFIY2025.01165,"01165. Diğer Meyveler, Taze",01165,5,4,TP.TUKFIY2025.0116,01-05-2005,01-07-2026
TP.TUKFIY2025.01167,01167. Kurutulmuş Ve Dehidre Meyveler,01167,5,4,TP.TUKFIY2025.0116,01-01-2005,01-07-2026
TP.TUKFIY2025.01168,"01168. Sert Kabuklu Meyveler, Kabuklu Veya Kabuksuz",01168,5,4,TP.TUKFIY2025.0116,01-01-2005,01-07-2026
TP.TUKFIY2025.0117,"0117. Sebzeler, Yumrulu Sebzeler, Plantainler, Yemeklik Muzlar Ve Bakliyat",0117,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01171,"01171. Yeşil Yapraklı Veya Saplı Sebzeler, Taze Veya Soğutulmuş",01171,5,4,TP.TUKFIY2025.0117,01-01-2005,01-07-2026
TP.TUKFIY2025.01172,"01172. Meyvesi Yenen Sebzeler, Taze Veya Soğutulmuş Domates, Biber, Salatalık, Kabak Vb.",01172,5,4,TP.TUKFIY2025.0117,01-01-2005,01-07-2026
TP.TUKFIY2025.01173,"01173. Yeşil Baklagil Sebzeleri, Taze Veya Soğutulmuş",01173,5,4,TP.TUKFIY2025.0117,01-05-2005,01-07-2026
TP.TUKFIY2025.01174,"01174. Diğer Sebzeler, Taze Veya Soğutulmuş Soğan, Sarımsak, Havuç, Mantar, Zeytin Vb.",01174,5,4,TP.TUKFIY2025.0117,01-01-2005,01-07-2026
TP.TUKFIY2025.01175,01175. Yumrulu Sebzeler,01175,5,4,TP.TUKFIY2025.0117,01-01-2005,01-07-2026
TP.TUKFIY2025.01176,01176. Kuru Baklagiller,01176,5,4,TP.TUKFIY2025.0117,01-01-2005,01-07-2026
TP.TUKFIY2025.01179,"01179. Konserve Edilmiş Veya İşlenmiş Sebze İçerikli Ürünler Salça, Turşu, Zeytin Vb.",01179,5,4,TP.TUKFIY2025.0117,01-01-2005,01-07-2026
TP.TUKFIY2025.0118,"0118. Şeker, Şekerlemeler Ve Tatlılar",0118,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01181,01181. Şeker,01181,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.01183,"01183. Reçel, Meyve Jöleleri, Marmelat, Meyve Püreleri Ve Ezmeleri, Bal",01183,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.01184,"01184. Sert Kabuklu Meyve Püresi, Meyve Ezmesi Ve Macunu",01184,5,4,TP.TUKFIY2025.0118,01-12-2012,01-07-2026
TP.TUKFIY2025.01185,"01185. Çikolata, Kakao, Kakao Bazlı Gıda Ürünleri",01185,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.01186,"01186. Buz, Dondurma Ve Buzlu Şerbet Sorbe",01186,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.01189,01189. Başka Yerde Sınıflandırılmamış Tatlılar Ve Diğer Şekerlemeler,01189,5,4,TP.TUKFIY2025.0118,01-01-2005,01-07-2026
TP.TUKFIY2025.0119,0119. Yemeye Hazır Gıdalar Ve Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri,0119,4,3,TP.TUKFIY2025.011,01-01-2005,01-07-2026
TP.TUKFIY2025.01191,"01191. Yemeye Hazır Gıdalar Hazır Pizza, Börek, Çorba Vb.",01191,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01192,01192. Bebek Mamaları,01192,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01193,"01193. Tuz, Çeşniler Ve Soslar",01193,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01194,"01194. Baharatlar, Yemeklerde Kullanılan Otlar Ve Tohumlar",01194,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.01199,01199. Başka Yerde Sınıflandırılmamış Diğer Gıda Ürünleri,01199,5,4,TP.TUKFIY2025.0119,01-01-2005,01-07-2026
TP.TUKFIY2025.012,012. Alkolsüz İçecekler,012,3,2,TP.TUKFIY2025.01,01-01-2005,01-07-2026
TP.TUKFIY2025.0121,0121. Meyve Ve Sebze Suları,0121,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01210,01210. Meyve Ve Sebze Suları,01210,5,4,TP.TUKFIY2025.0121,01-01-2005,01-07-2026
TP.TUKFIY2025.0122,0122. Kahve Ve Kahve İkameleri,0122,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01220,01220. Kahve,01220,5,4,TP.TUKFIY2025.0122,01-01-2005,01-07-2026
TP.TUKFIY2025.0123,"0123. Çay, Mate Çayı Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler",0123,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01230,01230. Çay Ve Demlenerek Hazırlanan Diğer Bitkisel Ürünler,01230,5,4,TP.TUKFIY2025.0123,01-01-2005,01-07-2026
TP.TUKFIY2025.0125,0125. Maden Suları Ve Kaynak Suları,0125,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
TP.TUKFIY2025.01250,01250. Maden Suları Ve Kaynak Suları,01250,5,4,TP.TUKFIY2025.0125,01-01-2005,01-07-2026
TP.TUKFIY2025.0126,0126. Meşrubatlar,0126,4,3,TP.TUKFIY2025.012,01-01-2005,01-07-2026
