tarih,g3_011,g3_012,g3_021,g3_023,g3_031,g3_032,g3_041,g3_043,g3_044,g3_045,g3_051,g3_052,g3_053,g3_054,g3_055,g3_056,g3_061,g3_062,g3_063,g3_064,g3_071,g3_072,g3_073,g3_074,g3_081,g3_083,g3_092,g3_093,g3_094,g3_095,g3_096,g3_097,g3_098,g3_101,g3_102,g3_104,g3_105,g3_111,g3_112,g3_121,g3_122,g3_131,g3_132,g3_133,g3_139
2005-01-01,2.45414516,3.26049367,1.81242409,2.59401461,15.3169185,15.08636954,2.42125997,3.27921165,3.55519451,3.92774404,3.90881059,5.26747103,3.48239176,5.94232217,5.99020843,4.56657782,8.48665871,5.645584,2.81820919,5.79187878,4.32130326,3.53315078,3.00333861,1.66902967,54.0280648,14.20916273,6.50288562,,4.32565771,4.32903792,2.98575188,3.58608753,5.61393131,3.38203123,3.14433174,3.4945489,4.63929739,1.80809115,4.46584095,2.67245305,38.684413,4.59195487,1.88557795,2.44014563,2.59204591
2005-02-01,2.47672045,3.26170178,2.11717624,2.61602044,14.23223926,14.12027597,2.45127032,3.31810198,3.54927837,3.93983508,3.95016849,5.24646966,3.53814642,5.96956069,6.03300399,4.58045159,8.43465113,5.64639571,3.01456916,5.29690987,4.35410075,3.54941549,3.01344665,1.6785429,54.34376224,14.2041829,6.5633737,,4.41689688,4.3114787,3.03922952,3.53811477,5.56111259,3.36920485,3.17975723,3.49449152,4.57077343,1.83936405,4.51777992,2.74389186,39.32124075,4.64054914,1.8339876,2.4104141,2.61779596
2005-03-01,2.47895819,3.26811137,2.15954453,2.61608554,13.67852607,13.86577093,2.47764143,3.3419425,3.55738874,3.99571537,3.92689008,5.21315029,3.55411479,5.96188298,6.07011224,4.59178982,8.4919712,5.71638925,3.20398191,4.98192726,4.33894911,3.60762248,3.03003706,1.68345544,55.76224252,14.20384543,6.59003968,,4.46235375,4.23255902,3.0446328,3.35322697,5.46908557,3.37106271,3.17959714,3.49457903,4.55715773,1.86024977,4.69629488,2.7065288,39.32415308,4.69924246,1.86257751,2.42750581,2.6306562
2005-04-01,2.45262137,3.28322551,2.17458986,2.61609048,14.7573332,15.32270079,2.495413,3.35528986,3.37197336,4.07259012,3.96249376,5.23256848,3.59197074,5.9426429,6.10493016,4.60206149,8.49092324,5.8330322,3.20512556,5.00513339,4.42245779,3.74596243,3.03882661,1.70062599,54.62774586,14.20595649,6.66508835,,4.46546082,4.22506164,3.04476624,3.36722175,5.35380684,3.36835454,3.17976876,3.49450419,4.54739718,1.86841817,4.77063459,2.60293905,39.96965055,4.71590229,1.89397167,2.436013,2.48258032
2005-05-01,2.4521695,3.29638843,2.17508617,2.61603789,16.34871318,15.88927722,2.52637031,3.36032079,3.30408118,4.04951345,4.0271665,5.22412414,3.58260587,5.93940009,6.12790245,4.6234046,8.48688786,5.85234817,3.20662666,5.00273011,4.47601121,3.69967935,3.06834906,1.73607796,57.72368373,14.2862298,6.71086308,,4.50389498,4.28418278,3.03231251,3.4585694,5.70554649,3.36845307,3.17993867,3.49469091,4.59129838,1.89454518,4.78756641,2.56443788,39.96410228,4.73104413,1.89292932,2.44144297,2.4792995
2005-06-01,2.40905805,3.3005609,2.19409542,2.61607971,16.51825073,15.91961012,2.56981308,3.37393348,3.3156622,4.05346172,4.09884978,5.19745167,3.63469407,5.93195744,6.12541433,4.65224406,8.47561014,5.88087718,3.20955129,5.00014003,4.46386751,3.74691849,3.08911275,1.79363468,59.29425112,14.32541034,6.73777456,,4.52812352,4.27935964,3.00522734,3.52192708,6.00485289,3.55105142,3.43346052,3.4945829,4.71445488,1.90938198,4.82165184,2.67514217,39.96094358,4.75892071,1.90887771,2.52505938,2.48242534
2005-07-01,2.37790771,3.32707697,2.19595012,2.67208241,15.17882517,15.0300843,2.61931369,3.38430602,3.2756354,4.09536459,4.11794968,5.17575576,3.5575486,5.92480532,6.10575331,4.65469448,8.14239425,5.93634394,3.22593817,5.02448728,4.41469562,3.79778262,3.14591541,1.83377856,57.67017908,14.32052522,6.69995264,,4.54263569,4.27194929,3.00623485,3.55823626,6.28693175,3.59793093,3.50095369,3.49471547,4.75692586,1.92408583,4.88004006,2.66569378,39.96154101,4.77827828,1.87373282,2.54405208,2.48910616
2005-08-01,2.37501429,3.3466083,2.19551946,3.16215787,14.38348715,14.34015795,2.68863347,3.3821542,3.30604481,4.10437006,4.10022642,5.17420044,3.64141696,5.92669444,6.11713148,4.56425436,7.80288835,5.98512316,3.25120411,5.03514992,4.41281787,3.85137247,3.22016502,1.8726649,58.05261586,14.33416323,6.64174495,,4.65439623,4.30809333,3.00149124,3.53934885,6.52844274,3.61857138,3.53170423,3.49454323,4.81405781,1.93531514,4.91742373,2.75110925,39.96748777,4.79229568,1.912683,2.59628576,2.49612127
2005-09-01,2.40766197,3.37679283,2.1948684,3.16222686,14.40515599,14.89724618,2.7513193,3.38125592,3.32160349,4.19179901,4.00766517,5.16127165,3.58106244,5.91543356,6.12237658,4.51323673,7.80064568,6.00986028,3.26304187,5.03678318,4.40258654,3.96417832,3.2739877,1.91454872,58.14154613,14.34771455,6.67787819,,4.81988632,4.36834459,3.01243862,3.6288011,5.89706274,3.64502116,3.5322408,3.71370284,4.89523228,1.94944628,5.05339295,2.77837558,39.96132628,4.78840114,1.96771776,2.71314542,2.5090238
2005-10-01,2.46495155,3.39290216,2.19765426,3.16216011,15.5353952,15.74139086,2.80054757,3.38161707,3.32883838,4.27005076,4.16057023,5.23488597,3.67390793,5.91736151,6.13748212,4.5154643,7.80010211,6.02090741,3.27829612,5.05378019,4.40882125,3.98176424,3.29178649,1.92708424,57.65188464,14.51329402,6.73772189,,4.83508887,4.40778925,3.02376946,3.75526426,5.69398377,3.65557289,3.53423527,3.71353158,4.89923389,1.97865334,5.14363946,2.74401344,39.96318201,4.81097685,2.02331924,2.73092626,2.52554264
2005-11-01,2.5506075,3.40442327,2.19927708,3.16221661,16.05100855,16.38842363,2.83331032,3.39010419,3.33323574,4.32739651,4.23984106,5.23377193,3.66667924,5.92385871,6.13973711,4.55611642,7.79635759,6.03556857,3.2873948,5.05819818,4.42053159,3.87725086,3.30695861,1.9322473,57.25589385,14.50129603,6.76359189,,4.82397325,4.39774364,3.05040533,3.78038389,5.52672778,3.65549589,3.54323975,3.71367342,4.91196767,2.0007045,5.17854071,2.84577649,42.06644867,4.83320191,2.0469561,2.73244103,2.52889058
2005-12-01,2.541668,3.4365187,2.20164822,3.32896387,15.88014216,16.50036626,2.86283038,3.40486643,3.33860323,4.33625952,4.26037765,5.21847929,3.70147772,5.92545758,6.14569369,4.6665172,7.8072337,6.03860209,3.28803008,5.06340398,4.39325154,3.87065214,3.31053244,1.9333161,56.88630363,14.49304103,6.81209876,,4.81448582,4.42437072,3.04595913,3.78083276,5.60787259,3.65458933,3.54315053,3.71357992,4.91265224,2.01524429,5.19134454,2.84671004,44.17022239,4.84090617,2.13215089,2.72729408,2.525621
2006-01-01,2.57631359,3.45836527,2.20444747,3.49462499,14.86192494,15.54575387,2.90065191,3.41653128,3.45223828,4.3713802,4.26397453,5.22068795,3.66330532,5.93976507,6.1446514,4.75624265,7.79742512,6.11439705,3.3208177,5.09980806,4.49422891,3.95571283,3.33814272,1.94466046,55.70017794,14.80825375,6.85377611,,4.8120525,4.41529601,3.06559677,3.80616686,5.60447116,3.65566206,3.54335183,3.71353966,4.91572038,2.03422897,5.25150275,2.86926716,44.17291227,4.85279071,2.1891573,2.73340761,2.53594934
2006-02-01,2.64159445,3.47424322,2.2058528,3.49470325,13.5518921,14.52654014,2.95082482,3.43021684,3.53497145,4.40234089,4.01493326,5.23301091,3.66531322,5.95924997,6.15274992,4.78824773,7.80788988,6.17257297,3.36298958,5.13664173,4.51963118,3.94702873,3.35037494,1.94784824,54.44915384,14.82523678,6.86829677,,4.73964176,4.40452427,3.09008621,3.85530328,5.08199788,3.65067645,3.54347792,3.71367181,4.91547832,2.05617777,5.32035969,3.01776591,44.60159937,4.88261352,2.20857902,2.76165177,2.535773
2006-03-01,2.67790753,3.47628109,2.25729178,3.49468663,13.14197618,14.14266138,2.97985676,3.41697038,3.54177253,4.43202148,3.99520906,5.15651874,3.63286315,5.98493386,6.14178477,4.79747839,7.8005612,6.22089617,3.3874868,5.13704,4.51087155,3.97239939,3.35167469,1.99814424,52.55046001,14.82881479,6.93193283,,4.70807719,4.41356227,3.11426428,3.76639071,5.16610497,3.65004027,3.54335833,3.71354647,4.9357067,2.07705856,5.34501065,2.98959052,44.60606627,4.88513827,2.20754674,2.77419533,2.57672632
2006-04-01,2.69509348,3.48283661,2.26517704,3.49475745,14.4621015,15.11067723,3.01017419,3.42454236,3.54703106,4.4216268,4.09840504,5.05576007,3.63336496,5.98470328,6.13863615,4.8031826,7.80509219,6.24456026,3.41211744,5.14205148,4.54302514,4.06780772,3.35982411,2.00979721,51.54180031,14.82903652,7.00095284,,4.78086899,4.40461751,3.12804477,3.92110689,5.7909375,3.65053392,3.54338609,3.71357557,4.95036308,2.09729468,5.41905999,3.02571586,44.60254346,4.89948059,2.349372,2.78456961,2.6105747
2006-05-01,2.71532046,3.48925605,2.26530831,3.49474341,16.41219116,15.65031533,3.04606275,3.46979285,3.5312002,4.43266948,4.06102814,5.06142444,3.75266536,6.02457331,6.18186856,4.79671354,7.80794445,6.62589691,3.51067275,4.98915752,4.60951693,4.157635,3.37209691,2.04381823,54.19743349,14.83428454,7.10532555,,4.93942887,4.39360566,3.13694596,3.88651835,6.14482929,3.67341505,3.56743271,3.71365434,4.96042441,2.11752064,5.63012916,3.02828784,44.6007857,4.89968422,2.62734609,2.78780501,2.61047182
2006-06-01,2.63546716,3.51846386,2.26525844,3.49474875,16.60531112,15.62003326,3.08930193,3.59596324,3.56676885,4.55384969,4.1820572,5.12948195,3.72584949,6.18368962,6.29360015,4.83111476,7.8128219,6.67057204,3.53716007,4.99431155,4.83508175,4.36452409,3.3956733,2.06311869,55.9139249,14.84100685,7.3057425,,4.95994294,4.42830237,3.14564455,3.86140099,6.99794607,3.82442797,3.76157693,3.71363004,5.01821907,2.12861818,5.70163945,3.01112445,45.67798585,4.91528027,2.57252425,2.83515583,2.62060967
2006-07-01,2.67112695,3.60080412,2.2701772,3.49467973,15.36904741,14.78494638,3.15647983,3.68674389,3.6178272,4.62364339,4.26874993,5.27456717,3.8325919,6.33716517,6.43619075,5.01192402,7.49656448,6.72802921,3.57168399,5.01629403,4.98638061,4.49235321,3.47250472,2.11166968,56.35344646,14.86738588,7.55501749,,4.96179575,4.44697621,3.14969008,3.95098481,7.06500141,3.85329788,3.82215516,3.76640586,5.05362217,2.14689289,5.73115644,3.03644159,46.26257972,4.98233103,2.67478047,2.84096172,2.6762622
2006-08-01,2.63410142,3.65637907,2.26810594,3.49467272,14.26666642,13.87676732,3.21876254,3.71998099,3.63455229,4.66711321,4.36964704,5.33210128,3.85330701,6.42399977,6.51155685,5.16150956,7.78331164,6.77372752,3.57728048,5.02059613,5.00720132,4.41849703,3.5545411,2.14557072,55.10930826,14.86286071,7.78370098,,4.9068506,4.51423451,3.18141449,4.00303252,7.37260795,3.86471881,3.83365077,3.80009255,5.05854195,2.16624107,5.76036216,3.13381869,48.36757866,5.06919311,2.58503375,2.87007744,2.71028736
