tarih,tufe,cekirdek_b,cekirdek_c,hizmet,temel_mal,kira,enerji,gida,islenmemis_gida,islenmis_gida,alkol_tutun_altin,yonetilen_haric,mallar,yi_ufe,ykke,ito_ist,ana_01,ana_02,ana_03,ana_04,ana_05,ana_06,ana_07,ana_08,ana_09,ana_10,ana_11,ana_12,ana_13,oktg01,oktg02,oktg03,oktg04,oktg05,oktg06,oktg07,oktg08,oktg09,oktg10,oktg11,oktg12,oktg13,oktg14,oktg15,oktg16,oktg17,oktg18,oktg19,oktg20,oktg21,oktg22,oktg23,oktg24,oktg25,oktg26,oktg27,oktg28,pka_ay_cari,pka_ay_1,pka_ay_2,pka_yilsonu,pka_12a,pka_24a,pka_5y,pka_12a_medyan,pka_12a_std,pka_12a_n,pka_faiz_12a,reel_kesim_12a,hanehalki_12a
2005-01-01,3.59652332,4.212897,4.612002,3.248885,6.729301,2.421269,3.901064,2.498604,2.076843,2.94926,1.937996,3.56835,3.819125,114.83092746,,,2.49870341,2.53091227,15.18311032,3.03163574,4.09330708,5.65279905,3.65118317,20.98038732,4.40387774,3.80937576,1.92597537,2.69673012,2.65377505,3.596523,3.324741,4.212897,4.612002,3.997605,3.673057,3.56835,3.819125,3.901064,2.498604,2.076843,2.263611,1.994305,2.94926,2.493516,3.258838,5.328552,6.729301,15.720648,5.717794,5.00201,1.937996,3.248885,2.421269,1.926036,2.922407,15.080734,3.502,,,,,,,,,,,,,
2005-02-01,3.59738699,4.196801,4.584952,3.268647,6.599784,2.451275,3.910023,2.520253,2.106537,2.960938,1.944084,3.563044,3.812273,114.80514419,,,2.52025961,2.5802375,14.13520119,3.04747852,4.12404166,5.6298787,3.66914393,20.99796638,4.39389556,3.79316526,1.95453086,2.76413476,2.62061419,3.597387,3.342633,4.196801,4.584952,3.985068,3.670482,3.563044,3.812273,3.910023,2.520253,2.106537,2.292153,2.025199,2.960938,2.495343,3.278431,5.251151,6.599784,14.620487,5.77015,5.012577,1.944084,3.268647,2.451275,1.954515,2.932322,15.080734,3.505306,,,,,,,,,,,,,
2005-03-01,3.60671488,4.198264,4.584554,3.298158,6.530044,2.477463,3.961017,2.522709,2.104457,2.968723,1.956096,3.568038,3.813301,117.24628137,,,2.52270858,2.5843749,13.66396345,3.08068522,4.12103067,5.67983428,3.69625608,21.10324834,4.30882426,3.78928678,2.00063819,2.73284225,2.65797913,3.606715,3.364565,4.198264,4.584554,3.997605,3.680137,3.568038,3.813301,3.961017,2.522709,2.104457,2.257105,2.043341,2.968723,2.501509,3.287108,5.214386,6.530044,14.122998,5.78999,4.996956,1.956096,3.298158,2.477463,2.000638,2.948138,15.080734,3.517978,,,,,,,,,,,,,
2005-04-01,3.63247488,4.248383,4.658544,3.313177,6.723697,2.495467,4.009255,2.498381,2.060578,2.967685,1.967779,3.604867,3.844133,119.61544602,,,2.49838095,2.58582762,14.83860651,3.09213732,4.14515087,5.71940977,3.77289267,21.02124106,4.2798874,3.78579381,2.0195209,2.6535974,2.68739496,3.632475,3.385631,4.248383,4.658544,4.046709,3.707817,3.604867,3.844133,4.009255,2.498381,2.060578,2.086904,2.07657,2.967685,2.494658,3.291026,5.342097,6.723697,15.353928,5.841244,5.004307,1.967779,3.313177,2.495467,2.019521,2.957344,15.082162,3.527069,,,,,,,,,,,,,
2005-05-01,3.6657744,4.319719,4.758787,3.347695,6.956579,2.526383,3.967563,2.498604,2.058687,2.97028,1.967943,3.64669,3.877707,119.23228193,,,2.49860414,2.58582762,16.14894346,3.08321654,4.16968154,5.72441933,3.77928526,21.34769123,4.432988,3.7994746,2.03840361,2.62125091,2.68991072,3.665774,3.40006,4.319719,4.758787,4.09233,3.743544,3.64669,3.877707,3.967563,2.498604,2.058687,2.039264,2.102974,2.97028,2.498312,3.292706,5.487707,6.956579,16.724154,5.9432,5.015334,1.967943,3.347695,2.526383,2.038404,2.986379,15.167839,3.573627,,,,,,,,,,,,,
2005-06-01,3.66954416,4.35301,4.805727,3.38801,7.008262,2.570029,3.98617,2.45776,1.982278,2.971577,1.974031,3.650123,3.866401,119.63916111,,,2.4577605,2.58769539,16.28052541,3.10054656,4.21097002,5.7304308,3.80512166,21.51145917,4.55444132,3.92260168,2.05372646,2.71403306,2.71083528,3.669544,3.42661,4.35301,4.805727,4.121235,3.747406,3.650123,3.866401,3.98617,2.45776,1.982278,1.768328,2.144825,2.971577,2.50288,3.291306,5.523505,7.008262,16.859187,6.00768,5.034171,1.974031,3.38801,2.570029,2.053726,3.008097,15.173551,3.650212,,,,,,,,,,,,,
2005-07-01,3.64849635,4.326304,4.766743,3.428588,6.792192,2.619495,4.01718,2.429415,1.927619,2.974172,1.989334,3.618912,3.819125,119.33458771,,,2.42941546,2.63874785,15.06750428,3.12756216,4.19798914,5.65127982,3.84001866,21.38462765,4.65957782,3.95811351,2.07353782,2.70611814,2.6857822,3.648496,3.443059,4.326304,4.766743,4.105216,3.721335,3.618912,3.819125,4.01718,2.429415,1.927619,1.598337,2.160452,2.974172,2.501966,3.296624,5.397245,6.792192,15.588458,5.939342,5.005226,1.989334,3.428588,2.619495,2.073538,3.063807,15.174979,3.698147,,,,,,,,,,,,,
2005-08-01,3.67959685,4.322646,4.759185,3.474699,6.658316,2.688419,4.043366,2.42763,1.919109,2.98066,2.260008,3.617976,3.844476,121.40069563,,,2.42762994,3.08390035,14.30405483,3.15629948,4.18654025,5.56862215,3.89368818,21.42939478,4.74796246,3.98576616,2.08731291,2.77780436,2.72258995,3.679597,3.497024,4.322646,4.759185,4.110091,3.722945,3.617976,3.844476,4.043366,2.42763,1.919109,1.525933,2.190987,2.98066,2.509274,3.302222,5.471259,6.658316,14.788212,5.952568,4.952849,2.260008,3.474699,2.688419,2.087313,3.135569,15.194971,3.747184,,,,,,,,,,,,,
2005-09-01,3.71729441,4.34423,4.784644,3.506846,6.66392,2.751524,4.132261,2.460216,1.969606,2.991818,2.276627,3.662607,3.885586,123.4044825,,,2.46021558,3.08390035,14.46853227,3.2125117,4.12669058,5.57864126,3.96014369,21.45219061,4.60655159,4.08589787,2.12136369,2.80059302,2.77008798,3.717294,3.520976,4.34423,4.784644,4.145613,3.763499,3.662607,3.885586,4.132261,2.460216,1.969606,1.669061,2.18506,2.991818,2.514527,3.317896,5.484321,6.66392,14.955937,5.895253,4.957444,2.276627,3.506846,2.751524,2.121364,3.188682,15.206394,3.734236,,,,,,,,,,,,,
2005-10-01,3.78389345,4.40825,4.87176,3.538729,6.860687,2.800626,4.182911,2.515567,2.063415,3.001161,2.297689,3.74875,3.967806,124.21617268,,,2.51556652,3.08410788,15.51707596,3.25988728,4.20429742,5.5871575,3.97634951,21.61328481,4.59134328,4.08939084,2.1558788,2.77180416,2.82233324,3.783893,3.540022,4.40825,4.87176,4.206209,3.83463,3.74875,3.967806,4.182911,2.515567,2.063415,2.009673,2.12866,3.001161,2.525033,3.326293,5.618804,6.860687,16.053255,5.974613,4.987308,2.297689,3.538729,2.800626,2.155879,3.20615,15.394886,3.730104,,,,,,,,,,,,,
2005-11-01,3.83698419,4.441907,4.915119,3.554802,6.958448,2.833361,4.183945,2.5977,2.205641,3.0118,2.307891,3.813044,4.037693,121.4046941,,,2.59770018,3.08431541,16.06533409,3.29404399,4.24019506,5.59316897,3.94414311,21.56946476,4.54785231,4.09521245,2.17569017,2.88192095,2.8472017,3.836984,3.541754,4.441907,4.915119,4.233721,3.891599,3.813044,4.037693,4.183945,2.5977,2.205641,2.488587,2.065973,3.0118,2.532341,3.339168,5.686046,6.958448,16.626078,6.00768,4.999253,2.307891,3.554802,2.833361,2.17569,3.220786,15.382034,3.728726,,,,,,,,,,,,,
2005-12-01,3.85300566,4.455442,4.927053,3.569294,6.959693,2.862822,4.187046,2.590781,2.178785,3.028149,2.430805,3.821471,4.05448,121.13638272,,,2.59078132,3.23602007,15.97075957,3.30833462,4.28472955,5.59817853,3.93727982,21.53207801,4.57409033,4.09521245,2.18683406,2.90750379,2.92066393,3.853006,3.57292,4.455442,4.927053,4.250089,3.898036,3.821471,4.05448,4.187046,2.590781,2.178785,2.349026,2.107824,3.028149,2.558377,3.347565,5.758125,6.959693,16.52658,6.007129,5.030496,2.430805,3.569294,2.862822,2.186834,3.224327,15.372038,3.742501,,,,,,,,,,,,,
2006-01-01,3.88190713,4.454345,4.912335,3.612507,6.820213,2.900467,4.24941,2.624929,2.217746,3.055916,2.543024,3.835204,4.077776,123.51354804,,,2.62492928,3.38668707,14.97292975,3.35059174,4.29981321,5.63424733,4.00704227,21.74529915,4.58939264,4.09637677,2.2094314,2.93008543,2.96424742,3.881907,3.616785,4.454345,4.912335,4.263323,3.917991,3.835204,4.077776,4.24941,2.624929,2.217746,2.43612,2.117344,3.055916,2.577333,3.381713,5.727649,6.820213,15.481854,6.011538,5.05209,2.543024,3.612507,2.900467,2.209431,3.250765,15.716178,3.779141,,,,,,,,,,,,,
2006-02-01,3.89038908,4.419225,4.858235,3.635695,6.601652,2.950842,4.277664,2.688092,2.322524,3.068113,2.551745,3.844255,4.080174,123.83050342,,,2.68809185,3.3868946,13.74209023,3.39110738,4.23012482,5.67181899,4.01266139,21.63182983,4.5040858,4.09550353,2.23543381,3.07928659,2.98665265,3.890389,3.635831,4.419225,4.858235,4.243124,3.927325,3.844255,4.080174,4.277664,2.688092,2.322524,2.613037,2.178953,3.068113,2.613418,3.375555,5.591714,6.601652,14.192647,5.891395,5.075522,2.551745,3.635695,2.950842,2.235434,3.262804,15.730457,3.779141,,,,,,,,,,,,,
2006-03-01,3.90107006,4.41264,4.840335,3.655457,6.505137,2.979575,4.296959,2.722909,2.370563,3.086797,2.556516,3.853931,4.087025,124.13755394,,,2.72290938,3.39187533,13.34049115,3.41197695,4.21271256,5.69285913,4.02379946,21.43580889,4.48293489,4.10161622,2.25292353,3.05109089,2.98720113,3.90107,3.655455,4.41264,4.840335,4.242079,3.938268,3.853931,4.087025,4.296959,2.722909,2.370563,2.612827,2.257985,3.086797,2.651559,3.378914,5.532212,6.505137,13.770492,5.824159,5.051171,2.556516,3.655457,2.979575,2.252924,3.265165,15.731885,3.800353,,,,,,,,,,,,,
2006-04-01,3.95321836,4.477758,4.930236,3.687339,6.706262,3.010128,4.328658,2.739649,2.395529,3.093284,2.605879,3.92041,4.149033,126.54443382,,,2.73964857,3.39270545,14.56584809,3.41895263,4.23871055,5.70888971,4.07755774,21.32987416,4.68420699,4.10627351,2.27877117,3.08724518,3.09136423,3.953218,3.685467,4.477758,4.930236,4.305113,3.994272,3.92041,4.149033,4.328658,2.739649,2.395529,2.607581,2.301991,3.093284,2.666861,3.378634,5.687497,6.706262,15.052592,5.855022,5.061279,2.605879,3.687339,3.010128,2.278771,3.273427,15.733313,3.847462,,,,,,,,,,,,,
2006-05-01,4.02735692,4.57141,5.059518,3.735822,6.987091,3.046136,4.362769,2.759289,2.427492,3.097956,2.699998,4.008425,4.236049,130.05075267,,,2.75928923,3.39270545,16.15031411,3.43584855,4.25730763,5.85166205,4.13722541,21.61503744,4.77561377,4.11791674,2.32891868,3.08981724,3.28679629,4.027357,3.719808,4.57141,5.059518,4.395659,4.073771,4.008425,4.236049,4.362769,2.759289,2.427492,2.729303,2.278461,3.097956,2.676453,3.379753,5.917764,6.987091,16.70994,5.961386,5.067252,2.699998,3.735822,3.046136,2.328919,3.28641,15.736169,3.911375,,,,,,,,,,,,,
