Tarih,TP.BEK.S01.E.M
2013-01-01,6.0
2013-02-01,6.03
2013-03-01,6.07
2013-04-01,6.04
2013-05-01,6.1
2013-06-01,6.2
2013-07-01,6.5
2013-08-01,6.5
2013-09-01,6.55
2013-10-01,6.7
2013-11-01,6.75
2013-12-01,6.8
2014-01-01,7.0
2014-02-01,7.1
2014-03-01,7.3
2014-04-01,7.3
2014-05-01,7.3
2014-06-01,7.23
2014-07-01,7.3
2014-08-01,7.44
2014-09-01,7.5
2014-10-01,7.5
2014-11-01,7.5
2014-12-01,7.0
2015-01-01,6.9
2015-02-01,6.75
2015-03-01,6.8
2015-04-01,7.0
2015-05-01,7.0
2015-06-01,7.0
2015-07-01,7.0
2015-08-01,7.0
2015-09-01,7.25
2015-10-01,7.5
2015-11-01,7.5
2015-12-01,7.5
2016-01-01,8.0
2016-02-01,8.0
2016-03-01,7.9
2016-04-01,7.8
2016-05-01,7.8
2016-06-01,7.58
2016-07-01,7.5
2016-08-01,7.5
2016-09-01,7.6
2016-10-01,7.6
2016-11-01,7.85
2016-12-01,8.0
2017-01-01,8.2
2017-02-01,8.1
2017-03-01,8.0
2017-04-01,8.2
2017-05-01,8.4
2017-06-01,8.41
2017-07-01,8.4
2017-08-01,8.5
2017-09-01,8.5
2017-10-01,8.5
2017-11-01,8.73
2017-12-01,9.2
2018-01-01,9.12
2018-02-01,9.18
2018-03-01,9.21
2018-04-01,9.5
2018-05-01,10.0
2018-06-01,10.5
2018-07-01,11.0
2018-08-01,12.5
2018-09-01,14.4
2018-10-01,16.83
2018-11-01,17.0
2018-12-01,16.2
2019-01-01,15.75
2019-02-01,15.26
2019-03-01,15.01
2019-04-01,15.25
2019-05-01,15.5
2019-06-01,14.9
2019-07-01,13.5
2019-08-01,12.85
2019-09-01,12.1
2019-10-01,11.0
2019-11-01,10.21
2019-12-01,10.0
2020-01-01,9.68
2020-02-01,9.63
2020-03-01,9.7
2020-04-01,9.73
2020-05-01,9.0
2020-06-01,9.0
2020-07-01,9.33
2020-08-01,9.8
2020-09-01,10.0
2020-10-01,10.3
2020-11-01,10.68
2020-12-01,11.0
2021-01-01,10.6
2021-02-01,10.15
2021-03-01,10.5
2021-04-01,11.0
2021-05-01,11.5
2021-06-01,12.0
2021-07-01,12.5
2021-08-01,12.5
2021-09-01,12.91
2021-10-01,14.12
2021-11-01,16.0
2021-12-01,21.65
2022-01-01,24.5
2022-02-01,25.0
2022-03-01,26.5
2022-04-01,28.8
2022-05-01,33.27
2022-06-01,37.0
2022-07-01,40.0
2022-08-01,41.15
2022-09-01,37.7
2022-10-01,38.0
2022-11-01,38.9
2022-12-01,38.0
2023-01-01,29.0
2023-02-01,32.89
2023-03-01,32.0
2023-04-01,33.0
2023-05-01,32.0
2023-06-01,30.9
2023-07-01,34.0
2023-08-01,41.2
2023-09-01,45.0
2023-10-01,45.0
2023-11-01,44.15
2023-12-01,42.0
2024-01-01,39.0
2024-02-01,38.0
2024-03-01,37.8
2024-04-01,35.0
2024-05-01,33.19
2024-06-01,31.8
2024-07-01,29.73
2024-08-01,27.8
2024-09-01,26.86
2024-10-01,27.2
2024-11-01,27.23
2024-12-01,27.0
2025-01-01,25.5
2025-02-01,25.56
2025-03-01,25.0
2025-04-01,25.99
2025-05-01,25.26
2025-06-01,24.7
2025-07-01,23.9
2025-08-01,23.0
2025-09-01,22.47
2025-10-01,23.5
2025-11-01,23.33
2025-12-01,23.02
2026-01-01,22.4
2026-02-01,22.1
2026-03-01,22.45
2026-04-01,23.6
2026-05-01,24.0
2026-06-01,24.0
2026-07-01,24.0
2026-08-01,23.95
