Tarih,TP.BEK.S01.E.S
2013-01-01,0.59
2013-02-01,0.6
2013-03-01,0.67
2013-04-01,0.59
2013-05-01,0.62
2013-06-01,0.62
2013-07-01,0.74
2013-08-01,0.74
2013-09-01,0.77
2013-10-01,0.65
2013-11-01,0.62
2013-12-01,0.48
2014-01-01,0.82
2014-02-01,0.73
2014-03-01,0.8
2014-04-01,0.73
2014-05-01,0.8
2014-06-01,0.72
2014-07-01,0.8
2014-08-01,0.77
2014-09-01,0.63
2014-10-01,0.72
2014-11-01,0.67
2014-12-01,0.72
2015-01-01,0.66
2015-02-01,0.53
2015-03-01,0.61
2015-04-01,0.64
2015-05-01,0.69
2015-06-01,0.55
2015-07-01,0.6
2015-08-01,0.55
2015-09-01,0.54
2015-10-01,0.54
2015-11-01,0.54
2015-12-01,0.49
2016-01-01,0.59
2016-02-01,0.64
2016-03-01,0.57
2016-04-01,0.75
2016-05-01,0.63
2016-06-01,0.77
2016-07-01,0.68
2016-08-01,0.58
2016-09-01,0.62
2016-10-01,0.64
2016-11-01,0.57
2016-12-01,0.67
2017-01-01,1.03
2017-02-01,0.63
2017-03-01,0.72
2017-04-01,0.92
2017-05-01,0.92
2017-06-01,0.66
2017-07-01,0.66
2017-08-01,0.81
2017-09-01,0.83
2017-10-01,0.78
2017-11-01,1.01
2017-12-01,1.14
2018-01-01,0.86
2018-02-01,0.79
2018-03-01,0.67
2018-04-01,0.81
2018-05-01,0.81
2018-06-01,1.18
2018-07-01,1.63
2018-08-01,2.7
2018-09-01,3.3
2018-10-01,3.0
2018-11-01,2.21
2018-12-01,1.66
2019-01-01,2.14
2019-02-01,1.95
2019-03-01,2.09
2019-04-01,1.77
2019-05-01,1.74
2019-06-01,1.82
2019-07-01,1.81
2019-08-01,1.55
2019-09-01,1.68
2019-10-01,1.48
2019-11-01,1.18
2019-12-01,0.87
2020-01-01,0.92
2020-02-01,1.21
2020-03-01,1.04
2020-04-01,1.54
2020-05-01,1.14
2020-06-01,1.5
2020-07-01,1.44
2020-08-01,1.22
2020-09-01,1.39
2020-10-01,1.14
2020-11-01,1.05
2020-12-01,1.07
2021-01-01,0.97
2021-02-01,0.97
2021-03-01,0.89
2021-04-01,1.51
2021-05-01,1.47
2021-06-01,1.47
2021-07-01,1.56
2021-08-01,1.79
2021-09-01,1.52
2021-10-01,1.9
2021-11-01,2.15
2021-12-01,5.75
2022-01-01,7.87
2022-02-01,6.58
2022-03-01,8.53
2022-04-01,7.79
2022-05-01,9.69
2022-06-01,11.29
2022-07-01,11.12
2022-08-01,10.17
2022-09-01,7.26
2022-10-01,6.24
2022-11-01,6.99
2022-12-01,8.13
2023-01-01,9.44
2023-02-01,7.31
2023-03-01,7.59
2023-04-01,7.51
2023-05-01,7.37
2023-06-01,7.55
2023-07-01,7.7
2023-08-01,6.81
2023-09-01,7.3
2023-10-01,5.57
2023-11-01,4.49
2023-12-01,3.36
2024-01-01,3.5
2024-02-01,3.41
2024-03-01,3.98
2024-04-01,3.94
2024-05-01,3.92
2024-06-01,4.34
2024-07-01,4.5
2024-08-01,3.97
2024-09-01,3.55
2024-10-01,3.53
2024-11-01,2.84
2024-12-01,2.64
2025-01-01,2.7
2025-02-01,2.99
2025-03-01,2.77
2025-04-01,2.82
2025-05-01,3.1
2025-06-01,2.53
2025-07-01,2.66
2025-08-01,2.72
2025-09-01,2.51
2025-10-01,2.32
2025-11-01,2.13
2025-12-01,2.06
2026-01-01,1.74
2026-02-01,2.03
2026-03-01,2.26
2026-04-01,2.63
2026-05-01,2.99
2026-06-01,2.78
2026-07-01,2.44
2026-08-01,2.69
