Tarih,TP.BEK.S01.E.X
2013-01-01,71.0
2013-02-01,80.0
2013-03-01,87.0
2013-04-01,80.0
2013-05-01,78.0
2013-06-01,72.0
2013-07-01,67.0
2013-08-01,63.0
2013-09-01,74.0
2013-10-01,71.0
2013-11-01,77.0
2013-12-01,70.0
2014-01-01,70.0
2014-02-01,79.0
2014-03-01,75.0
2014-04-01,71.0
2014-05-01,73.0
2014-06-01,64.0
2014-07-01,63.0
2014-08-01,63.0
2014-09-01,75.0
2014-10-01,66.0
2014-11-01,68.0
2014-12-01,63.0
2015-01-01,77.0
2015-02-01,73.0
2015-03-01,63.0
2015-04-01,64.0
2015-05-01,63.0
2015-06-01,59.0
2015-07-01,60.0
2015-08-01,60.0
2015-09-01,63.0
2015-10-01,59.0
2015-11-01,66.0
2015-12-01,69.0
2016-01-01,62.0
2016-02-01,63.0
2016-03-01,54.0
2016-04-01,61.0
2016-05-01,57.0
2016-06-01,58.0
2016-07-01,61.0
2016-08-01,56.0
2016-09-01,60.0
2016-10-01,61.0
2016-11-01,61.0
2016-12-01,61.0
2017-01-01,60.0
2017-02-01,57.0
2017-03-01,62.0
2017-04-01,59.0
2017-05-01,57.0
2017-06-01,68.0
2017-07-01,63.0
2017-08-01,55.0
2017-09-01,62.0
2017-10-01,54.0
2017-11-01,68.0
2017-12-01,65.0
2018-01-01,61.0
2018-02-01,70.0
2018-03-01,66.0
2018-04-01,69.0
2018-05-01,60.0
2018-06-01,60.0
2018-07-01,58.0
2018-08-01,53.0
2018-09-01,61.0
2018-10-01,58.0
2018-11-01,61.0
2018-12-01,63.0
2019-01-01,66.0
2019-02-01,62.0
2019-03-01,64.0
2019-04-01,60.0
2019-05-01,57.0
2019-06-01,58.0
2019-07-01,56.0
2019-08-01,54.0
2019-09-01,55.0
2019-10-01,57.0
2019-11-01,56.0
2019-12-01,56.0
2020-01-01,51.0
2020-02-01,56.0
2020-03-01,53.0
2020-04-01,52.0
2020-05-01,53.0
2020-06-01,55.0
2020-07-01,52.0
2020-08-01,55.0
2020-09-01,49.0
2020-10-01,51.0
2020-11-01,50.0
2020-12-01,55.0
2021-01-01,55.0
2021-02-01,52.0
2021-03-01,56.0
2021-04-01,50.0
2021-05-01,50.0
2021-06-01,49.0
2021-07-01,49.0
2021-08-01,46.0
2021-09-01,48.0
2021-10-01,45.0
2021-11-01,42.0
2021-12-01,44.0
2022-01-01,43.0
2022-02-01,45.0
2022-03-01,44.0
2022-04-01,46.0
2022-05-01,42.0
2022-06-01,43.0
2022-07-01,41.0
2022-08-01,34.0
2022-09-01,35.0
2022-10-01,38.0
2022-11-01,36.0
2022-12-01,41.0
2023-01-01,37.0
2023-02-01,32.0
2023-03-01,38.0
2023-04-01,37.0
2023-05-01,35.0
2023-06-01,34.0
2023-07-01,38.0
2023-08-01,37.0
2023-09-01,38.0
2023-10-01,65.0
2023-11-01,66.0
2023-12-01,68.0
2024-01-01,59.0
2024-02-01,63.0
2024-03-01,65.0
2024-04-01,64.0
2024-05-01,61.0
2024-06-01,62.0
2024-07-01,60.0
2024-08-01,64.0
2024-09-01,60.0
2024-10-01,67.0
2024-11-01,63.0
2024-12-01,66.0
2025-01-01,62.0
2025-02-01,62.0
2025-03-01,62.0
2025-04-01,65.0
2025-05-01,60.0
2025-06-01,63.0
2025-07-01,61.0
2025-08-01,63.0
2025-09-01,64.0
2025-10-01,63.0
2025-11-01,64.0
2025-12-01,62.0
2026-01-01,65.0
2026-02-01,65.0
2026-03-01,62.0
2026-04-01,64.0
2026-05-01,63.0
2026-06-01,63.0
2026-07-01,59.0
2026-08-01,63.0
