Tarih,TP.ENFBEK.HBA12ENF
2015-01-01,22.35
2015-02-01,23.65
2015-03-01,27.3
2015-04-01,24.62
2015-05-01,28.0
2015-06-01,23.63
2015-07-01,24.22
2015-08-01,23.13
2015-09-01,27.45
2015-10-01,24.55
2015-11-01,22.21
2015-12-01,21.35
2016-01-01,23.18
2016-02-01,24.16
2016-03-01,23.5
2016-04-01,22.76
2016-05-01,22.34
2016-06-01,21.7
2016-07-01,23.03
2016-08-01,21.43
2016-09-01,16.92
2016-10-01,16.7
2016-11-01,19.82
2016-12-01,20.88
2017-01-01,22.2
2017-02-01,23.99
2017-03-01,20.94
2017-04-01,23.94
2017-05-01,22.73
2017-06-01,22.63
2017-07-01,21.67
2017-08-01,22.08
2017-09-01,22.79
2017-10-01,23.58
2017-11-01,24.82
2017-12-01,24.53
2018-01-01,23.01
2018-02-01,23.65
2018-03-01,23.24
2018-04-01,24.06
2018-05-01,27.1
2018-06-01,24.47
2018-07-01,29.64
2018-08-01,30.29
2018-09-01,37.34
2018-10-01,43.94
2018-11-01,41.71
2018-12-01,41.79
2019-01-01,40.63
2019-02-01,42.37
2019-03-01,44.46
2019-04-01,41.21
2019-05-01,45.78
2019-06-01,44.27
2019-07-01,43.27
2019-08-01,40.11
2019-09-01,40.62
2019-10-01,41.65
2019-11-01,39.65
2019-12-01,39.99
2020-01-01,38.36
2020-02-01,40.07
2020-03-01,40.32
2020-04-01,40.18
2020-05-01,39.02
2020-06-01,39.56
2020-07-01,39.61
2020-08-01,38.64
2020-09-01,40.05
2020-10-01,41.24
2020-11-01,43.4
2020-12-01,40.79
2021-01-01,41.22
2021-02-01,40.11
2021-03-01,39.23
2021-04-01,44.46
2021-05-01,44.31
2021-06-01,44.9
2021-07-01,45.81
2021-08-01,48.66
2021-09-01,47.41
2021-10-01,50.77
2021-11-01,52.15
2021-12-01,58.22
2022-01-01,58.32
2022-02-01,62.84
2022-03-01,65.65
2022-04-01,74.31
2022-05-01,76.85
2022-06-01,87.13
2022-07-01,84.18
2022-08-01,82.55
2022-09-01,82.06
2022-10-01,81.07
2022-11-01,84.83
2022-12-01,84.04
2023-01-01,80.6
2023-02-01,75.88
2023-03-01,78.76
2023-04-01,71.58
2023-05-01,68.78
2023-06-01,72.65
2023-07-01,74.53
2023-08-01,88.27
2023-09-01,80.94
2023-10-01,80.63
2023-11-01,78.74
2023-12-01,76.77
2024-01-01,75.29
2024-02-01,79.1
2024-03-01,80.01
2024-04-01,76.68
2024-05-01,76.09
2024-06-01,71.49
2024-07-01,71.98
2024-08-01,73.14
2024-09-01,71.56
2024-10-01,67.23
2024-11-01,64.05
2024-12-01,63.14
2025-01-01,58.82
2025-02-01,59.18
2025-03-01,59.25
2025-04-01,59.3
2025-05-01,59.86
2025-06-01,52.99
2025-07-01,54.53
2025-08-01,54.07
2025-09-01,52.99
2025-10-01,54.39
2025-11-01,52.24
2025-12-01,50.9
2026-01-01,48.81
2026-02-01,48.81
2026-03-01,49.89
2026-04-01,51.56
2026-05-01,49.51
2026-06-01,46.13
2026-07-01,44.94
