Tarih,TP.ENFBEK.IYA12ENF
2015-01-01,8.6
2015-02-01,8.4
2015-03-01,8.6
2015-04-01,8.5
2015-05-01,8.6
2015-06-01,8.9
2015-07-01,8.7
2015-08-01,8.6
2015-09-01,8.7
2015-10-01,8.7
2015-11-01,8.6
2015-12-01,8.7
2016-01-01,8.9
2016-02-01,9.1
2016-03-01,9.0
2016-04-01,8.7
2016-05-01,8.7
2016-06-01,8.6
2016-07-01,8.6
2016-08-01,8.8
2016-09-01,8.7
2016-10-01,8.6
2016-11-01,8.7
2016-12-01,8.9
2017-01-01,9.3
2017-02-01,9.4
2017-03-01,9.6
2017-04-01,10.1
2017-05-01,10.2
2017-06-01,10.3
2017-07-01,10.2
2017-08-01,10.0
2017-09-01,10.1
2017-10-01,10.3
2017-11-01,10.6
2017-12-01,11.2
2018-01-01,11.1
2018-02-01,10.9
2018-03-01,10.9
2018-04-01,11.4
2018-05-01,11.5
2018-06-01,12.4
2018-07-01,13.6
2018-08-01,15.0
2018-09-01,18.0
2018-10-01,22.1
2018-11-01,22.1
2018-12-01,20.3
2019-01-01,19.6
2019-02-01,19.3
2019-03-01,19.1
2019-04-01,19.2
2019-05-01,19.7
2019-06-01,19.0
2019-07-01,18.0
2019-08-01,17.1
2019-09-01,16.6
2019-10-01,15.2
2019-11-01,14.2
2019-12-01,13.7
2020-01-01,13.1
2020-02-01,13.0
2020-03-01,13.2
2020-04-01,13.5
2020-05-01,12.9
2020-06-01,12.8
2020-07-01,12.9
2020-08-01,13.1
2020-09-01,13.3
2020-10-01,13.5
2020-11-01,14.1
2020-12-01,14.4
2021-01-01,14.5
2021-02-01,14.4
2021-03-01,14.6
2021-04-01,15.8
2021-05-01,16.4
2021-06-01,16.5
2021-07-01,16.9
2021-08-01,17.2
2021-09-01,17.9
2021-10-01,18.8
2021-11-01,20.7
2021-12-01,24.6
2022-01-01,30.7
2022-02-01,36.0
2022-03-01,40.1
2022-04-01,48.6
2022-05-01,53.9
2022-06-01,61.1
2022-07-01,63.4
2022-08-01,65.7
2022-09-01,67.1
2022-10-01,68.9
2022-11-01,70.1
2022-12-01,67.5
2023-01-01,60.6
2023-02-01,57.3
2023-03-01,57.1
2023-04-01,55.5
2023-05-01,53.0
2023-06-01,51.4
2023-07-01,49.9
2023-08-01,57.6
2023-09-01,58.6
2023-10-01,58.7
2023-11-01,59.2
2023-12-01,57.9
2024-01-01,55.5
2024-02-01,55.5
2024-03-01,55.8
2024-04-01,56.2
2024-05-01,56.0
2024-06-01,56.2
2024-07-01,55.0
2024-08-01,53.8
2024-09-01,51.1
2024-10-01,49.5
2024-11-01,47.8
2024-12-01,47.6
2025-01-01,43.8
2025-02-01,41.9
2025-03-01,41.1
2025-04-01,41.7
2025-05-01,41.0
2025-06-01,39.8
2025-07-01,39.0
2025-08-01,37.7
2025-09-01,36.8
2025-10-01,36.3
2025-11-01,35.7
2025-12-01,34.8
2026-01-01,32.9
2026-02-01,32.0
2026-03-01,32.9
2026-04-01,33.7
2026-05-01,33.1
2026-06-01,33.1
2026-07-01,32.5
