Tarih,TP.FE25.OKTG15
2005-01-01,2.493516
2005-02-01,2.495343
2005-03-01,2.501509
2005-04-01,2.494658
2005-05-01,2.498312
2005-06-01,2.50288
2005-07-01,2.501966
2005-08-01,2.509274
2005-09-01,2.514527
2005-10-01,2.525033
2005-11-01,2.532341
2005-12-01,2.558377
2006-01-01,2.577333
2006-02-01,2.613418
2006-03-01,2.651559
2006-04-01,2.666861
2006-05-01,2.676453
2006-06-01,2.689014
2006-07-01,2.723957
2006-08-01,2.776942
2006-09-01,2.831755
2006-10-01,2.864871
2006-11-01,2.906894
2006-12-01,2.93156
2007-01-01,2.963305
2007-02-01,3.011266
2007-03-01,3.05466
2007-04-01,3.080696
2007-05-01,3.081152
2007-06-01,3.098966
2007-07-01,3.117922
2007-08-01,3.167482
2007-09-01,3.237368
2007-10-01,3.285558
2007-11-01,3.354302
2007-12-01,3.43515
2008-01-01,3.478544
2008-02-01,3.531301
2008-03-01,3.669931
2008-04-01,3.866114
2008-05-01,3.96295
2008-06-01,4.125789
2008-07-01,4.1468
2008-08-01,4.17649
2008-09-01,4.200699
2008-10-01,4.194533
2008-11-01,4.189737
2008-12-01,4.182885
2009-01-01,4.173521
2009-02-01,4.131498
2009-03-01,4.123277
2009-04-01,4.132412
2009-05-01,4.136295
2009-06-01,4.128758
2009-07-01,4.113684
2009-08-01,4.109117
2009-09-01,4.090161
2009-10-01,4.076229
2009-11-01,4.060014
2009-12-01,4.058187
2010-01-01,4.05202
2010-02-01,4.083081
2010-03-01,4.104777
2010-04-01,4.098611
2010-05-01,4.052477
2010-06-01,4.063439
2010-07-01,4.073945
2010-08-01,4.083766
2010-09-01,4.113228
2010-10-01,4.162787
2010-11-01,4.195903
2010-12-01,4.20915
2011-01-01,4.279492
2011-02-01,4.340243
2011-03-01,4.361483
2011-04-01,4.375871
2011-05-01,4.379982
2011-06-01,4.393229
2011-07-01,4.424746
2011-08-01,4.452152
2011-09-01,4.481385
2011-10-01,4.497829
2011-11-01,4.526606
2011-12-01,4.55287
2012-01-01,4.625497
2012-02-01,4.696753
2012-03-01,4.716851
2012-04-01,4.74243
2012-05-01,4.778287
2012-06-01,4.818483
2012-07-01,4.854796
2012-08-01,4.891566
2012-09-01,4.944552
2012-10-01,4.983377
2012-11-01,5.02403
2012-12-01,5.103051
2013-01-01,5.148957
2013-02-01,5.200801
2013-03-01,5.251731
2013-04-01,5.288957
2013-05-01,5.343085
2013-06-01,5.384651
2013-07-01,5.419137
2013-08-01,5.433754
2013-09-01,5.460018
2013-10-01,5.516886
2013-11-01,5.54749
2013-12-01,5.598649
2014-01-01,5.708959
2014-02-01,5.816985
2014-03-01,5.936659
2014-04-01,6.001749
2014-05-01,6.077117
2014-06-01,6.146546
2014-07-01,6.19405
2014-08-01,6.223284
2014-09-01,6.252974
2014-10-01,6.323545
2014-11-01,6.400054
2014-12-01,6.429059
2015-01-01,6.465144
2015-02-01,6.491637
2015-03-01,6.494834
2015-04-01,6.5195
2015-05-01,6.530234
2015-06-01,6.563807
2015-07-01,6.585047
2015-08-01,6.609712
2015-09-01,6.630724
2015-10-01,6.685765
2015-11-01,6.733954
2015-12-01,6.812519
2016-01-01,6.918033
2016-02-01,7.057348
2016-03-01,7.10668
2016-04-01,7.149845
2016-05-01,7.178393
2016-06-01,7.210595
2016-07-01,7.246452
