Tarih,TP.FG.IST1.23
2024-01-01,136.89
2024-02-01,142.35
2024-03-01,146.2
2024-04-01,152.29
2024-05-01,155.66
2024-06-01,159.88
2024-07-01,166.26
2024-08-01,171.29
2024-09-01,176.86
2024-10-01,182.61
2024-11-01,188.21
2024-12-01,191.35
2025-01-01,202.33
2025-02-01,207.47
2025-03-01,213.95
2025-04-01,223.33
2025-05-01,226.83
2025-06-01,230.83
2025-07-01,236.89
2025-08-01,241.24
2025-09-01,248.94
2025-10-01,257.18
2025-11-01,260.25
2025-12-01,263.45
2026-01-01,275.47
2026-02-01,286.07
2026-03-01,294.57
2026-04-01,305.58
2026-05-01,310.24
2026-06-01,313.79
2026-07-01,320.26
