Tarih,TP.PKAUO.S01.A.U
2013-01-01,0.85
2013-02-01,0.53
2013-03-01,0.48
2013-04-01,0.65
2013-05-01,0.46
2013-06-01,-0.02
2013-07-01,0.13
2013-08-01,0.32
2013-09-01,0.69
2013-10-01,1.12
2013-11-01,0.59
2013-12-01,0.42
2014-01-01,1.06
2014-02-01,0.69
2014-03-01,0.65
2014-04-01,0.76
2014-05-01,0.63
2014-06-01,0.22
2014-07-01,0.06
2014-08-01,0.15
2014-09-01,0.53
2014-10-01,1.38
2014-11-01,0.46
2014-12-01,0.31
2015-01-01,0.72
2015-02-01,0.49
2015-03-01,0.69
2015-04-01,0.85
2015-05-01,0.52
2015-06-01,0.17
2015-07-01,0.12
2015-08-01,0.15
2015-09-01,0.59
2015-10-01,1.26
2015-11-01,0.43
2015-12-01,0.07
2016-01-01,1.21
2016-02-01,0.68
2016-03-01,0.77
2016-04-01,0.92
2016-05-01,0.65
2016-06-01,0.11
2016-07-01,0.26
2016-08-01,0.33
2016-09-01,0.72
2016-10-01,1.32
2016-11-01,0.83
2016-12-01,0.79
2017-01-01,1.44
2017-02-01,0.62
2017-03-01,0.68
2017-04-01,0.95
2017-05-01,0.59
2017-06-01,0.14
2017-07-01,0.18
2017-08-01,0.21
2017-09-01,0.57
2017-10-01,1.31
2017-11-01,0.75
2017-12-01,0.55
2018-01-01,1.32
2018-02-01,0.64
2018-03-01,0.82
2018-04-01,1.23
2018-05-01,0.99
2018-06-01,0.82
2018-07-01,0.83
2018-08-01,1.15
2018-09-01,2.13
2018-10-01,1.99
2018-11-01,0.88
2018-12-01,0.45
2019-01-01,1.16
2019-02-01,0.76
2019-03-01,0.94
2019-04-01,1.61
2019-05-01,1.48
2019-06-01,0.91
2019-07-01,1.25
2019-08-01,1.26
2019-09-01,1.49
2019-10-01,1.9
2019-11-01,0.82
2019-12-01,0.59
2020-01-01,1.1
2020-02-01,0.69
2020-03-01,0.82
2020-04-01,0.93
2020-05-01,0.76
2020-06-01,0.5
2020-07-01,0.61
2020-08-01,0.68
2020-09-01,1.07
2020-10-01,1.62
2020-11-01,0.99
2020-12-01,0.9
2021-01-01,1.35
2021-02-01,0.78
2021-03-01,0.94
2021-04-01,1.51
2021-05-01,1.27
2021-06-01,1.21
2021-07-01,1.17
2021-08-01,0.99
2021-09-01,1.11
2021-10-01,1.94
2021-11-01,1.77
2021-12-01,3.37
2022-01-01,6.45
2022-02-01,4.22
2022-03-01,4.13
2022-04-01,4.23
2022-05-01,3.97
2022-06-01,3.77
2022-07-01,3.4
2022-08-01,2.57
2022-09-01,2.98
2022-10-01,3.39
2022-11-01,3.14
2022-12-01,2.69
2023-01-01,2.65
2023-02-01,3.01
2023-03-01,2.88
2023-04-01,2.65
2023-05-01,2.41
2023-06-01,2.81
2023-07-01,3.76
2023-08-01,5.54
2023-09-01,5.14
2023-10-01,4.3
2023-11-01,4.07
2023-12-01,3.26
2024-01-01,5.41
2024-02-01,3.8
2024-03-01,3.43
2024-04-01,3.25
2024-05-01,3.04
2024-06-01,2.52
2024-07-01,2.77
2024-08-01,2.55
2024-09-01,2.22
2024-10-01,2.39
2024-11-01,2.01
2024-12-01,1.72
2025-01-01,4.07
2025-02-01,3.23
2025-03-01,2.27
2025-04-01,3.07
2025-05-01,2.36
2025-06-01,1.61
2025-07-01,2.11
2025-08-01,1.69
2025-09-01,2.04
2025-10-01,2.34
2025-11-01,1.59
2025-12-01,1.08
2026-01-01,3.76
2026-02-01,2.54
2026-03-01,2.18
2026-04-01,2.93
2026-05-01,1.89
2026-06-01,1.36
2026-07-01,1.68
2026-08-01,1.67
