Tarih,TP.PKAUO.S01.E.U
2013-01-01,6.1
2013-02-01,6.07
2013-03-01,6.18
2013-04-01,6.13
2013-05-01,6.15
2013-06-01,6.2
2013-07-01,6.45
2013-08-01,6.45
2013-09-01,6.64
2013-10-01,6.61
2013-11-01,6.74
2013-12-01,6.74
2014-01-01,7.06
2014-02-01,7.21
2014-03-01,7.31
2014-04-01,7.22
2014-05-01,7.21
2014-06-01,7.19
2014-07-01,7.27
2014-08-01,7.35
2014-09-01,7.44
2014-10-01,7.54
2014-11-01,7.5
2014-12-01,7.21
2015-01-01,6.81
2015-02-01,6.69
2015-03-01,6.78
2015-04-01,6.91
2015-05-01,6.85
2015-06-01,7.0
2015-07-01,7.05
2015-08-01,7.04
2015-09-01,7.25
2015-10-01,7.34
2015-11-01,7.42
2015-12-01,7.56
2016-01-01,7.92
2016-02-01,7.96
2016-03-01,7.89
2016-04-01,7.78
2016-05-01,7.81
2016-06-01,7.6
2016-07-01,7.59
2016-08-01,7.61
2016-09-01,7.62
2016-10-01,7.61
2016-11-01,7.87
2016-12-01,8.04
2017-01-01,8.19
2017-02-01,8.21
2017-03-01,8.15
2017-04-01,8.27
2017-05-01,8.41
2017-06-01,8.32
2017-07-01,8.41
2017-08-01,8.37
2017-09-01,8.35
2017-10-01,8.52
2017-11-01,8.65
2017-12-01,9.3
2018-01-01,9.24
2018-02-01,9.26
2018-03-01,9.24
2018-04-01,9.62
2018-05-01,10.15
2018-06-01,10.47
2018-07-01,11.07
2018-08-01,12.96
2018-09-01,14.46
2018-10-01,17.03
2018-11-01,17.38
2018-12-01,16.46
2019-01-01,15.91
2019-02-01,15.47
2019-03-01,15.24
2019-04-01,15.38
2019-05-01,15.48
2019-06-01,14.88
2019-07-01,13.9
2019-08-01,12.77
2019-09-01,12.21
2019-10-01,11.18
2019-11-01,10.46
2019-12-01,10.07
2020-01-01,9.54
2020-02-01,9.61
2020-03-01,9.51
2020-04-01,9.7
2020-05-01,9.2
2020-06-01,9.03
2020-07-01,9.33
2020-08-01,9.7
2020-09-01,10.15
2020-10-01,10.53
2020-11-01,10.77
2020-12-01,10.84
2021-01-01,10.53
2021-02-01,10.36
2021-03-01,10.47
2021-04-01,11.26
2021-05-01,11.81
2021-06-01,12.12
2021-07-01,12.62
2021-08-01,12.48
2021-09-01,12.94
2021-10-01,13.91
2021-11-01,15.61
2021-12-01,21.39
2022-01-01,25.37
2022-02-01,24.83
2022-03-01,26.43
2022-04-01,28.41
2022-05-01,33.28
2022-06-01,37.91
2022-07-01,40.23
2022-08-01,41.99
2022-09-01,36.74
2022-10-01,37.34
2022-11-01,37.47
2022-12-01,34.92
2023-01-01,30.44
2023-02-01,30.75
2023-03-01,31.63
2023-04-01,31.02
2023-05-01,29.84
2023-06-01,30.65
2023-07-01,33.21
2023-08-01,42.01
2023-09-01,44.94
2023-10-01,45.28
2023-11-01,43.94
2023-12-01,41.23
2024-01-01,39.09
2024-02-01,37.78
2024-03-01,36.7
2024-04-01,35.17
2024-05-01,33.21
2024-06-01,31.79
2024-07-01,30.02
2024-08-01,28.71
2024-09-01,27.49
2024-10-01,27.44
2024-11-01,27.2
2024-12-01,27.07
2025-01-01,25.38
2025-02-01,25.26
2025-03-01,24.55
2025-04-01,25.56
2025-05-01,25.06
2025-06-01,24.56
2025-07-01,23.39
2025-08-01,22.84
2025-09-01,22.25
2025-10-01,23.26
2025-11-01,23.49
2025-12-01,23.35
2026-01-01,22.2
2026-02-01,22.1
2026-03-01,22.17
2026-04-01,23.39
2026-05-01,23.82
2026-06-01,23.81
2026-07-01,23.95
2026-08-01,23.69
