Tarih,TP.PKAUO.S01.G.U
2017-11-01,6.6982
2017-12-01,6.6576
2018-01-01,6.6669
2018-02-01,6.7377
2018-03-01,6.81
2018-04-01,7.02
2018-05-01,7.19
2018-06-01,7.38
2018-07-01,7.3
2018-08-01,7.94
2018-09-01,8.06
2018-10-01,8.61
2018-11-01,8.84
2018-12-01,8.42
2019-01-01,8.43
2019-02-01,8.38
2019-03-01,8.49
2019-04-01,8.8
2019-05-01,8.61
2019-06-01,8.07
2019-07-01,8.2
2019-08-01,7.94
2019-09-01,7.83
2019-10-01,7.61
2019-11-01,7.38
2019-12-01,7.26
2020-01-01,7.03
2020-02-01,6.93
2020-03-01,7.03
2020-04-01,7.1
2020-05-01,6.98
2020-06-01,6.92
2020-07-01,6.83
2020-08-01,6.86
2020-09-01,6.9
2020-10-01,7.17
2020-11-01,7.24
2020-12-01,7.17
2021-01-01,7.09
2021-02-01,7.11
2021-03-01,7.25
2021-04-01,7.38
2021-05-01,7.4
2021-06-01,7.5
2021-07-01,7.51
2021-08-01,7.64
2021-09-01,7.85
2021-10-01,7.93
2021-11-01,7.96
2021-12-01,8.72
2022-01-01,8.92
2022-02-01,9.05
2022-03-01,8.81
2022-04-01,9.23
2022-05-01,9.96
2022-06-01,9.83
2022-07-01,10.21
2022-08-01,10.72
2022-09-01,9.58
2022-10-01,9.66
2022-11-01,9.49
2022-12-01,9.11
2023-01-01,8.67
2023-02-01,8.84
2023-03-01,9.0
2023-04-01,9.03
2023-05-01,8.22
2023-06-01,8.07
2023-07-01,8.86
2023-08-01,10.42
2023-09-01,10.03
2023-10-01,11.76
2023-11-01,12.25
2023-12-01,12.59
2024-01-01,12.01
2024-02-01,12.33
2024-03-01,12.84
2024-04-01,12.32
2024-05-01,11.78
2024-06-01,11.56
2024-07-01,11.5
2024-08-01,11.66
2024-09-01,11.22
2024-10-01,11.27
2024-11-01,11.13
2024-12-01,11.34
2025-01-01,11.04
2025-02-01,10.95
2025-03-01,10.95
2025-04-01,11.06
2025-05-01,11.17
2025-06-01,11.02
2025-07-01,11.19
2025-08-01,11.11
2025-09-01,11.15
2025-10-01,11.4
2025-11-01,11.32
2025-12-01,11.36
2026-01-01,11.07
2026-02-01,11.35
2026-03-01,11.59
2026-04-01,11.86
2026-05-01,11.86
2026-06-01,11.85
2026-07-01,11.5
2026-08-01,11.14
