Tarih,TP.PKAUO.S04.D.U
2013-01-01,5.45
2013-02-01,5.45
2013-03-01,5.43
2013-04-01,5.35
2013-05-01,4.98
2013-06-01,5.16
2013-07-01,5.37
2013-08-01,5.4
2013-09-01,5.34
2013-10-01,5.27
2013-11-01,5.07
2013-12-01,5.28
2014-01-01,5.44
2014-02-01,9.33
2014-03-01,9.79
2014-04-01,9.34
2014-05-01,9.08
2014-06-01,8.44
2014-07-01,8.07
2014-08-01,8.39
2014-09-01,8.31
2014-10-01,8.37
2014-11-01,8.3
2014-12-01,8.24
2015-01-01,7.92
2015-02-01,7.5
2015-03-01,7.54
2015-04-01,7.77
2015-05-01,7.8
2015-06-01,8.02
2015-07-01,7.97
2015-08-01,8.39
2015-09-01,8.93
2015-10-01,8.79
2015-11-01,8.59
2015-12-01,8.58
2016-01-01,8.56
2016-02-01,8.34
2016-03-01,8.12
2016-04-01,7.79
2016-05-01,7.59
2016-06-01,7.75
2016-07-01,7.69
2016-08-01,7.66
2016-09-01,7.61
2016-10-01,7.58
2016-11-01,7.74
2016-12-01,8.5
2017-01-01,8.71
2017-02-01,8.52
2017-03-01,8.51
2017-04-01,8.29
2017-05-01,8.25
2017-06-01,8.15
2017-07-01,8.09
2017-08-01,8.07
2017-09-01,8.1
2017-10-01,8.01
2017-11-01,8.0
2017-12-01,8.15
2018-01-01,8.0
2018-02-01,8.0
2018-03-01,8.0
2018-04-01,8.0
2018-05-01,8.33
2018-06-01,16.03
2018-07-01,16.69
2018-08-01,18.15
2018-09-01,19.45
2018-10-01,21.09
2018-11-01,20.7
2018-12-01,20.05
2019-01-01,19.43
2019-02-01,18.84
2019-03-01,18.35
2019-04-01,19.33
2019-05-01,19.83
2019-06-01,18.94
2019-07-01,16.66
2019-08-01,14.7
2019-09-01,13.69
2019-10-01,13.17
2019-11-01,11.22
2019-12-01,10.6
2020-01-01,9.89
2020-02-01,9.63
2020-03-01,9.14
2020-04-01,8.66
2020-05-01,7.86
2020-06-01,7.59
2020-07-01,7.9
2020-08-01,9.1
2020-09-01,9.38
2020-10-01,11.07
2020-11-01,12.29
2020-12-01,13.18
2021-01-01,13.28
2021-02-01,13.47
2021-03-01,13.5
2021-04-01,14.07
2021-05-01,14.13
2021-06-01,14.22
2021-07-01,14.68
2021-08-01,14.89
2021-09-01,14.73
2021-10-01,14.34
2021-11-01,13.8
2021-12-01,14.41
2022-01-01,16.33
2022-02-01,15.19
2022-03-01,14.78
2022-04-01,14.0
2022-05-01,14.0
2022-06-01,14.0
2022-07-01,15.0
2022-08-01,16.5
2022-09-01,15.42
2022-10-01,15.53
2022-11-01,15.88
2022-12-01,14.86
2023-01-01,13.65
2023-02-01,13.94
2023-03-01,12.83
2023-04-01,13.75
2023-05-01,11.11
2023-06-01,19.3
2023-07-01,21.48
2023-08-01,23.25
2023-09-01,32.44
2023-10-01,37.0
2023-11-01,37.01
2023-12-01,36.65
2024-01-01,36.54
2024-02-01,36.62
2024-03-01,36.96
2024-04-01,38.18
2024-05-01,37.11
2024-06-01,35.9
2024-07-01,34.57
2024-08-01,33.3
2024-09-01,31.66
2024-10-01,31.64
2024-11-01,30.84
2024-12-01,30.88
2025-01-01,29.14
2025-02-01,28.92
2025-03-01,27.6
2025-04-01,29.37
2025-05-01,30.08
2025-06-01,29.31
2025-07-01,28.25
2025-08-01,27.78
2025-09-01,27.32
2025-10-01,28.26
2025-11-01,29.32
2025-12-01,28.15
2026-01-01,26.96
2026-02-01,27.67
2026-03-01,28.48
2026-04-01,29.56
2026-05-01,30.22
2026-06-01,30.14
2026-07-01,29.44
2026-08-01,29.59
