Tarih,TP.TUKFIY2025.12
2005-01-01,2.69673012
2005-02-01,2.76413476
2005-03-01,2.73284225
2005-04-01,2.6535974
2005-05-01,2.62125091
2005-06-01,2.71403306
2005-07-01,2.70611814
2005-08-01,2.77780436
2005-09-01,2.80059302
2005-10-01,2.77180416
2005-11-01,2.88192095
2005-12-01,2.90750379
2006-01-01,2.93008543
2006-02-01,3.07928659
2006-03-01,3.05109089
2006-04-01,3.08724518
2006-05-01,3.08981724
2006-06-01,3.07405594
2006-07-01,3.10016619
2006-08-01,3.20040492
2006-09-01,3.1108133
2006-10-01,3.13573234
2006-11-01,3.1317292
2006-12-01,3.16490699
2007-01-01,3.24371926
2007-02-01,3.29087055
2007-03-01,3.32052203
2007-04-01,3.33991608
2007-05-01,3.35309712
2007-06-01,3.42461909
2007-07-01,3.41670716
2007-08-01,3.46452244
2007-09-01,3.41294978
2007-10-01,3.57729983
2007-11-01,3.54726597
2007-12-01,3.51193258
2008-01-01,3.59698205
2008-02-01,3.57587098
2008-03-01,3.55314123
2008-04-01,3.54654455
2008-05-01,3.51336584
2008-06-01,3.49961318
2008-07-01,3.46685837
2008-08-01,3.38840612
2008-09-01,3.38455728
2008-10-01,3.32953878
2008-11-01,3.30351237
2008-12-01,3.27817525
2009-01-01,3.32835399
2009-02-01,3.30297624
2009-03-01,3.30659287
2009-04-01,3.33307907
2009-05-01,3.32535436
2009-06-01,3.37065112
2009-07-01,3.4806774
2009-08-01,3.46187225
2009-09-01,3.52341749
2009-10-01,3.53797768
2009-11-01,3.5365827
2009-12-01,3.58032666
2010-01-01,3.69127693
2010-02-01,3.73052319
2010-03-01,3.75043402
2010-04-01,3.73181926
2010-05-01,3.73808912
2010-06-01,3.72896206
2010-07-01,3.81040297
2010-08-01,3.80113786
2010-09-01,3.80780532
2010-10-01,3.79850527
2010-11-01,3.81210075
2010-12-01,3.8242587
2011-01-01,3.881821
2011-02-01,3.89147544
2011-03-01,3.90400959
2011-04-01,3.9107169
2011-05-01,3.97668677
2011-06-01,4.00318522
2011-07-01,4.06186015
2011-08-01,4.11206656
2011-09-01,4.11745114
2011-10-01,4.16496064
2011-11-01,4.22670408
2011-12-01,4.24808874
2012-01-01,4.32715121
2012-02-01,4.37440246
2012-03-01,4.34915337
2012-04-01,4.37872828
2012-05-01,4.38194661
2012-06-01,4.41785926
2012-07-01,4.59398916
2012-08-01,4.69591427
2012-09-01,4.99028221
2012-10-01,5.14933085
2012-11-01,5.43966625
2012-12-01,5.55058261
2013-01-01,5.6969247
2013-02-01,5.74767998
2013-03-01,5.82017492
2013-04-01,5.83286293
2013-05-01,5.80311264
2013-06-01,5.73759538
2013-07-01,5.8318812
2013-08-01,5.89973069
2013-09-01,5.82662379
2013-10-01,5.8429681
2013-11-01,5.82962859
2013-12-01,5.79745654
2014-01-01,5.76068794
2014-02-01,5.7356082
2014-03-01,5.87138645
2014-04-01,5.88657704
2014-05-01,5.79688702
2014-06-01,5.77031181
2014-07-01,5.68068952
2014-08-01,5.60418778
2014-09-01,5.54438599
2014-10-01,5.55051661
2014-11-01,5.55002468
2014-12-01,5.55782671
2015-01-01,5.6522417
2015-02-01,5.7003487
2015-03-01,5.70834937
2015-04-01,5.84660729
2015-05-01,6.03618385
2015-06-01,6.0339218
2015-07-01,6.42072755
2015-08-01,6.75028151
2015-09-01,7.15087768
2015-10-01,7.68548793
2015-11-01,8.16733084
2015-12-01,8.42514951
2016-01-01,8.89241395
2016-02-01,9.22914506
2016-03-01,9.45219477
2016-04-01,9.75127513
2016-05-01,9.82049195
2016-06-01,9.71464758
2016-07-01,9.8635605
2016-08-01,9.82692752
2016-09-01,9.78953909
2016-10-01,9.81878054
2016-11-01,9.76547399
2016-12-01,9.82372048
2017-01-01,9.9591919
2017-02-01,10.03091452
2017-03-01,9.98287572
2017-04-01,9.37960583
2017-05-01,8.78965371
2017-06-01,8.72535081
2017-07-01,8.69827601
2017-08-01,8.75728144
2017-09-01,8.73230622
2017-10-01,8.7697229
2017-11-01,8.8453051
2017-12-01,8.82415017
2018-01-01,9.46890896
2018-02-01,9.53617319
2018-03-01,9.65547489
2018-04-01,9.65326647
