Tarih,TP.YKKE.TR
2018-01-01,11.98
2018-02-01,11.94
2018-03-01,12.08
2018-04-01,12.15
2018-05-01,12.29
2018-06-01,12.44
2018-07-01,12.52
2018-08-01,12.57
2018-09-01,12.66
2018-10-01,13.04
2018-11-01,12.95
2018-12-01,12.83
2019-01-01,13.16
2019-02-01,12.88
2019-03-01,12.78
2019-04-01,12.92
2019-05-01,13.06
2019-06-01,13.08
2019-07-01,13.16
2019-08-01,13.65
2019-09-01,13.76
2019-10-01,13.91
2019-11-01,14.09
2019-12-01,14.15
2020-01-01,14.31
2020-02-01,14.6
2020-03-01,14.87
2020-04-01,14.93
2020-05-01,15.12
2020-06-01,15.81
2020-07-01,16.28
2020-08-01,16.58
2020-09-01,16.83
2020-10-01,17.18
2020-11-01,17.61
2020-12-01,17.83
2021-01-01,18.08
2021-02-01,18.29
2021-03-01,18.67
2021-04-01,19.04
2021-05-01,19.58
2021-06-01,20.04
2021-07-01,20.7
2021-08-01,21.23
2021-09-01,22.24
2021-10-01,23.19
2021-11-01,24.77
2021-12-01,27.37
2022-01-01,30.18
2022-02-01,31.71
2022-03-01,33.81
2022-04-01,37.11
2022-05-01,41.21
2022-06-01,44.65
2022-07-01,47.63
2022-08-01,50.46
2022-09-01,54.02
2022-10-01,56.43
2022-11-01,58.94
2022-12-01,60.89
2023-01-01,67.15
2023-02-01,70.6
2023-03-01,76.73
2023-04-01,81.28
2023-05-01,86.01
2023-06-01,93.45
2023-07-01,102.84
2023-08-01,113.18
2023-09-01,121.42
2023-10-01,126.15
2023-11-01,128.95
2023-12-01,132.24
2024-01-01,138.17
2024-02-01,144.47
2024-03-01,147.68
2024-04-01,152.22
2024-05-01,160.11
2024-06-01,166.09
2024-07-01,171.64
2024-08-01,182.96
2024-09-01,189.53
2024-10-01,198.0
2024-11-01,204.4
2024-12-01,208.5
2025-01-01,218.73
2025-02-01,222.34
2025-03-01,226.3
2025-04-01,234.88
2025-05-01,241.66
2025-06-01,249.53
2025-07-01,255.88
2025-08-01,265.94
2025-09-01,270.85
2025-10-01,275.88
2025-11-01,280.75
2025-12-01,283.65
2026-01-01,293.67
2026-02-01,298.31
2026-03-01,304.25
2026-04-01,309.39
2026-05-01,315.21
2026-06-01,322.45
2026-07-01,328.5
