tarih,bis_politika,api_repo_ort,api_trepo_ort
2011-01-01,6.25,,
2011-02-01,6.25,,
2011-03-01,6.25,,
2011-04-01,6.25,,1.5
2011-05-01,6.25,,
2011-06-01,6.25,,
2011-07-01,6.25,,
2011-08-01,5.75,8.0,
2011-09-01,5.75,,5.0
2011-10-01,5.75,11.25,
2011-11-01,5.75,12.05,5.0
2011-12-01,5.75,12.07,
2012-01-01,5.75,12.0,
2012-02-01,5.75,,5.0
2012-03-01,5.75,11.0,5.0
2012-04-01,5.75,11.0,
2012-05-01,5.75,11.0,
2012-06-01,5.75,11.0,
2012-07-01,5.75,11.0,5.0
2012-08-01,5.75,11.0,5.0
2012-09-01,5.75,,5.0
2012-10-01,5.75,,5.0
2012-11-01,5.75,9.5,5.0
2012-12-01,5.5,,5.0
2013-01-01,5.5,,4.9
2013-02-01,5.5,,4.69
2013-03-01,5.5,,4.5
2013-04-01,5.0,,4.0
2013-05-01,4.5,,4.0
2013-06-01,4.5,6.0,
2013-07-01,4.5,6.22,
2013-08-01,4.5,6.93,
2013-09-01,4.5,6.98,
2013-10-01,4.5,6.86,
2013-11-01,4.5,7.07,
2013-12-01,4.5,7.3,
2014-01-01,10.0,7.67,
2014-02-01,10.0,11.53,8.0
2014-03-01,10.0,11.58,
2014-04-01,10.0,11.52,8.0
2014-05-01,9.5,11.5,8.0
2014-06-01,8.75,,8.0
2014-07-01,8.25,12.0,7.97
2014-08-01,8.25,11.92,7.5
2014-09-01,8.25,11.08,7.5
2014-10-01,8.25,10.8,
2014-11-01,8.25,10.96,
2014-12-01,8.25,10.94,
2015-01-01,7.75,10.81,
2015-02-01,7.5,10.76,
2015-03-01,7.5,10.41,
2015-04-01,7.5,10.53,
2015-05-01,7.5,10.6,
2015-06-01,7.5,10.64,
2015-07-01,7.5,10.63,
2015-08-01,7.5,10.66,
2015-09-01,7.5,10.69,
2015-10-01,7.5,10.75,7.25
2015-11-01,7.5,10.75,
2015-12-01,7.5,10.75,
2016-01-01,7.5,10.75,
2016-02-01,7.5,10.75,
2016-03-01,7.5,10.7,
2016-04-01,7.5,10.34,
2016-05-01,7.5,9.86,
2016-06-01,7.5,9.33,
2016-07-01,7.5,8.88,7.25
2016-08-01,7.5,8.71,7.25
2016-09-01,7.5,8.42,7.25
2016-10-01,7.5,8.25,7.25
2016-11-01,8.0,8.3,7.25
2016-12-01,8.0,8.5,7.25
2017-01-01,8.0,8.67,
2017-02-01,8.0,9.72,
2017-03-01,8.0,10.8,
2017-04-01,8.0,11.74,
2017-05-01,8.0,12.17,
2017-06-01,8.0,12.25,
2017-07-01,8.0,12.25,
2017-08-01,8.0,12.25,
2017-09-01,8.0,12.25,
2017-10-01,8.0,12.25,
2017-11-01,8.0,12.25,
2017-12-01,8.0,12.5,
2018-01-01,8.0,12.75,
2018-02-01,8.0,12.75,
2018-03-01,8.0,12.75,
2018-04-01,8.0,12.79,
2018-05-01,8.0,14.29,
2018-06-01,17.75,16.77,16.05
2018-07-01,17.75,19.25,16.25
2018-08-01,17.75,19.25,16.25
2018-09-01,24.0,19.83,22.5
2018-10-01,24.0,25.5,22.5
2018-11-01,24.0,,22.5
2018-12-01,24.0,25.5,22.5
2019-01-01,24.0,25.5,22.5
2019-02-01,24.0,,
2019-03-01,24.0,25.5,22.5
2019-04-01,24.0,25.5,
2019-05-01,24.0,25.5,
2019-06-01,24.0,23.21,22.5
2019-07-01,19.75,22.48,21.53
2019-08-01,19.75,18.75,18.25
2019-09-01,16.5,16.96,16.41
2019-10-01,14.0,15.09,14.75
2019-11-01,14.0,13.0,12.5
2019-12-01,12.0,12.41,11.01
2020-01-01,11.25,10.65,10.1
2020-02-01,10.75,10.1,9.59
2020-03-01,9.75,9.25,8.56
2020-04-01,8.75,8.56,7.83
2020-05-01,8.25,7.7,7.25
2020-06-01,8.25,7.26,6.75
