tarih,fon_top,fon_ihale,fon_kot_top,fon_kot_repo,fon_kot_depo,fon_glp,ste_top,ste_ihale,ste_kot,ste_liksen,net_fonlama,aofm,politika,politika_ger,koridor_alt,koridor_ust,glp_satis,glp_alis,tlref,tlref_endeks,bist_on,bist_on_hacim,sto_oni_faiz,sto_oni_tutar,sto_1hi_faiz,sto_1hi_tutar,sto_kvi_faiz,sto_kvi_tutar,sto_4hi_faiz,sto_4hi_tutar,serbest_mevduat,gun_basi_likidite,ab_dis_varlik,ab_ic_varlik,ab_mbp,ab_rezerv_para,ab_emisyon,ab_bankalar,ab_zk_bloke,ab_serbest,ab_fon,ab_bankadisi,ab_diger_mbp,ab_api,ab_kamu_mev,swap_alim,swap_satim,swap_tcmb_piy,swap_bist,swap_gelenek,swap_miktar,swap_altin_piy,swap_altin_ihale,usdtry
2011-01-03,8000.0,8000.0,,,,,543.0,,543.0,,7457.0,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,26797.7,24429.9,134488980.0,-6812827.0,70753410.0,73151850.0,48295080.0,24699495.0,0.0,24699495.0,119833.0,37442.0,-2398440.0,-7466976.0,5068536.0,,,,,,,,,1.5376
2011-01-04,6000.0,6000.0,,,,,1064.2,,1064.2,,4935.8,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,24691.2,23133.3,135408578.0,-7245304.0,70825110.0,70644348.0,47942443.0,22574872.0,0.0,22574872.0,96050.0,30983.0,180762.0,-4943279.0,5124041.0,,,,,,,,,1.5476
2011-01-05,4000.0,4000.0,,,,,646.4,,646.4,,3353.6,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,22566.9,22041.5,135539151.0,-7201148.0,70914379.0,69464480.0,48048408.0,21305001.0,0.0,21305001.0,88379.0,22692.0,1449900.0,-3358585.0,4808485.0,,,,,,,,,1.5445
2011-01-06,5000.0,5000.0,,,,,897.7,,897.7,,4102.3,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,21297.0,20917.2,134636403.0,-6702936.0,70993901.0,70129721.0,48105770.0,21919930.0,0.0,21919930.0,82525.0,21496.0,864179.0,-4108531.0,4972710.0,,,,,,,,,1.54
2011-01-07,8000.0,8000.0,,,,,37.0,,37.0,,7963.0,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,21911.9,19707.2,134232757.0,-6484964.0,71068423.0,73739315.0,48730785.0,24906188.0,0.0,24906188.0,80879.0,21463.0,-2670892.0,-7972972.0,5302080.0,,,,,,,,,1.5402
2011-01-10,9000.0,9000.0,,,,,33.5,,33.5,,8966.5,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,24898.1,24335.5,135715467.0,-7091591.0,71154405.0,74183121.0,48254659.0,25808703.0,0.0,25808703.0,95837.0,23922.0,-3028716.0,-8977720.0,5949004.0,,,,,,,,,1.5571
2011-01-11,10000.0,10000.0,,,,,47.5,,47.5,,9952.5,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,25800.5,25758.9,137189721.0,-8014416.0,71220386.0,75098136.0,47702078.0,27282550.0,0.0,27282550.0,93449.0,20059.0,-3877751.0,-9964965.0,6087214.0,,,,,,,,,1.5778
2011-01-12,11000.0,11000.0,,,,,18.3,,18.3,,10981.7,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,27274.5,29577.6,138306424.0,-7711259.0,71031318.0,78493149.0,47466193.0,30914765.0,0.0,30914765.0,91541.0,20650.0,-7461831.0,-10995411.0,3533580.0,,,,,,,,,1.5702
2011-01-13,9000.0,9000.0,,,,,19.3,,19.3,,8980.7,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,30906.6,31979.3,137830712.0,-7401435.0,72664134.0,80179443.0,47639820.0,32417555.0,0.0,32417555.0,94514.0,27554.0,-7515308.0,-8991918.0,1476610.0,,,,,,,,,1.5619
2011-01-14,4000.0,4000.0,,,,,18.5,,18.5,,3981.5,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,32409.5,26616.8,137495002.0,-7148625.0,72336816.0,75122474.0,49818166.0,25176726.0,0.0,25176726.0,104003.0,23579.0,-2785658.0,-3986485.0,1200827.0,,,,,,,,,1.5514
2011-01-17,6000.0,6000.0,,,,,20.9,,20.9,,5979.1,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,25168.6,24931.9,136068992.0,-7075504.0,72567715.0,77788464.0,49260154.0,28401910.0,0.0,28401910.0,105920.0,20480.0,-5220750.0,-5986579.0,765830.0,,,,,,,,,1.5429
2011-01-18,8000.0,8000.0,,,,,18.2,,18.2,,7981.8,6.5,,,1.5,9.0,12.0,0.0,,,,,,,,,,,,,28393.9,28009.1,135293175.0,-6931477.0,73073353.0,80333764.0,48481645.0,31754157.0,0.0,31754157.0,81050.0,16912.0,-7260412.0,-7991776.0,731363.0,,,,,,,,,1.5426
