tarih,zk_taban_tl,zk_taban_dth,zk_taban_toplam,dth_usd,dth_tl,katilim_tl,katilim_yp_usd,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a
2013-01-04,491470283.0,234967191.2,726437443.94,132004.02,234967.16,28546.39,11530.81,12.62,11.99,13.9,9.9,7.23,7.92
2013-01-11,498075198.0,237921640.14,735996811.71,134160.25,236444.03,28676.64,11682.17,12.02,12.02,14.18,9.78,7.19,7.77
2013-01-18,490644273.0,240028033.4,730672274.91,137190.21,240028.0,28676.64,11856.14,11.94,12.09,14.17,9.76,7.2,7.77
2013-01-25,494566045.0,241278254.6,735844267.97,137316.15,241278.22,29069.43,11901.08,11.62,12.07,13.97,9.66,7.06,7.7
2013-02-01,489250662.0,240712039.04,729962671.36,137849.04,240712.0,29200.87,12058.49,11.74,11.91,13.9,9.54,7.04,7.63
2013-02-08,489636410.0,241196034.12,730832410.61,136771.19,241196.0,29050.07,12141.03,12.68,11.9,13.82,9.6,6.88,7.5
2013-02-15,495611917.0,239082250.24,734694131.89,135265.75,239082.21,29241.79,12205.13,10.78,11.86,13.66,9.61,6.85,7.39
2013-02-22,495563407.0,239510414.45,735073785.64,133774.78,239510.37,29456.41,12177.87,11.85,11.87,13.64,9.56,6.7,7.27
2013-03-01,497554620.0,238500708.22,736055297.6,132426.8,238500.67,29905.87,12009.98,11.64,11.91,13.7,9.46,6.63,7.17
2013-03-08,499539387.0,238498581.36,738037941.44,132875.67,238498.55,29516.9,12081.22,11.41,11.84,13.61,9.41,6.47,7.14
2013-03-15,505974732.0,241309042.97,747283736.99,133430.47,241309.0,29933.99,12000.69,10.53,11.69,13.4,9.3,6.54,7.09
2013-03-22,505153244.0,240628861.44,745782070.91,132402.78,240628.82,30454.6,11973.29,11.6,11.77,13.48,9.29,6.51,7.04
2013-03-29,505406453.0,240457496.69,745863915.33,132944.91,240457.46,30586.58,11998.47,10.11,11.43,13.43,9.07,6.59,7.15
2013-04-05,498472479.0,242572246.58,741044685.96,134709.28,242571.01,30134.32,12057.1,12.11,11.53,13.5,9.09,6.53,7.11
2013-04-12,504078246.0,245018166.17,749096372.83,137011.75,245018.12,29931.23,12162.6,10.85,11.55,13.53,9.09,6.5,7.01
2013-04-19,503079217.0,247868348.98,750947542.62,137972.9,247868.32,29970.04,12269.82,10.92,11.58,13.33,9.06,6.34,6.95
2013-04-26,510237412.0,247907235.65,758144611.64,137695.62,247714.42,30374.14,12468.99,8.84,11.63,13.44,8.99,6.26,6.8
2013-05-03,507012775.0,247330757.07,754343497.98,137850.14,247330.72,30344.06,12521.55,9.94,11.49,13.37,9.03,6.19,6.77
2013-05-10,512767697.0,247743613.76,760511271.16,137627.67,247743.57,30666.45,12445.52,10.12,11.29,13.1,8.99,6.16,6.75
2013-05-17,520939086.0,246886456.55,767825505.87,133787.7,245406.78,31853.23,12162.01,9.39,10.9,12.71,8.79,6.03,6.61
2013-05-24,516932891.0,248669035.36,765601878.43,134904.24,248668.98,32383.25,12150.44,9.87,10.67,12.31,8.54,5.76,6.31
2013-05-31,522782363.0,256118378.97,778900704.28,135929.48,256118.34,32744.57,12035.56,8.09,10.35,11.87,8.48,5.59,6.15
2013-06-07,521040957.0,255070616.63,776111535.9,135229.86,255070.57,33239.74,11806.37,8.95,10.05,11.81,8.31,5.74,6.32
2013-06-14,530052531.0,252071970.95,782124457.47,136005.14,252099.12,33543.79,11714.88,9.0,9.97,11.81,8.29,5.92,6.58
2013-06-21,529771167.0,260906481.49,790677611.8,135100.68,260906.44,33856.04,11566.63,9.81,10.03,11.88,8.29,6.17,6.78
2013-06-28,533145518.0,255246255.52,788391731.18,132609.21,255246.21,33701.83,11185.76,9.27,9.93,11.78,8.3,6.72,7.52
2013-07-05,528659992.0,256360659.02,785020615.97,131642.51,256360.62,33350.21,10974.8,10.51,10.39,12.1,8.49,6.63,7.4
2013-07-12,540278789.0,263435809.85,803714565.57,134591.41,263435.77,33343.8,11165.68,10.57,10.7,12.35,8.78,6.95,7.69
2013-07-19,533565236.0,263281489.45,796846677.41,137032.96,263281.44,33433.63,11246.67,10.75,11.13,12.6,9.04,7.05,7.84
2013-07-26,536640362.0,268016275.25,804656600.77,139584.52,268016.23,33546.59,11504.62,10.63,11.46,12.81,9.31,7.15,8.02
2013-08-02,532049155.0,274449913.46,806499021.77,141083.56,274449.86,33599.89,11475.87,11.14,11.49,12.84,9.51,7.43,8.13
2013-08-09,535907899.0,273435671.3,809343531.72,141735.24,273435.63,33663.13,11500.79,10.41,11.73,12.93,9.66,7.26,8.09
2013-08-16,535167912.0,279209195.39,814377070.64,144353.82,279209.15,33876.77,11676.29,10.46,11.86,13.03,9.77,7.75,8.47
2013-08-23,533748248.0,288592874.13,822341082.44,145394.14,288592.83,34045.48,11597.59,11.17,12.04,13.32,9.92,7.6,8.41
2013-08-30,531915080.0,295662183.77,827577219.09,145567.49,295662.13,34278.95,11531.15,11.61,12.01,13.47,10.03,7.77,8.66
2013-09-06,535949725.0,301786790.51,837736466.0,146285.38,301786.74,34246.48,11338.37,11.63,12.52,13.76,10.43,7.91,8.66
2013-09-13,541753625.0,299327785.35,841081371.86,147765.09,299327.74,34399.5,11283.9,12.04,12.69,13.95,10.7,7.82,8.61
2013-09-20,539135252.0,297565164.8,836700369.48,150895.09,297565.11,,,11.29,12.92,14.05,10.91,8.08,8.94
2013-09-27,549459609.0,302304886.76,851764453.04,148611.17,302304.84,35128.16,11651.63,10.34,12.85,14.0,10.89,8.14,8.87
2013-10-04,542588043.0,297342374.59,839930397.63,148939.26,297342.35,34263.13,11796.87,11.55,12.89,13.99,11.0,7.88,8.82
2013-10-11,550330612.0,296050511.66,846381072.27,149792.78,296050.46,34463.22,11889.56,10.57,12.88,13.97,10.95,7.98,8.65
2013-10-18,,,,,,,,10.84,12.83,13.44,10.85,7.41,7.97
2013-10-25,544869933.0,300441051.51,845310942.82,151332.8,300441.0,34973.05,12327.94,10.88,12.96,13.85,10.9,7.84,8.46
2013-11-01,546188179.0,300478667.66,846666802.52,149767.54,300478.62,34987.37,12181.81,10.8,12.84,13.9,10.83,7.46,8.29
2013-11-08,545739022.0,303523481.61,849262454.97,149777.16,303523.43,35079.64,12103.82,11.52,12.69,13.88,10.67,7.52,8.34
2013-11-15,557061131.0,306375917.74,863436987.62,150375.89,306375.85,35631.72,12223.49,9.79,12.53,13.75,10.58,7.67,8.41
2013-11-22,544168713.0,305857301.29,850025973.96,151684.81,305857.26,35356.87,12279.83,11.16,12.53,13.71,10.53,7.55,8.29
2013-11-29,545534062.0,309091085.11,854625086.59,153212.56,309091.02,35322.39,12502.75,10.89,12.37,13.63,10.51,7.69,8.36
2013-12-06,543452646.0,314544181.26,857996772.2,154233.66,314544.12,35064.56,12458.03,11.44,12.42,13.53,10.56,7.57,8.47
2013-12-13,554708353.0,315081524.53,869789824.48,154421.42,315081.47,35797.18,12436.39,11.52,12.48,13.65,10.58,7.88,8.6
2013-12-20,550905146.0,326463772.7,877368872.74,156277.51,326463.72,35974.61,11760.54,11.69,12.34,13.39,10.56,7.99,8.85
2013-12-27,566501906.0,337253312.19,903755170.66,156106.86,337253.26,36652.64,12007.63,10.6,12.58,13.72,10.73,8.04,8.91
2014-01-03,558105302.0,332326949.15,890432205.6,153237.84,332326.9,36439.48,11560.47,12.89,12.59,14.3,10.69,8.06,8.89
2014-01-10,561463734.0,334720142.72,896183824.49,153823.57,334720.09,36675.9,11485.73,12.65,13.56,14.92,11.28,7.81,8.76
2014-01-17,559328950.0,338466044.53,897794941.53,153262.99,338465.99,36742.67,11212.11,12.95,13.7,15.17,11.37,8.01,8.82
