tarih,fon_top,fon_ihale,fon_kot_repo,fon_kot_depo,fon_glp,ste_top,ste_ihale,ste_kot,ste_liksen,net_fonlama,serbest_mevduat,gun_basi_likidite,fon_kot_diger,ste_diger,politika,koridor_alt,koridor_ust,glp_satis,tlref,bist_on,aofm_ham,aofm_gecerli,aofm,aosm_kalan,aosm_oni_tutar,aosm_1hi_faiz5,aosm,aosm_gecerli,rejim_fonlama,marjinal_faiz,marjinal_kaynak,spread_tlref_politika,spread_aofm_politika,spread_tlref_aofm,spread_marjinal_politika,koridor_bant,konum_tlref,konum_aofm,konum_marjinal,aofm_koridor_ustu,aofm_koridor_alti,koridor_asimetri,kur,swap_alim_usd,swap_satim_usd,swap_alim_tl,swap_satim_tl,swap_tcmb_piy,swap_bist,swap_gelenek,swap_miktar,swap_altin_piy,swap_altin_ihale,swap_net_tl,tcmb_tl_saglama,api_ve_swap_alim,swap_pay,zk_bloke,ab_serbest_mev,emisyon,rezerv_para,mb_parasi,ab_api,kamu_mevduati,bankalar_mevduati
2011-01-03,8000.0,8000.0,,,,543.0,,543.0,,7457.0,26797.7,24429.9,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.541599988937378,,,,,,,,,,,,,7457.0,,0.0,24699.495,48295.08,73151.85,70753.41,-7466.976,5068.536,24699.495
2011-01-04,6000.0,6000.0,,,,1064.2,,1064.2,,4935.8,24691.2,23133.3,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.5543999671936035,,,,,,,,,,,,,4935.8,,0.0,22574.872,47942.443,70644.348,70825.11,-4943.279,5124.041,22574.872
2011-01-05,4000.0,4000.0,,,,646.4,,646.4,,3353.6,22566.9,22041.5,0.0,0.0,,1.5,9.0,12.0,,,6.5,False,,,,,,False,True,,yok,,,,,7.5,,,,,,,1.53849995136261,,,,,,,,,,,,,3353.6,,0.0,21305.001,48048.408,69464.48,70914.379,-3358.585,4808.485,21305.001
2011-01-06,5000.0,5000.0,,,,897.7,,897.7,,4102.3,21297.0,20917.2,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.5430999994277954,,,,,,,,,,,,,4102.3,,0.0,21919.93,48105.77,70129.721,70993.901,-4108.531,4972.71,21919.93
2011-01-07,8000.0,8000.0,,,,37.0,,37.0,,7963.0,21911.9,19707.2,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.5513999462127686,,,,,,,,,,,,,7963.0,,0.0,24906.188,48730.785,73739.315,71068.423,-7972.972,5302.08,24906.188
2011-01-10,9000.0,9000.0,,,,33.5,,33.5,,8966.5,24898.1,24335.5,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.5707000494003296,,,,,,,,,,,,,8966.5,,0.0,25808.703,48254.659,74183.121,71154.405,-8977.72,5949.004,25808.703
2011-01-11,10000.0,10000.0,,,,47.5,,47.5,,9952.5,25800.5,25758.9,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.5752999782562256,,,,,,,,,,,,,9952.5,,0.0,27282.55,47702.078,75098.136,71220.386,-9964.965,6087.214,27282.55
2011-01-12,11000.0,11000.0,,,,18.3,,18.3,,10981.7,27274.5,29577.6,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.575700044631958,,,,,,,,,,,,,10981.7,,0.0,30914.765,47466.193,78493.149,71031.318,-10995.411,3533.58,30914.765
2011-01-13,9000.0,9000.0,,,,19.3,,19.3,,8980.7,30906.6,31979.3,0.0,0.0,,1.5,9.0,12.0,,,6.5,True,6.5,,,,,False,True,6.5,AOFM,,,,,7.5,,0.6666666666666666,0.6666666666666666,-2.5,-5.0,,1.559399962425232,,,,,,,,,,,,,8980.7,,0.0,32417.555,47639.82,80179.443,72664.134,-8991.918,1476.61,32417.555
2011-01-14,4000.0,4000.0,,,,18.5,,18.5,,3981.5,32409.5,26616.8,0.0,0.0,,1.5,9.0,12.0,,,6.5,False,,,,,,False,True,,yok,,,,,7.5,,,,,,,1.5455000400543213,,,,,,,,,,,,,3981.5,,0.0,25176.726,49818.166,75122.474,72336.816,-3986.485,1200.827,25176.726
