Tarih,Hisse,DIBS,Toplam,Year,Week,Hisse_Cumulative,DIBS_Cumulative,Toplam_Cumulative
2020-09-11,-30.24,-10.58,-40.82,2020,37,-30.24,-10.58,-40.82
2020-09-18,2.57,-90.42,-87.85000000000001,2020,38,-27.669999999999998,-101.0,-128.67
2020-09-25,-101.89,1.7,-100.19,2020,39,-129.56,-99.3,-228.86
2020-10-02,131.22,419.55,550.77,2020,40,1.6599999999999966,320.25,321.90999999999997
2020-10-09,-91.33,-174.52,-265.85,2020,41,-89.67,145.73,56.05999999999999
2020-10-16,-28.37,-38.03,-66.4,2020,42,-118.04,107.69999999999999,-10.340000000000018
2020-10-23,-10.82,20.9,10.079999999999998,2020,43,-128.86,128.6,-0.2600000000000193
2020-10-30,-116.63,-32.74,-149.37,2020,44,-245.49,95.85999999999999,-149.63000000000002
2020-11-06,-21.99,-17.34,-39.33,2020,45,-267.48,78.51999999999998,-188.96000000000004
2020-11-13,614.4,211.09,825.49,2020,46,346.91999999999996,289.61,636.53
2020-11-20,389.64,201.76,591.4,2020,47,736.56,491.37,1227.9299999999998
2020-11-27,231.71,194.51,426.22,2020,48,968.27,685.88,1654.15
2020-12-04,-23.27,133.48,110.21,2020,49,945.0,819.36,1764.3600000000001
2020-12-11,40.97,103.79,144.76,2020,50,985.97,923.15,1909.12
2020-12-18,244.04,44.88,288.92,2020,51,1230.01,968.03,2198.04
2020-12-25,-18.79,159.25,140.46,2020,52,1211.22,1127.28,2338.5
2021-01-01,90.68,-85.97,4.710000000000008,2021,1,1301.9,1041.31,2343.21
2021-01-08,287.71,634.85,922.56,2021,2,1589.6100000000001,1676.1599999999999,3265.77
2021-01-15,31.41,-2.57,28.84,2021,3,1621.0200000000002,1673.59,3294.61
2021-01-22,-117.71,28.59,-89.11999999999999,2021,4,1503.3100000000002,1702.1799999999998,3205.49
2021-01-29,-493.75,413.98,-79.76999999999998,2021,5,1009.5600000000002,2116.16,3125.7200000000003
2021-02-05,-183.22,169.96,-13.259999999999991,2021,6,826.3400000000001,2286.12,3112.46
2021-02-12,-62.34,83.51,21.17,2021,7,764.0000000000001,2369.63,3133.63
2021-02-19,-122.76,169.58,46.82000000000001,2021,8,641.2400000000001,2539.21,3180.4500000000003
2021-02-26,-117.61,106.79,-10.819999999999993,2021,9,523.6300000000001,2646.0,3169.63
2021-03-05,-10.13,-47.73,-57.86,2021,10,513.5000000000001,2598.27,3111.77
2021-03-12,-117.62,-146.76,-264.38,2021,11,395.8800000000001,2451.51,2847.3900000000003
2021-03-19,60.38,460.35,520.73,2021,12,456.2600000000001,2911.86,3368.1200000000003
2021-03-26,-813.92,-1191.07,-2004.9899999999998,2021,13,-357.65999999999985,1720.7900000000002,1363.1300000000003
2021-04-02,-364.45,-132.53,-496.98,2021,14,-722.1099999999999,1588.2600000000002,866.1500000000003
2021-04-09,-46.01,86.79,40.78000000000001,2021,15,-768.1199999999999,1675.0500000000002,906.9300000000003
2021-04-16,-0.05,5.48,5.430000000000001,2021,16,-768.1699999999998,1680.5300000000002,912.3600000000004
2021-04-23,104.48,-18.23,86.25,2021,17,-663.6899999999998,1662.3000000000002,998.6100000000004
2021-04-30,31.53,43.4,74.93,2021,18,-632.1599999999999,1705.7000000000003,1073.5400000000004
2021-05-07,87.68,13.01,100.69000000000001,2021,19,-544.4799999999998,1718.7100000000003,1174.2300000000005
2021-05-14,51.7,-17.79,33.910000000000004,2021,20,-492.7799999999998,1700.9200000000003,1208.1400000000006
2021-05-21,51.02,184.43,235.45000000000002,2021,21,-441.7599999999998,1885.3500000000004,1443.5900000000006
2021-05-28,6.85,-100.89,-94.04,2021,22,-434.9099999999998,1784.4600000000003,1349.5500000000004
2021-06-04,-93.79,-56.7,-150.49,2021,23,-528.6999999999998,1727.7600000000002,1199.0600000000004
2021-06-11,33.54,124.62,158.16,2021,24,-495.1599999999998,1852.38,1357.2200000000003
2021-06-18,-3.19,123.97,120.78,2021,25,-498.3499999999998,1976.3500000000001,1478.0000000000005
2021-06-25,-2.81,155.23,152.42,2021,26,-501.1599999999998,2131.58,1630.42
2021-07-02,-37.9,88.81,50.910000000000004,2021,27,-539.0599999999998,2220.39,1681.33
2021-07-09,54.2,6.98,61.18000000000001,2021,28,-484.85999999999984,2227.37,1742.51
2021-07-16,-61.99,60.96,-1.0300000000000011,2021,29,-546.8499999999998,2288.33,1741.48
2021-07-23,0.0,2.99,2.99,2021,30,-546.8499999999998,2291.3199999999997,1744.4699999999998
2021-07-30,-51.81,309.55,257.74,2021,31,-598.6599999999999,2600.87,2002.21
2021-08-06,168.0,107.89,275.89,2021,32,-430.65999999999985,2708.7599999999998,2278.1
2021-08-13,77.87,-45.21,32.660000000000004,2021,33,-352.78999999999985,2663.5499999999997,2310.7599999999998
2021-08-20,226.15,211.15,437.3,2021,34,-126.63999999999984,2874.7,2748.06
2021-08-27,43.14,60.43,103.57,2021,35,-83.49999999999984,2935.1299999999997,2851.6299999999997
2021-09-03,98.81,41.79,140.6,2021,36,15.310000000000159,2976.9199999999996,2992.2299999999996
2021-09-10,-52.7,325.14,272.44,2021,37,-37.389999999999844,3302.0599999999995,3264.6699999999996
2021-09-17,65.24,-12.29,52.949999999999996,2021,38,27.85000000000015,3289.7699999999995,3317.62
2021-09-24,35.8,-415.42,-379.62,2021,39,63.65000000000015,2874.3499999999995,2937.9999999999995
2021-10-01,-92.8,-201.07,-293.87,2021,40,-29.14999999999985,2673.2799999999993,2644.1299999999997
2021-10-08,-51.63,-10.55,-62.18000000000001,2021,41,-80.77999999999986,2662.729999999999,2581.9499999999994
2021-10-15,69.48,-155.34,-85.86,2021,42,-11.299999999999855,2507.389999999999,2496.0899999999992
2021-10-22,-103.03,-102.99,-206.01999999999998,2021,43,-114.32999999999986,2404.399999999999,2290.0699999999993
2021-10-29,24.39,-58.11,-33.72,2021,44,-89.93999999999986,2346.289999999999,2256.349999999999
2021-11-05,274.37,37.66,312.03,2021,45,184.43000000000015,2383.949999999999,2568.379999999999
2021-11-12,479.62,109.78,589.4,2021,46,664.0500000000002,2493.729999999999,3157.7799999999993
2021-11-19,384.05,-72.2,311.85,2021,47,1048.1000000000001,2421.5299999999993,3469.629999999999
2021-11-26,-64.52,-105.36,-169.88,2021,48,983.5800000000002,2316.169999999999,3299.749999999999
2021-12-03,-162.12,-12.35,-174.47,2021,49,821.4600000000002,2303.8199999999993,3125.2799999999993
2021-12-10,-104.23,-54.41,-158.64,2021,50,717.2300000000001,2249.4099999999994,2966.6399999999994
2021-12-17,-69.12,-95.28,-164.4,2021,51,648.1100000000001,2154.129999999999,2802.2399999999993
2021-12-24,-569.78,-94.41,-664.1899999999999,2021,52,78.33000000000015,2059.7199999999993,2138.0499999999993
2021-12-31,-231.24,40.99,-190.25,2021,53,-152.90999999999985,2100.709999999999,1947.7999999999993
2022-01-07,-142.84,-71.62,-214.46,2022,1,-295.7499999999999,2029.0899999999992,1733.3399999999992
2022-01-14,-55.12,-76.28,-131.4,2022,2,-350.8699999999999,1952.8099999999993,1601.9399999999994
2022-01-21,-32.71,14.73,-17.98,2022,3,-383.57999999999987,1967.5399999999993,1583.9599999999994
2022-01-28,-138.95,63.58,-75.36999999999999,2022,4,-522.5299999999999,2031.1199999999992,1508.5899999999992
2022-02-04,-81.93,35.53,-46.400000000000006,2022,5,-604.4599999999998,2066.649999999999,1462.1899999999994
2022-02-11,-24.46,1.43,-23.03,2022,6,-628.9199999999998,2068.079999999999,1439.1599999999992
2022-02-18,37.26,-185.17,-147.91,2022,7,-591.6599999999999,1882.909999999999,1291.249999999999
2022-02-25,-87.09,-421.41,-508.5,2022,8,-678.7499999999999,1461.4999999999989,782.749999999999
2022-03-04,-309.32,-181.42,-490.74,2022,9,-988.0699999999999,1280.0799999999988,292.00999999999885
2022-03-11,-289.43,-120.95,-410.38,2022,10,-1277.5,1159.1299999999987,-118.37000000000126
2022-03-18,-197.1,-15.89,-212.99,2022,11,-1474.6,1143.2399999999986,-331.36000000000126
2022-03-25,18.79,-104.81,-86.02000000000001,2022,12,-1455.81,1038.4299999999987,-417.38000000000125
2022-04-01,10.15,103.75,113.9,2022,13,-1445.6599999999999,1142.1799999999987,-303.48000000000116
2022-04-08,245.16,-38.74,206.42,2022,14,-1200.4999999999998,1103.4399999999987,-97.06000000000108
2022-04-15,26.87,36.76,63.629999999999995,2022,15,-1173.6299999999999,1140.1999999999987,-33.4300000000012
2022-04-22,-52.75,-22.17,-74.92,2022,16,-1226.3799999999999,1118.0299999999986,-108.35000000000127
2022-04-29,-110.02,-23.93,-133.95,2022,17,-1336.3999999999999,1094.0999999999985,-242.30000000000132
2022-05-06,-244.16,-75.79,-319.95,2022,18,-1580.56,1018.3099999999986,-562.2500000000014
2022-05-13,-766.87,-298.11,-1064.98,2022,19,-2347.43,720.1999999999986,-1627.2300000000014
2022-05-20,-603.25,-67.32,-670.5699999999999,2022,20,-2950.68,652.8799999999985,-2297.800000000001
2022-05-27,-40.86,-54.99,-95.85,2022,21,-2991.54,597.8899999999985,-2393.6500000000015
2022-06-03,130.13,-1.63,128.5,2022,22,-2861.41,596.2599999999985,-2265.1500000000015
2022-06-10,-316.07,-85.02,-401.09,2022,23,-3177.48,511.23999999999853,-2666.2400000000016
2022-06-17,-192.82,-144.66,-337.48,2022,24,-3370.3,366.57999999999856,-3003.7200000000016
2022-06-24,-98.41,-57.7,-156.11,2022,25,-3468.71,308.8799999999986,-3159.8300000000013
2022-07-01,-59.74,22.1,-37.64,2022,26,-3528.45,330.9799999999986,-3197.470000000001
2022-07-08,-62.2,-54.46,-116.66,2022,27,-3590.6499999999996,276.5199999999986,-3314.130000000001
2022-07-15,-37.42,-41.94,-79.36,2022,28,-3628.0699999999997,234.57999999999862,-3393.490000000001
2022-07-22,-76.55,-4.17,-80.72,2022,29,-3704.62,230.40999999999863,-3474.2100000000014
2022-07-29,-26.9,-21.11,-48.01,2022,30,-3731.52,209.29999999999865,-3522.220000000001
2022-08-05,88.02,6.81,94.83,2022,31,-3643.5,216.10999999999865,-3427.3900000000012
2022-08-12,270.04,2.52,272.56,2022,32,-3373.46,218.62999999999866,-3154.8300000000013
2022-08-19,366.2,-9.54,356.65999999999997,2022,33,-3007.26,209.08999999999867,-2798.1700000000014
2022-08-26,-32.0,-5.86,-37.86,2022,34,-3039.26,203.22999999999865,-2836.0300000000016
2022-09-02,97.95,-63.47,34.480000000000004,2022,35,-2941.3100000000004,139.75999999999866,-2801.5500000000015
2022-09-09,-13.48,-24.78,-38.260000000000005,2022,36,-2954.7900000000004,114.97999999999865,-2839.8100000000018
2022-09-16,-33.85,-48.69,-82.53999999999999,2022,37,-2988.6400000000003,66.28999999999866,-2922.3500000000017
2022-09-23,-204.16,18.29,-185.87,2022,38,-3192.8,84.57999999999865,-3108.2200000000016
2022-09-30,-300.3,4.94,-295.36,2022,39,-3493.1000000000004,89.51999999999865,-3403.5800000000017
2022-10-07,-136.35,-86.81,-223.16,2022,40,-3629.4500000000003,2.7099999999986437,-3626.7400000000016
2022-10-14,-169.23,-16.93,-186.16,2022,41,-3798.6800000000003,-14.220000000001356,-3812.9000000000015
2022-10-21,-62.6,-11.59,-74.19,2022,42,-3861.28,-25.810000000001356,-3887.0900000000015
2022-10-28,-11.65,13.8,2.1500000000000004,2022,43,-3872.9300000000003,-12.010000000001355,-3884.9400000000014
2022-11-04,38.11,-8.18,29.93,2022,44,-3834.82,-20.190000000001355,-3855.0100000000016
2022-11-11,116.31,-28.64,87.67,2022,45,-3718.51,-48.830000000001355,-3767.3400000000015
2022-11-18,56.48,-20.54,35.94,2022,46,-3662.03,-69.37000000000135,-3731.4000000000015
2022-11-25,24.23,2.88,27.11,2022,47,-3637.8,-66.49000000000136,-3704.2900000000013
2022-12-02,339.75,-36.27,303.48,2022,48,-3298.05,-102.76000000000136,-3400.8100000000013
2022-12-09,-321.52,-6.92,-328.44,2022,49,-3619.57,-109.68000000000136,-3729.2500000000014
2022-12-16,-193.89,-3.11,-197.0,2022,50,-3813.46,-112.79000000000136,-3926.2500000000014
2022-12-23,-321.61,-1.41,-323.02000000000004,2022,51,-4135.07,-114.20000000000135,-4249.270000000001
2022-12-30,-53.45,53.25,-0.20000000000000284,2022,52,-4188.5199999999995,-60.95000000000135,-4249.470000000001
2023-01-06,-351.87,-55.14,-407.01,2023,1,-4540.389999999999,-116.09000000000135,-4656.4800000000005
2023-01-13,67.61,80.07,147.68,2023,2,-4472.78,-36.02000000000136,-4508.800000000001
2023-01-20,-334.89,2.11,-332.78,2023,3,-4807.67,-33.91000000000136,-4841.580000000002
2023-01-27,22.9,-0.46,22.439999999999998,2023,4,-4784.77,-34.37000000000136,-4819.140000000002
2023-02-03,92.13,40.33,132.45999999999998,2023,5,-4692.64,5.959999999998637,-4686.680000000002
2023-02-10,130.53,3.62,134.15,2023,6,-4562.110000000001,9.579999999998638,-4552.530000000002
2023-02-17,9.22,-38.66,-29.439999999999998,2023,7,-4552.89,-29.08000000000136,-4581.970000000002
2023-02-24,-260.77,13.37,-247.39999999999998,2023,8,-4813.66,-15.71000000000136,-4829.370000000001
2023-03-03,136.89,69.1,205.98999999999998,2023,9,-4676.7699999999995,53.389999999998636,-4623.380000000001
2023-03-10,-53.52,-56.21,-109.73,2023,10,-4730.29,-2.8200000000013645,-4733.1100000000015
