tarih,a_toplam,a_tl_tcmb,a_tl_mev,a_tl_kal,a_tl_kat,a_yp_tcmb,a_yp_mev,a_yp_kal,a_yp_kat,a_tl_mali_mev,a_yp_mali_mev,a_tl_mali_kal,a_yp_mali_kal,a_tl_mali_kat,a_yp_mali_kat,a_takip
2005-12-30,137229568.0,0.0,101701638.0,3681709.0,6261760.0,0.0,19292537.0,1798175.0,192375.0,636684.0,167754.0,1096300.0,867202.0,3467.0,0.0,7716231.0
2006-01-06,133746147.0,0.0,98370534.0,3666017.0,6302971.0,0.0,19140463.0,1811399.0,190755.0,553162.0,163245.0,1104463.0,868894.0,3421.0,0.0,7629100.0
2006-01-13,133693715.0,0.0,98535520.0,3665558.0,6285346.0,0.0,19094305.0,1810228.0,193012.0,503604.0,162419.0,1103808.0,866883.0,3421.0,0.0,7675494.0
2006-01-20,134296828.0,0.0,99081811.0,3645319.0,6243716.0,0.0,19198054.0,1801907.0,190203.0,493097.0,173450.0,1091741.0,847829.0,4834.0,0.0,7695062.0
2006-01-27,136063392.0,0.0,100558710.0,3640653.0,6303492.0,0.0,19356586.0,1807610.0,186400.0,511991.0,233525.0,1088747.0,846122.0,4739.0,0.0,7631969.0
2006-02-03,135834459.0,0.0,100429653.0,3667571.0,6332950.0,0.0,19294899.0,1790636.0,181833.0,517504.0,186411.0,1086719.0,848080.0,4545.0,0.0,7659079.0
2006-02-10,135912700.0,0.0,100241597.0,3677769.0,6400322.0,0.0,19415795.0,1854655.0,180316.0,544916.0,166882.0,1117594.0,846017.0,4545.0,0.0,7718260.0
2006-02-17,138559869.0,0.0,102875631.0,3672920.0,6495701.0,0.0,19309919.0,1845714.0,168235.0,532808.0,147036.0,1129557.0,844288.0,6496.0,0.0,7712469.0
2006-02-24,138184669.0,0.0,102519668.0,3709704.0,6569608.0,0.0,19239794.0,1834606.0,168707.0,536647.0,194990.0,1120668.0,835660.0,6344.0,0.0,7656696.0
2006-03-03,140044212.0,0.0,104469099.0,3780009.0,6581810.0,0.0,19013723.0,1830104.0,172929.0,494095.0,213944.0,1125161.0,834410.0,6027.0,0.0,7676028.0
2006-03-10,141517461.0,0.0,105062906.0,3818038.0,6635664.0,0.0,19697909.0,1895056.0,178223.0,489544.0,193130.0,1162423.0,878261.0,6066.0,0.0,7679387.0
2006-03-17,142236498.0,0.0,105684608.0,3814764.0,6700854.0,0.0,19686374.0,1848206.0,173577.0,496945.0,194044.0,1199874.0,868196.0,6067.0,0.0,7703816.0
2006-03-24,144164084.0,0.0,106944412.0,3857467.0,6786336.0,0.0,19947120.0,1856704.0,172782.0,545132.0,214146.0,1216442.0,883087.0,5944.0,0.0,7719907.0
2006-03-31,148122232.0,0.0,110649011.0,3872106.0,6908984.0,0.0,20062486.0,1890134.0,168754.0,668686.0,147563.0,1253332.0,897082.0,5870.0,0.0,7842232.0
2006-04-07,148156549.0,0.0,110614079.0,3902963.0,6965142.0,0.0,20118780.0,1873323.0,162641.0,619002.0,201006.0,1247577.0,888408.0,5861.0,0.0,7836548.0
2006-04-14,150229025.0,0.0,112355640.0,3922089.0,7074089.0,0.0,20391043.0,1881551.0,157806.0,656345.0,164675.0,1277942.0,898592.0,5822.0,0.0,7878145.0
2006-04-21,150986220.0,0.0,113171994.0,3922523.0,7118028.0,0.0,20176178.0,1866479.0,156120.0,668498.0,256242.0,1278526.0,893653.0,5759.0,0.0,7868954.0
2006-04-28,152750951.0,0.0,114779491.0,3964959.0,7153356.0,0.0,20315525.0,1871429.0,149921.0,717183.0,134980.0,1270603.0,896623.0,5537.0,0.0,7872849.0
2006-05-05,155694651.0,0.0,117268519.0,4035446.0,7195739.0,0.0,20579019.0,1884874.0,149034.0,638922.0,178252.0,1262824.0,902902.0,5495.0,0.0,7846472.0
2006-05-12,158302797.0,0.0,117887684.0,4078263.0,7292631.0,0.0,22229167.0,1984137.0,152331.0,653898.0,135971.0,1296753.0,964226.0,5548.0,0.0,7877948.0
2006-05-19,162804795.0,0.0,120121133.0,4076976.0,7395642.0,0.0,23617972.0,2156542.0,160751.0,752972.0,142791.0,1324266.0,1055255.0,3506.0,0.0,7885794.0
2006-05-26,166488091.0,0.0,122994636.0,4090193.0,7471527.0,0.0,24701107.0,2151350.0,164139.0,680490.0,157674.0,1316035.0,1045303.0,3304.0,0.0,7877729.0
2006-06-02,167400817.0,0.0,123428722.0,4133360.0,7470029.0,0.0,25102928.0,2167299.0,155251.0,659036.0,152681.0,1320591.0,1059139.0,3202.0,0.0,7909793.0
2006-06-09,168158824.0,0.0,124377949.0,4136702.0,7503833.0,0.0,24769672.0,2185027.0,152973.0,669442.0,214035.0,1324834.0,1070122.0,3202.0,0.0,7924767.0
2006-06-16,170279757.0,0.0,125611882.0,4126360.0,7607717.0,0.0,25498005.0,2209513.0,153313.0,599603.0,209111.0,1323641.0,1096807.0,3149.0,0.0,7923697.0
2006-06-23,172089539.0,0.0,125310965.0,4187410.0,7674090.0,0.0,27194925.0,2252757.0,160033.0,670435.0,205208.0,1345763.0,1178458.0,3110.0,0.0,7938784.0
2006-06-30,174039476.0,0.0,128542021.0,4202189.0,7832882.0,0.0,25832567.0,2200300.0,152093.0,818625.0,244838.0,1354990.0,1114111.0,2890.0,0.0,7742816.0
2006-07-07,172625261.0,0.0,127952820.0,4224259.0,7799505.0,0.0,25317572.0,2234200.0,141241.0,653586.0,211277.0,1344696.0,1108089.0,2838.0,0.0,7731481.0
2006-07-14,173501626.0,0.0,128535032.0,4252939.0,7877994.0,0.0,25560342.0,2216478.0,142376.0,588985.0,209035.0,1355762.0,1146329.0,2837.0,0.0,7745384.0
2006-07-21,173011418.0,0.0,128544950.0,4255339.0,7910770.0,0.0,25094862.0,2148732.0,140715.0,562133.0,207980.0,1347205.0,1128024.0,2776.0,0.0,7752466.0
2006-07-28,173181104.0,0.0,129808672.0,4283631.0,7968423.0,0.0,24164102.0,2067865.0,139468.0,567730.0,196343.0,1354193.0,1089523.0,2525.0,0.0,7806612.0
2006-08-04,173485369.0,0.0,130562701.0,4285341.0,8006308.0,0.0,23720541.0,2061558.0,140138.0,545052.0,197574.0,1372224.0,1088757.0,2525.0,0.0,7851209.0
2006-08-11,173431421.0,0.0,131250576.0,4240066.0,8006645.0,0.0,23112344.0,2028053.0,134589.0,546850.0,155642.0,1391352.0,1059961.0,2523.0,0.0,7857393.0
