tarih,kkm_ddkkm,kkm_tl,kkm_gercek,kkm_tuzel,kh_toplam,kh_mevduat,kh_kalkinma,kh_katilim,kh_sirket,kh_hane,kb_toplam,kb_tuketici,pka_12a
2005-12-01,,,,,,,,,,,6455719.0,981868.0,
2006-01-01,,,,,,,,,,,6528042.0,1007574.0,
2006-02-01,,,,,,,,,,,6761174.0,1075989.0,
2006-03-01,,,,,,,,,,,7090157.0,1194313.0,
2006-04-01,,,,,,,,,,,7319984.0,1288448.0,
2006-05-01,,,,,,,,,,,7672805.0,1389899.0,
2006-06-01,,,,,,,,,,,8012843.0,1482915.0,
2006-07-01,,,,,,,,,,,8218788.0,1511258.0,
2006-08-01,,,,,,,,,,,8299534.0,1518975.0,
2006-09-01,,,,,,,,,,,8513720.0,1522120.0,
2006-10-01,,,,,,,,,,,8622733.0,1525221.0,
2006-11-01,,,,,,,,,,,9017594.0,1550884.0,
2006-12-01,,,,,,,,,,,9242922.0,1588697.0,
2007-01-01,,,,,,,,,,,9486531.0,1591440.0,
2007-02-01,,,,,,,,,,,9740102.0,1619106.0,
2007-03-01,,,,,,,,,,,10214922.0,1677205.0,
2007-04-01,,,,,,,,,,,10634067.0,1728389.0,
2007-05-01,,,,,,,,,,,11228748.0,1767105.0,
2007-06-01,,,,,,,,,,,12402165.0,1784763.0,
2007-07-01,,,,,,,,,,,13284981.0,1798059.0,
2007-08-01,,,,,,,,,,,13293746.0,1816431.0,
2007-09-01,,,,,,,,,,,13275034.0,1815423.0,
2007-10-01,,,,,225933117.0,205494762.0,8088086.0,12350269.0,115488202.0,85778846.0,14119850.0,1805995.0,
2007-11-01,,,,,232557109.0,211396266.0,8378828.0,12782015.0,118171905.0,88685823.0,14146349.0,1813620.0,
2007-12-01,,,,,239696475.0,218245554.0,8538450.0,12912471.0,120362485.0,92287258.0,13828649.0,1801343.0,
2008-01-01,,,,,242294434.0,220272379.0,8691183.0,13330872.0,121310094.0,93926475.0,14829698.0,1809172.0,
2008-02-01,,,,,250443256.0,227689954.0,8899043.0,13854259.0,126396609.0,96006911.0,14907667.0,1831401.0,
2008-03-01,,,,,263414969.0,239474130.0,9327255.0,14613584.0,134787800.0,99092713.0,15320670.0,1710687.0,
2008-04-01,,,,,269213502.0,244670548.0,9440216.0,15102738.0,138357505.0,101038970.0,16058003.0,1733204.0,
2008-05-01,,,,,272288450.0,247653336.0,9435165.0,15199949.0,138196292.0,103836985.0,16315854.0,1756460.0,
2008-06-01,,,,,285542976.0,260246587.0,9595800.0,15700589.0,145896742.0,107508258.0,16392501.0,1822316.0,
2008-07-01,,,,,286611127.0,261099807.0,9585034.0,15926286.0,144932306.0,109713605.0,16945579.0,1868863.0,
2008-08-01,,,,,290268758.0,264212834.0,9771092.0,16284832.0,144946086.0,112287462.0,16576748.0,1988078.0,
2008-09-01,,,,,301542124.0,274430684.0,10075632.0,17035808.0,151439867.0,114784025.0,17641429.0,2026491.0,
2008-10-01,,,,,302814983.0,275073471.0,10587731.0,17153781.0,152222448.0,115239529.0,17816387.0,1885815.0,
2008-11-01,,,,,298169635.0,270661586.0,10889071.0,16618978.0,147925546.0,114938073.0,17818379.0,1846171.0,
2008-12-01,,,,,296075805.0,268518302.0,11271700.0,16285803.0,145891795.0,114342351.0,17442361.0,1804111.0,
2009-01-01,,,,,291908813.0,264147032.0,11633400.0,16128381.0,142367926.0,113436275.0,17824472.0,1779061.0,
2009-02-01,,,,,291164286.0,262794178.0,12221958.0,16148150.0,141855288.0,112601951.0,17720739.0,1784439.0,
2009-03-01,,,,,292716905.0,263535738.0,12497180.0,16683987.0,141179501.0,112791756.0,17868586.0,1817473.0,
2009-04-01,,,,,291382348.0,261741293.0,12647812.0,16993243.0,138705062.0,114212371.0,18551900.0,1896211.0,
2009-05-01,,,,,295046938.0,264893569.0,12810355.0,17343014.0,140027907.0,115747605.0,18924657.0,1971310.0,
2009-06-01,,,,,301698532.0,270780960.0,12710926.0,18206646.0,143120432.0,117508067.0,19460340.0,2093248.0,
2009-07-01,,,,,301576924.0,269866294.0,12723657.0,18986973.0,142122352.0,117849896.0,20628028.0,2185047.0,
2009-08-01,,,,,305707196.0,273252824.0,12960850.0,19493522.0,144439878.0,118099411.0,21146242.0,2280182.0,
2009-09-01,,,,,314009200.0,281063189.0,13002385.0,19943626.0,149622951.0,119983539.0,21672026.0,2306170.0,
2009-10-01,,,,,315226771.0,281327516.0,13023398.0,20875857.0,149413731.0,121232161.0,22886038.0,2348589.0,
2009-11-01,,,,,323280986.0,288815382.0,13086637.0,21378967.0,153530956.0,123951171.0,23288852.0,2428323.0,
2009-12-01,,,,,332399349.0,297317285.0,13336649.0,21745415.0,159135259.0,126318028.0,23616324.0,2504521.0,
2010-01-01,,,,,335521225.0,300132910.0,13131765.0,22256550.0,161110718.0,127647277.0,24245556.0,2600650.0,
2010-02-01,,,,,346663606.0,310601674.0,13129428.0,22932504.0,169221322.0,129543350.0,24276154.0,2670614.0,
2010-03-01,,,,,359663695.0,323077787.0,13348312.0,23237596.0,177339346.0,132747183.0,24489201.0,2784497.0,
2010-04-01,,,,,367478246.0,329951817.0,13297550.0,24228879.0,181599745.0,136313404.0,25480585.0,2898614.0,
2010-05-01,,,,,383369884.0,344327899.0,13498014.0,25543971.0,191926452.0,140004318.0,26926741.0,2989065.0,
2010-06-01,,,,,402298363.0,362801438.0,13797227.0,25699698.0,205468727.0,143769877.0,26877320.0,3113004.0,
2010-07-01,,,,,406694432.0,366320406.0,13966670.0,26407356.0,205662509.0,147164735.0,28049197.0,3183319.0,
2010-08-01,,,,,413458656.0,372737267.0,14240311.0,26481078.0,209382089.0,150184660.0,28165241.0,3242432.0,
2010-09-01,,,,,426236762.0,385025895.0,14361166.0,26849701.0,216570823.0,153855621.0,28764576.0,3301451.0,
2010-10-01,,,,,433931876.0,391413881.0,14715883.0,27802112.0,218841514.0,158463050.0,29212012.0,3418028.0,
2010-11-01,,,,,449125059.0,404905742.0,15085075.0,29134242.0,228013019.0,161841959.0,30129824.0,3548614.0,
2010-12-01,,,,,475109122.0,429166316.0,15781583.0,30161223.0,245270551.0,167876337.0,31079189.0,3713429.0,
2011-01-01,,,,,483647655.0,436654508.0,16189140.0,30804007.0,252465198.0,170617019.0,31742500.0,3773494.0,
2011-02-01,,,,,499542951.0,451406688.0,16594028.0,31542235.0,263606782.0,174180848.0,32268331.0,3895336.0,
2011-03-01,,,,,512897864.0,464070662.0,16854857.0,31972345.0,270750074.0,179754188.0,32892981.0,4058212.0,
2011-04-01,,,,,523345644.0,474179762.0,17268443.0,31897439.0,275773684.0,185532867.0,33000175.0,4167227.0,
2011-05-01,,,,,546530945.0,495974502.0,17944857.0,32611586.0,290972738.0,192342923.0,33615149.0,4315392.0,
2011-06-01,,,,,568073041.0,516492225.0,18149197.0,33431619.0,304141588.0,199328545.0,34610394.0,4572891.0,
2011-07-01,,,,,574216465.0,521299844.0,18785263.0,34131358.0,306207340.0,202956669.0,35216420.0,4857719.0,
2011-08-01,,,,,592250480.0,537902714.0,19664000.0,34683766.0,320691256.0,205424728.0,35875926.0,4980155.0,
2011-09-01,,,,,606067826.0,550624234.0,20321477.0,35122115.0,330094662.0,208541274.0,36421071.0,5051339.0,
2011-10-01,,,,,611067147.0,555014763.0,20142318.0,35910066.0,331440526.0,212090341.0,37321805.0,5209486.0,
2011-11-01,,,,,621312119.0,563092312.0,21170077.0,37049730.0,338717300.0,213060313.0,38115872.0,5338267.0,
2011-12-01,,,,,628832568.0,568714943.0,22688390.0,37429235.0,340142108.0,216562598.0,38658537.0,5478849.0,
2012-01-01,,,,,626871008.0,565687655.0,23028807.0,38154546.0,337817629.0,217390123.0,39349278.0,5583998.0,
2012-02-01,,,,,634594826.0,572242201.0,23751209.0,38601416.0,343022022.0,218818973.0,39512507.0,5622688.0,
2012-03-01,,,,,649816679.0,585375811.0,25120572.0,39320296.0,351579619.0,222446278.0,40587405.0,5689555.0,
2012-04-01,,,,,661860252.0,596232504.0,25617302.0,40010446.0,359912892.0,225683205.0,41400547.0,5796960.0,
2012-05-01,,,,,680198482.0,611420027.0,27123547.0,41654908.0,370083099.0,230237902.0,43427005.0,5962109.0,
2012-06-01,,,,,689714735.0,619529934.0,27650928.0,42533873.0,373489091.0,234389611.0,44313412.0,6093487.0,
2012-07-01,,,,,697337467.0,626092557.0,28170731.0,43074179.0,379032552.0,236624739.0,44364224.0,6234287.0,
2012-08-01,,,,,702390666.0,629300711.0,28976833.0,44113122.0,379202782.0,239496317.0,46257889.0,6348030.0,
2012-09-01,,,,,710391235.0,636823680.0,28846742.0,44720813.0,382109324.0,243889011.0,46534703.0,6521418.0,
2012-10-01,,,,,720095851.0,645873338.0,28781538.0,45440975.0,388472720.0,246902925.0,46943302.0,6721515.0,
2012-11-01,,,,,729672270.0,653785889.0,29141897.0,46744484.0,392343790.0,250374207.0,48226499.0,6910133.0,
2012-12-01,,,,,750000397.0,673113614.0,30008744.0,46878039.0,403312124.0,256285277.0,48270117.0,7171320.0,
2013-01-01,,,,,755695654.0,677714788.0,30328456.0,47652410.0,406762339.0,259531915.0,49727808.0,7434746.0,6.1
2013-02-01,,,,,771697439.0,692302468.0,30701125.0,48693846.0,417701751.0,263242973.0,50079125.0,7746172.0,6.07
2013-03-01,,,,,791185598.0,710717159.0,30996834.0,49471605.0,428416137.0,269291233.0,51045163.0,8111690.0,6.18
2013-04-01,,,,,806920340.0,723976623.0,31782835.0,51160882.0,437498562.0,274865938.0,52430531.0,8362965.0,6.13
2013-05-01,,,,,849658011.0,761511350.0,34391406.0,53755255.0,466472527.0,283053405.0,55000225.0,8605390.0,6.15
2013-06-01,,,,,879730523.0,789840559.0,35450594.0,54439370.0,485234892.0,290241113.0,55735157.0,8726417.0,6.2
2013-07-01,,,,,905307894.0,811814670.0,36922919.0,56570305.0,501645451.0,296147121.0,57973111.0,9010746.0,6.45
2013-08-01,,,,,922532614.0,827126334.0,38167900.0,57238380.0,511436562.0,301095165.0,58595194.0,9236534.0,6.45
2013-09-01,,,,,947298352.0,848608369.0,40853611.0,57836372.0,524672186.0,306852728.0,59212234.0,9495653.0,6.64
2013-10-01,,,,,949428562.0,849530390.0,41409974.0,58488198.0,525073535.0,309053496.0,59695193.0,9585629.0,6.61
2013-11-01,,,,,968864055.0,867203135.0,42093538.0,59567382.0,537689753.0,312672933.0,60782668.0,9787089.0,6.74
2013-12-01,,,,,1003668047.0,898108788.0,45141810.0,60417449.0,561362042.0,318096923.0,61823939.0,9972254.0,6.74
2014-01-01,,,,,1032341586.0,924660037.0,47756642.0,59924907.0,586667718.0,320156403.0,61805254.0,10068554.0,7.06
2014-02-01,,,,,1034747144.0,925795075.0,49825807.0,59126262.0,590053943.0,317695598.0,60662384.0,10004026.0,7.21
2014-03-01,,,,,1039682216.0,930651320.0,50679704.0,58351192.0,594517111.0,317665178.0,59926543.0,10000502.0,7.31
2014-04-01,,,,,1044351794.0,934098541.0,51467216.0,58786037.0,597851480.0,318129078.0,60632358.0,10044158.0,7.22
2014-05-01,,,,,1050622011.0,939851014.0,51697924.0,59073073.0,601488240.0,320840417.0,60458435.0,10322754.0,7.21
2014-06-01,,,,,1081517506.0,968462089.0,52844156.0,60211261.0,623903841.0,323721762.0,61688446.0,10583500.0,7.19
2014-07-01,,,,,1092121612.0,978343820.0,52985907.0,60791885.0,635459123.0,324161696.0,62466783.0,10802566.0,7.27
2014-08-01,,,,,1100641485.0,985863576.0,54249256.0,60528653.0,639773441.0,327128063.0,61859613.0,11015337.0,7.35
2014-09-01,,,,,1141639242.0,1024677840.0,55796693.0,61164709.0,669449557.0,332478578.0,62955932.0,11309317.0,7.44
2014-10-01,,,,,1137796956.0,1021991986.0,54322064.0,61482906.0,668194272.0,333022228.0,63211042.0,11443550.0,7.54
2014-11-01,,,,,1155735773.0,1038082993.0,55268756.0,62384024.0,681682038.0,335780171.0,63986810.0,11771579.0,7.5
2014-12-01,,,,,1194725621.0,1074857139.0,57051419.0,62817063.0,707825469.0,341305729.0,64018366.0,12033662.0,7.21
2015-01-01,,,,,1210366987.0,1090353885.0,56946885.0,63066217.0,723398461.0,343541585.0,64333177.0,12225806.0,6.81
2015-02-01,,,,,1241265137.0,1118828168.0,58598488.0,63838481.0,748864063.0,345051045.0,65394101.0,12322555.0,6.69
2015-03-01,,,,,1274885394.0,1149414017.0,60382574.0,65088803.0,770805635.0,349728364.0,66490975.0,12616185.0,6.78
2015-04-01,,,,,1306061983.0,1176169952.0,62990996.0,66901035.0,795333764.0,352815522.0,68300900.0,13003696.0,6.91
2015-05-01,,,,,1317820658.0,1186942623.0,63473997.0,67404038.0,802725568.0,356090128.0,68884943.0,13355717.0,6.85
2015-06-01,,,,,1347743600.0,1213504913.0,66763981.0,67474706.0,825444553.0,358789265.0,69384878.0,13498794.0,7.0
2015-07-01,,,,,1375967693.0,1239337076.0,68983546.0,67647071.0,850772717.0,361189347.0,69423370.0,13338654.0,7.05
2015-08-01,,,,,1400432554.0,1259335223.0,72961585.0,68135746.0,866009311.0,364411389.0,69803678.0,13212400.0,7.04
2015-09-01,,,,,1423915095.0,1281239603.0,74200616.0,68474876.0,886769721.0,364789967.0,70366284.0,13119415.0,7.25
2015-10-01,,,,,1410209231.0,1268828222.0,72426368.0,68954641.0,877118414.0,364646874.0,71121362.0,13046308.0,7.34
2015-11-01,,,,,1410892595.0,1269362529.0,72055289.0,69474777.0,876536043.0,364229026.0,71594875.0,13092439.0,7.42
2015-12-01,,,,,1425910874.0,1282795389.0,72519361.0,70596124.0,882842687.0,368246642.0,72849324.0,14003592.0,7.56
