tarih,bkea_std_isletme,bkea_std_kobi,bkea_std_buyuk,bkea_talep,bkea_talep_bek,bkea_std_konut,bkea_std_tasit,bkea_std_diger
2005-10-01,14.5,18.8,13.0,45.9,35.7,37.7,12.0,5.5
2006-01-01,10.0,11.1,13.3,65.3,38.3,25.8,13.6,6.5
2006-04-01,-29.5,-48.6,-17.1,51.8,23.6,-51.5,-43.1,-35.4
2006-07-01,0.0,-25.8,20.4,21.3,36.0,-42.1,19.3,34.1
2006-10-01,-21.2,-8.7,-18.8,21.4,43.4,0.0,0.0,16.0
2007-01-01,-17.9,-6.8,0.0,44.7,29.0,18.4,18.4,42.1
2007-04-01,2.4,-4.6,2.4,47.4,26.3,0.0,0.0,35.0
2007-07-01,-4.9,-9.6,-4.9,39.8,47.5,0.0,17.3,35.2
2007-10-01,-6.3,-10.9,-1.0,55.9,45.9,4.7,21.7,37.9
2008-01-01,-27.0,-47.9,-24.2,60.9,33.1,-6.4,-22.6,-6.4
2008-04-01,-43.7,-42.5,-24.4,49.9,15.3,-16.3,-16.2,-6.7
2008-07-01,-48.3,-47.2,-24.2,5.4,16.3,-18.9,-22.0,-16.0
2008-10-01,-78.7,-62.5,-78.8,26.1,3.1,-79.6,-90.9,-99.9
2009-01-01,-89.9,-89.9,-88.9,-2.4,-6.8,-31.0,-58.7,-51.8
2009-04-01,-39.7,-28.9,-30.3,22.8,2.0,-12.1,-19.0,-17.9
2009-07-01,-30.6,-30.6,-28.5,16.7,-3.6,0.0,-5.9,-19.0
2009-10-01,-10.5,-10.5,-9.2,35.5,15.0,0.0,0.0,0.0
2010-01-01,1.0,25.2,2.4,37.2,16.8,29.6,29.6,14.3
2010-04-01,-13.2,6.0,-11.9,58.3,9.3,1.3,1.3,1.3
2010-07-01,-13.3,-12.3,-9.6,14.4,12.3,0.0,14.2,0.0
2010-10-01,-12.2,-12.2,-12.2,57.7,40.5,1.4,1.4,4.2
2011-01-01,-12.9,-12.0,-12.9,37.6,12.2,-2.7,0.0,14.5
2011-04-01,-12.4,-11.5,-12.4,27.2,12.7,-9.1,-9.1,-3.4
2011-07-01,-16.9,-16.9,-12.0,13.2,27.7,0.0,0.0,0.0
2011-10-01,-35.5,-34.5,-16.8,41.5,26.1,0.0,-14.1,-29.2
2012-01-01,1.1,1.1,1.1,-3.6,40.5,-21.1,-5.8,8.0
2012-04-01,-11.4,-35.4,-11.4,38.4,12.0,-5.8,-5.8,21.8
2012-07-01,-37.0,-37.0,-35.7,-43.7,-7.6,0.0,0.0,-15.5
2012-10-01,-12.8,-0.3,-11.5,20.3,56.0,-4.4,-4.4,-25.9
2013-01-01,0.0,-15.3,15.3,-16.9,45.3,19.4,19.4,-3.0
2013-04-01,3.2,3.2,7.0,40.1,13.1,0.0,0.0,-5.6
2013-07-01,0.0,0.9,-13.4,0.0,9.1,14.9,14.9,15.5
2013-10-01,-5.5,16.3,-4.6,7.3,11.5,0.0,15.2,-5.4
