tarih,f_ticari_tl,f_ticari_dar,f_ihtiyac,f_konut,f_tasit,f_tuketici,mev_tl,kat_ticari,kat_tuketici,politika,aofm,aofm_kaynak_gun,koridor_alt,koridor_ust,aofm_taban_mn_tl,aofm_gecerli,aofm_ham,makas_kredi_mevduat,spread_politika,spread_aofm,pka_12a,pka_yas_gun,reel_ticari,reel_ticari_yaklasik,reel_tuketici,reel_tuketici_yaklasik,reel_mevduat,reel_mevduat_yaklasik
2005-01-07,26.23,,29.98,22.83,24.65,26.13,19.28,,,,,yok,,,,False,,6.949999999999999,,,,,,,,,,
2005-01-14,24.31,,30.27,22.39,23.95,27.05,18.8,,,,,yok,,,,False,,5.509999999999998,,,,,,,,,,
2005-01-21,25.71,,29.35,22.05,23.01,26.37,18.77,,,,,yok,,,,False,,6.940000000000001,,,,,,,,,,
2005-01-28,22.2,,29.14,21.18,22.36,25.99,18.37,,,,,yok,,,,False,,3.8299999999999983,,,,,,,,,,
2005-02-04,23.52,,28.12,20.97,21.93,25.12,18.42,,,,,yok,,,,False,,5.099999999999998,,,,,,,,,,
2005-02-11,22.3,,25.84,20.6,21.7,24.68,18.26,,,,,yok,,,,False,,4.039999999999999,,,,,,,,,,
2005-02-18,22.64,,25.25,20.27,21.13,24.4,18.11,,,,,yok,,,,False,,4.530000000000001,,,,,,,,,,
2005-02-25,23.48,,25.66,19.79,20.44,24.17,17.86,,,,,yok,,,,False,,5.620000000000001,,,,,,,,,,
2005-03-04,22.54,,27.15,19.23,19.99,23.3,17.45,,,,,yok,,,,False,,5.09,,,,,,,,,,
2005-03-11,23.73,,27.56,18.99,20.04,23.15,17.27,,,,,yok,,,,False,,6.460000000000001,,,,,,,,,,
2005-03-18,23.94,,24.89,18.68,19.69,22.11,16.99,,,,,yok,,,,False,,6.950000000000003,,,,,,,,,,
2005-03-25,26.52,,25.25,18.54,19.48,22.18,16.69,,,,,yok,,,,False,,9.829999999999998,,,,,,,,,,
2005-04-01,21.03,,25.34,18.44,19.1,21.61,16.33,,,,,yok,,,,False,,4.700000000000003,,,,,,,,,,
2005-04-08,22.4,,25.18,18.26,19.27,21.55,16.61,,,,,yok,,,,False,,5.789999999999999,,,,,,,,,,
2005-04-15,21.37,,24.88,18.25,18.89,21.12,16.43,,,,,yok,,,,False,,4.940000000000001,,,,,,,,,,
2005-04-22,22.77,,25.23,18.29,18.58,21.37,16.53,,,,,yok,,,,False,,6.239999999999998,,,,,,,,,,
2005-04-29,20.17,,25.02,18.15,18.39,21.06,16.52,,,,,yok,,,,False,,3.650000000000002,,,,,,,,,,
2005-05-06,20.66,,25.03,18.15,18.39,21.1,16.66,,,,,yok,,,,False,,4.0,,,,,,,,,,
2005-05-13,20.32,,24.92,18.08,18.52,20.89,16.49,,,,,yok,,,,False,,3.830000000000002,,,,,,,,,,
2005-05-20,19.55,,24.76,18.02,18.15,20.96,16.33,,,,,yok,,,,False,,3.2200000000000024,,,,,,,,,,
2005-05-27,19.34,,25.2,17.92,18.14,21.13,16.4,,,,,yok,,,,False,,2.9400000000000013,,,,,,,,,,
2005-06-03,19.92,,24.99,17.92,18.3,20.93,16.36,,,,,yok,,,,False,,3.5600000000000023,,,,,,,,,,
2005-06-10,20.76,,25.38,17.91,18.38,21.36,16.29,,,,,yok,,,,False,,4.470000000000002,,,,,,,,,,
2005-06-17,20.7,,24.54,16.93,17.9,20.68,16.16,,,,,yok,,,,False,,4.539999999999999,,,,,,,,,,
2005-06-24,20.68,,24.67,16.61,17.48,20.54,16.4,,,,,yok,,,,False,,4.280000000000001,,,,,,,,,,
2005-07-01,18.9,,25.12,16.4,18.28,20.18,16.69,,,,,yok,,,,False,,2.2099999999999973,,,,,,,,,,
2005-07-08,18.6,,24.85,16.22,17.02,19.77,16.39,,,,,yok,,,,False,,2.210000000000001,,,,,,,,,,
2005-07-15,19.8,,25.68,15.99,17.0,20.22,16.0,,,,,yok,,,,False,,3.8000000000000007,,,,,,,,,,
2005-07-22,20.19,,25.56,15.96,16.76,20.37,16.22,,,,,yok,,,,False,,3.9700000000000024,,,,,,,,,,
2005-07-29,19.06,,24.15,16.0,18.0,19.66,16.25,,,,,yok,,,,False,,2.8099999999999987,,,,,,,,,,
2005-08-05,18.99,,24.33,15.96,16.29,19.29,16.27,,,,,yok,,,,False,,2.719999999999999,,,,,,,,,,
2005-08-12,18.99,,24.83,15.9,16.38,19.37,16.12,,,,,yok,,,,False,,2.8699999999999974,,,,,,,,,,
2005-08-19,17.53,,23.88,17.45,20.09,20.27,16.16,,,,,yok,,,,False,,1.370000000000001,,,,,,,,,,
2005-08-26,17.71,,23.97,17.27,19.88,20.01,16.22,,,,,yok,,,,False,,1.490000000000002,,,,,,,,,,
2005-09-02,18.91,,23.68,17.27,19.66,19.8,16.22,,,,,yok,,,,False,,2.6900000000000013,,,,,,,,,,
