tarih,usd,eur,ab_dis_varlik,ab_ic_varlik,ab_mbp,ab_rezerv_para,ab_emisyon,ab_banka_mevduat,ab_zk_bloke,ab_serbest,ab_api,ab_kamu_mevduat,fon_toplam,ster_toplam,net_fonlama,aofm,politika,koridor_alt,koridor_ust
2011-01-03,1.5376,2.0551,134488980.0,-6812827.0,70753410.0,73151850.0,48295080.0,24699495.0,,24699495.0,-7466976.0,5068536.0,8000.0,543.0,7457.0,6.5,,1.5,9.0
2011-01-04,1.5476,2.0606,135408578.0,-7245304.0,70825110.0,70644348.0,47942443.0,22574872.0,,22574872.0,-4943279.0,5124041.0,6000.0,1064.2,4935.8,6.5,,1.5,9.0
2011-01-05,1.5445,2.0677,135539151.0,-7201148.0,70914379.0,69464480.0,48048408.0,21305001.0,,21305001.0,-3358585.0,4808485.0,4000.0,646.4,3353.6,6.5,,1.5,9.0
2011-01-06,1.54,2.0383,134636403.0,-6702936.0,70993901.0,70129721.0,48105770.0,21919930.0,,21919930.0,-4108531.0,4972710.0,5000.0,897.7,4102.3,6.5,,1.5,9.0
2011-01-07,1.5402,2.0201,134232757.0,-6484964.0,71068423.0,73739315.0,48730785.0,24906188.0,,24906188.0,-7972972.0,5302080.0,8000.0,37.0,7963.0,6.5,,1.5,9.0
2011-01-10,1.5571,2.022,135715467.0,-7091591.0,71154405.0,74183121.0,48254659.0,25808703.0,,25808703.0,-8977720.0,5949004.0,9000.0,33.5,8966.5,6.5,,1.5,9.0
2011-01-11,1.5778,2.0365,137189721.0,-8014416.0,71220386.0,75098136.0,47702078.0,27282550.0,,27282550.0,-9964965.0,6087214.0,10000.0,47.5,9952.5,6.5,,1.5,9.0
2011-01-12,1.5702,2.0328,138306424.0,-7711259.0,71031318.0,78493149.0,47466193.0,30914765.0,,30914765.0,-10995411.0,3533580.0,11000.0,18.3,10981.7,6.5,,1.5,9.0
2011-01-13,1.5619,2.0301,137830712.0,-7401435.0,72664134.0,80179443.0,47639820.0,32417555.0,,32417555.0,-8991918.0,1476610.0,9000.0,19.3,8980.7,6.5,,1.5,9.0
2011-01-14,1.5514,2.0417,137495002.0,-7148625.0,72336816.0,75122474.0,49818166.0,25176726.0,,25176726.0,-3986485.0,1200827.0,4000.0,18.5,3981.5,6.5,,1.5,9.0
2011-01-17,1.5429,2.0643,136068992.0,-7075504.0,72567715.0,77788464.0,49260154.0,28401910.0,,28401910.0,-5986579.0,765830.0,6000.0,20.9,5979.1,6.5,,1.5,9.0
2011-01-18,1.5426,2.0501,135293175.0,-6931477.0,73073353.0,80333764.0,48481645.0,31754157.0,,31754157.0,-7991776.0,731363.0,8000.0,18.2,7981.8,6.5,,1.5,9.0
2011-01-19,1.5263,2.0446,134411212.0,-6277586.0,73495184.0,82346270.0,48128361.0,34117346.0,,34117346.0,-9992067.0,1140981.0,10000.0,20.4,9979.6,6.5,,1.5,9.0
2011-01-20,1.532,2.0637,135319709.0,-6702917.0,73448048.0,81070459.0,48152174.0,32812205.0,,32812205.0,-10987312.0,3364901.0,11000.0,26.4,10973.6,6.5,,1.5,9.0
2011-01-21,1.5533,2.0942,137438809.0,-7807300.0,73541148.0,82535727.0,49170163.0,33273676.0,,33273676.0,-12002166.0,3007588.0,12000.0,12.7,11987.3,6.46,,1.5,9.0
2011-01-24,1.5693,2.1241,138992601.0,-8691222.0,73656527.0,83156915.0,48644571.0,34402890.0,,34402890.0,-11997722.0,2497334.0,12000.0,17.0,11983.0,6.4,,1.5,9.0
2011-01-25,1.5636,2.1215,138729844.0,-8441048.0,73770447.0,84940288.0,48223017.0,36603432.0,,36603432.0,-12982574.0,1812733.0,13000.0,33.2,12966.8,6.33,,1.5,9.0
2011-01-26,1.5552,2.1185,138280256.0,-8098116.0,73827377.0,87221198.0,48062218.0,39060261.0,,39060261.0,-13975531.0,581711.0,14000.0,41.3,13958.7,6.27,,1.5,9.0
2011-01-27,1.566,2.1452,139736693.0,-8814849.0,73905431.0,88757722.0,48017745.0,40654259.0,,40654259.0,-15997880.0,1145590.0,16000.0,21.3,15978.7,6.25,,1.5,9.0
2011-01-28,1.5674,2.1474,139982083.0,-8893563.0,73972018.0,83243067.0,48732844.0,34416940.0,,34416940.0,-18971072.0,9700022.0,19000.0,51.7,18948.3,6.25,,1.5,9.0
