tarih,mevduat_toplam,mevduat_yi,mevduat_tl,mevduat_yp,mevduat_yp_usd,kredi_toplam,kredi_yi,kredi_tl,kredi_tuk_tl,kredi_tic_tl,kredi_yp,kredi_tic_yp,takip_toplam,takip_tl,takip_yp,menkul,k_yi_toplam,k_tuketici,k_konut,k_tasit,k_ihtiyac,k_bkk,k_fkdk,k_ticari,k_ticari_tl,k_kobi_tl,k_ticari_yp,k_kobi_yp,k_diger,k_kurumsal_kart,k_finansal,k_yd,k_takip_tuk,k_takip_tic,k_karsilik,m1,dolasim,vadesiz_tl,vadesiz_yp,m2,vadeli_tl,vadeli_yp,m3,repo,ppf,menkul_ihrac,ham_m1,ar_m1,ham_m2,ar_m2,ham_m3,ar_m3,f_ihtiyac,f_tasit,f_konut,f_ticari_tl,f_ticari_dar,f_tuketici,f_ticari_usd,f_ticari_eur,mev_tl,mev_tl_3a,mev_tl_6a,mev_usd,mev_eur,kat_ticari,kat_tuketici,zk_tl_taban,zk_dth,zk_taban,dth_usd,dth_tl,dth_pay_usd,dth_pay_eur,dth_pay_maden,dth_pay_diger,kart_harcama,kart_adet,fin_sirket,fin_sirket_tuk,fin_sirket_tic
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.98,24.65,22.83,26.23,,26.13,4.5,5.05,19.28,19.45,20.04,2.46,2.57,,,,,,,,,,,,,,,,
2005-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.27,23.95,22.39,24.31,,27.05,5.39,4.95,18.8,19.02,19.34,2.48,2.51,,,,,,,,,,,,,,,,
2005-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.35,23.01,22.05,25.71,,26.37,7.27,,18.77,19.38,19.9,2.34,2.48,,,,,,,,,,,,,,,,
2005-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.14,22.36,21.18,22.2,,25.99,4.83,5.71,18.37,18.49,19.04,2.31,2.47,,,,,,,,,,,,,,,,
2005-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.12,21.93,20.97,23.52,,25.12,6.89,4.56,18.42,18.67,18.5,2.23,2.28,,,,,,,,,,,,,,,,
2005-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.84,21.7,20.6,22.3,,24.68,6.34,3.94,18.26,18.55,19.46,2.39,2.44,,,,,,,,,,,,,,,,
2005-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.25,21.13,20.27,22.64,,24.4,6.39,6.45,18.11,18.43,18.73,2.42,2.35,,,,,,,,,,,,,,,,
2005-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.66,20.44,19.79,23.48,,24.17,6.26,5.62,17.86,17.78,18.62,2.45,2.42,,,,,,,,,,,,,,,,
2005-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.15,19.99,19.23,22.54,,23.3,6.72,6.19,17.45,17.66,18.27,2.45,2.4,,,,,,,,,,,,,,,,
2005-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.56,20.04,18.99,23.73,,23.15,5.13,5.66,17.27,17.24,17.82,2.49,2.44,,,,,,,,,,,,,,,,
