tarih,usd,eur,sepet,sepet_kaynak,kur_gun_kaynak
2005-01-07,,,,yok,yok
2005-01-14,,,,yok,yok
2005-01-21,,,,yok,yok
2005-01-28,,,,yok,yok
2005-02-04,,,,yok,yok
2005-02-11,,,,yok,yok
2005-02-18,,,,yok,yok
2005-02-25,,,,yok,yok
2005-03-04,,,,yok,yok
2005-03-11,,,,yok,yok
2005-03-18,,,,yok,yok
2005-03-25,,,,yok,yok
2005-04-01,,,,yok,yok
2005-04-08,,,,yok,yok
2005-04-15,,,,yok,yok
2005-04-22,,,,yok,yok
2005-04-29,,,,yok,yok
2005-05-06,,,,yok,yok
2005-05-13,,,,yok,yok
2005-05-20,,,,yok,yok
2005-05-27,,,,yok,yok
2005-06-03,,,,yok,yok
2005-06-10,,,,yok,yok
2005-06-17,,,,yok,yok
2005-06-24,,,,yok,yok
2005-07-01,,,,yok,yok
2005-07-08,,,,yok,yok
2005-07-15,,,,yok,yok
2005-07-22,,,,yok,yok
2005-07-29,,,,yok,yok
2005-08-05,,,,yok,yok
2005-08-12,,,,yok,yok
2005-08-19,,,,yok,yok
2005-08-26,,,,yok,yok
2005-09-02,,,,yok,yok
2005-09-09,,,,yok,yok
2005-09-16,,,,yok,yok
2005-09-23,,,,yok,yok
2005-09-30,,,,yok,yok
2005-10-07,,,,yok,yok
2005-10-14,,,,yok,yok
2005-10-21,,,,yok,yok
2005-10-28,,,,yok,yok
2005-11-04,,,,yok,yok
2005-11-11,,,,yok,yok
2005-11-18,,,,yok,yok
2005-11-25,,,,yok,yok
2005-12-02,,,,yok,yok
2005-12-09,,,,yok,yok
2005-12-16,,,,yok,yok
2005-12-23,,,,yok,yok
2005-12-30,,,1.342999846099052,olculdu,yok
2006-01-06,,,1.3297998971775604,olculdu,yok
2006-01-13,,,,yok,yok
2006-01-20,,,1.3298999517915784,olculdu,yok
2006-01-27,,,1.3169999942326494,olculdu,yok
2006-02-03,,,1.3213001201341144,olculdu,yok
2006-02-10,,,1.3240000111940786,olculdu,yok
2006-02-17,,,1.3245999453916355,olculdu,yok
2006-02-24,,,1.3127000128273811,olculdu,yok
2006-03-03,,,1.2979000933083908,olculdu,yok
2006-03-10,,,1.3362000074352662,olculdu,yok
2006-03-17,,,1.3264000053822984,olculdu,yok
2006-03-24,,,1.33229996097192,olculdu,yok
2006-03-31,,,1.3426999483570752,olculdu,yok
2006-04-07,,,1.3307999486127606,olculdu,yok
2006-04-14,,,1.3408999947126994,olculdu,yok
2006-04-21,,,1.3232998833930423,olculdu,yok
2006-04-28,,,1.3195000374615202,olculdu,yok
2006-05-05,,,1.3178000020517264,olculdu,yok
2006-05-12,,,1.354499988588796,olculdu,yok
2006-05-19,,,1.4184999923565054,olculdu,yok
2006-05-26,,,1.5396000852389469,olculdu,yok
2006-06-02,,,1.5607001574969557,olculdu,yok
2006-06-09,,,1.546300202566148,olculdu,yok
2006-06-16,,,1.58439990619509,olculdu,yok
2006-06-23,,,1.6607000343653062,olculdu,yok
2006-06-30,,,1.602900013965703,olculdu,yok
2006-07-07,,,1.5878000953129825,olculdu,yok
2006-07-14,,,1.5778000903988005,olculdu,yok
2006-07-21,,,1.5456001455861115,olculdu,yok
2006-07-28,,,1.4994000646119152,olculdu,yok
2006-08-04,,,1.487899885143294,olculdu,yok
2006-08-11,,,1.444599990518565,olculdu,yok
2006-08-18,,,1.4312999581826018,olculdu,yok
2006-08-25,,,1.4729000965118826,olculdu,yok
2006-09-01,,,1.4478001432543552,olculdu,yok
2006-09-08,,,1.472200124384608,olculdu,yok
2006-09-15,,,1.47019994387035,olculdu,yok
2006-09-22,,,1.4687000303312887,olculdu,yok
2006-09-29,,,1.4919000769132165,olculdu,yok
2006-10-06,,,1.489500122123052,olculdu,yok
2006-10-13,,,1.4824000900392438,olculdu,yok
2006-10-20,,,1.4551999945063299,olculdu,yok
2006-10-27,,,1.4447000071764469,olculdu,yok
2006-11-03,,,1.4532999022927386,olculdu,yok
2006-11-10,,,1.442400012707593,olculdu,yok
2006-11-17,,,1.4324001215562059,olculdu,yok
2006-11-24,,,1.4702998768489828,olculdu,yok
2006-12-01,,,1.4457999521509444,olculdu,yok
2006-12-08,,,1.4267001411705127,olculdu,yok
2006-12-15,,,1.4165001227517824,olculdu,yok
2006-12-22,,,1.421600024735638,olculdu,yok
2006-12-29,,,1.4130999827147082,olculdu,yok
2007-01-05,,,1.4086001003192778,olculdu,yok
2007-01-12,,,1.432100040450998,olculdu,yok
2007-01-19,,,1.4165000795467908,olculdu,yok
2007-01-26,,,1.4086999902288218,olculdu,yok
2007-02-02,,,1.4001000410347233,olculdu,yok
2007-02-09,,,1.3980000166144047,olculdu,yok
2007-02-16,,,1.3823999988424431,olculdu,yok
2007-02-23,,,1.3761001229729157,olculdu,yok
2007-03-02,,,1.4089000556016724,olculdu,yok
2007-03-09,,,1.4160000974694493,olculdu,yok
2007-03-16,,,1.4033000357857874,olculdu,yok
2007-03-23,,,1.3766000369130447,olculdu,yok
2007-03-30,,,1.386100081065113,olculdu,yok
2007-04-06,,,1.3625000411548378,olculdu,yok
2007-04-13,,,1.3689000606844035,olculdu,yok
2007-04-20,,,1.352700045930363,olculdu,yok
2007-04-27,,,1.323900083491554,olculdu,yok
2007-05-04,,,1.3467000805702274,olculdu,yok
2007-05-11,,,1.3323999691616266,olculdu,yok
2007-05-18,,,1.3165999127056327,olculdu,yok
2007-05-25,,,1.3247999257716505,olculdu,yok
2007-06-01,,,1.3165999499131922,olculdu,yok
2007-06-08,,,1.3149999294588364,olculdu,yok
2007-06-15,,,1.3275000318436265,olculdu,yok
2007-06-22,,,1.3047000786111596,olculdu,yok
2007-06-29,,,1.3147000409471892,olculdu,yok
2007-07-06,,,1.28749993136175,olculdu,yok
2007-07-13,,,1.2811000596897775,olculdu,yok
2007-07-20,,,1.2607999479926233,olculdu,yok
2007-07-27,,,1.2607999328145816,olculdu,yok
2007-08-03,,,1.278800050661311,olculdu,yok
2007-08-10,,,1.2670000135058186,olculdu,yok
2007-08-17,,,1.3826000323119179,olculdu,yok
2007-08-24,,,1.3144000317849003,olculdu,yok
2007-08-31,,,1.3241998999352833,olculdu,yok
2007-09-07,,,1.2952999307681752,olculdu,yok
2007-09-14,,,1.2630999972967212,olculdu,yok
2007-09-21,,,1.2306999788665927,olculdu,yok
2007-09-28,,,1.2099999780003377,olculdu,yok
2007-10-05,,,1.198800027374532,olculdu,yok
2007-10-12,,,1.1771999669574953,olculdu,yok
2007-10-19,,,1.1990000280965873,olculdu,yok
2007-10-26,,,1.1932000842506678,olculdu,yok
2007-11-02,,,1.1675999579819232,olculdu,yok
2007-11-09,,,1.176499994736201,olculdu,yok
2007-11-16,,,1.1747999741571693,olculdu,yok
2007-11-23,,,1.1937000353721057,olculdu,yok
2007-11-30,,,1.1845999998165302,olculdu,yok
2007-12-07,,,1.1724999928325777,olculdu,yok
2007-12-14,,,1.166399947402356,olculdu,yok
2007-12-21,,,1.1826999962292264,olculdu,yok
2007-12-28,,,1.1708000173690656,olculdu,yok
2008-01-04,,,1.1649999936283637,olculdu,yok
2008-01-11,,,1.1535999267793897,olculdu,yok
2008-01-18,,,1.1757999711169627,olculdu,yok
2008-01-25,,,1.191600081313761,olculdu,yok
2008-02-01,,,1.168000003920379,olculdu,yok
2008-02-08,,,1.1941000001299946,olculdu,yok
2008-02-15,,,1.1881000314961132,olculdu,yok
2008-02-22,,,1.1999000604634198,olculdu,yok
2008-02-29,,,1.1766999930070825,olculdu,yok
2008-03-07,,,1.2100999749769437,olculdu,yok
2008-03-14,,,1.2339000069776942,olculdu,yok
2008-03-21,,,1.2357999612981974,olculdu,yok
2008-03-28,,,1.2579000433144847,olculdu,yok
2008-04-04,,,1.2761999618593116,olculdu,yok
2008-04-11,,,1.3046000298375624,olculdu,yok
2008-04-18,,,1.322999990851851,olculdu,yok
2008-04-25,,,1.291400100295537,olculdu,yok
2008-05-02,,,1.2717000463772252,olculdu,yok
2008-05-09,,,1.2592000603322926,olculdu,yok
2008-05-16,,,1.2448000487090232,olculdu,yok
2008-05-23,,,1.2447999855684262,olculdu,yok
2008-05-30,,,1.215500044287667,olculdu,yok
2008-06-06,,,1.2239999882207562,olculdu,yok
2008-06-13,,,1.2504999464035478,olculdu,yok
2008-06-20,,,1.2240000819490633,olculdu,yok
2008-06-27,,,1.2095000212010734,olculdu,yok
2008-07-04,,,1.2452999347820302,olculdu,yok
2008-07-11,,,1.2139000133860296,olculdu,yok
2008-07-18,,,1.2010000600511475,olculdu,yok
2008-07-25,,,1.1979000031908202,olculdu,yok
2008-08-01,,,1.1563999983719302,olculdu,yok
2008-08-08,,,1.1597999935707035,olculdu,yok
2008-08-15,,,1.177000061416329,olculdu,yok
2008-08-22,,,1.1864999854964284,olculdu,yok
2008-08-29,,,1.1817999763426872,olculdu,yok
2008-09-05,,,1.2129999444008348,olculdu,yok
2008-09-12,,,1.253299976781678,olculdu,yok
2008-09-19,,,1.2740000746878517,olculdu,yok
2008-09-26,,,1.2312999594893306,olculdu,yok
2008-10-03,,,1.2316000201812112,olculdu,yok
2008-10-10,,,1.3773000463364957,olculdu,yok
2008-10-17,,,1.4739999428222705,olculdu,yok
2008-10-24,,,1.6946999562445266,olculdu,yok
2008-10-31,,,1.4964000652049438,olculdu,yok
2008-11-07,,,1.5240999603858716,olculdu,yok
2008-11-14,,,1.6308000874078026,olculdu,yok
2008-11-21,,,1.6956001033877424,olculdu,yok
2008-11-28,,,1.5655000650371844,olculdu,yok
2008-12-05,,,1.5644999343927037,olculdu,yok
2008-12-12,,,1.5642999604829178,olculdu,yok
2008-12-19,,,1.5114000326735206,olculdu,yok
2008-12-26,,,1.5073999650690608,olculdu,yok
2009-01-02,,,1.521800133675983,olculdu,yok
2009-01-09,,,1.5462000504725428,olculdu,yok
2009-01-16,,,1.6115000287892212,olculdu,yok
2009-01-23,,,1.6404999625216292,olculdu,yok
2009-01-30,,,1.6107000798064377,olculdu,yok
2009-02-06,,,1.6317000344000168,olculdu,yok
2009-02-13,,,1.6397000025180157,olculdu,yok
2009-02-20,,,1.6748998990798876,olculdu,yok
2009-02-27,,,1.6812999033484854,olculdu,yok
2009-03-06,,,1.731399980090057,olculdu,yok
2009-03-13,,,1.7457000103456772,olculdu,yok
2009-03-20,,,1.680700138918136,olculdu,yok
2009-03-27,,,1.6486001004744444,olculdu,yok
2009-04-03,,,1.6126999688410382,olculdu,yok
2009-04-10,,,1.568399954648674,olculdu,yok
2009-04-17,,,1.5950000010249428,olculdu,yok
2009-04-24,,,1.638000098572836,olculdu,yok
2009-05-01,,,1.5968000190487277,olculdu,yok
2009-05-08,,,1.5396000615156022,olculdu,yok
2009-05-15,,,1.5715999599692698,olculdu,yok
2009-05-22,,,1.5270999773612906,olculdu,yok
2009-05-29,,,1.5344999980735283,olculdu,yok
2009-06-05,,,1.5330999610432674,olculdu,yok
2009-06-12,,,1.5281000429011316,olculdu,yok
2009-06-19,,,1.5465999372587929,olculdu,yok
2009-06-26,,,1.5334999691378541,olculdu,yok
2009-07-03,,,1.5282000629070147,olculdu,yok
2009-07-10,,,1.5463999558863457,olculdu,yok
2009-07-17,,,1.519800050403349,olculdu,yok
2009-07-24,,,1.4779000911445042,olculdu,yok
2009-07-31,,,1.469100087556663,olculdu,yok
2009-08-07,,,1.4746000006733209,olculdu,yok
2009-08-14,,,1.4746000745366987,olculdu,yok
2009-08-21,,,1.482199932491451,olculdu,yok
2009-08-28,,,1.4900000431894629,olculdu,yok
2009-09-04,,,1.4949999830507898,olculdu,yok
2009-09-11,,,1.4910999921547432,olculdu,yok
2009-09-18,,,1.4683000162105109,olculdu,yok
2009-09-25,,,1.4809000236806968,olculdu,yok
2009-10-02,,,1.493299995475127,olculdu,yok
2009-10-09,,,1.4569999550058548,olculdu,yok
2009-10-16,,,1.4514999170369944,olculdu,yok
2009-10-23,,,1.4570000234911833,olculdu,yok
2009-10-30,,,1.4826000798500938,olculdu,yok
2009-11-06,,,1.4756999787433884,olculdu,yok
2009-11-13,,,1.4745999961577705,olculdu,yok
2009-11-20,,,1.4876999451357211,olculdu,yok
2009-11-27,,,1.4825000544983389,olculdu,yok
2009-12-04,,,1.4767000167251956,olculdu,yok
2009-12-11,,,1.487000033200338,olculdu,yok
2009-12-18,,,1.5111000112927768,olculdu,yok
2009-12-25,,,1.5052000140406108,olculdu,yok
2010-01-01,,,1.487299968945586,olculdu,yok
2010-01-08,,,1.4638999466870866,olculdu,yok
2010-01-15,,,1.4523000284623624,olculdu,yok
2010-01-22,,,1.4768000283917015,olculdu,yok
2010-01-29,,,1.4831000471489288,olculdu,yok
2010-02-05,,,1.5137000198566029,olculdu,yok
2010-02-12,,,1.5098999807783804,olculdu,yok
2010-02-19,,,1.5173999433326535,olculdu,yok
2010-02-26,,,1.5361000137324674,olculdu,yok
2010-03-05,,,1.53610005343534,olculdu,yok
2010-03-12,,,1.518999998665918,olculdu,yok
2010-03-19,,,1.5243999579626228,olculdu,yok
2010-03-26,,,1.5266000464783127,olculdu,yok
2010-04-02,,,1.5106000040540053,olculdu,yok
2010-04-09,,,1.482699938446072,olculdu,yok
2010-04-16,,,1.4685000466620335,olculdu,yok
2010-04-23,,,1.4749999794432145,olculdu,yok
2010-04-30,,,1.4738999538236084,olculdu,yok
2010-05-07,,,1.5603000281110158,olculdu,yok
2010-05-14,,,1.522900007528477,olculdu,yok
2010-05-21,,,1.575600020489754,olculdu,yok
2010-05-28,,,1.5513999892826804,olculdu,yok
2010-06-04,,,1.577200068613142,olculdu,yok
2010-06-11,,,1.5726999839545535,olculdu,yok
2010-06-18,,,1.549900077907692,olculdu,yok
2010-06-25,,,1.5749999386242504,olculdu,yok
2010-07-02,,,1.56750005819932,olculdu,yok
2010-07-09,,,1.5431000507265384,olculdu,yok
2010-07-16,,,1.5254000481959713,olculdu,yok
2010-07-23,,,1.5118000592558045,olculdu,yok
2010-07-30,,,1.5044999420829621,olculdu,yok
2010-08-06,,,1.4904000458271875,olculdu,yok
2010-08-13,,,1.5064999433919333,olculdu,yok
2010-08-20,,,1.5068001046233546,olculdu,yok
2010-08-27,,,1.515299949828106,olculdu,yok
2010-09-03,,,1.4994000307985103,olculdu,yok
2010-09-10,,,1.503300038875666,olculdu,yok
2010-09-17,,,1.488700020287217,olculdu,yok
2010-09-24,,,1.47859998565072,olculdu,yok
2010-10-01,,,1.4390000156913143,olculdu,yok
2010-10-08,,,1.4205999999832,olculdu,yok
2010-10-15,,,1.3989000423322888,olculdu,yok
2010-10-22,,,1.4216000139909408,olculdu,yok
2010-10-29,,,1.4301000396514731,olculdu,yok
2010-11-05,,,1.392000034516225,olculdu,yok
2010-11-12,,,1.4279999983437834,olculdu,yok
2010-11-19,,,,yok,yok
2010-11-26,,,1.4280000652020233,olculdu,yok
2010-12-03,,,1.47330001394942,olculdu,yok
2010-12-10,,,1.4940000875739496,olculdu,yok
2010-12-17,,,1.520000024845082,olculdu,yok
2010-12-24,,,1.53920001161081,olculdu,yok
2010-12-31,,,1.5375999165002125,olculdu,yok
2011-01-07,1.5402,2.0201,1.5571001094058976,olculdu,aynigun
2011-01-14,1.5514,2.0417,1.5429000090088856,olculdu,aynigun
2011-01-21,1.5533,2.0942,1.5693000090639924,olculdu,aynigun
2011-01-28,1.5674,2.1474,1.583300006612861,olculdu,aynigun
2011-02-04,1.576,2.1711,1.5927000180687976,olculdu,aynigun
2011-02-11,1.5912,2.169,1.588600049364328,olculdu,aynigun
2011-02-18,1.5702,2.1294,1.5731000175697167,olculdu,aynigun
2011-02-25,1.6008,2.204,1.5905000120296682,olculdu,aynigun
2011-03-04,1.6041,2.2224,1.5919000264261614,olculdu,aynigun
2011-03-11,1.5759,2.1793,1.5785999823747383,olculdu,aynigun
2011-03-18,1.5788,2.2109,1.5757000228445164,olculdu,aynigun
2011-03-25,1.547,2.1843,1.5433000241214732,olculdu,aynigun
2011-04-01,1.5363,2.1822,1.5360000062129233,olculdu,aynigun
2011-04-08,1.5085,2.1548,1.4954999387909895,olculdu,aynigun
2011-04-15,1.5146,2.1871,1.5118999627766752,olculdu,aynigun
2011-04-22,1.508,2.2051,1.5097000794472053,olculdu,aynigun
2011-04-29,1.5092,2.238,1.5140999915811346,olculdu,aynigun
2011-05-06,1.5367,2.2826,1.5361000303343293,olculdu,aynigun
2011-05-13,1.5802,2.2402,1.574799950210604,olculdu,aynigun
2011-05-20,1.5743,2.2439,1.573599956338149,olculdu,aynigun
2011-05-27,1.5916,2.2556,1.6002999853141149,olculdu,aynigun
2011-06-03,1.5841,2.2865,1.577300083141019,olculdu,aynigun
2011-06-10,1.5728,2.299,1.5697000675007176,olculdu,aynigun
2011-06-17,1.6075,2.2691,1.5966999879540744,olculdu,aynigun
2011-06-24,1.6183,2.304,1.6233000479397306,olculdu,aynigun
2011-07-01,1.6157,2.3397,1.607300101769543,olculdu,aynigun
2011-07-08,1.6278,2.3259,1.6150000193182892,olculdu,aynigun
2011-07-15,1.6379,2.3272,1.6407000735488768,olculdu,aynigun
2011-07-22,1.665,2.3658,1.6669000582617601,olculdu,aynigun
2011-07-29,1.6702,2.3928,1.6732999257865364,olculdu,aynigun
2011-08-05,1.7074,2.4322,1.7289999724233391,olculdu,aynigun
2011-08-12,1.7669,2.5093,1.7751000288217502,olculdu,aynigun
2011-08-19,1.7676,2.5439,1.7812000888625987,olculdu,aynigun
2011-08-26,1.7615,2.5438,1.7454000068744089,olculdu,aynigun
2011-09-02,1.7454,2.5186,1.7362999273908086,olculdu,aynigun
2011-09-09,1.7592,2.4731,1.7670999795400628,olculdu,aynigun
2011-09-16,1.7734,2.444,1.774999918135703,olculdu,aynigun
2011-09-23,1.8183,2.4524,1.8262001082200052,olculdu,aynigun
