tarih,kh_toplam_mlr,kh_mevduat_mlr,kh_katilim_mlr,kh_kalkinma_mlr,kh_sirket_mlr,kh_hane_mlr,kb_toplam_mlr,kh_haric_mlr,g_kh_toplam_yil,g_kh_haric_yil,g_kh_katilim_yil,katilim_pay,kkm_tl_mlr,kkm_tl_degisim,kkm_usd_mia
2005-12-01,,,,,,,6.455719,,,,,,,,
2006-01-01,,,,,,,6.528042,,,,,,,,
2006-02-01,,,,,,,6.761174,,,,,,,,
2006-03-01,,,,,,,7.090157,,,,,,,,
2006-04-01,,,,,,,7.319984,,,,,,,,
2006-05-01,,,,,,,7.672805,,,,,,,,
2006-06-01,,,,,,,8.012843,,,,,,,,
2006-07-01,,,,,,,8.218788,,,,,,,,
2006-08-01,,,,,,,8.299534,,,,,,,,
2006-09-01,,,,,,,8.51372,,,,,,,,
2006-10-01,,,,,,,8.622733,,,,,,,,
2006-11-01,,,,,,,9.017594,,,,,,,,
2006-12-01,,,,,,,9.242922,,,,,,,,
2007-01-01,,,,,,,9.486531,,,,,,,,
2007-02-01,,,,,,,9.740102,,,,,,,,
2007-03-01,,,,,,,10.214922,,,,,,,,
2007-04-01,,,,,,,10.634067,,,,,,,,
2007-05-01,,,,,,,11.228748,,,,,,,,
2007-06-01,,,,,,,12.402165,,,,,,,,
2007-07-01,,,,,,,13.284981,,,,,,,,
2007-08-01,,,,,,,13.293746,,,,,,,,
2007-09-01,,,,,,,13.275034,,,,,,,,
2007-10-01,225.933117,205.494762,12.350269,8.088086,115.488202,85.778846,14.11985,213.582848,,,,5.466338518226171,,,
2007-11-01,232.557109,211.396266,12.782015,8.378828,118.171905,88.685823,14.146349,219.775094,,,,5.496290805713447,,,
2007-12-01,239.696475,218.245554,12.912471,8.53845,120.362485,92.287258,13.828649,226.784004,,,,5.387009133113034,,,
2008-01-01,242.294434,220.272379,13.330872,8.691183,121.310094,93.926475,14.829698,228.963562,,,,5.50193076247059,,,
