tarih,m1_mlr,m2_mlr,m3_mlr,tcmb_ham_m1_13y,tcmb_ar_m1_13y,tcmb_ham_m2_13y,tcmb_ar_m2_13y,tcmb_ham_m3_13y,tcmb_ar_m3_13y,g_m1_ar_13y,g_m1_ham_13y,g_m2_ar_13y,g_m2_ham_13y,g_m3_ar_13y,g_m3_ham_13y,rezerv_para_mlr,zk_bloke_mlr,emisyon_mlr,serbest_mevduat_mlr,mb_parasi_mlr,carpan_m1,carpan_m2,carpan_m3,emisyon_m1,zk_ima_oran,mevduat_tl_mlr,mevduat_yp_mlr,dth_pay_ham,dth_pay_ar,mevduat_yp_sabit_mlr,bilanco_pay_ham,mevduat_yp_usd_mia,f_ticari_tl,f_ticari_dar,f_ihtiyac,f_konut,f_tasit,f_tuketici,mev_tl,kat_ticari,kat_tuketici,politika,aofm,aofm_kaynak_gun,koridor_alt,koridor_ust,aofm_taban_mn_tl,aofm_gecerli,aofm_ham,makas_kredi_mevduat,spread_politika,spread_aofm,pka_12a,pka_yas_gun,reel_ticari,reel_ticari_yaklasik,reel_tuketici,reel_tuketici_yaklasik,reel_mevduat,reel_mevduat_yaklasik
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.23,,29.98,22.83,24.65,26.13,19.28,,,,,yok,,,,False,,6.949999999999999,,,,,,,,,,
2005-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.31,,30.27,22.39,23.95,27.05,18.8,,,,,yok,,,,False,,5.509999999999998,,,,,,,,,,
2005-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.71,,29.35,22.05,23.01,26.37,18.77,,,,,yok,,,,False,,6.940000000000001,,,,,,,,,,
2005-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,29.14,21.18,22.36,25.99,18.37,,,,,yok,,,,False,,3.8299999999999983,,,,,,,,,,
2005-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.52,,28.12,20.97,21.93,25.12,18.42,,,,,yok,,,,False,,5.099999999999998,,,,,,,,,,
2005-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,25.84,20.6,21.7,24.68,18.26,,,,,yok,,,,False,,4.039999999999999,,,,,,,,,,
2005-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.64,,25.25,20.27,21.13,24.4,18.11,,,,,yok,,,,False,,4.530000000000001,,,,,,,,,,
2005-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.48,,25.66,19.79,20.44,24.17,17.86,,,,,yok,,,,False,,5.620000000000001,,,,,,,,,,
2005-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54,,27.15,19.23,19.99,23.3,17.45,,,,,yok,,,,False,,5.09,,,,,,,,,,
2005-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.73,,27.56,18.99,20.04,23.15,17.27,,,,,yok,,,,False,,6.460000000000001,,,,,,,,,,
2005-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.94,,24.89,18.68,19.69,22.11,16.99,,,,,yok,,,,False,,6.950000000000003,,,,,,,,,,
2005-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,,25.25,18.54,19.48,22.18,16.69,,,,,yok,,,,False,,9.829999999999998,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03,,25.34,18.44,19.1,21.61,16.33,,,,,yok,,,,False,,4.700000000000003,,,,,,,,,,
2005-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4,,25.18,18.26,19.27,21.55,16.61,,,,,yok,,,,False,,5.789999999999999,,,,,,,,,,
2005-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.37,,24.88,18.25,18.89,21.12,16.43,,,,,yok,,,,False,,4.940000000000001,,,,,,,,,,
2005-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.77,,25.23,18.29,18.58,21.37,16.53,,,,,yok,,,,False,,6.239999999999998,,,,,,,,,,
2005-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.17,,25.02,18.15,18.39,21.06,16.52,,,,,yok,,,,False,,3.650000000000002,,,,,,,,,,
2005-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.66,,25.03,18.15,18.39,21.1,16.66,,,,,yok,,,,False,,4.0,,,,,,,,,,
2005-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32,,24.92,18.08,18.52,20.89,16.49,,,,,yok,,,,False,,3.830000000000002,,,,,,,,,,
