tarih,m1_mlr,m2_mlr,m3_mlr,tcmb_ham_m1_13y,tcmb_ar_m1_13y,tcmb_ham_m2_13y,tcmb_ar_m2_13y,tcmb_ham_m3_13y,tcmb_ar_m3_13y,g_m1_ar_13y,g_m1_ham_13y,g_m2_ar_13y,g_m2_ham_13y,g_m3_ar_13y,g_m3_ham_13y,rezerv_para_mlr,zk_bloke_mlr,emisyon_mlr,serbest_mevduat_mlr,mb_parasi_mlr,carpan_m1,carpan_m2,carpan_m3,emisyon_m1,zk_ima_oran
2005-01-07,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-14,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-21,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-28,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-04,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-11,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-18,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-25,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-11,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-18,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-25,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-01,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-08,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-15,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-22,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-29,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-06,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-13,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-20,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-27,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-03,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-10,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-17,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-24,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-01,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-08,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-15,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-22,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-29,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-05,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-12,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-19,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-26,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-02,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-09,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-16,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-23,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-07,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-14,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-21,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-28,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-04,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-11,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-18,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-25,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-09,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-16,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,
