tarih,cari,ihracat,ithalat,mal_denge,hizmet_gelir,hizmet_gider,mal_hizmet,birincil_gelir,birincil_gider,mhb_denge,ikincil_denge,sermaye_hesabi,fin_hesabi,dyy_varlik,dyy_yuk,port_varlik,port_yuk,port_yuk_hisse,port_yuk_borc,turev_varlik,turev_yuk,diger_varlik,diger_varlik_gh,diger_varlik_bnk,diger_varlik_dgr,diger_yuk,diger_yuk_tcmb,diger_yuk_gh,diger_yuk_bnk,diger_yuk_dgr,csf_toplam,nhn,genel_denge,rezerv_akim,resmi_rezerv,imf_kredileri,od_finansmani,hc_cari,hc_altin_ihr,hc_altin_ith,hc_altin_net,hc_enerji_ihr,hc_enerji_ith,hc_enerji_net,hc_altin_haric,hc_enerji_haric,hc_cekirdek,ay_cari,ay_sermaye,ay_fin_hesabi,ay_dyy_net,ay_dyy_varlik,ay_dyy_yuk,ay_port_net,ay_port_yuk,ay_turev_net,ay_diger_net,ay_mevduat_net,ay_mevduat_yuk,ay_mevduat_yuk_bnk,ay_kredi_net,ay_kredi_yuk,ay_kredi_bnk,ay_kredi_bnk_kv,ay_kredi_bnk_uv,ay_kredi_bnk_uv_kul,ay_kredi_bnk_uv_ode,ay_kredi_dgr,ay_kredi_dgr_kv,ay_kredi_dgr_uv,ay_kredi_dgr_uv_kul,ay_kredi_dgr_uv_ode,ay_kredi_gh_uv,ay_kredi_gh_uv_kul,ay_kredi_gh_uv_ode,ay_ticari_kredi,ay_sdr,ay_rezerv,ay_nhn,roll_bnk,roll_dgr,roll_bnk_tahvil,roll_dgr_tahvil,eb_kullanim,eb_kullanim_uv,eb_kullanim_gh,eb_kullanim_bnk,eb_kullanim_dgr,eb_odeme,eb_odeme_uv,rezerv_stok
1975-12-01,-1648.0,1401.0,4502.0,-3101.0,617.0,436.0,-2920.0,0.0,165.0,-3085.0,1437.0,0.0,-327.0,0.0,114.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,-1321.0,-351.0,1672.0,-1672.0,-337.0,-300.0,-1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-12-01,-2029.0,1960.0,4872.0,-2912.0,581.0,517.0,-2848.0,0.0,301.0,-3149.0,1120.0,0.0,-1132.0,0.0,10.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1122.0,0.0,0.0,0.0,0.0,-897.0,-830.0,1727.0,-1727.0,-69.0,-158.0,-1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-12-01,-3140.0,1753.0,5506.0,-3753.0,540.0,687.0,-3900.0,0.0,347.0,-4247.0,1107.0,0.0,-1645.0,0.0,27.0,0.0,0.0,0.0,0.0,,,-149.0,0.0,0.0,0.0,1469.0,0.0,0.0,0.0,0.0,-1495.0,-634.0,2129.0,-2129.0,-327.0,-39.0,-1763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-01,-1265.0,2288.0,4369.0,-2081.0,533.0,310.0,-1858.0,0.0,506.0,-2364.0,1099.0,0.0,-848.0,0.0,34.0,0.0,0.0,0.0,0.0,,,17.0,0.0,0.0,0.0,831.0,0.0,0.0,0.0,0.0,-417.0,-874.0,1291.0,-1291.0,191.0,-213.0,-1269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-01,-1413.0,2261.0,4815.0,-2554.0,708.0,367.0,-2213.0,0.0,1010.0,-3223.0,1810.0,0.0,393.0,0.0,75.0,0.0,0.0,0.0,0.0,,,109.0,0.0,0.0,0.0,-359.0,0.0,0.0,0.0,0.0,-1806.0,651.0,1155.0,-1155.0,-142.0,-10.0,-1003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-01,-3408.0,2910.0,7513.0,-4603.0,762.0,569.0,-4410.0,0.0,1169.0,-5579.0,2171.0,0.0,-672.0,0.0,18.0,0.0,0.0,0.0,0.0,,,-85.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,-2736.0,1434.0,1302.0,-1302.0,494.0,-423.0,-1373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.6
1981-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.7
1981-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.5
1981-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230.6
