tarih,gsyh_bin_tl,usdtry_ceyrek_ort,usdtry_ceyrek_son,gsyh_mn_tl,gsyh_mn_usd,gsyh4_mn_usd,gsyh4_mn_usd_nokta,cari12_mn_usd,cekirdek12_mn_usd,cari_gsyh,cekirdek_gsyh
1995-03-31,2090194.12859657,0.040929078125,0.041864,2090.19412859657,51068.68330170996,,,4192.0,,,
1995-06-30,2495184.44928703,0.04275216393442623,0.043888,2495.18444928703,58363.93341666104,,,2341.0,,,
1995-09-30,3085064.32709784,0.046172765625,0.048664,3085.0643270978403,66815.67121522927,,,352.0,,,
1995-12-31,3089361.47514571,0.05284898461538461,0.061054,3089.3614751457103,58456.40171952105,234704.68965312134,220777.33718409602,-2339.0,,-0.996571480295896,
1996-03-31,3702670.3866424,0.06404426229508196,0.070523,3702.6703866424,57814.24055729552,241450.24690870687,223352.1567327504,-3196.0,,-1.3236681431965642,
1996-06-30,4573508.6574369,0.07620009836065574,0.081224,4573.5086574369,60019.72117923579,243106.03467128164,222806.05703867404,-4183.0,,-1.7206483605625367,
1996-09-30,5804369.6726658,0.08518512307692308,0.090927,5804.3696726658,68138.3023585514,244428.66581460377,223246.34138778003,-3738.0,,-1.5292805316194904,
1996-12-31,6300574.11560157,0.09872883076923077,0.107505,6300.57411560157,63816.962750511666,249789.22684559436,231253.13102131485,-2437.0,4875.94,-0.9756225401611961,1.9520217351143134
1997-03-31,7176670.23608497,0.11829614754098361,0.12627,7176.6702360849695,60666.98185246158,252641.96814076044,235586.02139015147,-3256.0,4586.14,-1.2887803336719998,1.8152724322685827
1997-06-30,8959518.53246129,0.1372409836065574,0.14667,8959.518532461288,65283.11220900636,257905.359170531,240364.90374813374,-2858.0,5191.07,-1.1081584381153733,2.0127809738794857
1997-09-30,11717067.4864055,0.16169909090909093,0.17281,11717.0674864055,72462.17291965462,262229.22973163426,244332.5926546678,-2380.0,5583.09,-0.9076028642709644,2.129087594740579
1997-12-31,12211396.4964185,0.18790969230769233,0.20475,12211.3964964185,64985.4530995824,263397.720080705,245365.84693000003,-2638.0,5104.88,-1.0015272718350474,1.9380881499034486
1998-03-31,14550310.6466342,0.22346032786885248,0.24071,14550.310646634201,65113.618982845546,267844.35721108894,248977.40847109826,-2424.0,4945.23,-0.9050031985888126,1.8463073299329016
1998-06-30,16888309.4163314,0.2525943333333333,0.26505,16888.309416331398,66859.41522704283,269420.6602291254,251608.61777271488,-1651.0,5343.52,-0.6127963603815415,1.9833371336317234
