tarih,gsyh_bin_tl
1995-03-31,2090194.12859657
1995-06-30,2495184.44928703
1995-09-30,3085064.32709784
1995-12-31,3089361.47514571
1996-03-31,3702670.3866424
1996-06-30,4573508.6574369
1996-09-30,5804369.6726658
1996-12-31,6300574.11560157
1997-03-31,7176670.23608497
1997-06-30,8959518.53246129
1997-09-30,11717067.4864055
1997-12-31,12211396.4964185
1998-03-31,14550310.6466342
1998-06-30,16888309.4163314
1998-09-30,20591750.9101964
1998-12-31,19938675.5125477
1999-03-31,21065145.8467415
1999-06-30,25120458.4312532
1999-09-30,30120380.1997286
1999-12-31,31184697.7792871
2000-03-31,36022584.275701
2000-06-30,41419656.3902257
2000-09-30,47930081.0283254
2000-12-31,46405637.7189418
2001-03-31,48788929.1019805
2001-06-30,59436700.2564273
2001-09-30,70087295.1566957
2001-12-31,69494939.5250155
2002-03-31,74147803.425713
2002-06-30,86155636.0705967
2002-09-30,101734048.292358
2002-12-31,100869386.818122
2003-03-31,101837606.442178
2003-06-30,114048147.630101
2003-09-30,130535390.993032
2003-12-31,126947327.567892
2004-03-31,124158764.606504
2004-06-30,140826436.56594
2004-09-30,160312376.34673
2004-12-31,159396094.619847
2005-03-31,147158922.865687
2005-06-30,163817314.154558
2005-09-30,186304995.666748
2005-12-31,185681098.842037
2006-03-31,167820666.753066
2006-06-30,197199044.124381
2006-09-30,216706872.761674
2006-12-31,217733018.839536
2007-03-31,195678319.073105
2007-06-30,215185292.299467
2007-09-30,238594399.890812
2007-12-31,243347418.783777
2008-03-31,225491930.319312
2008-06-30,254094877.558123
2008-09-30,270679090.284925
2008-12-31,258955012.581921
2009-03-31,215723454.139913
2009-06-30,244872328.495052
2009-09-30,274749403.11799
2009-12-31,278165055.869949
2010-03-31,245238589.292648
2010-06-30,282700671.661903
2010-09-30,322044463.138908
2010-12-31,326064244.882544
2011-03-31,296328464.629657
2011-06-30,341163165.496872
2011-09-30,385954610.135374
2011-12-31,390538220.90934
2012-03-31,339453805.039846
2012-06-30,387344421.610499
2012-09-30,428883048.58962893
2012-12-31,434368020.01623905
2013-03-31,392753083.38088095
2013-06-30,446996350.53968894
2013-09-30,495445687.68149
2013-12-31,496548848.900392
2014-03-31,458361289.85878706
2014-06-30,492585428.77921695
2014-09-30,551958483.650141
2014-12-31,559452976.885586
2015-03-31,501740757.863902
2015-06-30,567197911.838763
2015-09-30,634163127.850709
2015-12-31,650957329.41532
2016-03-31,570866259.930324
2016-06-30,637798573.2920791
2016-09-30,670039064.862309
2016-12-31,751284073.421079
2017-03-31,660893768.1913071
2017-06-30,743962431.0393981
2017-09-30,844119989.315872
2017-12-31,902552964.3439232
2018-03-31,809483219.5285649
2018-06-30,908772012.41503
2018-09-30,1047448535.16651
2018-12-31,1040775452.24834
2019-03-31,948043693.090981
2019-06-30,1051610271.78976
2019-09-30,1178523775.71783
2019-12-31,1223872570.25994
2020-03-31,1095834093.20798
2020-06-30,1061245901.35972
2020-09-30,1440508562.2707
2020-12-31,1544122044.10238
2021-03-31,1439485730.2545
2021-06-30,1633315779.80098
2021-09-30,1975578633.13683
2021-12-31,2385419765.0929
2022-03-31,2589636478.47121
2022-06-30,3502565413.44039
2022-09-30,4351145687.05226
2022-12-31,4882509912.85856
2023-03-31,4798503056.20185
2023-06-30,5696948397.90071
2023-09-30,7894487347.52061
2023-12-31,8701530263.078209
2024-03-31,9075604052.75238
2024-06-30,10142411556.4424
2024-09-30,12307886731.7288
2024-12-31,13061323099.2748
2025-03-31,12524735930.1741
2025-06-30,14556834754.955
2025-09-30,17472039793.4637
2025-12-31,18467295345.2816
2026-03-31,16999977475.5092
