tarih,borc_odeme_top,borc_odeme_haz,borc_odeme_dgr,borc_odeme_tcmb
2012-12-26,1.13,0.55,0.54,0.04
2013-01-02,1.13,0.55,0.54,0.04
2013-01-09,54.58,41.19,0.98,12.41
2013-01-16,2581.74,2535.21,24.28,22.25
2013-01-23,129.46,78.57,48.02,2.87
2013-01-30,24.94,2.12,2.56,20.26
2013-02-06,131.44,127.92,2.53,0.99
2013-02-13,162.15,154.67,2.27,5.21
2013-02-20,694.06,199.13,58.68,5.0
2013-02-27,23.85,7.02,12.68,4.15
2013-03-06,103.93,99.76,0.81,3.36
2013-03-13,116.87,103.75,2.04,11.08
2013-03-20,351.79,326.63,5.27,19.89
2013-03-27,265.12,238.59,25.23,1.3
2013-04-03,304.41,288.92,1.64,13.85
2013-04-10,35.65,12.9,11.52,4.82
2013-04-17,278.42,274.55,1.41,2.46
2013-04-24,105.83,75.53,26.33,3.97
2013-05-01,109.68,96.59,5.09,8.0
2013-05-08,87.33,78.06,2.92,6.35
2013-05-15,563.69,129.15,12.4,0.94
2013-05-22,178.21,165.31,9.57,3.33
2013-05-29,41.64,33.2,4.43,4.01
2013-06-05,244.71,208.39,29.28,7.04
2013-06-12,109.26,79.37,2.02,27.87
2013-06-19,43.58,30.37,4.68,8.53
2013-06-26,117.43,83.41,19.66,14.36
2013-07-03,93.13,79.5,7.11,6.52
2013-07-10,42.48,41.73,0.55,0.2
2013-07-17,461.35,450.65,4.49,6.21
2013-07-24,105.38,83.64,20.63,1.11
2013-07-31,17.07,3.09,2.06,11.92
2013-08-07,140.08,137.21,1.54,1.33
2013-08-14,120.4,117.87,0.12,2.41
2013-08-21,47.8,21.24,25.73,0.83
2013-08-28,10.58,6.36,1.26,2.96
2013-09-04,41.93,14.74,16.87,10.32
2013-09-11,94.46,91.29,1.12,2.05
2013-09-18,395.15,365.74,18.4,11.01
2013-09-25,126.4,102.26,18.65,5.49
2013-10-02,288.88,280.32,4.24,4.32
2013-10-09,124.12,86.1,21.81,16.21
2013-10-16,292.18,285.46,1.56,5.16
2013-10-23,71.7,71.48,0.03,0.19
2013-10-30,108.09,44.65,28.51,34.93
2013-11-06,122.25,98.83,0.72,22.7
2013-11-13,262.98,81.37,162.63,18.98
2013-11-20,113.07,99.6,5.49,7.98
2013-11-27,26.76,5.72,13.06,7.98
2013-12-04,167.05,137.73,26.37,2.95
2013-12-11,109.76,90.17,10.19,9.4
2013-12-18,166.45,100.44,52.12,13.89
2013-12-25,122.38,89.15,26.74,6.49
2014-01-01,170.45,86.8,80.85,2.8
2014-01-08,92.13,37.6,51.19,3.34
2014-01-15,2124.82,2110.26,12.54,2.02
2014-01-22,152.87,130.6,15.37,6.9
2014-01-29,45.06,38.83,0.35,5.88
2014-02-05,136.94,132.75,1.58,2.61
2014-02-12,1679.02,1659.66,15.54,3.82
2014-02-19,265.36,232.26,21.21,11.89
2014-02-26,69.28,7.05,47.41,14.82
2014-03-05,118.4,102.43,1.62,14.35
2014-03-12,232.34,94.1,82.49,55.75
2014-03-19,350.83,333.67,7.35,9.81
2014-03-26,321.31,284.12,20.6,16.59
2014-04-02,230.89,213.97,10.61,6.31
2014-04-09,96.11,91.72,1.46,2.93
2014-04-16,336.27,325.33,8.78,2.16
2014-04-23,93.74,34.24,49.71,9.79
2014-04-30,38.68,17.84,14.41,6.43
2014-05-07,171.13,162.12,0.97,8.04
2014-05-14,35.29,22.97,7.2,5.12
2014-05-21,239.89,236.84,1.22,1.83
2014-05-28,41.69,35.21,1.6,4.88
2014-06-04,282.96,113.11,165.37,4.48
2014-06-11,96.96,89.63,1.42,5.91
2014-06-18,101.41,83.06,9.26,9.09
2014-06-25,113.76,61.21,26.67,25.88
2014-07-02,130.38,89.34,37.68,3.36
2014-07-09,44.54,41.42,0.74,2.38
2014-07-16,389.86,361.51,20.61,7.74
2014-07-23,125.93,94.1,24.21,7.62
2014-08-06,156.78,150.98,0.19,5.61
2014-08-13,72.51,57.71,5.76,9.04
2014-08-20,169.19,137.16,21.09,10.94
2014-08-27,96.0,60.54,18.63,16.83
2014-09-03,46.61,13.82,26.06,6.73
2014-09-10,49.11,38.66,6.59,3.86
2014-09-17,522.05,380.09,134.79,7.17
2014-09-24,183.7,172.16,5.22,6.32
2014-10-01,421.35,375.78,45.25,0.32
2014-10-08,303.19,100.73,172.61,29.85
2014-10-15,271.94,269.83,0.19,1.92
2014-10-22,92.14,88.03,1.19,2.92
2014-10-29,24.56,8.62,9.43,6.51
2014-11-05,113.32,101.94,8.49,2.89
2014-11-12,165.96,153.82,3.29,8.85
2014-11-19,93.43,60.73,31.88,0.82
2014-11-26,40.45,35.34,2.14,2.97
2014-12-03,211.37,136.74,18.16,56.47
2014-12-10,169.43,158.79,3.96,6.68
2014-12-17,138.22,81.49,46.44,10.29
2014-12-24,155.0,78.74,71.32,4.94
2014-12-31,111.97,79.28,4.5,28.19
2015-01-07,266.51,164.95,95.45,6.11
2015-01-14,232.94,227.2,3.0,2.74
2015-01-21,329.29,240.2,86.88,2.21
2015-01-28,85.82,67.81,5.74,12.27
2015-02-04,17.0,13.04,1.08,2.88
2015-02-11,164.18,137.9,0.46,25.82
2015-02-18,260.12,256.06,2.96,1.1
2015-02-25,50.61,26.28,22.62,1.71
2015-03-04,94.83,54.98,21.74,18.11
2015-03-11,126.27,94.93,23.16,8.18
2015-03-18,3158.86,3061.24,84.83,12.79
2015-03-25,186.07,164.14,2.46,19.47
2015-04-01,281.75,275.84,3.96,1.95
2015-04-08,206.07,169.96,1.29,34.82
2015-04-15,284.5,264.44,6.84,13.22
2015-04-22,127.1,113.75,7.69,5.66
2015-04-29,29.81,15.23,11.56,3.02
2015-05-06,117.09,96.19,14.11,6.79
2015-05-13,108.55,69.8,34.64,4.11
2015-05-20,218.79,197.46,16.5,4.83
2015-05-27,31.03,25.97,3.32,1.74
2015-06-03,126.55,102.67,17.09,6.79
2015-06-10,96.04,80.86,0.13,15.05
2015-06-17,43.4,32.37,4.77,6.26
2015-06-24,90.44,65.6,17.04,7.8
2015-07-01,245.8,68.2,142.96,34.64
2015-07-08,53.17,32.82,4.14,16.21
2015-07-15,321.75,299.27,2.54,19.94
2015-07-22,61.11,55.39,4.1,1.62
2015-07-29,79.45,67.9,8.15,3.4
2015-08-05,176.69,134.4,39.99,2.3
2015-08-12,20.49,16.43,1.69,2.37
2015-08-19,173.82,169.05,1.95,2.82
2015-08-26,62.78,45.16,11.87,5.75
2015-09-02,29.93,14.4,13.31,2.22
2015-09-09,55.38,39.38,3.28,12.72
2015-09-16,187.6,165.59,0.9,21.11
2015-09-23,299.26,214.05,72.74,12.47
2015-09-30,330.71,313.54,16.02,1.15
2015-10-07,107.94,82.01,18.95,6.98
2015-10-14,80.53,68.14,5.45,6.94
2015-10-21,256.98,242.18,11.78,3.02
2015-10-28,62.96,13.0,46.97,2.99
2015-11-04,58.21,52.47,2.1,3.64
2015-11-11,78.76,73.87,1.66,3.23
2015-11-18,135.38,110.48,8.26,16.64
2015-11-25,57.0,48.45,5.0,3.55
2015-12-02,145.97,106.44,18.66,20.87
2015-12-09,104.43,77.05,8.81,3.78
2015-12-16,48.24,28.05,18.07,2.12
2015-12-23,141.43,94.61,32.92,13.9
2015-12-30,149.14,28.64,97.74,22.76
2016-01-06,536.13,410.64,88.08,37.41
2016-01-13,228.48,12.73,214.23,1.52
2016-01-20,320.68,313.92,3.97,2.79
2016-01-27,201.51,174.07,19.42,8.02
2016-02-03,19.24,9.18,7.17,2.89
2016-02-10,174.37,140.0,33.47,0.9
2016-02-17,259.68,251.7,7.4,0.58
2016-02-24,37.31,33.92,0.7,2.69
2016-03-02,888.25,872.01,12.15,4.09
2016-03-09,44.47,39.23,3.35,1.89
2016-03-16,654.13,614.29,10.67,29.17
2016-03-23,285.85,245.62,37.11,3.12
2016-03-30,273.56,266.13,3.07,4.36
2016-04-06,197.09,186.27,8.01,2.81
2016-04-13,88.03,82.29,0.48,5.26
2016-04-20,345.49,289.79,49.79,5.91
2016-04-27,44.17,15.96,2.65,25.35
2016-05-04,140.41,52.9,85.87,1.64
2016-05-11,73.57,66.66,6.0,0.91
2016-05-18,277.84,172.89,98.85,6.1
2016-05-25,76.23,51.19,24.56,0.48
2016-06-01,113.81,106.97,5.75,1.09
2016-06-08,118.65,81.41,33.82,3.42
2016-06-15,53.03,36.23,1.06,15.74
2016-06-22,110.64,67.71,37.18,5.75
2016-06-29,18.39,3.69,12.21,2.49
2016-07-06,110.23,75.69,0.82,33.72
2016-07-13,36.38,32.98,,3.4
2016-07-20,343.58,321.01,17.06,5.51
2016-07-27,85.8,78.57,2.98,4.25
2016-08-03,33.57,10.39,22.07,1.11
2016-08-10,142.69,137.15,3.63,1.91
2016-08-17,211.27,206.81,0.76,3.7
2016-08-24,45.58,37.75,2.33,5.5
2016-08-31,15.78,13.85,1.36,0.57
2016-09-07,49.21,40.93,5.56,2.72
2016-09-14,86.38,82.95,1.01,2.42
2016-09-21,231.52,229.08,0.1,2.34
2016-09-28,2345.02,2299.02,40.45,5.55
2016-10-05,170.77,163.43,6.71,0.63
2016-10-12,83.09,77.35,2.19,3.55
2016-10-19,286.77,263.33,17.4,6.04
2016-10-26,44.86,26.41,16.3,2.15
2016-11-02,65.27,53.22,7.8,4.25
2016-11-09,72.51,68.47,1.27,2.77
2016-11-16,130.09,128.32,1.57,0.2
2016-11-23,85.23,55.19,29.51,0.53
2016-11-30,145.02,85.99,45.44,13.59
2016-12-07,153.33,114.25,38.5,0.58
2016-12-14,101.7,49.24,7.14,45.32
2016-12-21,159.26,103.82,21.45,33.99
2016-12-28,166.6,138.11,21.35,7.14
2017-01-04,222.89,64.71,112.33,45.85
2017-01-11,60.0,59.97,,0.03
2017-01-18,285.7,268.17,17.49,0.04
2017-01-25,132.58,117.03,15.35,0.2
2017-02-01,30.8,8.58,19.58,2.64
2017-02-08,136.9,129.34,1.37,6.19
2017-02-15,117.91,113.36,3.67,0.88
2017-02-22,1806.57,1802.13,4.13,0.31
2017-03-01,35.7,20.05,15.31,0.34
2017-03-08,78.4,44.0,34.36,0.11
2017-03-15,183.51,131.02,51.07,1.42
2017-03-22,230.22,222.61,7.6,0.01
2017-03-29,163.53,159.24,3.97,0.32
2017-04-05,268.6,260.35,7.82,0.52
2017-04-12,158.0,154.98,2.86,0.16
2017-04-19,242.55,241.19,1.24,0.12
2017-04-26,74.9,34.31,37.88,2.71
2017-05-03,162.26,59.33,100.02,2.91
2017-05-10,156.11,107.85,46.96,1.3
2017-05-17,69.9,65.33,4.28,0.29
2017-05-24,170.56,169.1,1.41,0.05
2017-05-31,120.5,98.21,21.78,0.51
2017-06-07,133.61,129.0,3.67,0.97
2017-06-14,32.55,23.58,6.57,2.4
2017-06-21,164.0,109.27,52.49,2.24
2017-06-28,88.63,41.36,47.27,0.0
2017-07-05,102.08,89.83,9.3,2.95
2017-07-12,24.17,19.49,1.29,3.39
2017-07-19,2567.75,2546.62,19.89,1.24
2017-07-26,118.93,112.3,6.37,0.26
2017-08-02,28.32,25.78,1.51,1.03
2017-08-09,176.17,142.78,15.14,18.25
2017-08-16,96.23,86.82,1.02,8.39
2017-08-23,210.2,208.18,1.97,0.05
2017-08-30,25.47,10.53,14.72,0.22
2017-09-06,49.69,49.57,0.0,0.12
2017-09-13,128.17,122.05,5.79,0.33
2017-09-20,721.68,707.79,10.45,3.44
2017-09-27,384.34,368.03,10.87,5.44
2017-10-04,283.21,189.75,93.32,0.14
2017-10-11,220.91,141.77,78.83,0.31
2017-10-18,236.39,220.19,15.78,0.42
2017-10-25,54.72,32.79,21.59,0.34
2017-11-01,90.65,61.2,29.05,0.4
2017-11-08,145.3,139.83,5.07,0.4
2017-11-15,240.42,236.95,2.58,0.89
2017-11-22,121.14,32.17,87.97,1.0
2017-11-29,96.65,49.85,46.36,0.44
2017-12-06,182.5,160.42,20.89,1.19
2017-12-13,150.64,141.52,8.87,0.25
2017-12-20,692.14,656.76,34.49,0.89
2017-12-27,340.17,169.01,170.09,1.07
2018-01-03,373.14,95.72,277.34,0.08
2018-01-10,398.68,42.98,355.52,0.18
2018-01-17,596.83,182.62,401.55,12.66
2018-01-24,390.76,107.22,35.44,248.1
2018-01-31,57.12,38.57,18.03,0.52
2018-02-07,171.13,134.18,36.68,0.27
2018-02-14,80.87,74.22,6.1,0.55
2018-02-21,201.68,156.41,45.21,0.06
2018-02-28,43.06,18.52,9.07,15.47
2018-03-07,161.03,37.56,118.82,4.65
2018-03-14,120.69,87.42,32.57,0.7
2018-03-21,218.81,215.86,2.27,0.68
2018-03-28,1852.6,1827.04,25.4,0.16
2018-04-04,2561.58,2552.02,9.53,0.03
2018-04-11,198.38,190.32,7.87,0.19
2018-04-18,206.31,181.97,24.09,0.25
2018-04-25,41.41,33.84,7.33,0.24
2018-05-02,145.19,76.24,67.64,1.31
2018-05-09,99.91,87.09,8.26,4.56
2018-05-16,204.05,196.86,5.53,1.66
2018-05-23,160.43,151.14,6.49,2.8
2018-05-30,130.56,119.73,9.66,1.17
2018-06-06,147.65,122.09,19.88,5.68
2018-06-13,39.78,34.9,2.85,2.03
2018-06-20,133.3,126.31,5.63,1.36
2018-06-27,58.02,40.69,13.39,3.94
2018-07-04,89.55,64.0,16.05,0.03
2018-07-11,91.42,15.85,73.91,1.66
2018-07-18,216.18,190.58,22.63,2.97
2018-07-25,141.95,105.31,30.26,6.38
2018-08-01,63.63,38.81,23.47,1.35
2018-08-08,152.12,134.47,17.65,0.0
2018-08-15,116.3,89.79,26.25,0.26
2018-08-22,216.26,205.34,10.41,0.51
2018-08-29,38.68,36.26,2.24,0.18
2018-09-05,99.31,50.31,48.83,0.17
2018-09-12,55.67,53.6,2.02,0.05
2018-09-19,317.05,292.81,24.15,0.09
2018-09-26,345.19,338.04,6.95,0.2
2018-10-03,170.31,128.59,41.49,0.23
2018-10-10,1392.8,1388.81,3.18,0.83
2018-10-17,163.69,123.94,39.39,0.36
2018-10-24,99.04,91.62,7.25,0.17
2018-10-31,25.19,23.46,1.57,0.16
2018-11-07,126.01,123.31,2.52,0.18
2018-11-14,196.98,162.35,34.62,0.01
2018-11-21,150.71,147.41,3.0,0.3
2018-11-28,49.31,48.31,0.71,0.29
2018-12-05,220.11,154.38,57.36,8.37
2018-12-12,50.48,32.54,17.86,0.08
2018-12-19,234.51,202.55,29.71,2.25
2018-12-26,118.53,108.43,9.98,0.12
2019-01-02,95.09,64.25,30.8,0.04
2019-01-09,42.32,14.68,27.63,0.01
2019-01-16,187.68,186.06,0.92,0.7
2019-01-23,139.45,138.73,0.69,0.03
2019-01-30,59.54,55.42,3.14,0.98
2019-02-06,165.42,152.41,12.99,0.02
2019-02-13,19.02,11.91,5.74,1.37
2019-02-20,346.69,291.72,54.89,0.08
2019-02-27,46.01,22.76,23.25,0.0
2019-03-06,119.73,94.11,25.27,0.35
2019-03-13,1570.61,1569.54,0.62,0.45
2019-03-20,242.19,234.37,7.56,0.26
2019-03-27,323.22,308.14,14.74,0.34
2019-04-03,1654.64,1648.03,6.49,0.12
2019-04-10,148.43,147.35,0.57,0.51
2019-04-17,214.44,197.89,14.84,1.71
2019-04-24,98.05,92.84,4.9,0.31
2019-05-01,81.27,71.04,9.52,0.71
2019-05-08,106.05,96.11,9.44,0.5
2019-05-15,217.53,216.03,1.12,0.38
2019-05-22,141.81,126.82,14.95,0.04
2019-05-29,58.89,56.48,0.66,1.75
2019-06-05,183.65,156.45,27.2,0.0
2019-06-12,119.28,117.96,0.0,1.32
2019-06-19,143.45,140.85,0.76,1.84
2019-06-26,238.77,237.67,1.1,0.0
2019-07-03,94.58,80.77,13.48,0.33
2019-07-10,42.72,41.88,0.17,0.67
2019-07-17,213.26,205.8,6.53,0.93
2019-07-24,153.59,105.89,47.31,0.39
2019-07-31,60.09,48.08,12.01,0.0
2019-08-07,153.41,142.96,10.4,0.05
2019-08-14,452.19,452.11,0.02,0.06
2019-08-21,299.14,299.07,0.07,0.0
2019-08-28,18.34,18.31,0.0,0.03
2019-09-04,19.79,12.18,6.29,1.32
2019-09-11,166.65,134.84,29.48,2.33
2019-09-18,261.14,243.2,17.87,0.07
2019-09-25,295.08,294.05,0.89,0.14
2019-10-02,207.7,201.89,5.6,0.21
2019-10-09,127.21,125.9,1.2,0.11
2019-10-16,239.55,235.91,2.24,1.4
2019-10-23,203.92,200.21,3.68,0.03
2019-10-30,326.32,313.39,12.83,0.1
2019-11-06,120.28,119.21,0.52,0.55
2019-11-13,1732.29,1725.88,5.37,1.04
2019-11-20,176.12,171.1,3.58,1.44
2019-11-27,49.44,22.57,26.31,0.56
2019-12-04,171.68,161.81,9.4,0.47
2019-12-11,193.37,188.45,4.7,0.22
2019-12-18,264.07,221.25,42.63,0.19
2019-12-25,280.72,276.05,3.99,0.68
2020-01-01,144.27,117.77,26.5,0.0
2020-01-08,89.45,65.15,24.3,0.0
2020-01-15,223.0,218.28,4.65,0.07
2020-01-22,77.84,77.32,0.05,0.47
2020-01-29,10.02,3.24,6.78,0.0
2020-02-05,260.14,240.68,19.46,0.0
2020-02-12,123.02,118.44,4.13,0.45
2020-02-19,355.56,330.28,25.15,0.13
2020-02-26,162.64,161.73,0.51,0.0
2020-03-04,351.58,340.79,9.68,1.11
2020-03-11,303.36,298.51,4.77,0.08
2020-03-18,273.57,269.44,3.51,0.62
2020-03-25,278.13,271.06,6.86,0.21
2020-04-01,770.68,765.71,4.91,0.06
2020-04-08,85.9,83.09,0.21,2.6
2020-04-15,451.63,449.59,1.89,0.15
2020-04-22,304.73,285.41,18.57,0.75
2020-04-29,271.44,270.68,0.21,0.55
2020-05-06,342.52,336.93,5.59,0.0
2020-05-13,197.95,196.48,1.45,0.02
2020-05-20,2607.4,2599.11,8.22,0.07
2020-05-27,284.16,277.79,6.37,0.0
2020-06-03,1480.96,1466.14,14.77,0.05
2020-06-10,2480.93,2476.63,4.3,0.0
2020-06-17,223.44,222.91,0.41,0.12
2020-06-24,312.06,301.2,10.86,0.0
2020-07-01,213.66,203.42,10.07,0.17
2020-07-08,185.87,154.06,30.99,0.82
2020-07-15,280.13,278.55,1.47,0.11
2020-07-22,232.58,229.71,2.82,0.05
2020-07-29,468.81,468.15,0.66,0.0
2020-08-05,255.11,215.54,39.57,0.0
2020-08-12,288.74,284.64,4.1,0.0
2020-08-19,522.54,515.98,6.56,0.0
2020-08-26,188.96,188.38,0.36,0.22
2020-09-02,220.93,214.43,5.62,0.88
2020-09-09,222.31,215.31,6.93,0.07
2020-09-16,410.25,410.04,0.21,0.0
2020-09-23,332.22,323.07,9.1,0.05
2020-09-30,412.4,409.98,2.42,0.0
2020-10-07,327.21,326.29,0.92,0.0
2020-10-14,209.74,207.23,2.41,0.1
2020-10-21,370.68,368.03,1.97,0.68
2020-10-28,375.18,367.66,7.41,0.11
2020-11-04,118.38,92.24,26.14,0.0
2020-11-11,473.95,467.71,2.72,3.52
2020-11-18,538.41,537.8,0.13,0.48
2020-11-25,95.73,95.07,0.57,0.09
2020-12-02,296.21,283.32,9.34,0.17
2020-12-09,917.56,915.94,1.43,0.19
