tarih,borc_odeme_top,borc_odeme_top_4h,borc_odeme_haz,borc_odeme_haz_4h,borc_odeme_dgr,borc_odeme_dgr_4h,borc_odeme_tcmb,borc_odeme_tcmb_4h,borc_odeme_top_52h
2012-12-26,1.13,,0.55,,0.54,,0.04,,
2013-01-02,1.13,,0.55,,0.54,,0.04,,
2013-01-09,54.58,,41.19,,0.98,,12.41,,
2013-01-16,2581.74,2638.58,2535.21,2577.5,24.28,26.34,22.25,34.74,
2013-01-23,129.46,2766.91,78.57,2655.52,48.02,73.82000000000001,2.87,37.57,
2013-01-30,24.94,2790.72,2.12,2657.09,2.56,75.83999999999999,20.26,57.790000000000006,
2013-02-06,131.44,2867.58,127.92,2743.82,2.53,77.39,0.99,46.370000000000005,
2013-02-13,162.15,447.99,154.67,363.28,2.27,55.38,5.21,29.330000000000002,
2013-02-20,694.06,1012.5899999999999,199.13,483.84,58.68,66.03999999999999,5.0,31.46,
2013-02-27,23.85,1011.5,7.02,488.73999999999995,12.68,76.16,4.15,15.350000000000001,
2013-03-06,103.93,983.9899999999999,99.76,460.5799999999999,0.81,74.43999999999998,3.36,17.72,
2013-03-13,116.87,938.7099999999999,103.75,409.65999999999997,2.04,74.21,11.08,23.59,
2013-03-20,351.79,596.44,326.63,537.16,5.27,20.79999999999999,19.89,38.480000000000004,
2013-03-27,265.12,837.71,238.59,768.73,25.23,33.349999999999994,1.3,35.63,
2013-04-03,304.41,1038.19,288.92,957.89,1.64,34.17999999999999,13.85,46.120000000000005,
2013-04-10,35.65,956.9700000000001,12.9,867.04,11.52,43.66,4.82,39.86000000000001,
2013-04-17,278.42,883.6,274.55,814.96,1.41,39.8,2.46,22.43,
2013-04-24,105.83,724.3100000000001,75.53,651.9,26.33,40.89999999999999,3.97,25.1,
2013-05-01,109.68,529.58,96.59,459.57,5.09,44.349999999999994,8.0,19.25,
2013-05-08,87.33,581.26,78.06,524.73,2.92,35.74999999999999,6.35,20.78,
2013-05-15,563.69,866.53,129.15,379.33000000000004,12.4,46.739999999999995,0.94,19.259999999999998,
2013-05-22,178.21,938.91,165.31,469.11,9.57,29.979999999999993,3.33,18.62,
2013-05-29,41.64,870.87,33.2,405.72,4.43,29.319999999999993,4.01,14.629999999999999,
2013-06-05,244.71,1028.25,208.39,536.05,29.28,55.67999999999999,7.04,15.32,
2013-06-12,109.26,573.8199999999999,79.37,486.27000000000004,2.02,45.3,27.87,42.25,
2013-06-19,43.58,439.1899999999998,30.37,351.33000000000004,4.68,40.41,8.53,47.45,
2013-06-26,117.43,514.9799999999999,83.41,401.53999999999996,19.66,55.63999999999999,14.36,57.8,
2013-07-03,93.13,363.39999999999986,79.5,272.65,7.11,33.46999999999999,6.52,57.28,
2013-07-10,42.48,296.6199999999999,41.73,235.01,0.55,31.999999999999993,0.2,29.610000000000003,
2013-07-17,461.35,714.3899999999999,450.65,655.29,4.49,31.809999999999995,6.21,27.290000000000006,
2013-07-24,105.38,702.3399999999998,83.64,655.52,20.63,32.77999999999999,1.11,14.040000000000003,
2013-07-31,17.07,626.2799999999999,3.09,579.11,2.06,27.72999999999999,11.92,19.440000000000005,
2013-08-07,140.08,723.8799999999999,137.21,674.5899999999999,1.54,28.71999999999999,1.33,20.570000000000004,
2013-08-14,120.4,382.92999999999984,117.87,341.81,0.12,24.349999999999987,2.41,16.770000000000003,
2013-08-21,47.8,325.34999999999985,21.24,279.41,25.73,29.449999999999992,0.83,16.490000000000002,
2013-08-28,10.58,318.85999999999984,6.36,282.68,1.26,28.649999999999995,2.96,7.530000000000004,
2013-09-04,41.93,220.70999999999984,14.74,160.21,16.87,43.97999999999999,10.32,16.520000000000003,
2013-09-11,94.46,194.7699999999998,91.29,133.63,1.12,44.98,2.05,16.160000000000004,
2013-09-18,395.15,542.1199999999998,365.74,478.13,18.4,37.64999999999999,11.01,26.340000000000003,
2013-09-25,126.4,657.9399999999997,102.26,574.03,18.65,55.03999999999999,5.49,28.87,
2013-10-02,288.88,904.8899999999998,280.32,839.6099999999999,4.24,42.40999999999999,4.32,22.87,
2013-10-09,124.12,934.5499999999998,86.1,834.42,21.81,63.099999999999994,16.21,37.03,
2013-10-16,292.18,831.5799999999999,285.46,754.14,1.56,46.25999999999999,5.16,31.180000000000003,
2013-10-23,71.7,776.8799999999998,71.48,723.36,0.03,27.639999999999993,0.19,25.880000000000006,
2013-10-30,108.09,596.0899999999998,44.65,487.69,28.51,51.91,34.93,56.49,
2013-11-06,122.25,594.2199999999998,98.83,500.4200000000001,0.72,30.819999999999997,22.7,62.980000000000004,
2013-11-13,262.98,565.0199999999998,81.37,296.33000000000004,162.63,191.89,18.98,76.80000000000001,
2013-11-20,113.07,606.3899999999999,99.6,324.45,5.49,197.35,7.98,84.59,
2013-11-27,26.76,525.0599999999998,5.72,285.52000000000004,13.06,181.9,7.98,57.64,
2013-12-04,167.05,569.8599999999998,137.73,324.41999999999996,26.37,207.55,2.95,37.89,
2013-12-11,109.76,416.63999999999976,90.17,333.21999999999997,10.19,55.11,9.4,28.310000000000002,
2013-12-18,166.45,470.01999999999975,100.44,334.06,52.12,101.74,13.89,34.22,10411.53
2013-12-25,122.38,565.6399999999998,89.15,417.48999999999995,26.74,115.41999999999999,6.49,32.730000000000004,10532.78
2014-01-01,170.45,569.0399999999997,86.8,366.56,80.85,169.89999999999998,2.8,32.580000000000005,10702.1
2014-01-08,92.13,551.4099999999997,37.6,313.99,51.19,210.89999999999998,3.34,26.52,10739.65
2014-01-15,2124.82,2509.7799999999997,2110.26,2323.8100000000004,12.54,171.31999999999996,2.02,14.65,10282.73
2014-01-22,152.87,2540.2699999999995,130.6,2365.26,15.37,159.95,6.9,15.06,10306.140000000001
2014-01-29,45.06,2414.8799999999997,38.83,2317.2900000000004,0.35,79.45,5.88,18.14,10326.26
2014-02-05,136.94,2459.6899999999996,132.75,2412.44,1.58,29.84,2.61,17.41,10331.76
2014-02-12,1679.02,2013.8899999999994,1659.66,1961.8400000000001,15.54,32.839999999999996,3.82,19.21,11848.630000000001
2014-02-19,265.36,2126.3799999999997,232.26,2063.5,21.21,38.68,11.89,24.200000000000003,11419.93
2014-02-26,69.28,2150.5999999999995,7.05,2031.72,47.41,85.74,14.82,33.14,11465.36
2014-03-05,118.4,2132.0599999999995,102.43,2001.4,1.62,85.78,14.35,44.88,11479.83
2014-03-12,232.34,685.3799999999995,94.1,435.84,82.49,152.73,55.75,96.81,11595.3
2014-03-19,350.83,770.8499999999996,333.67,537.25,7.35,138.86999999999998,9.81,94.73,11594.34
2014-03-26,321.31,1022.8799999999997,284.12,814.32,20.6,112.06,16.59,96.5,11650.53
2014-04-02,230.89,1135.3699999999994,213.97,925.86,10.61,121.05,6.31,88.46,11577.01
2014-04-09,96.11,999.1399999999995,91.72,923.48,1.46,40.02,2.93,35.64,11637.470000000001
2014-04-16,336.27,984.5799999999995,325.33,915.14,8.78,41.45,2.16,27.989999999999995,11695.32
2014-04-23,93.74,757.0099999999995,34.24,665.26,49.71,70.56,9.79,21.189999999999998,11683.23
2014-04-30,38.68,564.7999999999995,17.84,469.12999999999994,14.41,74.36,6.43,21.310000000000002,11612.23
2014-05-07,171.13,639.8199999999995,162.12,539.53,0.97,73.87,8.04,26.42,11696.03
2014-05-14,35.29,338.8399999999995,22.97,237.17000000000002,7.2,72.29,5.12,29.38,11167.63
2014-05-21,239.89,484.9899999999995,236.84,439.77,1.22,23.799999999999994,1.83,21.419999999999998,11229.310000000001
2014-05-28,41.69,487.9999999999995,35.21,457.14000000000004,1.6,10.989999999999993,4.88,19.869999999999997,11229.36
2014-06-04,282.96,599.8299999999995,113.11,408.13,165.37,175.39,4.48,16.310000000000002,11267.61
2014-06-11,96.96,661.4999999999994,89.63,474.78999999999996,1.42,169.60999999999999,5.91,17.1,11255.31
2014-06-18,101.41,523.0199999999995,83.06,321.01,9.26,177.65,9.09,24.36,11313.14
2014-06-25,113.76,595.0899999999995,61.21,347.01,26.67,202.71999999999997,25.88,45.36,11309.47
2014-07-02,130.38,442.50999999999954,89.34,323.24,37.68,75.02999999999997,3.36,44.24,11346.720000000001
2014-07-09,44.54,390.0899999999996,41.42,275.03000000000003,0.74,74.34999999999997,2.38,40.71,11348.78
2014-07-16,389.86,678.5399999999995,361.51,553.48,20.61,85.69999999999997,7.74,39.36,11277.29
2014-07-23,125.93,690.7099999999996,94.1,586.37,24.21,83.23999999999997,7.62,21.1,11297.84
2014-08-06,156.78,717.1099999999996,150.98,648.01,0.19,45.74999999999997,5.61,23.35,11437.55
2014-08-13,72.51,745.0799999999996,57.71,664.3000000000001,5.76,50.76999999999997,9.04,30.01,11369.98
2014-08-20,169.19,524.4099999999996,137.16,439.95,21.09,51.24999999999997,10.94,33.21,11418.77
2014-08-27,96.0,494.47999999999956,60.54,406.39000000000004,18.63,45.66999999999997,16.83,42.42,11466.970000000001
2014-09-03,46.61,384.3099999999996,13.82,269.23,26.06,71.53999999999996,6.73,43.54,11503.000000000002
2014-09-10,49.11,360.9099999999995,38.66,250.18,6.59,72.36999999999996,3.86,38.36,11510.18
2014-09-17,522.05,713.7699999999995,380.09,493.11,134.79,186.06999999999996,7.17,34.59,11937.77
2014-09-24,183.7,801.4699999999996,172.16,604.7299999999999,5.22,172.65999999999997,6.32,24.080000000000005,11726.32
2014-10-01,421.35,1176.2099999999996,375.78,966.6899999999999,45.25,191.84999999999997,0.32,17.67,12021.27
2014-10-08,303.19,1430.2899999999995,100.73,1028.7599999999998,172.61,357.87,29.85,43.660000000000004,12035.58
2014-10-15,271.94,1180.1799999999996,269.83,918.5,0.19,223.26999999999998,1.92,38.410000000000004,12183.4
2014-10-22,92.14,1088.6199999999994,88.03,834.37,1.19,219.23999999999998,2.92,35.010000000000005,11983.36
2014-10-29,24.56,691.8299999999996,8.62,467.21,9.43,183.42,6.51,41.2,11936.22
2014-11-05,113.32,501.9599999999995,101.94,468.41999999999996,8.49,19.29999999999997,2.89,14.240000000000004,11941.45
2014-11-12,165.96,395.97999999999956,153.82,352.40999999999997,3.29,22.39999999999997,8.85,21.17,11985.160000000002
2014-11-19,93.43,397.2699999999996,60.73,325.11,31.88,53.089999999999975,0.82,19.07,11815.61
2014-11-26,40.45,413.15999999999957,35.34,351.83000000000004,2.14,45.79999999999997,2.97,15.530000000000005,11742.99
2014-12-03,211.37,511.2099999999996,136.74,386.63,18.16,55.46999999999997,56.47,69.11,11927.6
2014-12-10,169.43,514.6799999999996,158.79,391.6,3.96,56.13999999999997,6.68,66.94,11929.980000000001
2014-12-17,138.22,559.4699999999996,81.49,412.35999999999996,46.44,70.69999999999997,10.29,76.41,11958.44
2014-12-24,155.0,674.0199999999995,78.74,455.76,71.32,139.87999999999997,4.94,78.38000000000001,11946.99
2014-12-31,111.97,574.6199999999995,79.28,398.29999999999995,4.5,126.21999999999997,28.19,50.1,11936.58
2015-01-07,266.51,671.6999999999996,164.95,404.46,95.45,217.70999999999998,6.11,49.53,12032.64
2015-01-14,232.94,766.4199999999995,227.2,550.17,3.0,174.26999999999998,2.74,41.980000000000004,12173.45
2015-01-21,329.29,940.7099999999996,240.2,711.6299999999999,86.88,189.82999999999998,2.21,39.25000000000001,10377.92
2015-01-28,85.82,914.5599999999995,67.81,700.16,5.74,191.06999999999996,12.27,23.33,10310.87
2015-02-04,17.0,665.0499999999995,13.04,548.25,1.08,96.69999999999996,2.88,20.1,10282.810000000001
2015-02-11,164.18,596.2899999999995,137.9,458.95,0.46,94.15999999999997,25.82,43.18,10310.05
2015-02-18,260.12,527.1199999999995,256.06,474.81,2.96,10.239999999999972,1.1,42.07,8891.15
2015-02-25,50.61,491.90999999999957,26.28,433.28,22.62,27.119999999999973,1.71,31.51,8676.400000000001
2015-03-04,94.83,569.7399999999996,54.98,475.21999999999997,21.74,47.77999999999997,18.11,46.739999999999995,8701.95
2015-03-11,126.27,531.8299999999996,94.93,432.25,23.16,70.47999999999996,8.18,29.099999999999998,8709.82
2015-03-18,3158.86,3430.5699999999997,3061.24,3237.43,84.83,152.34999999999997,12.79,40.78999999999999,11636.34
2015-03-25,186.07,3566.0299999999997,164.14,3375.2899999999995,2.46,132.18999999999997,19.47,58.55,11471.58
2015-04-01,281.75,3752.95,275.84,3596.1499999999996,3.96,114.40999999999998,1.95,42.38999999999999,11432.019999999999
2015-04-08,206.07,3832.7499999999995,169.96,3671.18,1.29,92.53999999999996,34.82,69.03,11407.2
2015-04-15,284.5,958.3899999999995,264.44,874.38,6.84,14.549999999999986,13.22,69.46000000000001,11595.59
2015-04-22,127.1,899.4199999999995,113.75,823.99,7.69,19.779999999999987,5.66,55.650000000000006,11386.42
2015-04-29,29.81,647.4799999999996,15.23,563.3800000000001,11.56,27.37999999999999,3.02,56.72,11322.490000000002
2015-05-06,117.09,558.4999999999995,96.19,489.61000000000007,14.11,40.19999999999999,6.79,28.69,11400.900000000001
2015-05-13,108.55,382.54999999999956,69.8,294.97,34.64,67.99999999999999,4.11,19.580000000000002,11338.32
2015-05-20,218.79,474.23999999999955,197.46,378.68,16.5,76.80999999999999,4.83,18.75,11521.82
2015-05-27,31.03,475.4599999999995,25.97,389.41999999999996,3.32,68.56999999999998,1.74,17.470000000000002,11312.960000000001
2015-06-03,126.55,484.91999999999956,102.67,395.9,17.09,71.54999999999998,6.79,17.47,11397.820000000002
2015-06-10,96.04,472.4099999999995,80.86,406.96000000000004,0.13,37.039999999999985,15.05,28.410000000000004,11210.9
2015-06-17,43.4,297.0199999999995,32.37,241.87,4.77,25.309999999999985,6.26,29.84,11157.34
2015-06-24,90.44,356.42999999999955,65.6,281.5,17.04,39.02999999999999,7.8,35.9,11146.37
2015-07-01,245.8,475.67999999999955,68.2,247.02999999999997,142.96,164.9,34.64,63.75,11278.41
2015-07-08,53.17,432.80999999999955,32.82,198.99,4.14,168.91,16.21,64.91,11201.199999999999
2015-07-15,321.75,711.1599999999996,299.27,465.89,2.54,166.68,19.94,78.59,11478.41
2015-07-22,61.11,681.8299999999995,55.39,455.67999999999995,4.1,153.74,1.62,72.41,11149.66
2015-07-29,79.45,515.4799999999996,67.9,455.38,8.15,18.93,3.4,41.17,11103.18
2015-08-05,176.69,638.9999999999995,134.4,556.96,39.99,54.78,2.3,27.26,11123.09
2015-08-12,20.49,337.73999999999955,16.43,274.12,1.69,53.93,2.37,9.69,11071.07
2015-08-19,173.82,450.44999999999953,169.05,387.78000000000003,1.95,51.78,2.82,10.89,11075.7
2015-08-26,62.78,433.7799999999995,45.16,365.03999999999996,11.87,55.5,5.75,13.24,11042.48
2015-09-02,29.93,287.0199999999995,14.4,245.04000000000002,13.31,28.82,2.22,13.16,11025.8
2015-09-09,55.38,321.9099999999995,39.38,267.99,3.28,30.41,12.72,23.51,11032.070000000002
2015-09-16,187.6,335.68999999999954,165.59,264.53,0.9,29.36,21.11,41.8,10697.619999999999
2015-09-23,299.26,572.1699999999995,214.05,433.42,72.74,90.22999999999999,12.47,48.52,10813.18
2015-09-30,330.71,872.9499999999996,313.54,732.5600000000001,16.02,92.94,1.15,47.45,10722.54
2015-10-07,107.94,925.5099999999995,82.01,775.19,18.95,108.61,6.98,41.71000000000001,10527.289999999999
2015-10-14,80.53,818.4399999999995,68.14,677.74,5.45,113.16,6.94,27.540000000000003,10335.880000000001
2015-10-21,256.98,776.1599999999995,242.18,705.87,11.78,52.2,3.02,18.09,10500.72
2015-10-28,62.96,508.4099999999995,13.0,405.33000000000004,46.97,83.15,2.99,19.930000000000003,10539.12
2015-11-04,58.21,458.67999999999955,52.47,375.79,2.1,66.3,3.64,16.59,10484.01
2015-11-11,78.76,456.9099999999995,73.87,381.52,1.66,62.51,3.23,12.879999999999999,10396.81
2015-11-18,135.38,335.3099999999995,110.48,249.82,8.26,58.99000000000001,16.64,26.5,10438.76
2015-11-25,57.0,329.3499999999995,48.45,285.27,5.0,17.020000000000007,3.55,27.060000000000002,10455.310000000001
2015-12-02,145.97,417.10999999999945,106.44,339.24,18.66,33.580000000000005,20.87,44.290000000000006,10389.91
2015-12-09,104.43,442.7799999999995,77.05,342.42,8.81,40.73000000000001,3.78,44.839999999999996,10324.91
2015-12-16,48.24,355.6399999999995,28.05,259.99,18.07,50.54000000000001,2.12,30.32,10234.93
2015-12-23,141.43,440.0699999999995,94.61,306.15,32.92,78.46000000000001,13.9,40.67,10221.36
2015-12-30,149.14,443.23999999999944,28.64,228.35,97.74,157.54000000000002,22.76,42.56,10258.53
2016-01-06,536.13,874.9399999999995,410.64,561.94,88.08,236.81,37.41,76.19,10528.15
2016-01-13,228.48,1055.1799999999994,12.73,546.6199999999999,214.23,432.97,1.52,75.58999999999999,10523.69
2016-01-20,320.68,1234.4299999999994,313.92,765.9300000000001,3.97,404.02000000000004,2.79,64.48,10515.080000000002
2016-01-27,201.51,1286.7999999999995,174.07,911.36,19.42,325.70000000000005,8.02,49.739999999999995,10630.769999999999
2016-02-03,19.24,769.9099999999994,9.18,509.90000000000003,7.17,244.79000000000002,2.89,15.22,10633.009999999998
2016-02-10,174.37,715.7999999999994,140.0,637.1700000000001,33.47,64.03000000000006,0.9,14.600000000000001,10643.2
2016-02-17,259.68,654.7999999999995,251.7,574.95,7.4,67.46000000000006,0.58,12.39,10642.76
2016-02-24,37.31,490.59999999999945,33.92,434.8,0.7,48.74000000000006,2.69,7.0600000000000005,10629.46
2016-03-02,888.25,1359.6099999999994,872.01,1297.63,12.15,53.720000000000056,4.09,8.26,11422.88
2016-03-09,44.47,1229.7099999999994,39.23,1196.86,3.35,23.60000000000006,1.89,9.25,11341.080000000002
2016-03-16,654.13,1624.1599999999994,614.29,1559.4499999999998,10.67,26.870000000000058,29.17,37.84,8836.35
2016-03-23,285.85,1872.6999999999996,245.62,1771.15,37.11,63.28000000000006,3.12,38.27,8936.130000000001
2016-03-30,273.56,1258.0099999999995,266.13,1165.27,3.07,54.20000000000006,4.36,38.540000000000006,8927.94
2016-04-06,197.09,1410.6299999999994,186.27,1312.31,8.01,58.860000000000056,2.81,39.46,8918.96
2016-04-13,88.03,844.5299999999995,82.29,780.3100000000001,0.48,48.67000000000006,5.26,15.550000000000004,8722.49
2016-04-20,345.49,904.1699999999994,289.79,824.48,49.79,61.35000000000006,5.91,18.340000000000003,8940.880000000001
2016-04-27,44.17,674.7799999999995,15.96,574.3100000000001,2.65,60.93000000000006,25.35,39.330000000000005,8955.24
2016-05-04,140.41,618.0999999999995,52.9,440.94000000000005,85.87,138.79000000000008,1.64,38.160000000000004,8978.56
2016-05-11,73.57,603.6399999999994,66.66,425.31,6.0,144.31000000000006,0.91,33.81,8943.58
2016-05-18,277.84,535.9899999999993,172.89,308.40999999999997,98.85,193.37000000000006,6.1,34.00000000000001,9002.630000000001
2016-05-25,76.23,568.0499999999994,51.19,343.64,24.56,215.28000000000003,0.48,9.130000000000003,9047.83
2016-06-01,113.81,541.4499999999994,106.97,397.7099999999999,5.75,135.16000000000003,1.09,8.580000000000004,9035.089999999998
2016-06-08,118.65,586.5299999999994,81.41,412.46,33.82,162.98000000000002,3.42,11.090000000000003,9057.7
