tarih,cari,cekirdek,altin_net,enerji_net,altin_haric,enerji_haric,ihracat,ithalat,mal_denge,hizmet_denge,birincil_denge,ikincil_denge,sermaye_hesabi,nhn,rezerv_akim,cari12,cekirdek12,altin_net12,enerji_net12,altin_haric12,enerji_haric12,ihracat12,ithalat12,mal_denge12,hizmet_denge12,birincil_denge12,ikincil_denge12,sermaye_hesabi12,nhn12,rezerv_akim12,makas12,fin_giris,dyy_giris,portfoy_giris,turev_giris,diger_giris,brut_yukumluluk,yerlesik_varlik,yuk_dyy,yuk_port_hisse,yuk_port_borc,yuk_port_artik,yuk_mevduat,yuk_kredi,yuk_diger_artik,yuk_turev,ticari_kredi_net,kredi_bnk_uv_kul,kredi_bnk_uv_ode,kredi_dgr_uv_kul,kredi_dgr_uv_ode,kredi_gh_uv_kul,kredi_gh_uv_ode,kredi_bnk_kv,kredi_dgr_kv,kredi_bnk_uv_net,kredi_dgr_uv_net,eb_kullanim,eb_odeme,eb_kullanim_uv,eb_odeme_uv,eb_kullanim_gh,eb_kullanim_bnk,eb_kullanim_dgr,eb_net,fin_giris12,dyy_giris12,portfoy_giris12,turev_giris12,diger_giris12,brut_yukumluluk12,yerlesik_varlik12,yuk_dyy12,yuk_port_hisse12,yuk_port_borc12,yuk_port_artik12,yuk_mevduat12,yuk_kredi12,yuk_diger_artik12,yuk_turev12,ticari_kredi_net12,kredi_bnk_uv_kul12,kredi_bnk_uv_ode12,kredi_dgr_uv_kul12,kredi_dgr_uv_ode12,kredi_gh_uv_kul12,kredi_gh_uv_ode12,kredi_bnk_kv12,kredi_dgr_kv12,eb_kullanim12,eb_odeme12,eb_kullanim_uv12,eb_odeme_uv12,eb_net12,ozel_uv_kredi_net,kaliteli,sicak_para,ozel_uv_kredi_net12,kaliteli12,sicak_para12,cari_acik12,kalite_pay_brut,kalite_pay_acik,roll_uv_bnk,roll_uv_dgr,roll_uv_gh,roll_tcmb_bnk,roll_tcmb_dgr,roll_tcmb_bnk_tahvil,roll_tcmb_dgr_tahvil,nhn_std12,nhn_oran,nhn_yuzdelik36,uv_anapara,uv_kullanim,uv_net,diger_net_giris,uv_anapara12,uv_kullanim12,uv_net12,diger_net_giris12,ihtiyac12,ihtiyac_kimlik12,kaynak_kimlik12
1975-12-01,-1648.0,,,,,,1401.0,4502.0,-3101.0,181.0,-165.0,1437.0,0.0,-351.0,-1672.0,,,,,,,,,,,,,,,,,327.0,114.0,0.0,0.0,213.0,327.0,0.0,114.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976-12-01,-2029.0,,,,,,1960.0,4872.0,-2912.0,64.0,-301.0,1120.0,0.0,-830.0,-1727.0,,,,,,,,,,,,,,,,,1132.0,10.0,0.0,0.0,1122.0,1132.0,0.0,10.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977-12-01,-3140.0,,,,,,1753.0,5506.0,-3753.0,-147.0,-347.0,1107.0,0.0,-634.0,-2129.0,,,,,,,,,,,,,,,,,1645.0,27.0,0.0,0.0,1618.0,1496.0,-149.0,27.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978-12-01,-1265.0,,,,,,2288.0,4369.0,-2081.0,223.0,-506.0,1099.0,0.0,-874.0,-1291.0,,,,,,,,,,,,,,,,,848.0,34.0,0.0,0.0,814.0,865.0,17.0,34.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-12-01,-1413.0,,,,,,2261.0,4815.0,-2554.0,341.0,-1010.0,1810.0,0.0,651.0,-1155.0,,,,,,,,,,,,,,,,,-393.0,75.0,0.0,0.0,-468.0,-284.0,109.0,75.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-01,-3408.0,,,,,,2910.0,7513.0,-4603.0,193.0,-1169.0,2171.0,0.0,1434.0,-1302.0,,,,,,,,,,,,,,,,,672.0,18.0,0.0,0.0,654.0,587.0,-85.0,18.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
