tarih,varlik_toplam,yukumluluk_toplam,net_pozisyon,kv_varlik,kv_yukumluluk,kv_net,mevduat,ihracat_alacak,yi_kredi,yd_kredi,ithalat_borc
2002-12-01,21515.0,32258.0,-10743.0,,,,10374.0,6190.0,600.0,25693.0,5965.0
2003-01-01,21932.0,39614.0,-17682.0,,,,10767.0,6210.0,10445.0,23350.0,5819.0
2003-02-01,21286.0,39401.0,-18115.0,,,,10503.0,5809.0,10508.0,23369.0,5524.0
2003-03-01,20976.0,39641.0,-18665.0,,,,9760.0,6208.0,11518.0,22457.0,5666.0
2003-04-01,21504.0,40498.0,-18994.0,,,,10160.0,6284.0,11699.0,22834.0,5965.0
2003-05-01,22312.0,42028.0,-19716.0,,,,10378.0,6845.0,12071.0,23472.0,6485.0
2003-06-01,22368.0,43011.0,-20643.0,,,,10457.0,6778.0,13288.0,23255.0,6468.0
2003-07-01,23237.0,43631.0,-20394.0,,,,10960.0,7122.0,13506.0,23260.0,6865.0
2003-08-01,23454.0,43536.0,-20082.0,,,,11169.0,7103.0,13440.0,23065.0,7031.0
2003-09-01,24029.0,43786.0,-19757.0,,,,11491.0,7294.0,13073.0,23480.0,7233.0
2003-10-01,24459.0,44051.0,-19592.0,,,,11493.0,7646.0,13045.0,23652.0,7354.0
2003-11-01,24935.0,47424.0,-22489.0,,,,11848.0,7731.0,17057.0,23288.0,7079.0
2003-12-01,26506.0,49759.0,-23253.0,,,,12624.0,8018.0,18092.0,23808.0,7859.0
2004-01-01,25835.0,48537.0,-22702.0,,,,12809.0,7896.0,17710.0,23062.0,7765.0
2004-02-01,25827.0,49373.0,-23546.0,,,,12939.0,7713.0,17832.0,23440.0,8101.0
2004-03-01,26047.0,50145.0,-24098.0,,,,12694.0,8086.0,18138.0,23822.0,8185.0
2004-04-01,25672.0,50427.0,-24756.0,,,,11949.0,8358.0,17698.0,23943.0,8786.0
2004-05-01,27027.0,51961.0,-24935.0,,,,12328.0,9259.0,18178.0,24278.0,9506.0
2004-06-01,27601.0,51888.0,-24287.0,,,,12817.0,9298.0,18063.0,24313.0,9512.0
2004-07-01,28197.0,52646.0,-24449.0,,,,13021.0,9633.0,18165.0,24665.0,9816.0
2004-08-01,28075.0,53083.0,-25008.0,,,,13031.0,9356.0,18410.0,24892.0,9781.0
2004-09-01,28775.0,53670.0,-24895.0,,,,13454.0,9579.0,18659.0,25209.0,9801.0
2004-10-01,29885.0,56213.0,-26327.0,,,,14374.0,9719.0,20927.0,25728.0,9558.0
2004-11-01,30894.0,50343.0,-19449.0,,,,14696.0,10334.0,14471.0,26041.0,9831.0
2004-12-01,33522.0,57594.0,-24072.0,,,,15568.0,10864.0,20458.0,26542.0,10594.0
2005-01-01,32590.0,56920.0,-24330.0,,,,15098.0,10343.0,20444.0,26226.0,10250.0
2005-02-01,32194.0,57547.0,-25353.0,,,,14754.0,10294.0,20662.0,26714.0,10171.0
2005-03-01,31801.0,57482.0,-25681.0,,,,14287.0,10325.0,20646.0,26772.0,10064.0
2005-04-01,33305.0,59540.0,-26235.0,,,,15039.0,11002.0,21222.0,27340.0,10979.0
2005-05-01,33297.0,59614.0,-26317.0,,,,14796.0,11197.0,20787.0,27287.0,11539.0
2005-06-01,33798.0,59699.0,-25901.0,,,,15489.0,10866.0,20638.0,27623.0,11438.0
2005-07-01,34023.0,60405.0,-26382.0,,,,15980.0,10647.0,20787.0,28176.0,11443.0
2005-08-01,34101.0,61430.0,-27329.0,,,,16106.0,10393.0,21519.0,28293.0,11618.0
2005-09-01,35478.0,60613.0,-25135.0,,,,17030.0,10857.0,20639.0,28181.0,11793.0
2005-10-01,36393.0,60859.0,-24466.0,,,,17294.0,11461.0,20917.0,27959.0,11984.0
2005-11-01,36386.0,60744.0,-24358.0,,,,16945.0,11695.0,20775.0,28222.0,11747.0
2005-12-01,38637.0,68023.0,-29386.0,,,,18593.0,11953.0,26429.0,29338.0,12256.0
2006-01-01,38715.0,70082.0,-31367.0,,,,19946.0,10972.0,26722.0,31828.0,11533.0
2006-02-01,39084.0,72499.0,-33415.0,,,,20182.0,11041.0,27117.0,33800.0,11582.0
2006-03-01,38545.0,73110.0,-34565.0,,,,19433.0,11140.0,26801.0,34744.0,11566.0
