tarih,ii2_M,ii3_M,kaynak,resmi_rez_M,doviz_M,imf_poz_M,sdr_M,altin_M,mn_ons
2021-01-22,-54590.0,-5486.0,irfcl_pdf,,,,,,
2021-02-26,-52948.0,-5076.0,irfcl_pdf,,,,,,
2021-03-05,-52802.0,-4899.0,irfcl_pdf,,,,,,
2021-04-09,-54051.0,-5086.0,irfcl_pdf,,,,,,
2021-04-22,-54720.0,-5112.0,irfcl_pdf,88575.0,46282.0,162.0,1401.0,40730.0,22.869
2021-04-30,-55083.0,-5557.0,irfcl_pdf,,,,,,
2021-05-28,-53957.0,-6082.0,irfcl_pdf,,,,,,
2021-06-04,-55993.0,-6097.0,irfcl_pdf,,,,,,
2022-06-17,-57700.0,-3483.0,irfcl_pdf,101029.0,51930.0,150.0,7369.0,41580.0,22.702
2022-10-28,-69110.0,-2877.0,irfcl_pdf,114180.0,67500.0,146.0,7157.0,39377.0,23.674
2022-11-25,-65680.0,-3041.0,irfcl_pdf,122601.0,72325.0,149.0,7293.0,42834.0,24.404
2023-03-10,-59881.0,-3101.0,irfcl_pdf,120013.0,62203.0,150.0,7344.0,50316.0,30.622
2023-03-17,-56919.0,-3256.0,irfcl_pdf,126887.0,66391.0,150.0,7387.0,52959.0,32.309
2023-03-31,-58098.0,-3341.0,irfcl_pdf,122423.0,62640.0,152.0,7455.0,52176.0,32.117
2023-04-28,-55748.0,-3273.0,irfcl_pdf,114884.0,60830.0,153.0,7488.0,46413.0,23.409
2023-05-12,-56869.0,-3223.0,irfcl_pdf,105127.0,53200.0,152.0,7463.0,44312.0,22.083
2023-05-18,-57192.0,-2951.0,irfcl_pdf,101590.0,51254.0,151.0,7420.0,42765.0,21.632
2023-06-16,-58082.0,-2896.0,irfcl_pdf,102801.0,53239.0,151.0,7393.0,42018.0,21.393
2023-10-13,-74667.0,-2884.0,irfcl_pdf,124498.0,75869.0,148.0,7290.0,41191.0,21.829
2024-03-29,-76653.0,-4338.0,irfcl_pdf,123126.0,61258.0,150.0,7340.0,54378.0,24.639
2024-05-17,-43568.0,-5082.0,irfcl_pdf,139125.0,71050.0,150.0,7349.0,60576.0,25.433
2024-06-07,-36658.0,-4915.0,irfcl_pdf,146152.0,78858.0,150.0,7348.0,59796.0,25.576
2024-06-14,-32049.0,-3465.0,irfcl_pdf,146301.0,80956.0,149.0,7328.0,57868.0,24.976
2024-08-16,-22087.0,0.0,irfcl_pdf,152915.0,86577.0,151.0,7418.0,58769.0,23.869
2024-08-23,-22311.0,0.0,irfcl_pdf,150413.0,83098.0,152.0,7465.0,59698.0,23.876
2024-12-06,-17724.0,989.0,irfcl_pdf,159390.0,87572.0,149.0,7290.0,64379.0,24.418
2025-01-03,-22339.0,1296.0,irfcl_pdf,157933.0,85225.0,147.0,7216.0,65345.0,24.619
2025-01-31,-10298.0,3834.0,irfcl_pdf,165975.0,89923.0,148.0,7240.0,68664.0,24.597
2025-03-21,-12211.0,2316.0,irfcl_pdf,163114.0,80800.0,150.0,7378.0,74786.0,24.671
2025-03-28,-19759.0,1413.0,irfcl_pdf,156511.0,73111.0,150.0,7348.0,75902.0,24.721
2025-04-04,-19720.0,2148.0,irfcl_pdf,154261.0,70268.0,151.0,7420.0,76422.0,24.73
2025-04-11,-19703.0,1621.0,irfcl_pdf,147488.0,60446.0,151.0,7409.0,79482.0,24.732
2025-04-18,-19766.0,1564.0,irfcl_pdf,146557.0,56644.0,153.0,7508.0,82252.0,24.742
2025-04-25,-19761.0,1180.0,irfcl_pdf,141051.0,51584.0,153.0,7514.0,81800.0,24.793
2025-06-05,-19619.0,0.0,irfcl_pdf,155879.0,62619.0,154.0,7533.0,85573.0,25.276
2025-07-25,-19524.0,1731.0,irfcl_pdf,171848.0,78864.0,155.0,7606.0,85223.0,25.465
2025-08-01,-19608.0,2014.0,irfcl_pdf,168988.0,77243.0,153.0,7513.0,84079.0,25.518
2025-08-08,-19593.0,1636.0,irfcl_pdf,174365.0,79877.0,154.0,7576.0,86758.0,25.539
2025-08-29,-19630.0,2777.0,irfcl_pdf,178357.0,83293.0,155.0,7583.0,87326.0,25.628
2025-09-05,-19600.0,2710.0,irfcl_pdf,180107.0,81447.0,154.0,7575.0,90931.0,25.624
2025-10-17,-19657.0,3344.0,irfcl_pdf,198442.0,79552.0,154.0,7567.0,111169.0,25.625
2025-11-21,-17620.0,3282.0,irfcl_pdf,180631.0,68580.0,153.0,7506.0,104392.0,25.876
2025-11-28,-17649.0,3256.0,irfcl_pdf,183242.0,67925.0,154.0,7534.0,107629.0,25.876
2026-01-02,-17269.0,2997.0,irfcl_pdf,189090.0,66825.0,155.0,7584.0,114526.0,26.107
2026-01-09,-17278.0,4452.0,irfcl_pdf,196075.0,71620.0,154.0,7573.0,116728.0,26.107
2026-07-24,-16555.0,3736.0,irfcl_pdf,,,,,,
2026-08-07,-16479.0,4058.0,irfcl_pdf,178366.0,63294.0,154.0,7573.0,107345.0,24.953
2026-08-14,-16454.0,3595.0,irfcl_pdf,183501.0,67445.0,154.0,7567.0,108335.0,24.905
2026-08-21,-16449.0,5462.0,irfcl_pdf,188450.0,66461.0,155.0,7613.0,114221.0,24.929
2026-08-28,-16516.0,5793.0,irfcl_pdf,188198.0,63355.0,155.0,7599.0,117089.0,25.443
