Sapma Türü,USDTRY Penceresi,Korelasyon,R2,RSE,P-Value,Örneklem
Kompozit 5Y,1M Sonra,-0.1007109404682935,0.010142693530008157,4.342578225878694,0.12862181791343033,229
Kompozit 5Y,3M Sonra,-0.0811608332616732,0.006587080855729119,9.725300270226793,0.22114667460952522,229
Kompozit 5Y,6M Sonra,-0.1753962004810049,0.030763827143172866,14.569516951724783,0.007805800135784181,229
Kompozit 5Y,12M Sonra,-0.2985493463922881,0.08913171223126241,23.380895287381733,4.25639976410099e-06,229
Kompozit 10Y,1M Sonra,-0.18571583996118995,0.03449037321249032,4.2888381568830045,0.004808628857751782,229
Kompozit 10Y,3M Sonra,-0.223376948522952,0.04989726113142555,9.51093913286582,0.0006618007299898219,229
Kompozit 10Y,6M Sonra,-0.34791982416224787,0.12104820404508948,13.874357315957232,6.444308613931659e-08,229
Kompozit 10Y,12M Sonra,-0.49453528360998594,0.24456514673520924,21.29275488729267,1.5810254277112643e-15,229
PPI 5Y,1M Sonra,0.026548620852408993,0.0007048292691649656,4.363231421926035,0.6894323843841115,229
PPI 5Y,3M Sonra,0.09789064063558478,0.009582577524045201,9.71062656400272,0.13973007974230864,229
PPI 5Y,6M Sonra,0.09271278979798418,0.0085956613921252,14.73519045758625,0.16201247248030293,229
PPI 5Y,12M Sonra,0.058233848902758234,0.0033911811580292764,24.456579063273665,0.38039956513685513,229
CPI 5Y,1M Sonra,-0.13083764286863778,0.0171184887914212,4.3272495032656675,0.047973031312942775,229
CPI 5Y,3M Sonra,-0.12781402591561652,0.016336425220757893,9.677460606971543,0.05341850743324164,229
CPI 5Y,6M Sonra,-0.240022640562881,0.057610867982777966,14.366318172527647,0.00024631436419951053,229
CPI 5Y,12M Sonra,-0.37809606762473796,0.14295663635329042,22.679566230447133,3.395872605508379e-09,229
