Dönem,CPI_REER,PPI_REER,Composite_REER,MA_10Y,MA_5Y,Deviation_10Y_Pct,Deviation_5Y_Pct,PPI_MA_10Y,PPI_Deviation_10Y_Pct,CPI_MA_10Y,CPI_Deviation_10Y_Pct,Kaynak
1994-01-01,137.13,102.67,126.79199999999999,,,,,,,,,evds
1994-02-01,116.04,88.56,107.79599999999999,,,,,,,,,evds
1994-03-01,103.67,80.16,96.617,,,,,,,,,evds
1994-04-01,91.66,63.71,83.27499999999999,,,,,,,,,evds
1994-05-01,94.52,63.87,85.32499999999999,,,,,,,,,evds
1994-06-01,101.82,67.44,91.50599999999999,,,,,,,,,evds
1994-07-01,104.61,68.98,93.92099999999999,,,,,,,,,evds
1994-08-01,104.91,68.49,93.984,,,,,,,,,evds
1994-09-01,102.67,67.6,92.149,,,,,,,,,evds
1994-10-01,108.4,70.79,97.11699999999999,,,,,,,,,evds
1994-11-01,112.33,73.46,100.669,,,,,,,,,evds
1994-12-01,111.04,75.94,100.50999999999999,,,,,,,,,evds
1995-01-01,107.63,74.49,97.68799999999999,,,,,,,,,evds
1995-02-01,108.08,75.53,98.315,,,,,,,,,evds
1995-03-01,107.74,75.24,97.99,,,,,,,,,evds
1995-04-01,110.86,77.34,100.80399999999999,,,,,,,,,evds
1995-05-01,112.02,78.23,101.88299999999998,,,,,,,,,evds
1995-06-01,113.19,78.43,102.76199999999999,,,,,,,,,evds
1995-07-01,111.7,77.1,101.32,,,,,,,,,evds
1995-08-01,111.16,77.09,100.939,,,,,,,,,evds
1995-09-01,116.33,81.63,105.91999999999999,,,,,,,,,evds
1995-10-01,115.84,81.38,105.502,,,,,,,,,evds
1995-11-01,115.17,81.27,105.0,,,,,,,,,evds
1995-12-01,110.33,78.41,100.75399999999999,,,,,,,,,evds
1996-01-01,112.66,80.79,103.09899999999999,,,,,,,,,evds
1996-02-01,110.81,79.75,101.49199999999999,,,,,,,,,evds
1996-03-01,109.52,78.99,100.36099999999999,,,,,,,,,evds
1996-04-01,109.56,79.42,100.518,,,,,,,,,evds
1996-05-01,109.71,79.72,100.713,,,,,,,,,evds
1996-06-01,107.51,78.12,98.69300000000001,,,,,,,,,evds
1996-07-01,104.51,76.08,95.981,,,,,,,,,evds
1996-08-01,105.02,76.56,96.482,,,,,,,,,evds
1996-09-01,106.82,78.12,98.20999999999998,,,,,,,,,evds
1996-10-01,107.63,78.72,98.957,,,,,,,,,evds
1996-11-01,107.22,78.56,98.62199999999999,,,,,,,,,evds
1996-12-01,106.18,78.11,97.75899999999999,,,,,,,,,evds
1997-01-01,107.14,79.18,98.752,,,,,,,,,evds
1997-02-01,109.31,81.24,100.889,,,,,,,,,evds
1997-03-01,109.44,81.44,101.03999999999999,,,,,,,,,evds
1997-04-01,110.63,82.48,102.18499999999999,,,,,,,,,evds
1997-05-01,110.09,81.95,101.648,,,,,,,,,evds
1997-06-01,107.79,80.43,99.58200000000001,,,,,,,,,evds
1997-07-01,109.31,81.8,101.05699999999999,,,,,,,,,evds
1997-08-01,110.69,82.92,102.359,,,,,,,,,evds
1997-09-01,112.24,84.11,103.801,,,,,,,,,evds
1997-10-01,114.93,86.15,106.29599999999999,,,,,,,,,evds
1997-11-01,115.65,86.79,106.992,,,,,,,,,evds
1997-12-01,116.76,87.89,108.099,,,,,,,,,evds
1998-01-01,120.48,91.07,111.657,,,,,,,,,evds
1998-02-01,118.51,89.69,109.86399999999999,,,,,,,,,evds
1998-03-01,117.13,88.92,108.66699999999999,,,,,,,,,evds
1998-04-01,117.13,89.19,108.74799999999999,,,,,,,,,evds
1998-05-01,116.68,88.87,108.337,,,,,,,,,evds
1998-06-01,116.3,88.78,108.044,,,,,,,,,evds
1998-07-01,116.99,89.49,108.73999999999998,,,,,,,,,evds
1998-08-01,119.34,91.68,111.042,,,,,,,,,evds
1998-09-01,126.14,97.2,117.458,,,,,,,,,evds
1998-10-01,129.69,99.88,120.74699999999999,,,,,,,,,evds
1998-11-01,129.6,100.02,120.72599999999998,,,,,,,,,evds
1998-12-01,129.17,99.11,120.15199999999999,,102.77178333333333,,16.911467430992317,,,,,evds
1999-01-01,130.26,100.08,121.20599999999999,,102.67868333333332,,18.0439756970004,,,,,evds
1999-02-01,129.3,99.61,120.393,,102.88863333333333,,17.012925626057175,,,,,evds
1999-03-01,129.82,100.26,120.952,,103.29421666666666,,17.094648570999386,,,,,evds
1999-04-01,131.23,101.19,122.21799999999999,,103.94326666666666,,17.581449880672082,,,,,evds
1999-05-01,130.46,100.34,121.424,,104.54491666666667,,16.14529321129117,,,,,evds
1999-06-01,130.33,100.21,121.29400000000001,,105.04138333333334,,15.472584376665512,,,,,evds
1999-07-01,131.31,100.23,121.986,,105.50913333333332,,15.616531143907302,,,,,evds
1999-08-01,132.21,100.39,122.66399999999999,,105.98713333333332,,15.734803029550132,,,,,evds
1999-09-01,135.05,102.34,125.237,,106.5386,,17.550821955610445,,,,,evds
1999-10-01,137.58,103.75,127.431,,107.04383333333332,,19.045624611724488,,,,,evds
1999-11-01,137.12,103.23,126.953,,107.4819,,18.11570134134213,,,,,evds
1999-12-01,138.37,103.87,128.01999999999998,,107.94039999999998,,18.602488039695984,,,,,evds
2000-01-01,139.94,104.93,129.437,,108.46955,,19.33026365463857,,,,,evds
2000-02-01,142.7,106.89,131.957,,109.03025,,21.027879877373483,,,,,evds
2000-03-01,143.95,107.49,133.012,,109.61395,,21.345868842423794,,,,,evds
2000-04-01,144.91,108.14,133.879,,110.1652,,21.52567235388307,,,,,evds
2000-05-01,147.08,109.59,135.833,,110.73103333333333,,22.669314925565885,,,,,evds
