tarih,delta_gercek,ar_gercek,pe_gercek,delta_tuzel,ar_tuzel,pe_tuzel,delta_toplam,ar_toplam,pe_toplam,ar_gercek_usd,pe_gercek_usd,ar_gercek_eur,pe_gercek_eur,ar_gercek_diger,pe_gercek_diger,ar_gercek_maden,pe_gercek_maden,ar_tuzel_usd,pe_tuzel_usd,ar_tuzel_eur,pe_tuzel_eur,ar_tuzel_diger,pe_tuzel_diger,ar_tuzel_maden,pe_tuzel_maden,artik_gercek,esik_gercek,artik_tuzel,esik_tuzel,artik_toplam,esik_toplam
2024-01-05,,324.1745,-630.7095,,396.2438,-361.7498,,720.4183,-992.4593,256.398,0.0,96.4292,-298.8722,95.787,0.0,-124.4398,-331.8372,-52.511,0.0,339.9618,-338.4858,81.249,0.0,27.544,-23.264,,25.0,,25.0,,25.0
2024-01-12,,349.7501,99.1879,,576.2096,85.1514,,925.9597,184.3393,-29.646,0.0,53.447,74.079,201.421,0.0,124.5281,25.1089,-117.046,0.0,633.9055,83.2695,3.755,0.0,55.5952,1.8818,,25.0,,25.0,,25.0
2024-01-19,,232.1287,-365.1647,,747.9475,-270.6875,,980.0762,-635.8522,-309.516,0.0,5.4651,-229.0231,61.748,0.0,474.4315,-136.1415,633.021,0.0,100.2767,-260.9057,17.829,0.0,-3.1792,-9.7818,,25.0,,25.0,,25.0
2024-01-26,,803.8059,-149.2019,,427.2856,-49.1016,,1231.0915,-198.3035,255.181,0.0,141.0936,-33.6876,162.87,0.0,244.6613,-115.5143,-81.316,0.0,352.0416,-40.9236,148.93,0.0,7.63,-8.178,,25.0,,25.0,,25.0
2024-02-02,,674.0601,364.5979,,-3057.441,-68.092,,-2383.381,296.506,286.889,0.0,569.6089,-90.7479,135.467,0.0,-317.9048,455.3458,-1537.624,0.0,-1475.2853,-100.1107,-6.691,0.0,-37.8408,32.0188,,25.0,,31.25533,,26.798869999999997
2024-02-09,,-583.7267,-423.7433,,614.3401,-150.5021,,30.6134,-574.2454,-404.682,0.0,-193.3168,-115.3292,129.527,0.0,-115.2549,-308.4141,77.158,0.0,534.5184,-128.9064,11.027,0.0,-8.3633,-21.5957,,25.0,,25.0,,25.0
2024-02-16,,-30.8828,-413.8972,,-586.9378,-86.7632,,-617.8206,-500.6604,-369.113,0.0,-69.4429,-55.9671,36.68,0.0,370.993,-357.93,-828.241,0.0,109.9923,-61.6633,74.405,0.0,56.9058,-25.0998,,25.0,,25.0,,25.0
2024-02-23,,256.9249,366.8441,,883.8811,213.3349,,1140.806,580.179,71.117,0.0,51.4924,175.0836,107.077,0.0,27.2385,191.7605,690.844,0.0,43.1137,199.6763,154.565,0.0,-4.6415,13.6585,,25.0,,25.0,,25.0
2024-03-01,,628.6451,384.1699,,-1893.2132,-19.3398,,-1264.5681,364.8301,288.557,0.0,220.0944,-45.1244,-25.928,0.0,145.9217,429.2943,-959.184,0.0,-958.8546,-49.9404,-9.169,0.0,33.9944,30.6006,,25.0,,25.0,,25.0
2024-03-08,,1280.9182,2004.7388,,1899.4338,502.7882,,3180.352,2507.527,1160.633,0.0,187.1764,363.2486,50.159,0.0,-117.0502,1641.4902,1534.399,0.0,33.2492,384.8878,330.78,0.0,1.0056,117.9004,,32.856570000000005,,25.0,,56.87879
2024-03-15,,1515.2625,-137.1615,,334.3865,-169.1945,,1849.649,-306.356,621.7,0.0,155.8638,-160.3538,-113.873,0.0,851.5717,23.1923,-397.665,0.0,591.7164,-170.8404,12.537,0.0,127.7982,1.6458,,25.0,,25.0,,25.0
2024-03-22,,2211.2073,-245.8703,,1396.715,-205.315,,3607.9223,-451.1853,965.657,0.0,227.4777,-186.6677,-90.392,0.0,1108.4646,-59.2026,797.906,0.0,528.3044,-201.0004,86.186,0.0,-15.6814,-4.3146,,25.0,,25.0,,40.591076
2024-03-29,,302.8105,540.6325,,-3006.2207,-21.8573,,-2703.4102,518.7752,798.956,0.0,276.1989,-55.5639,-76.043,0.0,-696.3014,596.1964,-1652.382,0.0,-1086.3071,-64.2679,-218.247,0.0,-49.2847,42.4107,,25.0,,30.28078,,32.221854
2024-04-05,,-1725.724,1250.392,,-2861.8166,165.9306,,-4587.5406,1416.3226,-1006.781,0.0,-144.9985,79.2525,16.501,0.0,-590.4455,1171.1395,-1850.127,0.0,-905.1691,82.7221,-44.676,0.0,-61.8445,83.2085,,29.76116,,30.277472000000003,,60.038632
2024-04-12,,-458.0666,1150.6396,,114.3951,157.6079,,-343.6715,1308.2475,-178.175,0.0,-36.5356,79.4426,-19.587,0.0,-223.769,1071.197,-187.98,0.0,207.2932,81.7288,53.534,0.0,41.5479,75.8791,,25.0,,25.0,,25.0
2024-04-19,,-404.0219,-226.7521,,1460.2687,-488.0867,,1056.2468,-714.8388,-951.03,0.0,-215.5609,-478.9081,-41.32,0.0,803.8889,252.1561,-139.417,0.0,1548.6508,-506.1188,25.582,0.0,25.4529,18.0321,,25.0,,25.0,,25.0
2024-04-26,,-1287.2987,-386.8193,,-927.2729,54.6839,,-2214.5716,-332.1354,-501.681,0.0,-255.314,79.954,144.481,0.0,-674.7847,-466.7733,137.622,0.0,-908.6826,88.0656,-96.689,0.0,-59.5234,-33.3816,,25.0,,25.0,,25.467070000000003
2024-05-03,,-921.0713,-539.1477,,-2064.6132,103.9762,,-2985.6845,-435.1715,-699.765,0.0,-218.0645,148.1255,5.471,0.0,-8.7128,-687.2732,-1466.369,0.0,-604.1534,152.6604,31.917,0.0,-26.0078,-48.6842,,25.0,,25.0,,34.20856
2024-05-10,,-2197.2644,1005.6054,,-2095.9213,101.9843,,-4293.1857,1107.5897,-1213.685,0.0,-467.6779,26.8559,-94.81,0.0,-421.0916,978.7496,-1095.003,0.0,-1036.7281,30.7341,-66.585,0.0,102.3948,71.2502,,32.028698,,25.0,,54.007754000000006
2024-05-17,,-1147.195,380.436,,-68.7109,247.8599,,-1215.906,628.296,-846.475,0.0,-287.6767,231.7937,41.777,0.0,-54.8203,148.6423,-126.551,0.0,165.04,237.73,24.725,0.0,-131.9249,10.1299,,25.0,,25.0,,25.0
2024-05-24,,-1516.4625,-635.3735,,808.4602,-96.2672,,-708.0022,-731.6408,-1034.964,0.0,-180.5903,-55.8917,-106.217,0.0,-194.6911,-579.4819,395.415,0.0,553.2136,-55.9406,-107.272,0.0,-32.8964,-40.3266,,25.0,,25.0,,25.0
2024-05-31,,-1229.4625,81.1255,,-2139.1867,40.5877,,-3368.6491,121.7131,-530.124,0.0,-181.1304,37.7234,-277.786,0.0,-240.4221,43.4021,-1058.716,0.0,-944.1003,37.5863,-73.491,0.0,-62.8793,3.0013,,25.0,,25.0,,34.903622
2024-06-07,,-843.1776,-115.4434,,-806.0434,-49.4676,,-1649.2209,-164.9111,-555.466,0.0,-227.2111,-48.2119,-64.887,0.0,4.3865,-67.2315,-376.592,0.0,-324.4728,-44.8762,-116.497,0.0,11.5185,-4.5915,,25.0,,25.0,,25.0
2024-06-14,,-874.8444,-635.4236,,-800.8732,-390.2468,,-1675.7176,-1025.6704,-564.133,0.0,-140.0753,-345.4277,-29.243,0.0,-141.393,-289.996,-820.91,0.0,117.2027,-370.2497,-63.361,0.0,-33.8049,-19.9971,,25.0,,25.0,,27.01388
2024-06-21,,44.7523,644.3287,,1551.9608,49.8202,,1596.7131,694.1489,74.183,0.0,60.0228,2.3792,19.757,0.0,-109.2105,641.9495,571.655,0.0,942.3296,6.5934,72.972,0.0,-34.9958,43.2268,,25.0,,25.0,,25.0
