tarih,stok_toplam,stok_gercek,stok_tuzel,mevduat_yi,mevduat_tl,mevduat_yp_tl,genis_toplam,k_gercek,maden_gercek,k_tuzel,maden_tuzel,maden_diger,ar_toplam,ar_gercek,ar_gercek_usd,ar_gercek_eur,ar_gercek_diger,ar_gercek_maden,ar_tuzel,ar_tuzel_usd,ar_tuzel_eur,ar_tuzel_diger,ar_tuzel_maden,pe_toplam,pe_gercek,pe_gercek_usd,pe_gercek_eur,pe_gercek_diger,pe_gercek_maden,pe_tuzel,pe_tuzel_usd,pe_tuzel_eur,pe_tuzel_diger,pe_tuzel_maden
2024-01-05,,,,,,,,,,,,,720.4183,324.1745,256.398,96.4292,95.787,-124.4398,396.2438,-52.511,339.9618,81.249,27.544,-992.4593,-630.7095,0.0,-298.8722,0.0,-331.8372,-361.7498,0.0,-338.4858,0.0,-23.264
2024-01-12,,,,,,,,,,,,,925.9597,349.7501,-29.646,53.447,201.421,124.5281,576.2096,-117.046,633.9055,3.755,55.5952,184.3393,99.1879,0.0,74.079,0.0,25.1089,85.1514,0.0,83.2695,0.0,1.8818
2024-01-19,,,,,,,,,,,,,980.0762,232.1287,-309.516,5.4651,61.748,474.4315,747.9475,633.021,100.2767,17.829,-3.1792,-635.8522,-365.1647,0.0,-229.0231,0.0,-136.1415,-270.6875,0.0,-260.9057,0.0,-9.7818
2024-01-26,,,,,,,,,,,,,1231.0915,803.8059,255.181,141.0936,162.87,244.6613,427.2856,-81.316,352.0416,148.93,7.63,-198.3035,-149.2019,0.0,-33.6876,0.0,-115.5143,-49.1016,0.0,-40.9236,0.0,-8.178
2024-02-02,,,,,,,,,,,,,-2383.381,674.0601,286.889,569.6089,135.467,-317.9048,-3057.441,-1537.624,-1475.2853,-6.691,-37.8408,296.506,364.5979,0.0,-90.7479,0.0,455.3458,-68.092,0.0,-100.1107,0.0,32.0188
2024-02-09,,,,,,,,,,,,,30.6134,-583.7267,-404.682,-193.3168,129.527,-115.2549,614.3401,77.158,534.5184,11.027,-8.3633,-574.2454,-423.7433,0.0,-115.3292,0.0,-308.4141,-150.5021,0.0,-128.9064,0.0,-21.5957
2024-02-16,,,,,,,,,,,,,-617.8206,-30.8828,-369.113,-69.4429,36.68,370.993,-586.9378,-828.241,109.9923,74.405,56.9058,-500.6604,-413.8972,0.0,-55.9671,0.0,-357.93,-86.7632,0.0,-61.6633,0.0,-25.0998
2024-02-23,,,,,,,,,,,,,1140.806,256.9249,71.117,51.4924,107.077,27.2385,883.8811,690.844,43.1137,154.565,-4.6415,580.179,366.8441,0.0,175.0836,0.0,191.7605,213.3349,0.0,199.6763,0.0,13.6585
2024-03-01,,,,,,,,,,,,,-1264.5681,628.6451,288.557,220.0944,-25.928,145.9217,-1893.2132,-959.184,-958.8546,-9.169,33.9944,364.8301,384.1699,0.0,-45.1244,0.0,429.2943,-19.3398,0.0,-49.9404,0.0,30.6006
2024-03-08,,,,,,,,,,,,,3180.352,1280.9182,1160.633,187.1764,50.159,-117.0502,1899.4338,1534.399,33.2492,330.78,1.0056,2507.527,2004.7388,0.0,363.2486,0.0,1641.4902,502.7882,0.0,384.8878,0.0,117.9004
