tarih,kum_ay_ar_gercek_mn,kum_yil_ar_gercek_mn,kum_4h_ar_gercek_mn,kum_13h_ar_gercek_mn,kum_ay_pe_gercek_mn,kum_yil_pe_gercek_mn,kum_4h_pe_gercek_mn,kum_13h_pe_gercek_mn,kum_ay_ar_tuzel_mn,kum_yil_ar_tuzel_mn,kum_4h_ar_tuzel_mn,kum_13h_ar_tuzel_mn,kum_ay_pe_tuzel_mn,kum_yil_pe_tuzel_mn,kum_4h_pe_tuzel_mn,kum_13h_pe_tuzel_mn,kum_ay_ar_toplam_mn,kum_yil_ar_toplam_mn,kum_4h_ar_toplam_mn,kum_13h_ar_toplam_mn,kum_ay_pe_toplam_mn,kum_yil_pe_toplam_mn,kum_4h_pe_toplam_mn,kum_13h_pe_toplam_mn,kum_ay_ar_gercek_usd_mn,kum_yil_ar_gercek_usd_mn,kum_4h_ar_gercek_usd_mn,kum_13h_ar_gercek_usd_mn,kum_ay_pe_gercek_usd_mn,kum_yil_pe_gercek_usd_mn,kum_4h_pe_gercek_usd_mn,kum_13h_pe_gercek_usd_mn,kum_ay_ar_gercek_eur_mn,kum_yil_ar_gercek_eur_mn,kum_4h_ar_gercek_eur_mn,kum_13h_ar_gercek_eur_mn,kum_ay_pe_gercek_eur_mn,kum_yil_pe_gercek_eur_mn,kum_4h_pe_gercek_eur_mn,kum_13h_pe_gercek_eur_mn,kum_ay_ar_gercek_diger_mn,kum_yil_ar_gercek_diger_mn,kum_4h_ar_gercek_diger_mn,kum_13h_ar_gercek_diger_mn,kum_ay_pe_gercek_diger_mn,kum_yil_pe_gercek_diger_mn,kum_4h_pe_gercek_diger_mn,kum_13h_pe_gercek_diger_mn,kum_ay_ar_gercek_maden_mn,kum_yil_ar_gercek_maden_mn,kum_4h_ar_gercek_maden_mn,kum_13h_ar_gercek_maden_mn,kum_ay_pe_gercek_maden_mn,kum_yil_pe_gercek_maden_mn,kum_4h_pe_gercek_maden_mn,kum_13h_pe_gercek_maden_mn,kum_ay_ar_tuzel_usd_mn,kum_yil_ar_tuzel_usd_mn,kum_4h_ar_tuzel_usd_mn,kum_13h_ar_tuzel_usd_mn,kum_ay_pe_tuzel_usd_mn,kum_yil_pe_tuzel_usd_mn,kum_4h_pe_tuzel_usd_mn,kum_13h_pe_tuzel_usd_mn,kum_ay_ar_tuzel_eur_mn,kum_yil_ar_tuzel_eur_mn,kum_4h_ar_tuzel_eur_mn,kum_13h_ar_tuzel_eur_mn,kum_ay_pe_tuzel_eur_mn,kum_yil_pe_tuzel_eur_mn,kum_4h_pe_tuzel_eur_mn,kum_13h_pe_tuzel_eur_mn,kum_ay_ar_tuzel_diger_mn,kum_yil_ar_tuzel_diger_mn,kum_4h_ar_tuzel_diger_mn,kum_13h_ar_tuzel_diger_mn,kum_ay_pe_tuzel_diger_mn,kum_yil_pe_tuzel_diger_mn,kum_4h_pe_tuzel_diger_mn,kum_13h_pe_tuzel_diger_mn,kum_ay_ar_tuzel_maden_mn,kum_yil_ar_tuzel_maden_mn,kum_4h_ar_tuzel_maden_mn,kum_13h_ar_tuzel_maden_mn,kum_ay_pe_tuzel_maden_mn,kum_yil_pe_tuzel_maden_mn,kum_4h_pe_tuzel_maden_mn,kum_13h_pe_tuzel_maden_mn
2024-01-05,324.1745,324.1745,,,-630.7095,-630.7095,,,396.2438,396.2438,,,-361.7498,-361.7498,,,720.4183,720.4183,,,-992.4593,-992.4593,,,256.398,256.398,,,0.0,0.0,,,96.4292,96.4292,,,-298.8722,-298.8722,,,95.787,95.787,,,0.0,0.0,,,-124.4398,-124.4398,,,-331.8372,-331.8372,,,-52.511,-52.511,,,0.0,0.0,,,339.9618,339.9618,,,-338.4858,-338.4858,,,81.249,81.249,,,0.0,0.0,,,27.544,27.544,,,-23.264,-23.264,,
2024-01-12,673.9246,673.9246,,,-531.5216,-531.5216,,,972.4534000000001,972.4534000000001,,,-276.59839999999997,-276.59839999999997,,,1646.3780000000002,1646.3780000000002,,,-808.12,-808.12,,,226.752,226.752,,,0.0,0.0,,,149.87619999999998,149.87619999999998,,,-224.7932,-224.7932,,,297.20799999999997,297.20799999999997,,,0.0,0.0,,,0.08829999999998961,0.08829999999998961,,,-306.7283,-306.7283,,,-169.55700000000002,-169.55700000000002,,,0.0,0.0,,,973.8672999999999,973.8672999999999,,,-255.2163,-255.2163,,,85.00399999999999,85.00399999999999,,,0.0,0.0,,,83.1392,83.1392,,,-21.3822,-21.3822,,
2024-01-19,906.0533,906.0533,,,-896.6863000000001,-896.6863000000001,,,1720.4009,1720.4009,,,-547.2859,-547.2859,,,2626.4542,2626.4542,,,-1443.9722000000002,-1443.9722000000002,,,-82.76400000000001,-82.76400000000001,,,0.0,0.0,,,155.3413,155.3413,,,-453.8163,-453.8163,,,358.956,358.956,,,0.0,0.0,,,474.51980000000003,474.51980000000003,,,-442.8698,-442.8698,,,463.46399999999994,463.46399999999994,,,0.0,0.0,,,1074.144,1074.144,,,-516.1220000000001,-516.1220000000001,,,102.833,102.833,,,0.0,0.0,,,79.96,79.96,,,-31.164,-31.164,,
2024-01-26,1709.8591999999999,1709.8591999999999,1709.8591999999999,,-1045.8882,-1045.8882,-1045.8882,,2147.6865,2147.6865,2147.6865,,-596.3874999999999,-596.3874999999999,-596.3874999999999,,3857.5457,3857.5457,3857.5457,,-1642.2757000000001,-1642.2757000000001,-1642.2757000000001,,172.417,172.417,172.417,,0.0,0.0,0.0,,296.43489999999997,296.43489999999997,296.43489999999997,,-487.50390000000004,-487.50390000000004,-487.50390000000004,,521.826,521.826,521.826,,0.0,0.0,0.0,,719.1811,719.1811,719.1811,,-558.3841,-558.3841,-558.3841,,382.1479999999999,382.1479999999999,382.1479999999999,,0.0,0.0,0.0,,1426.1856,1426.1856,1426.1856,,-557.0456,-557.0456,-557.0456,,251.763,251.763,251.763,,0.0,0.0,0.0,,87.58999999999999,87.58999999999999,87.58999999999999,,-39.342,-39.342,-39.342,
2024-02-02,674.0601,2383.9193,2059.7448,,364.5979,-681.2903,-50.580799999999954,,-3057.441,-909.7545,-1305.9983,,-68.092,-664.4794999999999,-302.7297,,-2383.381,1474.1647000000003,753.7464000000004,,296.506,-1345.7697,-353.3104000000001,,286.889,459.30600000000004,202.908,,0.0,0.0,0.0,,569.6089,866.0437999999999,769.6145999999999,,-90.7479,-578.2518,-279.3796,,135.467,657.293,561.506,,0.0,0.0,0.0,,-317.9048,401.2763,525.7161,,455.3458,-103.03829999999999,228.7989,,-1537.624,-1155.476,-1102.9650000000001,,0.0,0.0,0.0,,-1475.2853,-49.099699999999984,-389.0615,,-100.1107,-657.1563,-318.67050000000006,,-6.691,245.072,163.823,,0.0,0.0,0.0,,-37.8408,49.749199999999995,22.205199999999998,,32.0188,-7.3232,15.9408,
2024-02-09,90.33339999999998,1800.1925999999999,1126.268,,-59.145399999999995,-1105.0336,-573.512,,-2443.1009,-295.4144,-1267.8678,,-218.59410000000003,-814.9816,-538.3832,,-2352.7675999999997,1504.7781000000002,-141.59989999999976,,-277.73940000000005,-1920.0151,-1111.8951000000002,,-117.793,54.624000000000024,-172.12800000000004,,0.0,0.0,0.0,,376.29209999999995,672.7269999999999,522.8507999999999,,-206.0771,-693.581,-468.7878,,264.994,786.8199999999999,489.612,,0.0,0.0,0.0,,-433.15970000000004,286.02139999999997,285.93309999999997,,146.93169999999998,-411.4524,-104.72410000000002,,-1460.4660000000001,-1078.3180000000002,-908.7610000000001,,0.0,0.0,0.0,,-940.7669,485.41870000000006,-488.44859999999983,,-229.01709999999997,-786.0627,-530.8464,,4.335999999999999,256.099,171.09500000000003,,0.0,0.0,0.0,,-46.204100000000004,41.38589999999999,-41.75330000000001,,10.423099999999998,-28.9189,-7.5367000000000015,
2024-02-16,59.45059999999998,1769.3098,863.2565,,-473.0426,-1518.9308,-622.2445,,-3030.0387,-882.3522,-2602.7531,,-305.3573,-901.7447999999999,-354.45889999999997,,-2970.5882,886.9575000000002,-1739.4966999999997,,-778.3998,-2420.6755000000003,-976.7033,,-486.906,-314.489,-231.72500000000002,,0.0,0.0,0.0,,306.84919999999994,603.2841,447.94279999999986,,-262.0442,-749.5481,-295.7318,,301.674,823.5,464.544,,0.0,0.0,0.0,,-62.16670000000005,657.0144,182.49459999999993,,-210.99830000000003,-769.3824,-326.5126,,-2288.707,-1906.5590000000002,-2370.023,,0.0,0.0,0.0,,-830.7746,595.4110000000001,-478.73299999999983,,-290.6804,-847.726,-331.604,,78.741,330.504,227.671,,0.0,0.0,0.0,,10.701699999999995,98.29169999999999,18.33169999999999,,-14.6767,-54.018699999999995,-22.8547,
2024-02-23,316.3755,2026.2347,316.3755,,-106.19849999999997,-1152.0866999999998,-106.19849999999991,,-2146.1576,1.5288999999999078,-2146.1576000000005,,-92.0224,-688.4099,-92.02239999999995,,-1829.7821999999999,2027.7635000000002,-1829.7821999999996,,-198.22080000000005,-1840.4965000000002,-198.22080000000005,,-415.789,-243.37199999999996,-415.78900000000004,,0.0,0.0,0.0,,358.34159999999997,654.7764999999999,358.3415999999999,,-86.9606,-574.4645,-86.96060000000006,,408.751,930.577,408.751,,0.0,0.0,0.0,,-34.92820000000005,684.2529,-34.928200000000075,,-19.23780000000002,-577.6219,-19.23780000000002,,-1597.8629999999998,-1215.7150000000001,-1597.8629999999998,,0.0,0.0,0.0,,-787.6609,638.5247,-787.6608999999999,,-91.0041,-648.0497,-91.00409999999997,,233.30599999999998,485.069,233.30599999999998,,0.0,0.0,0.0,,6.060199999999996,93.6502,6.0601999999999885,,-1.0182000000000002,-40.3602,-1.0181999999999967,
2024-03-01,628.6451,2654.8797999999997,270.9604999999999,,384.1699,-767.9168,-86.62649999999991,,-1893.2132,-1891.6843,-981.9298000000003,,-19.3398,-707.7497,-43.27019999999996,,-1264.5681,763.1954000000003,-710.9692999999997,,364.8301,-1475.6664,-129.8967,,288.557,45.18500000000006,-414.1210000000001,,0.0,0.0,0.0,,220.0944,874.8708999999999,8.827099999999973,,-45.1244,-619.5889000000001,-41.33710000000003,,-25.928,904.649,247.356,,0.0,0.0,0.0,,145.9217,830.1745999999999,428.89829999999995,,429.2943,-148.32759999999996,-45.289300000000026,,-959.184,-2174.899,-1019.423,,0.0,0.0,0.0,,-958.8546,-320.32989999999995,-271.23019999999985,,-49.9404,-697.9901,-40.83379999999998,,-9.169,475.90000000000003,230.82799999999997,,0.0,0.0,0.0,,33.9944,127.6446,77.8954,,30.6006,-9.759599999999999,-2.436399999999992,
2024-03-08,1909.5633,3935.798,2135.6054,,2388.9087,1236.8220000000001,2341.8556000000003,,6.220600000000104,7.749499999999898,303.1638999999998,,483.4484,-204.9615,610.0201000000001,,1915.7839,3943.5474000000004,2438.7693,,2872.3571,1031.8606,2951.8757,,1449.19,1205.8180000000002,1151.194,,0.0,0.0,0.0,,407.2708,1062.0473,389.3203,,318.12420000000003,-256.3403,437.24069999999995,,24.230999999999998,954.808,167.988,,0.0,0.0,0.0,,28.871499999999983,713.1243999999999,427.10299999999995,,2070.7844999999998,1493.1626,1904.615,,575.2149999999999,-640.5,437.818,,0.0,0.0,0.0,,-925.6054,-287.0807,-772.4993999999999,,334.9474,-313.10229999999996,472.96040000000005,,321.611,806.6800000000001,550.5809999999999,,0.0,0.0,0.0,,35.0,128.65019999999998,87.26429999999998,,148.501,108.14080000000001,137.05970000000002,
2024-03-15,3424.8258,5451.0605,3681.7506999999996,,2251.7472,1099.6605000000002,2618.5913,,340.6071000000001,342.1359999999999,1224.4881999999998,,314.2539,-374.156,527.5888,,3765.4329,5793.196400000001,4906.2389,,2566.0011000000004,725.5046,3146.1801000000005,,2070.8900000000003,1827.518,2142.007,,0.0,0.0,0.0,,563.1346,1217.9111,614.627,,157.77040000000002,-416.69410000000005,332.8539999999999,,-89.64200000000001,840.935,17.434999999999988,,0.0,0.0,0.0,,880.4431999999999,1564.6961,907.6816999999999,,2093.9768,1516.3548999999998,2285.7373000000002,,177.5499999999999,-1038.165,868.3939999999998,,0.0,0.0,0.0,,-333.889,304.63570000000004,-290.7752999999999,,164.10700000000003,-483.94269999999995,363.7833000000001,,334.14799999999997,819.217,488.7129999999999,,0.0,0.0,0.0,,162.7982,256.4484,158.15669999999997,,150.1468,109.78659999999999,163.8053,
2024-03-22,5636.033100000001,7662.2678,5636.0331,,2005.8769,853.7902000000001,2005.8769000000002,,1737.3221,1738.8509999999999,1737.3220999999999,,108.93889999999999,-579.471,108.93890000000005,,7373.3552,9401.1187,7373.3552,,2114.8158000000003,274.3193,2114.8158000000003,,3036.547,2793.175,3036.547,,0.0,0.0,0.0,,790.6123,1445.3888,790.6123,,-28.897299999999973,-603.3618,-28.89730000000003,,-180.034,750.543,-180.034,,0.0,0.0,0.0,,1988.9078,2673.1607,1988.9078,,2034.7742,1457.1523,2034.7742000000003,,975.4559999999999,-240.25900000000001,975.4559999999998,,0.0,0.0,0.0,,194.41539999999998,832.9401,194.4154000000001,,-36.893399999999986,-684.9431,-36.89339999999996,,420.334,905.403,420.33399999999995,,0.0,0.0,0.0,,147.11679999999998,240.76699999999997,147.11679999999998,,145.8322,105.472,145.8322,
2024-03-29,5938.8436,7965.0783,5310.1984999999995,7965.0783,2546.5094,1394.4227,2162.3395,1394.4227,-1268.8985999999998,-1267.3697,624.3145999999997,-1267.3697,87.0816,-601.3283,106.42140000000005,-601.3283,4669.945,6697.708500000001,5934.5131,6697.708500000001,2633.5910000000003,793.0945,2268.7609,793.0945,3835.503,3592.1310000000003,3546.946,3592.1310000000003,0.0,0.0,0.0,0.0,1066.8112,1721.5877,846.7167999999999,1721.5877,-84.46119999999996,-658.9257,-39.336800000000025,-658.9257,-256.077,674.5,-230.149,674.5,0.0,0.0,0.0,0.0,1292.6064000000001,1976.8593,1146.6846999999998,1976.8593,2630.9706,2053.3487,2201.6763,2053.3487,-676.9260000000002,-1892.641,282.2579999999998,-1892.641,0.0,0.0,0.0,0.0,-891.8917,-253.36699999999996,66.96289999999999,-253.36699999999996,-101.16129999999998,-749.211,-51.22089999999996,-749.211,202.087,687.156,211.25599999999991,687.156,0.0,0.0,0.0,0.0,97.8321,191.48229999999998,63.837699999999984,191.48229999999998,188.24290000000002,147.8827,157.6423,147.8827
2024-04-05,-1725.724,6239.3543,2303.5563,5915.1798,1250.392,2644.8147000000004,1407.9927000000002,3275.5242000000003,-2861.8166,-4129.1863,-4136.9358,-4525.4301,165.9306,-435.3977,-230.43619999999996,-73.64790000000002,-4587.5406,2110.1679000000004,-1833.3795000000005,1389.7496,1416.3226,2209.4171,1177.5565000000001,3201.8764,-1006.781,2585.3500000000004,1379.532,2328.952,0.0,0.0,0.0,0.0,-144.9985,1576.5892,514.5418999999998,1480.1599999999999,79.2525,-579.6732,-323.33290000000005,-280.801,16.501,691.001,-263.807,595.2139999999999,0.0,0.0,0.0,0.0,-590.4455,1386.4137999999998,673.2893999999998,1510.8536,1171.1395,3224.4882,1731.3256,3556.3253999999997,-1850.127,-3742.768,-3102.268,-3690.257,0.0,0.0,0.0,0.0,-905.1691,-1158.5360999999998,-871.4553999999998,-1498.4978999999998,82.7221,-666.4889,-353.3866,-328.00309999999996,-44.676,642.48,-164.20000000000005,561.231,0.0,0.0,0.0,0.0,-61.8445,129.63779999999997,0.9875999999999934,102.09379999999997,83.2085,231.09120000000001,122.9504,254.35520000000002
2024-04-12,-2183.7906,5781.2877,330.2271999999999,5107.3631,2401.0316000000003,3795.4543000000003,2695.7938000000004,4326.9759,-2747.4215,-4014.7912,-4356.9272,-4987.2446,323.5385,-277.7898,96.36620000000005,-1.1914000000000158,-4931.212100000001,1766.4964000000004,-4026.7000000000003,120.11840000000035,2724.5701,3517.6646,2792.16,4325.7846,-1184.956,2407.175,579.6569999999999,2180.4230000000002,0.0,0.0,0.0,0.0,-181.53410000000002,1540.0536,322.14249999999987,1390.1774,158.6951,-500.2306,-83.53650000000005,-275.4374,-3.0859999999999985,671.414,-169.52100000000002,374.206,0.0,0.0,0.0,0.0,-814.2145,1162.6448,-402.0513000000002,1162.5565000000001,2242.3365,4295.6852,2779.3302999999996,4602.4135,-2038.107,-3930.748,-2892.583,-3761.1910000000003,0.0,0.0,0.0,0.0,-697.8759,-951.2429,-1255.8785999999998,-1925.1101999999998,164.4509,-584.7601,-100.8174,-329.5438,8.857999999999997,696.014,-123.20300000000006,611.01,0.0,0.0,0.0,0.0,-20.296599999999998,171.1857,-85.2627,88.04649999999998,159.0876,306.9703,197.1837,328.3525
2024-04-19,-2587.8125,5377.2658,-2285.0020000000004,4471.212500000001,2174.2795,3568.7022,2714.9120000000003,4465.388500000001,-1287.1528,-2554.5225,-4293.3735,-4274.923400000001,-164.5482,-765.8765000000001,-186.40549999999996,-218.59060000000005,-3874.9653000000003,2822.7432000000003,-6578.375500000001,196.28900000000021,2009.7313,2802.8258,2528.5065000000004,4246.798000000001,-2135.986,1456.1450000000002,-1337.0300000000002,1538.9090000000003,0.0,0.0,0.0,0.0,-397.095,1324.4926999999998,-120.8961000000001,1169.1513999999997,-320.21299999999997,-979.1387,-375.77690000000007,-525.3224,-44.406,630.0939999999999,-120.44900000000001,271.138,0.0,0.0,0.0,0.0,-10.325600000000009,1966.5337,-706.6270000000003,1492.0139,2494.4926,4547.8413,3090.689,4990.7110999999995,-2177.524,-4070.165,-3829.906,-4533.629,0.0,0.0,0.0,0.0,850.7748999999999,597.4078999999999,-235.53219999999988,-476.7361000000001,-341.66790000000003,-1090.8789,-405.93580000000003,-574.7569,34.44,721.596,-183.80700000000007,618.763,0.0,0.0,0.0,0.0,5.156300000000002,196.6386,-44.12840000000001,116.67859999999997,177.1197,325.00239999999997,219.5304,356.16639999999995
2024-04-26,-3875.1112000000003,4089.9671,-3875.1112000000003,2380.1079,1787.4602,3181.8829000000005,1787.4602,4227.771100000001,-2214.4257000000002,-3481.7954000000004,-2214.4257000000002,-5629.481900000001,-109.86430000000001,-711.1926,-109.86429999999996,-114.80510000000007,-6089.536900000001,608.1716000000001,-6089.536900000001,-3249.3741,1677.5958999999998,2470.6904,1677.5959000000003,4112.966100000001,-2637.667,954.4640000000002,-2637.6670000000004,782.0470000000003,0.0,0.0,0.0,0.0,-652.409,1069.1787,-652.4090000000001,772.7438,-240.25899999999996,-899.1847,-240.25900000000007,-411.68080000000003,100.07499999999999,774.575,100.07499999999999,252.749,0.0,0.0,0.0,0.0,-685.1103,1291.7489999999998,-685.1103000000002,572.5678999999999,2027.7192999999997,4081.0679999999998,2027.7192999999997,4639.4520999999995,-2039.902,-3932.543,-2039.902,-4314.691,0.0,0.0,0.0,0.0,-57.90770000000009,-311.27470000000005,-57.90769999999986,-1737.4603,-253.6023,-1002.8133,-253.6023,-445.7677,-62.248999999999995,624.907,-62.24900000000005,373.144,0.0,0.0,0.0,0.0,-54.3671,137.1152,-54.367100000000015,49.52519999999998,143.7381,291.6208,143.7381,330.96279999999996
2024-05-03,-921.0713,3168.8958000000002,-3070.4585,784.9765000000001,-539.1477,2642.7352,-2.0794999999998254,3324.0255000000006,-2064.6132,-5546.408600000001,-1417.2223,-4636.6541,103.9762,-607.2164,-171.81869999999998,57.26309999999995,-2985.6845,-2377.5128999999997,-4487.6808,-3851.6776,-435.1715,2035.5189,-173.8981999999998,3381.2886,-699.765,254.6990000000003,-2330.6510000000003,-204.60699999999974,0.0,0.0,0.0,0.0,-218.0645,851.1141999999999,-725.475,-14.929600000000022,148.1255,-751.0591999999999,-171.38600000000008,-172.80740000000003,5.471,780.0459999999999,89.04499999999999,122.75299999999999,0.0,0.0,0.0,0.0,-8.7128,1283.0362,-103.37760000000013,881.7598999999999,-687.2732,3393.7947999999997,169.3065999999999,3496.8330999999994,-1466.369,-5398.912,-1656.1439999999998,-4243.436,0.0,0.0,0.0,0.0,-604.1534,-915.4281000000001,243.10800000000006,-866.3284,152.6604,-850.1529,-183.66400000000004,-192.99659999999994,31.917,656.8240000000001,14.343999999999951,411.752,0.0,0.0,0.0,0.0,-26.0078,111.10739999999998,-18.530400000000018,61.35819999999998,-48.6842,242.9366,11.845399999999998,250.25979999999998
2024-05-10,-3118.3357,971.6314000000002,-4809.656300000001,-828.5611999999999,466.45770000000005,3648.3406000000004,-147.11369999999977,4753.3742,-4160.5345,-7642.329900000001,-3627.5387,-7346.915500000001,205.96050000000002,-505.2321,-227.44229999999993,309.74949999999995,-7278.870199999999,-6670.6986,-8437.195,-8175.4767,672.4182000000001,3143.1086,-374.5559999999998,5063.1237,-1913.4499999999998,-958.9859999999996,-3366.161,-1013.6099999999997,0.0,0.0,0.0,0.0,-685.7424000000001,383.43629999999985,-1156.6173000000001,-289.2907,174.98139999999998,-724.2033,-223.9727000000001,-30.622300000000017,-89.339,685.236,13.821999999999989,-101.584,0.0,0.0,0.0,0.0,-429.80440000000004,861.9445999999998,-300.70020000000017,575.9232,291.4764,4372.5444,76.85919999999999,4783.9968,-2561.372,-6493.915,-2563.1669999999995,-5415.597,0.0,0.0,0.0,0.0,-1640.8815,-1952.1562000000001,-1000.9132999999999,-2437.5749,183.39450000000002,-819.4188,-234.6587,-33.356099999999984,-34.66799999999999,590.239,-105.77500000000003,334.14000000000004,0.0,0.0,0.0,0.0,76.387,213.5022,42.31649999999999,172.11629999999997,22.56600000000001,314.1868,7.216500000000011,343.1057
2024-05-17,-4265.5307,-175.56359999999972,-5552.8294000000005,-1944.8734,846.8937000000001,4028.7766,460.0744000000002,5547.7074,-4229.2454,-7711.0408,-5156.5183,-6828.6885999999995,453.8204,-257.3722,508.50430000000006,644.3725999999999,-8494.7762,-7886.6046,-10709.3478,-8773.5621,1300.7142000000001,3771.4046,968.5788000000002,6192.0801,-2759.9249999999997,-1805.4609999999998,-3261.606,-1490.9719999999998,0.0,0.0,0.0,0.0,-973.4191000000001,95.75959999999986,-1228.7331,-507.5245,406.77509999999995,-492.40959999999995,486.7290999999999,257.13849999999996,-47.562,727.013,96.91899999999998,-96.48700000000001,0.0,0.0,0.0,0.0,-484.6247000000001,807.1242999999998,-1159.4094000000002,150.1098999999999,440.1187,4521.186699999999,-26.654600000000016,5290.5691,-2687.923,-6620.465999999999,-2550.301,-4713.907,0.0,0.0,0.0,0.0,-1475.8415000000002,-1787.1162000000002,-2384.5240999999996,-2382.5272,421.1245,-581.6888,509.19010000000003,266.0372,-9.94299999999999,614.964,-106.63200000000003,284.46,0.0,0.0,0.0,0.0,-55.53790000000001,81.57729999999998,-115.06130000000002,-16.714400000000012,32.69590000000001,324.3167,-0.68569999999999,378.33540000000005
2024-05-24,-5781.9932,-1692.0260999999998,-5781.993200000001,-3718.2608,211.52019999999993,3393.4031000000004,211.52020000000027,4545.4898,-3420.7852,-6902.5806,-3420.7852,-6904.1095000000005,357.5532,-353.6394,357.55320000000006,334.77049999999997,-9202.7784,-8594.6068,-9202.7784,-10622.3703,569.0734000000001,3039.7638,569.0734000000003,4880.2603,-3794.8889999999997,-2840.4249999999997,-3794.889,-2597.053,0.0,0.0,0.0,0.0,-1154.0094,-84.83070000000015,-1154.0094000000001,-739.6071999999999,350.8834,-548.3013,350.8833999999999,26.163200000000003,-153.779,620.796,-153.779,-309.781,0.0,0.0,0.0,0.0,-679.3158000000001,612.4331999999998,-679.3158000000002,-71.81970000000011,-139.3632,3941.7047999999995,-139.3632,4519.3267,-2292.508,-6225.0509999999995,-2292.508,-5009.336,0.0,0.0,0.0,0.0,-922.6279000000002,-1233.9026000000001,-922.6279,-1872.4273000000003,365.1839,-637.6294,365.1839,10.420300000000012,-117.215,507.692,-117.21500000000006,22.62299999999999,0.0,0.0,0.0,0.0,-88.43430000000001,48.68089999999998,-88.43430000000001,-44.96930000000001,-7.63069999999999,283.9901,-7.63069999999999,324.3503
2024-05-31,-7011.4557,-2921.4885999999997,-6090.3844,-5576.368399999999,292.6456999999999,3474.5286,831.7934000000002,4242.4454000000005,-5559.9719000000005,-9041.7673,-3495.3587000000007,-7150.0830000000005,398.1409,-313.05170000000004,294.16470000000004,394.698,-12571.4275,-11963.2559,-9585.743,-12726.4513,690.7865000000002,3161.4769,1125.958,4637.1433,-4325.013,-3370.549,-3625.2479999999996,-3415.734,0.0,0.0,0.0,0.0,-1335.1398,-265.96110000000016,-1117.0753,-1140.832,388.60679999999996,-510.5779,240.48129999999992,109.011,-431.565,343.01,-437.036,-561.639,0.0,0.0,0.0,0.0,-919.7379000000001,372.01109999999983,-911.0251000000002,-458.1635000000001,-95.96110000000002,3985.1068999999998,591.3121,4133.434499999999,-3351.2239999999997,-7283.767,-1884.8549999999998,-5108.8679999999995,0.0,0.0,0.0,0.0,-1866.7282,-2178.0029,-1262.5747999999999,-1857.673,402.7702,-600.0431,250.1098,97.947,-190.706,434.201,-222.62300000000005,-41.69900000000001,0.0,0.0,0.0,0.0,-151.3136,-14.19840000000002,-125.3058,-141.84300000000002,-4.62939999999999,286.9914,44.05480000000001,296.751
